,https://roic.ai/company/FNKO,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1704711/000156459018006124/0001564590-18-006124-index.htm,https://www.sec.gov/Archives/edgar/data/1704711/000156459019006351/0001564590-19-006351-index.htm,https://www.sec.gov/Archives/edgar/data/1704711/000170471120000025/0001704711-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1704711/000170471121000017/0001704711-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1704711/000170471122000007/0001704711-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,- -,26880000,3725000,9356000,11725000,3961000,67854000
74,Depreciation and Amortization,- -,23509000,31975000,39116000,44518000,46742000,40056000
75,Deferred Income Tax,- -,- -,-718000,-903000,-2293000,3323000,-361000
76,Stock Based Compensation,- -,2369000,5574000,9140000,13044000,10116000,12994000
77,Change in Working Capital,- -,-10191000,39207000,28694000,-21155000,19027000,46932000
78,Accounts Receivable,- -,-33624000,-28473000,-36139000,-3969000,20077000,-56648000
79,Inventory,- -,6013000,-16703000,-9389000,25372000,2845000,-107166000
80,Accounts Payable,- -,14652000,18998000,-16375000,4629000,-13303000,26933000
81,Other Working Capital,- -,54882000,94089000,122783000,101628000,120655000,167587000
82,Other Non-Cash Items,- -,6901000,-55926000,-35412000,44926000,24070000,-80113000
83,Cash Provided by Operating Activities,- -,49468000,23837000,49991000,90765000,107239000,87362000
84,CAPEX,- -,-21202000,-33562000,-26866000,-42264000,-18482000,-27759000
85,Acquisitions Net,- -,-903000,-31653000,-635000,-6369000,- -,199000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,179000
89,Cash Used for Investing Activites,- -,-22105000,-65215000,-27501000,-48633000,-18482000,-27381000
90,Debt Repayment,- -,-58612000,-228311000,-538529000,-48133000,-81541000,-198375000
91,Common Stock Issued,- -,- -,117339000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-70428000,-72777000,-20441000,-23923000,-3575000,- -
94,Other Financing Activites,- -,83427000,226761000,543924000,43716000,23278000,169747000
95,Cash Used/Provided by Financing Activities,- -,-45613000,43012000,-15046000,-28340000,-61838000,-28628000
96,Effect of Forex Changes on Cash,- -,- -,-67000,-1686000,-2049000,107000,-51000
97,Net Change In Cash,- -,-18250000,1567000,5758000,11743000,27026000,31302000
98,Cash at the End of Period,- -,6161000,7728000,13486000,25229000,52255000,83557000
99,Cash at the Beginning of Period,- -,24411000,6161000,7728000,13486000,25229000,52255000
100,Free Cash Flow,- -,28266000,-9725000,23125000,48501000,88757000,59603000
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1704711/000156459018006124/0001564590-18-006124-index.htm,https://www.sec.gov/Archives/edgar/data/1704711/000156459019006351/0001564590-19-006351-index.htm,https://www.sec.gov/Archives/edgar/data/1704711/000170471120000025/0001704711-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1704711/000170471121000017/0001704711-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1704711/000170471122000007/0001704711-22-000007-index.htm
102,false,,,,,,,
