,https://roic.ai/company/RMED,2016,2017,2018,2019,2020,2021
67,Total Stockholders Equity,-380000,-7615000,66705000,33150000,21147000,13673000
68,Total Liabilities And Stockholders Equity,5842000,11269000,74035000,44081000,33438000,21044000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,5842000,11269000,74035000,44081000,33438000,21044000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1716621/000156459019007905/0001564590-19-007905-index.htm,https://www.sec.gov/Archives/edgar/data/1716621/000156459020010123/0001564590-20-010123-index.htm,https://www.sec.gov/Archives/edgar/data/1716621/000156459021013653/0001564590-21-013653-index.htm,https://www.sec.gov/Archives/edgar/data/1716621/000156459022011555/0001564590-22-011555-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-4202000,-17765000,-30832000,-56957000,-36045000,-25070000
74,Depreciation and Amortization,95000,218000,624000,1750000,2365000,1565000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,2300000,12706000,14728000,23543000,4082000,2237000
77,Change in Working Capital,-133000,4811000,55874000,-34097000,-9328000,-8159000
78,Accounts Receivable,-161000,-124000,-1058000,251000,368000,42000
79,Inventory,-181000,-644000,-3874000,-2185000,352000,-197000
80,Accounts Payable,-161000,-124000,699000,407000,-961000,627000
81,Other Working Capital,2598000,7409000,63283000,29186000,19858000,11699000
82,Other Non-Cash Items,54000,-5493000,-58902000,32588000,10622000,1802000
83,Cash Provided by Operating Activities,-1886000,-5523000,-18508000,-33173000,-28304000,-27625000
84,CAPEX,-210000,-547000,-582000,-268000,-67000,594000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-36461000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,20697000,16000000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,3208000
89,Cash Used for Investing Activites,-210000,-547000,-582000,-16032000,15933000,3802000
90,Debt Repayment,-22000,-44000,-82000,-338000,- -,- -
91,Common Stock Issued,5265000,10430000,78806000,37000,19887000,15528000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,130000,- -,-3556000,-225000,1806000,-566000
95,Cash Used/Provided by Financing Activities,5373000,10386000,75168000,-526000,21693000,14962000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,3277000,4316000,56078000,-49731000,9322000,-8861000
98,Cash at the End of Period,3921000,8237000,64315000,14584000,23906000,15045000
99,Cash at the Beginning of Period,644000,3921000,8237000,64315000,14584000,23906000
100,Free Cash Flow,-2096000,-6070000,-19090000,-33441000,-28371000,-27031000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1716621/000156459019007905/0001564590-19-007905-index.htm,https://www.sec.gov/Archives/edgar/data/1716621/000156459020010123/0001564590-20-010123-index.htm,https://www.sec.gov/Archives/edgar/data/1716621/000156459021013653/0001564590-21-013653-index.htm,https://www.sec.gov/Archives/edgar/data/1716621/000156459022011555/0001564590-22-011555-index.htm
102,false,,,,,,
