,https://roic.ai/company/MSLP,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
37,Total Current Assets,- -,13489,5419,224523,1406310,4016833,4949881,44526480,46417000,47279000,28794000,30462000,22827000,12163000,11864000
38,PP&E,- -,5000,- -,39815,138551,907522,1356364,2613584,7805000,6693000,3243000,1822000,513000,1391000,487000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,7005,- -,- -,- -,- -,7074000,8652000,1638000,1317000,997000,676000,356000
41,Intangible Assets,- -,- -,- -,7005,- -,- -,- -,- -,7074000,8652000,1638000,1317000,997000,676000,356000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,977000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,-4340,1176120,121773,460482,5017632,5060000,180000,421000,225000,264000,310000,295000
45,Total Non-Current Assets,- -,5000,- -,42480,1314671,1029295,1816846,7631216,19939000,16502000,5302000,3364000,1774000,2377000,1138000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,18489,5419,267003,2720981,5046128,6766727,52157696,66356000,63781000,34096000,33826000,24601000,14540000,13002000
48,Accounts Payable,- -,- -,4000,765534,2654989,- -,- -,- -,27761000,39652000,9625000,11742000,24797000,26178000,14719000
49,Short-Term Debt,- -,- -,- -,477705,- -,- -,- -,- -,- -,- -,- -,- -,- -,9934000,10713000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,15018,75733,8047,- -,265652,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,2357,189339,1484927,17702053,16520456,32102869,15069000,27636000,28811000,16741000,27761000,5429000,6575000
53,Total Current Liabilities,- -,- -,6357,1447596,4215649,17710100,16520456,32368521,42830000,67288000,38436000,28483000,52558000,41541000,32007000
54,Long-Term Debt,- -,- -,- -,- -,250000,307240,4523,- -,- -,5952000,- -,16669000,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,-1,- -,- -,54639,146000,609000,540000,1208000,238000,951000,5414000
58,Total Non-Current Liabilities,- -,- -,- -,- -,249999,307240,4523,54639,146000,6561000,540000,17877000,238000,951000,5414000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1347000,724000
61,Total Liabilities,- -,- -,6357,1447596,4465648,18017340,16524979,32423160,42976000,73849000,38976000,46360000,52796000,42492000,37421000
62,Preferred Stock,- -,500,500,- -,- -,- -,- -,132,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,2625,2625,26000,118649,605931,2778,9260,14000,14000,14000,14000,15000,31000,32000
64,Retained Earnings,- -,- -,-1022317,-2306101,-21875438,-45156681,-64109476,-81827417,-95659000,-147517000,-150994000,-161967000,-176877000,-195858000,-192673000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-28033,-199621,-674941,-1360991,-2632000,-3960000,-4119000,-4855000,- -,- -,- -
66,Other Total Stockholders Equity,- -,15364,1018254,1099508,20040155,31779159,55023387,102913552,121657000,141395000,150219000,154274000,148667000,167875000,168222000
67,Total Stockholders Equity,- -,18489,-938,-1180593,-1744667,-12971212,-9758252,19734536,23380000,-10068000,-4880000,-12534000,-28195000,-27952000,-24419000
68,Total Liabilities And Stockholders Equity,- -,- -,5419,267003,2720981,5046128,6766727,52157696,66356000,63781000,34096000,33826000,24601000,14540000,13002000
69,Minority Interest,- -,18489,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,18489,5419,267003,2720981,5046128,6766727,52157696,66356000,63781000,34096000,33826000,24601000,14540000,13002000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1415684/000165495420009485/0001654954-20-009485-index.htm,https://www.sec.gov/Archives/edgar/data/1415684/000149315221007088/0001493152-21-007088-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,- -,-995890,-24427,-1913472,-19569337,-23280950,-18952795,-17717941,-13832000,-51858000,-3477000,-10973000,-10755000,-18927000,3185000
74,Depreciation and Amortization,- -,- -,- -,7953,787204,171587,475320,708978,1983000,2815000,2127000,1460000,849000,659000,465000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,630990,1289844,- -,- -,10931000,12850000,5304000,2096000,496000,284000,144000
77,Change in Working Capital,- -,994929,-14427,787866,-1586266,-10883928,2122692,23728534,-8570959,-23596000,10367000,11621000,-31710000,353000,9235000
78,Accounts Receivable,- -,- -,- -,-97237,-434753,-2262808,-742742,-10680659,-2609000,-5578000,7338000,-4619000,1931000,1444000,-2852000
79,Inventory,- -,- -,- -,49001,4245,- -,-616775,-16333132,-4466000,5928000,-480000,2124000,-3937000,8859000,3687000
80,Accounts Payable,- -,- -,- -,712958,1889454,- -,- -,- -,- -,14221000,- -,1991000,11518000,-70000,-4703000
81,Other Working Capital,- -,13489,-938,28718,-2809339,-13693267,-11570575,12157959,3587000,-20009000,-9642000,1979000,-29731000,-29378000,-20143000
82,Other Non-Cash Items,- -,- -,25784,79364,15941932,26901686,15657186,-16692151,5355959,65281000,-29389000,-9335000,43101000,11107000,-13897000
83,Cash Provided by Operating Activities,- -,-961,-13070,-1038289,-3795477,-5801761,-697597,-9972580,-4133000,5492000,-15068000,-5131000,1981000,-6524000,-868000
84,CAPEX,- -,- -,- -,-24407,-117303,-831511,-924162,-1911061,-4592000,-2589000,-508000,-37000,-132000,-13000,-4000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-2275000,- -,-977000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,2250000,490000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,5000,- -,- -,- -,-41165,-1587172,2018000,-593000,5903000,- -,- -,- -,222000
89,Cash Used for Investing Activites,- -,- -,5000,-24407,-117303,-831511,-965327,-3523233,-1600000,-3047000,5395000,-37000,-132000,-13000,218000
90,Debt Repayment,- -,- -,- -,-5000,- -,-75285,-5847575,-4405061,-2604000,-15745000,-47403000,-31127000,-42665000,-41588000,-47464000
91,Common Stock Issued,- -,4250,- -,- -,1503569,875000,1660760,10559333,- -,- -,- -,- -,- -,- -,204000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-460978,-1037320,-3921000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,10000,- -,1067664,2452915,6449617,5658870,13796501,7918000,19467000,54925000,37563000,36939000,47330000,48381000
95,Cash Used/Provided by Financing Activities,- -,14250,- -,1062664,3956484,7249332,1011077,18913453,1393000,3722000,7522000,6436000,-5726000,5742000,1121000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-7917,-6125,-52000,-106000,13000,17000,-34000,10000,- -
97,Net Change In Cash,- -,13289,-8070,1062664,- -,616060,- -,- -,-4392000,6061000,-2138000,1285000,-3911000,-785000,471000
98,Cash at the End of Period,- -,13489,5419,- -,43704,659764,- -,5411515,1020000,7081000,4943000,6228000,2317000,1532000,2003000
99,Cash at the Beginning of Period,- -,200,13489,32,- -,43704,659764,- -,5412000,1020000,7081000,4943000,6228000,2317000,1532000
100,Free Cash Flow,- -,-961,-13070,-1062696,-3912780,-6633272,-1621759,-11883641,-8725000,2903000,-15576000,-5168000,1849000,-6537000,-872000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1415684/000165495420009485/0001654954-20-009485-index.htm,https://www.sec.gov/Archives/edgar/data/1415684/000149315221007088/0001493152-21-007088-index.htm
102,false,,,,,,,,,,,,,,,
