,https://roic.ai/company/RCON,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),3433064,4665897,3677887,7504877,665146,-220050,286871,961136,-2552075,545845,307900,16230,398477,282322,-524251
23,Net Income,5970066,11597123,15256875,20058539,-29036375,-3820135,39698,807188,-31456388,-40882577,-31445147,-44072321,-25355905,-19246701,-22832734
24,Net Income ratio,0.1032,0.1764,0.2017,0.1714,-0.4559,-0.0506,0.0005,0.0086,-0.6107,-0.9568,-0.5236,-0.5220,-0.2477,-0.2956,-0.4763
25,EPS,13.95,27.10,35.55,26.30,-36.75,-4.85,0.05,0.95,-32.25,-36.15,-24.50,-19.20,-6.50,-4.16,-4.94
26,EPS Diluted,13.95,26.25,33.75,26.15,-36.75,-4.85,0.05,0.90,-32.25,-36.15,-24.50,-19.20,-6.50,-4.16,-4.94
27,Weighted Average Shares Outstanding,427840,427840,427840,762417,790362,790362,790362,860791,975300,1130629,1283461,2296692,3908832,4624615,4624615
28,Weighted Average Shares Outstanding Diluted,427840,442178,450362,767293,790362,790362,790362,873632,975300,1130629,1283461,2296692,3908832,4624615,4624615
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1442620/000119312510217712/0001193125-10-217712-index.html,https://www.sec.gov/Archives/edgar/data/1442620/000114420412004955/v300337_10k.htm,https://www.sec.gov/Archives/edgar/data/1442620/000114420412053725/0001144204-12-053725-index.html,https://www.sec.gov/Archives/edgar/data/1442620/000114420413052662/0001144204-13-052662-index.html,https://www.sec.gov/Archives/edgar/data/1442620/000114420414058358/0001144204-14-058358-index.html,https://www.sec.gov/Archives/edgar/data/1442620/000114420415056510/0001144204-15-056510-index.html,https://www.sec.gov/Archives/edgar/data/1442620/000114420416125768/0001144204-16-125768-index.html,https://www.sec.gov/Archives/edgar/data/1442620/000114420417050350/0001144204-17-050350-index.html,https://www.sec.gov/Archives/edgar/data/1442620/000114420418051524/0001144204-18-051524-index.html,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2282828,7637421,2727735,12142957,3485944,3533283,12350392,18094586,12344929,1817620,3809279,45340578,4521325,30336504,343998570
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2282828,7637421,2727735,12142957,3485944,3533283,12350392,18094586,12344929,1817620,3809279,45340578,4521325,30336504,343998570
34,Net Receivables,35008777,38713657,54117839,102276537,60101245,93271238,77258835,63872627,74846278,58912132,45456291,32118054,85644467,65044999,90408979
35,Inventory,4645932,8776117,10710018,13150911,22576094,24281300,13271070,14336602,10845007,6313070,2627974,6758841,1270523,1985723,3644522
36,Other Current Assets,4853018,5326815,7670230,47594000,14617156,18986287,25830063,37095608,26476022,7279398,16493531,16617096,6387953,31914647,50453114
37,Total Current Assets,46790555,60454010,75225822,175164405,100780439,140072108,128710360,133399423,124512236,74322220,68387075,100834569,97824268,129281873,488505185
38,PP&E,1342490,776023,1406876,1482881,1132425,1774820,1709846,1321538,2666953,2907762,2767970,14950893,25186315,32306793,27138768
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6996895
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1335126,1307887,1280648,7903408
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1335126,1307887,1280648,14900303
42,Investments,- -,- -,- -,- -,- -,- -,1549450,- -,- -,- -,- -,- -,31078971,31541850,27931795
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,12971481,10302349,3502680,19809421,7169698,2220332,- -,4686929,1584113,3640,8040609
45,Total Non-Current Assets,1342490,776023,1406876,1482881,14103906,12077169,6761976,21130959,9836651,5128094,2767970,20972948,59157286,65132931,78011475
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,48133045,61230033,76632698,176647286,114884345,152149277,135472336,154530382,134348887,79450314,71155045,121807517,156981554,194414804,566516660
48,Accounts Payable,21087032,17499601,15790845,16536796,6320488,17244791,11378883,11413505,17155793,7540430,8352870,8754347,14089293,23034347,21956481
49,Short-Term Debt,9732713,3525435,6488169,12368338,7654685,29890372,16073654,15207728,23916905,13471848,10168008,9737960,13372418,22127068,31352940
50,Tax Payable,3510293,8204710,9182676,20203104,7192123,9681620,6754428,7589846,1153216,755880,684721,431913,2180847,1108288,1248994
51,Deferred Revenue,2312267,4543691,2361605,4267711,3203442,4227197,3852082,5221209,2815229,607281,1389825,242996,120000,3486033,7686276
52,Other Current Liabilities,12616318,15503162,14953857,24390517,9717363,14548700,15440307,18483431,8192116,8230959,9535054,7256618,14502659,16533727,15466907
53,Total Current Liabilities,45748330,41071889,39594476,57563362,26895978,65911060,46744926,50325873,52080043,29850518,29445757,25991921,42084370,65181175,76462604
54,Long-Term Debt,1297460,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8943834,8196204,8589341,11278652
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,624088
57,Other Non-Current Liabilities,3512416,6599201,1434342,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,190635850
58,Total Non-Current Liabilities,4809876,6599201,1434342,- -,- -,- -,- -,- -,- -,- -,- -,8943834,8196204,8589341,202538590
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2539064,7018933
61,Total Liabilities,50558206,47671090,41028818,57563362,26895978,65911060,46744926,50325873,52080043,29850518,29445757,34935755,50280574,73770516,279001194
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,300534,300534,300534,529979,529979,529979,529979,616865,697217,741467,1261288,2279510,2712773,4577233,16340826
64,Retained Earnings,-7968100,2838371,18043692,39790003,15553628,11733496,11773194,12580382,-18876006,-63907512,-95352659,-139424980,-164780885,-184027586,-206860320
65,Other Comprehensive Income/Loss,- -,-685461,-1006761,-76997,-288897,-290496,-293201,-279275,-317551,3929889,3899773,5665022,7058865,6974660,6123765
66,Other Total Stockholders Equity,5242405,11105499,11426799,69257098,65877686,67643791,69516447,83061058,92541687,100612455,123436043,207490280,250624798,282505455,479490763
67,Total Stockholders Equity,-2425161,13558943,28764264,109500083,81672396,79616770,81526419,95979030,74045347,41376299,33244445,76009832,95615551,110029762,295095034
68,Total Liabilities And Stockholders Equity,48133045,61230033,69793082,167063445,108568374,145527830,128271345,146304903,126125390,71226817,62690202,110945587,145896125,183800278,574096228
69,Minority Interest,- -,- -,6839616,9583841,6315971,6621447,7200991,8225479,8223497,8223497,8464843,10861930,11085429,10614526,-7579568
70,Total Liabilities & Equity,48133045,61230033,76632698,176647286,114884345,152149277,135472336,154530382,134348887,79450314,71155045,121807517,156981554,194414804,566516660
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1442620/000119312510217712/0001193125-10-217712-index.html,https://www.sec.gov/Archives/edgar/data/1442620/000114420412004955/v300337_10k.htm,https://www.sec.gov/Archives/edgar/data/1442620/000114420412053725/0001144204-12-053725-index.html,https://www.sec.gov/Archives/edgar/data/1442620/000114420413052662/0001144204-13-052662-index.html,https://www.sec.gov/Archives/edgar/data/1442620/000114420414058358/0001144204-14-058358-index.html,https://www.sec.gov/Archives/edgar/data/1442620/000114420415056510/0001144204-15-056510-index.html,https://www.sec.gov/Archives/edgar/data/1442620/000114420416125768/0001144204-16-125768-index.html,https://www.sec.gov/Archives/edgar/data/1442620/000114420417050350/0001144204-17-050350-index.html,https://www.sec.gov/Archives/edgar/data/1442620/000114420418051524/0001144204-18-051524-index.html,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,5970066,11597123,15256875,20058539,-29036375,-3820135,39698,807188,-31456388,-40882577,-31445147,-44072321,-25355905,-19246701,-22832734
74,Depreciation and Amortization,234200,195624,321300,368804,361837,197873,618552,595647,526046,955083,856735,1119049,1124011,3018251,5017592
75,Deferred Income Tax,- -,- -,3986259,- -,-182173,-648668,100080,-23054,-2643417,545845,- -,- -,- -,- -,-425913
76,Stock Based Compensation,- -,- -,- -,1623034,1420588,1239788,1852656,2429028,3123417,5691308,14944169,15462124,21288204,7944835,6140037
77,Change in Working Capital,-9072808,-6824671,-27224015,-76073075,11767027,-23066186,22278152,-16319361,4540393,14254578,10944363,1465141,-31323823,2267698,-5485279
78,Accounts Receivable,-13496879,-5815528,-24093428,-37863707,17353318,-37328104,25779694,-9110532,1070537,15748813,-245190,11972175,-43871288,18428088,21736322
79,Inventory,-814421,-4130185,-1933901,-2440893,-23287337,-1705206,11010230,-1065532,-4209241,1191811,3597832,-4196110,4013314,-1124935,-2502263
80,Accounts Payable,3314099,-2709013,5707316,745951,-4747743,10924303,-5865908,34622,5742288,-9615363,812440,-2706304,-400034,8205660,-2109944
81,Other Working Capital,- -,- -,-50790,- -,-1972221,-3800308,-375115,1369127,-2405980,-2207948,853044,-1174585,- -,3366033,4160456
82,Other Non-Cash Items,470664,1161398,1623200,121310,9337464,4224705,-131272,4550508,10807612,19150089,10370953,4931437,2055341,785241,-16464171
83,Cash Provided by Operating Activities,-2397878,6129474,-6036381,-53901388,-6331632,-21872623,24757866,-7960044,-15102337,-285674,5671073,-21094570,-32212172,-5230676,-34050468
84,CAPEX,-663662,-248649,-952153,-260214,-173089,-840268,-753583,-477957,-2078204,-181075,-638119,-12022482,-6342779,-3868886,-522416
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-1549450,- -,- -,- -,- -,-4037736,-4205080,- -,471843
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-1549450,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-16939,- -,- -,-2256305,- -,1711450,141716,400400,60000,51900,32000,-3000000,1760523,-46488081
89,Cash Used for Investing Activites,-663662,-265588,-952153,-260214,-2429394,-840268,-2141033,-336241,-1677804,-121075,-586219,-16028218,-13547859,-2108363,-46538654
90,Debt Repayment,-550000,-8201115,- -,-1536742,-8043082,-7910000,-26358241,-29373654,-16550000,-24280765,-17280682,-26649011,-5684191,-20442630,-30666952
91,Common Stock Issued,- -,1371822,- -,59318949,- -,- -,- -,12132882,2392027,171919,- -,65004531,- -,26141051,81091141
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2759713,6320000,2078848,5880169,8384317,30645687,12561523,31212637,25250000,13925400,14203718,38533318,9231096,27540000,343602634
95,Cash Used/Provided by Financing Activities,2209713,-509293,2078848,63662376,341235,22735687,-13796718,13971865,11092027,-10183446,-3076964,76888838,3546905,33238421,394026823
96,Effect of Forex Changes on Cash,- -,- -,- -,-85552,-237222,24544,-3006,68614,-61543,62886,-16231,1765249,1393873,-84203,224365
97,Net Change In Cash,-851827,5354593,-4909686,9415222,-8657013,47340,8817109,5744194,-5749657,-10527309,1991659,41531299,-40819253,25815179,313662066
98,Cash at the End of Period,2282828,7637421,2727735,12142957,3485944,3533284,12350392,18094586,12344929,1817620,3809279,45340578,4521325,30336504,343998570
99,Cash at the Beginning of Period,3134655,2282828,7637421,2727735,12142957,3485944,3533283,12350392,18094586,12344929,1817620,3809279,45340578,4521325,30336504
100,Free Cash Flow,-3061540,5880825,-6988534,-54161602,-6504721,-22712891,24004283,-8438001,-17180541,-466749,5032954,-33117052,-38554951,-9099562,-34572884
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1442620/000119312510217712/0001193125-10-217712-index.html,https://www.sec.gov/Archives/edgar/data/1442620/000114420412004955/v300337_10k.htm,https://www.sec.gov/Archives/edgar/data/1442620/000114420412053725/0001144204-12-053725-index.html,https://www.sec.gov/Archives/edgar/data/1442620/000114420413052662/0001144204-13-052662-index.html,https://www.sec.gov/Archives/edgar/data/1442620/000114420414058358/0001144204-14-058358-index.html,https://www.sec.gov/Archives/edgar/data/1442620/000114420415056510/0001144204-15-056510-index.html,https://www.sec.gov/Archives/edgar/data/1442620/000114420416125768/0001144204-16-125768-index.html,https://www.sec.gov/Archives/edgar/data/1442620/000114420417050350/0001144204-17-050350-index.html,https://www.sec.gov/Archives/edgar/data/1442620/000114420418051524/0001144204-18-051524-index.html,- -,- -,- -
102,Forex Rate,0.1313,0.1459,0.1464,0.1475,0.1547,0.1574,0.1629,0.1612,0.1612,0.1504,0.1474,0.1509,0.1456,0.1415,0.1549
