,https://roic.ai/company/WING,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
45,Total Non-Current Assets,- -,104901000,102115000,101030000,100684000,103928000,109843000,135923000,81638000,179054000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,113451000,120236000,120650000,111800000,119836000,139749000,166113000,154258000,249203000
48,Accounts Payable,- -,1005000,1502000,1360000,1458000,1752000,2750000,3348000,3658000,5414000
49,Short-Term Debt,- -,3844000,4869000,- -,3500000,3500000,2400000,5006000,5985000,2443000
50,Tax Payable,- -,- -,- -,- -,895000,163000,398000,522000,- -,- -
51,Deferred Revenue,- -,1102000,1759000,1744000,2483000,1795000,2343000,22343000,24962000,5006000
52,Other Current Liabilities,- -,5907000,8306000,9466000,9291000,12078000,18989000,2232000,15868000,26818000
53,Total Current Liabilities,- -,11858000,16436000,12570000,16732000,19125000,26482000,32929000,50473000,39681000
54,Long-Term Debt,- -,98656000,88852000,95008000,147217000,129841000,309374000,307669000,466933000,469394000
55,Deferred Revenue,- -,5688000,7159000,7623000,7868000,8427000,21885000,- -,- -,28024000
56,Deferred Tax Liabilities,- -,16205000,15250000,13018000,12304000,8799000,4866000,- -,- -,7432000
57,Other Non-Current Liabilities,- -,1306000,1533000,2104000,2307000,12062000,1972000,34943000,6027000,14197000
58,Total Non-Current Liabilities,- -,121855000,112794000,117753000,169696000,159129000,338097000,342612000,472960000,519047000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,975362000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,1806000,2385000,2443000
61,Total Liabilities,- -,133713000,129230000,130323000,186428000,178254000,364579000,375541000,552875000,558728000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,256000,261000,286000,287000,291000,293000,295000,297000,299000
64,Retained Earnings,- -,-20554000,-11568000,-46829000,-76109000,-58971000,-226159000,-210275000,- -,-310031000
65,Other Comprehensive Income/Loss,- -,-7719000,-7329000,-8121000,-8965000,-10660000,-12745000,-15763000,- -,-256000
66,Other Total Stockholders Equity,- -,7755000,9642000,44991000,10159000,21088000,13781000,16315000,-341607000,- -
67,Total Stockholders Equity,- -,-20262000,-8994000,-9673000,-74628000,-48252000,-224830000,-209428000,-341310000,-309525000
68,Total Liabilities And Stockholders Equity,- -,113451000,120236000,120650000,111800000,130002000,139749000,166113000,211565000,249203000
69,Minority Interest,- -,- -,- -,- -,- -,-10166000,- -,- -,-57307000,- -
70,Total Liabilities & Equity,- -,113451000,120236000,120650000,111800000,119836000,139749000,166113000,154258000,249203000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1636222/000163622216000029/0001636222-16-000029-index.html,https://www.sec.gov/Archives/edgar/data/1636222/000163622217000011/0001636222-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/1636222/000163622218000015/0001636222-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/1636222/000163622219000039/0001636222-19-000039-index.html,https://www.sec.gov/Archives/edgar/data/1636222/000163622220000036/0001636222-20-000036-index.html,https://www.sec.gov/Archives/edgar/data/1636222/000163622221000011/0001636222-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1636222/000163622222000008/0001636222-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,3580000,7530000,8986000,10106000,15434000,23940000,21719000,20476000,23306000,42658000
74,Depreciation and Amortization,2930000,3030000,2904000,2682000,3008000,3376000,4313000,5484000,7518000,7943000
75,Deferred Income Tax,-1119000,-917000,-1530000,-1046000,-714000,-2548000,-1054000,-426000,-4000,2953000
76,Stock Based Compensation,464000,748000,960000,1155000,1231000,1851000,3725000,6974000,8558000,9631000
77,Change in Working Capital,2170000,-4703000,4993000,5365000,-12666000,2399000,6641000,-6163000,24886000,-12211000
78,Accounts Receivable,303000,-152000,-616000,-1004000,205000,-1368000,-1197000,496000,246000,-2135000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-126000,1483000,2681000,1169000,3648000,-876000,6996000,3086000,1507000,-268000
81,Other Working Capital,1395000,-3308000,1685000,7050000,-5616000,-3217000,3424000,-2739000,22147000,-7337000
82,Other Non-Cash Items,2396000,5218000,-1943000,-5215000,15873000,-1583000,3426000,12238000,-64264000,-2096000
83,Cash Provided by Operating Activities,10421000,10906000,14370000,13047000,22166000,27435000,38770000,38583000,- -,48878000
84,CAPEX,-1617000,-2146000,-1510000,-1915000,-2056000,-2535000,-3982000,-22486000,-6052000,-28021000
85,Acquisitions Net,- -,- -,- -,- -,- -,-3949000,-6516000,-1245000,-6735000,-4876000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4163000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,170000,2000,1147000,- -,- -,- -,- -,- -,4800000,7207000
89,Cash Used for Investing Activites,-1447000,-2144000,-363000,-1915000,-2056000,-6484000,-10498000,-23731000,-7987000,-29853000
90,Debt Repayment,-2250000,-2700000,-8779000,-38218000,-109250000,-21000000,-364858000,-7400000,-333600000,-2400000
91,Common Stock Issued,- -,- -,- -,34988000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,35466000,- -,1318000,517000,689000,- -,- -
93,Dividends Paid,-19281000,-38528000,- -,-47999000,-83268000,-4070000,-190737000,-11742000,-163792000,-19822000
94,Other Financing Activites,14629000,31386000,1322000,5598000,165468000,3500000,541354000,3836000,477944000,-1167000
95,Cash Used/Provided by Financing Activities,-6902000,-9842000,-7457000,-10165000,-27050000,-20252000,-13724000,-14617000,-19448000,-23389000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,2072000,-1080000,6550000,967000,-6940000,699000,14548000,235000,38095000,-4364000
98,Cash at the End of Period,4253000,3173000,9723000,10690000,3750000,4449000,18611000,12728000,59270000,54906000
99,Cash at the Beginning of Period,2181000,4253000,3173000,9723000,10690000,3750000,4063000,12493000,21175000,59270000
100,Free Cash Flow,8804000,8760000,12860000,11132000,20110000,24900000,34788000,16097000,-6052000,20857000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1636222/000163622216000029/0001636222-16-000029-index.html,https://www.sec.gov/Archives/edgar/data/1636222/000163622217000011/0001636222-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/1636222/000163622218000015/0001636222-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/1636222/000163622219000039/0001636222-19-000039-index.html,https://www.sec.gov/Archives/edgar/data/1636222/000163622220000036/0001636222-20-000036-index.html,https://www.sec.gov/Archives/edgar/data/1636222/000163622221000011/0001636222-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1636222/000163622222000008/0001636222-22-000008-index.htm
102,false,,,,,,,,,,
