,https://roic.ai/company/GPK,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,121000000,133500000,121600000,139100000,146300000,142700000,149900000,163600000,152700000,153093000,83523000,64620000,178700000,244200000,225800000,212900000,208300000,332600000,299000000,318600000,339700000,370800000,370900000,361800000,340000000,358800000,345700000,472900000,520600000,514600000,526000000
11,COGS and Expenses,534500000,589000000,617600000,691800000,854100000,649100000,659700000,900000000,793000000,1045747000,1043781000,995201000,1577200000,2270900000,2297100000,2322700000,2270000000,3929500000,3866200000,3820400000,3908500000,3988300000,4123400000,3815100000,3711100000,3865000000,4029900000,5549900000,5588100000,5974300000,6611000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1300000,400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,216700000,196800000,174500000,- -,111100000,101900000,80700000,67800000,76600000,89700000,123700000,140600000,128800000,123000000
14,Depreciation and Amortization,35500000,39400000,41600000,46100000,49900000,49500000,42700000,57500000,79000000,91959000,87201000,64274000,168000000,237600000,213600000,204800000,201700000,264300000,305400000,288700000,278400000,266800000,277400000,270000000,280500000,299300000,330300000,430600000,447200000,475800000,489000000
15,EBITDA,39000000,-5900000,62800000,79600000,91100000,-31500000,88800000,93100000,118200000,80283000,97894000,-107341000,86600000,205600000,145800000,124500000,151000000,415700000,582700000,501400000,325500000,583000000,593300000,485800000,708800000,697100000,674700000,830100000,870900000,813500000,890000000
16,EBITDA ratio,0.0718,-0.0103,0.0978,0.1088,0.1000,-0.0442,0.1215,0.0942,0.1422,0.0728,0.0880,-0.1015,0.0514,0.0862,0.0612,0.0516,0.0624,0.1019,0.1423,0.1224,0.0774,0.1344,0.1325,0.1146,0.1704,0.1622,0.1532,0.1378,0.1414,0.1240,0.1244
17,Operating Income,9000000,-18200000,24300000,39700000,56800000,63300000,71400000,88400000,38400000,56843000,59854000,62642000,106100000,115600000,86900000,90300000,151200000,149900000,282700000,219500000,190300000,322400000,341600000,227800000,427100000,396000000,342700000,458200000,534100000,524300000,407000000
18,Operating Income ratio,0.0166,-0.0319,0.0379,0.0543,0.0624,0.0889,0.0977,0.0894,0.0462,0.0516,0.0538,0.0592,0.0630,0.0484,0.0365,0.0374,0.0624,0.0367,0.0690,0.0536,0.0452,0.0743,0.0763,0.0537,0.1027,0.0921,0.0778,0.0761,0.0867,0.0799,0.0569
19,Total Other Income Expenses (Gains),-5500000,-14600000,-3100000,-6200000,-15600000,-40900000,-25300000,-52800000,-2900000,-68519000,-49161000,-44640000,-188800000,-149000000,-155900000,-171600000,-177300000,-215400000,-203500000,-182900000,-147000000,-122100000,-129000000,-95100000,-67800000,-76600000,-89700000,-110700000,-180100000,-280300000,-118000000
20,Income Before Tax,3500000,-32800000,21200000,33500000,41200000,22400000,46100000,35600000,35500000,-11676000,10693000,18002000,-82700000,-33400000,-69000000,-81300000,-26100000,-65500000,79200000,36600000,43300000,200300000,212600000,132700000,359300000,319400000,253000000,347500000,354000000,244000000,289000000
21,Income Before Tax Ratio,0.0064,-0.0575,0.0330,0.0458,0.0452,0.0314,0.0631,0.0360,0.0427,-0.0106,0.0096,0.0170,-0.0491,-0.0140,-0.0289,-0.0337,-0.0108,-0.0161,0.0193,0.0089,0.0103,0.0462,0.0475,0.0313,0.0864,0.0743,0.0575,0.0577,0.0575,0.0372,0.0404
22,Income Tax expense (Gain),2200000,-11500000,8200000,13300000,17300000,11000000,18400000,14300000,14000000,-4678000,4257000,7035000,1500000,9800000,23300000,20200000,23900000,34400000,24100000,27500000,-229800000,82500000,67400000,45400000,130400000,93200000,-45500000,54700000,76300000,41600000,74000000
23,Net Income,1300000,-33800000,13000000,20200000,23900000,-92000000,27700000,21300000,25200000,-6998000,6436000,-178650000,-82900000,-41800000,-91100000,-100500000,-74600000,-99700000,56400000,10700000,276900000,122600000,146600000,89700000,230100000,228000000,300200000,221100000,206800000,167300000,204000000
24,Net Income ratio,0.0024,-0.0592,0.0203,0.0276,0.0262,-0.1291,0.0379,0.0215,0.0303,-0.0063,0.0058,-0.1689,-0.0492,-0.0175,-0.0382,-0.0416,-0.0308,-0.0244,0.0138,0.0026,0.0658,0.0283,0.0327,0.0212,0.0553,0.0530,0.0682,0.0367,0.0336,0.0255,0.0285
25,EPS,0.03,-0.68,0.26,0.38,0.86,-2.89,0.99,0.75,0.89,-0.37,-0.11,-5.77,-0.56,-0.21,-0.46,-0.50,-0.37,-0.32,0.16,0.03,0.74,0.31,0.42,0.27,0.70,0.71,0.97,0.71,0.70,0.60,0.70
26,EPS Diluted,0.03,-0.68,0.26,0.38,0.86,-2.89,0.96,0.73,0.88,-0.37,-0.11,-5.77,-0.56,-0.21,-0.46,-0.50,-0.37,-0.32,0.16,0.03,0.73,0.31,0.42,0.27,0.70,0.71,0.96,0.71,0.70,0.60,0.70
27,Weighted Average Shares Outstanding,25100000,25150000,25652000,26606000,27790698,31833910,28888889,28378378,28475000,29337000,31620000,32715000,148300000,198500000,198600000,201100000,201800000,315800000,343100000,343800000,376300000,393400000,347300000,328600000,329500000,320900000,311100000,309500000,294100000,278800000,308300000
28,Weighted Average Shares Outstanding Diluted,25100000,25150000,25652000,26606000,27790698,32508834,28888889,29166667,28767000,29337000,31620000,32715000,148300000,198500000,198600000,201100000,201800000,315800000,344600000,347400000,381700000,396200000,349700000,330500000,330700000,321500000,311900000,310100000,294800000,279600000,308300000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1408075/000095014409001859/0000950144-09-001859-index.htm,https://www.sec.gov/Archives/edgar/data/1408075/000095012310015760/0000950123-10-015760-index.htm,https://www.sec.gov/Archives/edgar/data/1408075/000095012311023166/0000950123-11-023166-index.htm,https://www.sec.gov/Archives/edgar/data/1408075/000140807512000010/0001408075-12-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1408075/000140807513000011/0001408075-13-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1408075/000140807514000006/0001408075-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1408075/000140807515000007/0001408075-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1408075/000140807516000053/0001408075-16-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1408075/000140807517000011/0001408075-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1408075/000140807518000009/0001408075-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1408075/000140807519000007/0001408075-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1408075/000140807520000009/0001408075-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1408075/000140807521000012/0001408075-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1408075/000140807522000009/0001408075-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28626000,17500000,7300000,12700000,7300000,9300000,170100000,149800000,138700000,271800000,51500000,52200000,81600000,54900000,59100000,67400000,70500000,152900000,179000000,172000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28626000,17500000,7300000,12700000,7300000,9300000,170100000,149800000,138700000,271800000,51500000,52200000,81600000,54900000,59100000,67400000,70500000,152900000,179000000,172000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63546000,198500000,214900000,216300000,230900000,226700000,369600000,382300000,382200000,380500000,461300000,412800000,408300000,423900000,426800000,422800000,582700000,514900000,654400000,859000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87243000,306900000,301200000,298500000,301300000,318600000,532000000,436500000,417300000,479100000,531200000,557100000,521800000,557100000,582900000,634000000,1014400000,1095900000,1127600000,1387000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21686000,15100000,14900000,26100000,24800000,31700000,56900000,52700000,75400000,182700000,159100000,210100000,209200000,30900000,46100000,45700000,96200000,41900000,59200000,84000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,201101000,538000000,538300000,553600000,564300000,586300000,1128600000,1021300000,1013600000,1314100000,1203100000,1232200000,1220900000,1066800000,1114900000,1169900000,1763800000,1805600000,2020200000,2502000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,410592000,1722900000,1649000000,1551500000,1488700000,1376200000,1935100000,1797400000,1641500000,1622100000,1706600000,1678900000,1546800000,1586400000,1751900000,1867200000,3239700000,3456600000,3560000000,4677000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,642300000,641500000,1204800000,1204600000,1205200000,1135700000,1164800000,1125400000,1118100000,1167800000,1260300000,1323000000,1460600000,1477900000,1477600000,2015000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,379696000,816600000,810000000,799900000,148500000,140400000,664600000,620000000,576600000,535900000,499200000,467000000,385600000,386700000,445300000,436500000,523800000,477300000,436900000,868000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,379696000,816600000,810000000,799900000,790800000,781900000,1869400000,1824600000,1781800000,1671600000,1664000000,1592400000,1503700000,1554500000,1705600000,1759500000,1984400000,1955200000,1914500000,2883000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12300000,7900000,- -,345000000,- -,- -,- -,6300000,- -,6200000,8900000,7400000,3600000,3200000,6800000,8200000,3000000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29477000,110500000,106100000,451000000,44800000,32900000,50000000,58500000,41400000,41900000,40900000,46900000,52500000,44800000,27800000,59600000,63100000,69500000,309900000,395000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,819765000,2662300000,2573000000,2802400000,2669300000,2191000000,3854500000,3680500000,3471000000,3335600000,3417700000,3327100000,3110400000,3189300000,3488500000,3693100000,5295400000,5484300000,5784400000,7955000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1020866000,3200300000,3111300000,3356000000,3233600000,2777300000,4983100000,4701800000,4484600000,4649700000,4620800000,4559300000,4331300000,4256100000,4603400000,4863000000,7059200000,7289900000,7804600000,10457000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82106000,176600000,200000000,209600000,214400000,222400000,333400000,350800000,361500000,411400000,453700000,428300000,424900000,457900000,466500000,516500000,711600000,716100000,825000000,1125000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3432000,38400000,14200000,11000000,12000000,6600000,18600000,17600000,26000000,30100000,79800000,77400000,32200000,36600000,63400000,61300000,52000000,105200000,557700000,352000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29800000,44400000,38400000,56500000,50000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14900000,16200000,13100000,10700000,15100000,19500000,11400000,11600000,14000000,15200000,21100000,29000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69451000,170100000,201800000,200000000,193900000,177800000,333600000,275900000,193300000,187800000,206300000,194800000,204500000,218200000,238500000,262000000,394700000,362200000,452800000,543000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,154989000,385100000,416000000,420600000,420300000,406800000,685600000,644300000,595700000,645500000,752900000,711200000,676700000,732200000,779800000,851400000,1172300000,1198700000,1856600000,2049000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,474899000,2116200000,2011000000,1967300000,1910700000,1871800000,3165200000,2782600000,2553100000,2335700000,2247900000,2173000000,1940600000,1837900000,2071900000,2185400000,2786000000,2809900000,3304200000,5708000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6500000,5100000,5700000,6100000,6700000,6600000,5200000,5300000,6500000,8000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13400000,13400000,461500000,475200000,141500000,187800000,226900000,241100000,63000000,137000000,329900000,309300000,266700000,408000000,321800000,462200000,511800000,539600000,579000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80084000,196600000,214300000,237900000,245700000,213200000,419300000,319200000,347700000,424000000,504200000,277800000,386700000,311500000,280500000,205900000,615000000,706200000,257400000,220000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,554983000,2326200000,2238700000,2666700000,2631600000,2226500000,3772300000,3328700000,3141900000,2822700000,2895600000,2785800000,2642300000,2422200000,2767100000,2719700000,3868400000,4033200000,4107700000,6515000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7800000,5600000,3100000,1800000,17900000,30000000,122900000,210900000,222700000,412000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,709972000,2711300000,2654700000,3087300000,3051900000,2633300000,4457900000,3973000000,3737600000,3468200000,3648500000,3497000000,3319000000,3154400000,3546900000,3571100000,5040700000,5231900000,5964300000,8564000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,335000,2000000,2000000,2000000,2000000,2000000,3400000,3400000,3400000,3900000,3400000,3200000,3300000,3200000,3100000,3100000,3000000,2900000,2700000,3000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-179212000,-598000000,-639800000,-800600000,-901100000,-975700000,-1075400000,-1019000000,-1008300000,-731400000,-633200000,-542600000,-452900000,-326800000,-268000000,-56000000,10000000,56400000,-47100000,66000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30133000,-83500000,-74800000,-102300000,-106000000,-73900000,-358200000,-213800000,-213300000,-282100000,-311300000,-188200000,-334600000,-345700000,-387600000,-338800000,-377900000,-365800000,-245900000,-224000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,416048000,1168500000,1169200000,1169600000,1186800000,1191600000,1955400000,1958200000,1965200000,2177500000,1915100000,1789900000,1796500000,1771000000,1709000000,1683600000,1944400000,1876700000,1714600000,2046000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,307038000,489000000,456600000,268700000,181700000,144000000,525200000,728800000,747000000,1167900000,974000000,1062300000,1012300000,1101700000,1056500000,1291900000,1579500000,1570200000,1424300000,1891000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1017010000,3200300000,3111300000,3356000000,3233600000,2777300000,4983100000,4701800000,4484600000,4636100000,4622500000,4559300000,4331300000,4256100000,4603400000,4863000000,6620200000,6802100000,7388600000,10455000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3856000,- -,- -,- -,- -,- -,- -,- -,- -,13600000,-1700000,- -,- -,- -,- -,- -,439000000,487800000,416000000,2000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1020866000,3200300000,3111300000,3356000000,3233600000,2777300000,4983100000,4701800000,4484600000,4649700000,4620800000,4559300000,4331300000,4256100000,4603400000,4863000000,7059200000,7289900000,7804600000,10457000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1408075/000095014409001859/0000950144-09-001859-index.htm,https://www.sec.gov/Archives/edgar/data/1408075/000095012310015760/0000950123-10-015760-index.htm,https://www.sec.gov/Archives/edgar/data/1408075/000095012311023166/0000950123-11-023166-index.htm,https://www.sec.gov/Archives/edgar/data/1408075/000140807512000010/0001408075-12-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1408075/000140807513000011/0001408075-13-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1408075/000140807514000006/0001408075-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1408075/000140807515000007/0001408075-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1408075/000140807516000053/0001408075-16-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1408075/000140807517000011/0001408075-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1408075/000140807518000009/0001408075-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1408075/000140807519000007/0001408075-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1408075/000140807520000009/0001408075-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1408075/000140807521000012/0001408075-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1408075/000140807522000009/0001408075-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1300000,-33800000,13000000,20200000,23900000,-92000000,27700000,21300000,25200000,-6998000,6436000,-178650000,-82900000,-41800000,-91100000,-100500000,-74600000,-99700000,56400000,10700000,276900000,122600000,146600000,89700000,230100000,228000000,300200000,221100000,206800000,167300000,204000000
74,Depreciation and Amortization,35500000,39400000,41600000,46100000,49900000,49500000,42700000,57500000,79000000,91959000,87201000,64274000,168000000,237600000,213600000,204800000,201700000,264300000,305400000,288700000,278400000,266800000,277400000,270000000,280500000,299300000,330300000,430600000,447200000,475800000,489000000
75,Deferred Income Tax,2200000,-23500000,6200000,2300000,700000,-6100000,12300000,7300000,-900000,11676000,-3590000,4990000,-2800000,2800000,24500000,19500000,19000000,28000000,19600000,21600000,-238400000,76000000,62700000,33100000,110000000,76700000,-54000000,26000000,52700000,-700000,55000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,15069000,31043000,106788000,-30600000,10700000,11000000,35500000,263500000,-66000000,40900000,250700000,-218400000,70800000,23200000,-209600000,500000,-16600000,273000000,15400000,-443300000,-229000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7300000,49300000,-25500000,-1500000,25500000,49900000,-1158100000,-107600000,- -,- -
79,Inventory,-800000,-5800000,-900000,-9700000,300000,-2900000,17800000,-1200000,5700000,23137000,12820000,5165000,-14600000,5600000,- -,5500000,-27000000,32600000,91000000,13300000,-43000000,-23900000,-39500000,-50400000,-19700000,10500000,-6500000,-82000000,-72800000,34800000,-80000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21400000,19400000,6000000,27500000,6800000,-13900000,13300000,12700000,4300000,27000000,76200000,-8600000,70900000,77000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15069000,46112000,152900000,122300000,133000000,144000000,179500000,443000000,377000000,417900000,668600000,450200000,521000000,544200000,334600000,335100000,318500000,591500000,606900000,163600000,-21000000
82,Other Non-Cash Items,2800000,27700000,-27500000,-23400000,22700000,94800000,34700000,11200000,31800000,-33339000,46583000,200438000,-32288000,95800000,11800000,1800000,-39900000,-271900000,187500000,-23800000,-179800000,221600000,-99500000,110600000,178200000,36900000,-43700000,-1324500000,-56300000,625600000,90000000
83,Cash Provided by Operating Activities,42600000,9800000,33300000,45200000,97200000,46200000,117400000,97300000,135100000,63298000,151699000,122095000,156800000,263800000,169500000,136600000,141700000,184200000,502900000,338100000,387800000,468600000,458000000,526600000,589200000,641400000,516200000,-373800000,665800000,824700000,609000000
84,CAPEX,-113000000,-48700000,-37700000,-43100000,-60000000,-57500000,-56200000,-379200000,-996600000,-30931000,-31884000,-27706000,-136600000,-137800000,-95600000,-94500000,-95900000,-183300000,-129900000,-122800000,-160100000,-203300000,-209200000,-201400000,-244100000,-294600000,-260100000,-395200000,-352900000,-646300000,-802000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-93900000,- -,- -,- -,- -,29900000,- -,- -,-51900000,-105300000,- -,-173800000,-163200000,-332700000,-189400000,-89400000,-54500000,-120600000,-1704000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-5800000,-4100000,8700000,-13600000,13000000,-26800000,-35400000,131500000,184400000,243580000,8950000,- -,9600000,-3700000,-19000000,8800000,5100000,-173700000,-124100000,-122700000,-159900000,-188700000,-144400000,-9400000,-236600000,-283800000,-232000000,794900000,-147800000,-497000000,-661000000
89,Cash Used for Investing Activites,-118800000,-52800000,-29000000,-56700000,-47000000,-84300000,-91600000,-247700000,-812200000,212649000,-22934000,-27706000,-220900000,-141500000,-114600000,-85700000,-90800000,-143800000,-124100000,-122700000,-211800000,-294000000,-144400000,-183200000,-399800000,-632500000,-440600000,689100000,-224300000,-647800000,-2392000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2049300000,-913600000,-386100000,-338800000,-2738100000,-2234300000,-2474500000,-978800000,-1260800000,-1115800000,-1939900000,-2901600000,-2633300000,-5291000000
91,Common Stock Issued,- -,- -,- -,- -,4600000,1200000,7900000,2800000,10500000,100214000,287000,1289000,200000,400000,- -,- -,- -,- -,- -,- -,237700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-2400000,- -,- -,- -,- -,-1000000,- -,- -,- -,- -,- -,- -,- -,-32900000,-300000000,-200000000,- -,-63000000,-164900000,-62100000,-119100000,-128800000,-315600000,- -
93,Dividends Paid,-9200000,-8800000,- -,- -,- -,- -,- -,- -,- -,-1306000,-12083000,-10000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-49300000,-64400000,-93400000,-111000000,-112700000,-102800000,-92000000
94,Other Financing Activites,60000000,33200000,-900000,14500000,-11900000,- -,- -,126900000,656200000,-386712000,-114215000,-63818000,68100000,-133400000,-49100000,-56600000,-50000000,2169100000,514400000,158700000,91800000,2642000000,2123200000,2165700000,880200000,1487000000,1201500000,1859300000,2782300000,2899700000,7161000000
95,Cash Used/Provided by Financing Activities,50800000,24400000,-900000,14500000,-7300000,1200000,7900000,127300000,666700000,-287804000,-126011000,-72529000,67300000,-133000000,-49100000,-56600000,-50000000,119800000,-399200000,-227400000,-42200000,-396100000,-311100000,-308800000,-210900000,-3100000,-69800000,-310700000,-360800000,-152000000,1778000000
