,https://roic.ai/company/MTSI,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
75,Deferred Income Tax,-386000,1245000,-9073000,1985000,-4649000,-13328000,7835000,-9936000,92171000,-16528000,-41297000,3340000,2520000
76,Stock Based Compensation,868000,1545000,1557000,3762000,6096000,11277000,19435000,26954000,36335000,31937000,23792000,35674000,34998000
77,Change in Working Capital,23084000,10642000,32471000,67874000,36900000,93500000,25043000,208051000,-75016000,-93922000,-28110000,62823000,-25926000
78,Accounts Receivable,-2725000,-2277000,-690000,-7972000,-8777000,2223000,-13089000,-17209000,-15754000,38679000,27585000,23906000,-38686000
79,Inventory,4582000,-2978000,-7121000,-4979000,3464000,-9586000,92000,-24708000,-4094000,-2166000,14964000,16296000,8886000
80,Accounts Payable,2096000,3205000,1547000,7164000,-3490000,-7140000,-1858000,-1075000,3449000,-2609000,-12220000,-1603000,5810000
81,Other Working Capital,46313000,56955000,89426000,157300000,194200000,287700000,312743000,520794000,445778000,351856000,323746000,386569000,105000
82,Other Non-Cash Items,-23206000,-10665000,-1536000,-46800000,-33420000,-103530000,-121932000,-217862000,84055000,142400000,345695000,36812000,28894000
83,Cash Provided by Operating Activities,10724000,20735000,32813000,35354000,36801000,25290000,33678000,79232000,61050000,36293000,20700000,171397000,148412000
84,CAPEX,-2615000,-5884000,-9781000,-15679000,-12666000,-22463000,-41598000,-32103000,-32804000,-53044000,-37963000,-17573000,-17954000
85,Acquisitions Net,-21587000,- -,-1807000,- -,- -,-248530000,-127144000,-85517000,-270008000,-1000000,-375000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-5250000,-40183000,-36316000,-105048000,-119461000,-174114000,-284918000,-194219000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,1500000,51573000,44555000,100375000,173020000,183874000,209306000
88,Other Investing Activites,- -,- -,3042000,- -,-897000,6510000,-3346000,6723000,25735000,6011000,5541000,11422000,284000
89,Cash Used for Investing Activites,-24202000,-5884000,-8546000,-15679000,-12666000,-264243000,-207425000,-94863000,-337570000,-67119000,-33891000,-107195000,-2583000
90,Debt Repayment,-7882000,-5441000,-31426000,- -,- -,-289417000,-105004000,-14076000,-5884000,-7598000,-8306000,-8593000,-546689000
91,Common Stock Issued,25000000,- -,- -,98175000,- -,- -,127761000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-60685000,-77000,-1282000,-8626000,-9995000,-18534000,-6828000,-4137000,-6708000,-23436000
93,Dividends Paid,- -,- -,-79137000,-635000,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,8000000,-822000,108018000,-17670000,1860000,593059000,108276000,251425000,98071000,9975000,6615000,4585000,451030000
95,Cash Used/Provided by Financing Activities,25118000,-6263000,-2545000,19185000,1783000,302360000,122407000,227354000,73653000,-4451000,-5828000,-10716000,-119095000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-243000,-1058000,-6000,-151000,-138000,436000,362000
97,Net Change In Cash,11640000,8588000,21722000,38860000,25918000,63407000,-51583000,210665000,-202873000,-35428000,-19157000,53922000,27096000
98,Cash at the End of Period,15358000,23946000,45668000,84528000,110446000,173895000,122312000,332977000,130104000,94676000,75519000,129441000,156537000
99,Cash at the Beginning of Period,3718000,15358000,23946000,45668000,84528000,110488000,173895000,122312000,332977000,130104000,94676000,75519000,129441000
100,Free Cash Flow,8109000,14851000,23032000,19675000,24135000,2827000,-7920000,47129000,28246000,-16751000,-17263000,153824000,130458000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1493594/000119312512482461/0001193125-12-482461-index.html,https://www.sec.gov/Archives/edgar/data/1493594/000119312513462528/0001193125-13-462528-index.html,https://www.sec.gov/Archives/edgar/data/1493594/000119312514437842/0001193125-14-437842-index.html,https://www.sec.gov/Archives/edgar/data/1493594/000119312515387199/0001193125-15-387199-index.html,https://www.sec.gov/Archives/edgar/data/1493594/000149359416000016/0001493594-16-000016-index.html,https://www.sec.gov/Archives/edgar/data/1493594/000149359417000055/0001493594-17-000055-index.html,https://www.sec.gov/Archives/edgar/data/1493594/000149359418000034/0001493594-18-000034-index.html,https://www.sec.gov/Archives/edgar/data/1493594/000149359419000064/0001493594-19-000064-index.html,https://www.sec.gov/Archives/edgar/data/1493594/000149359420000063/0001493594-20-000063-index.htm,https://www.sec.gov/Archives/edgar/data/1493594/000149359421000079/0001493594-21-000079-index.htm
102,false,,,,,,,,,,,,,
