,https://roic.ai/company/CELZ,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,530960
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100644,184649,163505,436555,619763,530960
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,29337,35629,1502,3075,414,3105,1568,374,954,216,322512,203147,477161,530803,717775,11268181
48,Accounts Payable,8242,9281,745,1871,- -,7871,9980,8083,10188,17079,66385,237566,331838,320785,350899,761862
49,Short-Term Debt,- -,- -,- -,32057,- -,- -,- -,- -,143809,140741,100000,512548,682056,1062266,788701,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2600,- -,10800,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,48523,67398,89337,117322,- -,- -,284879,1685080,3447104,7219251,39381185,288579
53,Total Current Liabilities,8242,9281,745,33928,48523,75269,99317,125405,153997,157820,453864,2435194,4471798,8602302,40520785,1050441
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,26200,25000,915,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,203,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1439,3211,- -,- -,- -,- -
58,Total Non-Current Liabilities,203,- -,- -,- -,- -,- -,- -,- -,- -,26200,26439,4126,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,8445,9281,745,33928,48523,75269,99317,125405,153997,184020,480303,2439320,4471798,8602302,40520785,1050441
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000,3000,3000,- -
63,Common Stock,1914,16914,18114,18114,18114,18114,18114,18114,18114,18114,105014,114800,902711,22489,768536,6339
64,Retained Earnings,-109358,-118902,-171538,-203148,-220404,-244459,-270044,-297326,-325338,-356099,-766572,-3425680,-17081333,-25565006,-61890236,-43667814
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,128336,128336,154181,154181,154181,154181,154181,154181,154181,154181,503767,1074707,12180985,17468018,21315690,53879215
67,Total Stockholders Equity,20892,26348,757,-30853,-48109,-72164,-97749,-125031,-153043,-183804,-157791,-2236173,-3994637,-8071499,-39803010,10217740
68,Total Liabilities And Stockholders Equity,29337,35629,1502,3075,414,3105,1568,374,954,216,322512,203147,477161,530803,717775,11268181
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,29337,35629,1502,3075,414,3105,1568,374,954,216,322512,203147,477161,530803,717775,11268181
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1187953/000107878212000801/0001078782-12-000801-index.html,https://www.sec.gov/Archives/edgar/data/1187953/000107878213000455/0001078782-13-000455-index.html,https://www.sec.gov/Archives/edgar/data/1187953/000107878214000387/0001078782-14-000387-index.htm,https://www.sec.gov/Archives/edgar/data/1187953/000107878215000321/0001078782-15-000321-index.htm,https://www.sec.gov/Archives/edgar/data/1187953/000107878216002633/0001078782-16-002633-index.htm,https://www.sec.gov/Archives/edgar/data/1187953/000114420417007873/0001144204-17-007873-index.html,https://www.sec.gov/Archives/edgar/data/1187953/000114420418017967/0001144204-18-017967-index.html,https://www.sec.gov/Archives/edgar/data/1187953/000114420419017462/0001144204-19-017462-index.html,https://www.sec.gov/Archives/edgar/data/1187953/000110465920043660/0001104659-20-043660-index.htm,https://www.sec.gov/Archives/edgar/data/1187953/000147793221001495/0001477932-21-001495-index.htm,https://www.sec.gov/Archives/edgar/data/1187953/000147793222001741/0001477932-22-001741-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,1372,-9544,-52636,-31610,-17256,-24055,-25585,-27282,-28012,-30761,-766072,-2659108,-13655653,-8483673,-36325230,19211768
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9356,15995,21144,26950,66792,92084
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2565,144160,1877,- -,170323,595380
77,Change in Working Capital,-233,5253,-25591,-31610,-17256,-24055,-25585,-27282,-28012,-4561,-74392,-2184700,-1741446,-4349912,-31914719,50109553
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4801,-4799,4000,5600,-2485
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10866
80,Accounts Payable,618,1039,-8536,1126,-1871,7871,2109,-1897,2106,6890,22601,171181,94760,-11054,30114,410963
81,Other Working Capital,21095,26348,757,-30853,-48109,-72164,-97749,-125031,-153043,-157604,-231996,-2416696,-4158142,-8508054,-40422773,9686780
82,Other Non-Cash Items,- -,-8566,21063,32478,20851,34151,34396,31657,38704,20684,383311,3794032,14321808,11593542,67568278,-72224567
83,Cash Provided by Operating Activities,1139,-12857,-57164,-30742,-13661,-13959,-16774,-22907,-17320,-14638,-445232,-889621,-1052270,-1213093,-434556,-2215782
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-23745,19625,8668,- -,- -,- -,- -,- -,- -,- -,-10000,- -,- -,- -,-250000,- -
89,Cash Used for Investing Activites,-23745,19625,8668,- -,- -,- -,- -,- -,- -,- -,-10000,- -,- -,- -,-250000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-13350,- -,- -,- -,- -,-462298,-355110,-17000,-443239
91,Common Stock Issued,1000,15000,30000,- -,- -,- -,- -,- -,- -,- -,500000,100000,- -,- -,- -,14758488
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27725
94,Other Financing Activites,- -,- -,-2955,31000,13500,14650,16450,35850,17900,13900,177000,581450,1804927,1352795,710920,-1445884
95,Cash Used/Provided by Financing Activities,1000,15000,27045,31000,13500,14650,16450,22500,17900,13900,677000,681450,1342629,997685,693920,12841640
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1000,15000,-21451,258,-161,691,-324,-407,580,-738,221768,-208171,290359,-215408,9364,10625858
98,Cash at the End of Period,- -,21768,317,575,414,1105,781,374,954,216,221868,13697,304056,88648,98012,10723870
99,Cash at the Beginning of Period,21606,- -,21768,317,575,414,1105,781,374,954,100,221868,13697,304056,88648,98012
100,Free Cash Flow,1139,-12857,-57164,-30742,-13661,-13959,-16774,-22907,-17320,-14638,-455232,-889621,-1052270,-1213093,-434556,-2215782
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1187953/000107878212000801/0001078782-12-000801-index.html,https://www.sec.gov/Archives/edgar/data/1187953/000107878213000455/0001078782-13-000455-index.html,https://www.sec.gov/Archives/edgar/data/1187953/000107878214000387/0001078782-14-000387-index.htm,https://www.sec.gov/Archives/edgar/data/1187953/000107878215000321/0001078782-15-000321-index.htm,https://www.sec.gov/Archives/edgar/data/1187953/000107878216002633/0001078782-16-002633-index.htm,https://www.sec.gov/Archives/edgar/data/1187953/000114420417007873/0001144204-17-007873-index.html,https://www.sec.gov/Archives/edgar/data/1187953/000114420418017967/0001144204-18-017967-index.html,https://www.sec.gov/Archives/edgar/data/1187953/000114420419017462/0001144204-19-017462-index.html,https://www.sec.gov/Archives/edgar/data/1187953/000110465920043660/0001104659-20-043660-index.htm,https://www.sec.gov/Archives/edgar/data/1187953/000147793221001495/0001477932-21-001495-index.htm,https://www.sec.gov/Archives/edgar/data/1187953/000147793222001741/0001477932-22-001741-index.htm
102,false,,,,,,,,,,,,,,,,
