,https://roic.ai/company/ARIS,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
70,Total Liabilities & Equity,7933000,9436000,5572000,6968000,12068000,13777000,13457000,20509000,33128000,32348000,49748000,49343000,- -,- -,838234000,1057805000,1126693000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/879796/000095013705013088/0000950137-05-013088-index.htm,https://www.sec.gov/Archives/edgar/data/879796/000095013706011590/0000950137-06-011590-index.htm,https://www.sec.gov/Archives/edgar/data/879796/000095013707016121/0000950137-07-016121-index.htm,https://www.sec.gov/Archives/edgar/data/879796/000114036108023953/0001140361-08-023953-index.htm,https://www.sec.gov/Archives/edgar/data/879796/000114036109024044/0001140361-09-024044-index.htm,https://www.sec.gov/Archives/edgar/data/879796/000114036110042693/0001140361-10-042693-index.htm,https://www.sec.gov/Archives/edgar/data/879796/000114036111050970/0001140361-11-050970-index.htm,https://www.sec.gov/Archives/edgar/data/879796/000087979612000008/0000879796-12-000008-index.htm,https://www.sec.gov/Archives/edgar/data/879796/000156276213000326/0001562762-13-000326-index.htm,https://www.sec.gov/Archives/edgar/data/879796/000087979614000022/0000879796-14-000022-index.htm,https://www.sec.gov/Archives/edgar/data/879796/000087979615000024/0000879796-15-000024-index.htm,https://www.sec.gov/Archives/edgar/data/879796/000087979616000056/0000879796-16-000056-index.html,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1865187/000155837022002585/0001558370-22-002585-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,2815000,3210000,101000,1383000,424000,777000,2443000,1055000,-753000,-102000,1071000,1743000,- -,- -,13060000,7000,-7009000
74,Depreciation and Amortization,570000,648000,800000,764000,876000,1054000,1127000,2791000,3308000,3385000,3807000,4557000,- -,- -,19670000,44027000,60767
75,Deferred Income Tax,-865000,-1229000,- -,-648000,88000,-1562000,-1084000,-171000,1260000,-227000,-720000,-1196000,- -,- -,- -,- -,379
76,Stock Based Compensation,- -,- -,159000,306000,315000,167000,109000,195000,4000,340000,301000,427000,- -,- -,- -,- -,1586
77,Change in Working Capital,151000,554000,-1864000,-254000,-802000,2585000,694000,1065000,-2856000,621000,-338000,2591000,- -,- -,-6488000,28682000,63064000
78,Accounts Receivable,60000,-72000,-414000,9000,235000,-301000,73000,-318000,98000,-545000,-28000,74000,- -,- -,-35759000,15815000,-21456
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-122000,-532000,-159000,-364000,137000,-288000,26000,165000,-16000,-40000,-75000,-1000,- -,- -,4583000,193000,-8271
81,Other Working Capital,-3911000,-3357000,-5221000,-5475000,-6277000,-3692000,-2998000,-1933000,-4789000,-4168000,-4506000,-1915000,- -,- -,-8403000,20279000,83343000
82,Other Non-Cash Items,48000,-808000,1948000,476000,1844000,-1397000,182000,-1428000,1441000,-1634000,2192000,-397000,- -,- -,-22093000,-4945000,-56058920
83,Cash Provided by Operating Activities,2719000,2375000,1144000,2027000,2745000,1624000,3471000,3507000,2404000,2383000,6313000,7725000,- -,- -,4149000,67771000,58812
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,-699000,-722000,-631000,-692000,-1090000,- -,- -,-182964000,-139589000,-149328
85,Acquisitions Net,- -,- -,-715000,-239000,-123000,- -,- -,- -,-2479000,-249000,-250000,- -,- -,- -,-55430000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,775000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-1503000,-1299000,-1459000,-1412000,-2096000,-1891000,-2293000,-1242000,-2374000,-1938000,-11000000,-2406000,- -,- -,-172938000,-139589000,- -
89,Cash Used for Investing Activites,-1503000,-1299000,-2174000,-1651000,-2219000,-1891000,-2293000,-1941000,-4800000,-2818000,-11942000,-3496000,- -,- -,-228368000,-139589000,-74664
90,Debt Repayment,-9000,-4000,-16000,-25000,-104000,-163000,-5000000,-1028000,-8172000,-450000,-622000,-1298000,- -,- -,-25000000,- -,- -
91,Common Stock Issued,87000,61000,42000,7000,20000,5000,6000,33000,4531000,289000,4834000,- -,- -,- -,- -,- -,249355
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-1350000,-2195000,-1808000,-2284000,-5118000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-1000000,-1200000,-1517000,-335000,-884000,708000,4017000,976000,9085000,2020000,4199000,5035000,- -,- -,248959000,89667000,-198380
95,Cash Used/Provided by Financing Activities,-922000,-1143000,-1491000,-353000,-968000,550000,-977000,-1369000,3249000,51000,6127000,-1381000,- -,- -,223959000,89667000,50975
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,19000,-8000,-3000,-22000,-14000,- -,- -,- -,- -,- -
97,Net Change In Cash,294000,-67000,-2534000,36000,-436000,288000,196000,216000,845000,-387000,476000,2834000,- -,- -,-260000,17849000,35123
98,Cash at the End of Period,3651000,3584000,1050000,1086000,650000,938000,1134000,1350000,2195000,1808000,2284000,5118000,- -,- -,7083000,24932000,60055
99,Cash at the Beginning of Period,3357000,3651000,3584000,1050000,1086000,650000,938000,1134000,1350000,2195000,1808000,2284000,- -,- -,7343000,7083000,24932
100,Free Cash Flow,2719000,2375000,1144000,2027000,2745000,1624000,3471000,2808000,1682000,1752000,5621000,6635000,- -,- -,-178815000,-71818000,-90516
101,SEC Link,https://www.sec.gov/Archives/edgar/data/879796/000095013705013088/0000950137-05-013088-index.htm,https://www.sec.gov/Archives/edgar/data/879796/000095013706011590/0000950137-06-011590-index.htm,https://www.sec.gov/Archives/edgar/data/879796/000095013707016121/0000950137-07-016121-index.htm,https://www.sec.gov/Archives/edgar/data/879796/000114036108023953/0001140361-08-023953-index.htm,https://www.sec.gov/Archives/edgar/data/879796/000114036109024044/0001140361-09-024044-index.htm,https://www.sec.gov/Archives/edgar/data/879796/000114036110042693/0001140361-10-042693-index.htm,https://www.sec.gov/Archives/edgar/data/879796/000114036111050970/0001140361-11-050970-index.htm,https://www.sec.gov/Archives/edgar/data/879796/000087979612000008/0000879796-12-000008-index.htm,https://www.sec.gov/Archives/edgar/data/879796/000156276213000326/0001562762-13-000326-index.htm,https://www.sec.gov/Archives/edgar/data/879796/000087979614000022/0000879796-14-000022-index.htm,https://www.sec.gov/Archives/edgar/data/879796/000087979615000024/0000879796-15-000024-index.htm,https://www.sec.gov/Archives/edgar/data/879796/000087979616000056/0000879796-16-000056-index.html,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1865187/000155837022002585/0001558370-22-002585-index.htm
102,false,,,,,,,,,,,,,,,,,
