,https://roic.ai/company/ADVM,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,-457000,-340000,154807000,254418000,215378000,183067000,198035000,156462000,413567000,295825000
82,Other Non-Cash Items,-3000,2443000,-144120000,-99813000,101402000,32218000,-11487000,45417000,-243438000,125612000
83,Cash Provided by Operating Activities,-1267000,-2175000,-5648000,-35338000,-38366000,-45421000,-53964000,-49170000,-79291000,-107831000
84,CAPEX,-3000,-91000,-943000,-2992000,-2412000,-1016000,-809000,-19247000,-11844000,-15123000
85,Acquisitions Net,- -,- -,- -,- -,3449000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-88427000,- -,-209787000,-78726000,-197343000,-570386000,-407514000
87,Sales/Maturities of Investments,- -,- -,- -,49850000,37738000,88599000,148979000,148517000,302063000,501346000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-3000,-91000,-943000,-41569000,38775000,-122204000,69444000,-68073000,-280167000,78709000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-175000,-112000,-61000,- -
91,Common Stock Issued,- -,- -,116453000,138954000,- -,16519000,70187000,25889000,344302000,1685000
92,Common Stock Repurchased,- -,- -,-4000000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,500000,2480000,52989000,-94000,556000,229000,-63000,2414000,11744000,712000
95,Cash Used/Provided by Financing Activities,500000,2480000,165442000,138860000,556000,16748000,69949000,28191000,355985000,2397000
96,Effect of Forex Changes on Cash,9000,-7000,-11000,-9000,-143000,-774000,- -,- -,- -,- -
97,Net Change In Cash,-761000,207000,158840000,61944000,822000,-151651000,85429000,-89052000,-3473000,-26725000
98,Cash at the End of Period,357000,564000,159404000,221348000,222170000,70519000,155948000,66896000,63423000,36698000
99,Cash at the Beginning of Period,1118000,357000,564000,159404000,221348000,222170000,70519000,155948000,66896000,63423000
100,Free Cash Flow,-1270000,-2266000,-6591000,-38330000,-40778000,-46437000,-54773000,-68417000,-91135000,-122954000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1501756/000119312515078923/0001193125-15-078923-index.htm,https://www.sec.gov/Archives/edgar/data/1501756/000156459016014022/0001564590-16-014022-index.htm,https://www.sec.gov/Archives/edgar/data/1501756/000156459017003759/0001564590-17-003759-index.htm,https://www.sec.gov/Archives/edgar/data/1501756/000156459018004560/0001564590-18-004560-index.htm,https://www.sec.gov/Archives/edgar/data/1501756/000156459019006536/0001564590-19-006536-index.htm,https://www.sec.gov/Archives/edgar/data/1501756/000156459020010503/0001564590-20-010503-index.htm,https://www.sec.gov/Archives/edgar/data/1501756/000162828021003623/0001628280-21-003623-index.htm,https://www.sec.gov/Archives/edgar/data/1501756/000162828022007698/0001628280-22-007698-index.htm
102,false,,,,,,,,,,
