,https://roic.ai/company/LINK,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000,- -,- -
57,Other Non-Current Liabilities,300000,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1974000,500000,730000,470000,250000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,300000,100000,700000,800000,700000,1400000,1424000,2598000,1855000,1401000,1010000,405000,154000,- -,5387000,- -,- -,- -,- -,- -,145000,92000,40000,- -,- -,- -,74000,140000,37000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,730000,460000,250000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,220000,359000,- -
61,Total Liabilities,1400000,1500000,2600000,3200000,4100000,4900000,6429000,9285000,6268000,5633000,5066000,6094000,8899000,7491000,13555000,7920000,2120000,1140000,950000,870000,822000,918000,899000,873000,703000,627000,761000,1182000,37000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,26197000,27630000,29029000,29074000,31668000,47833000,50740000,54946000,58463000,59160000,59700000,59970000,60110000,- -,6000,6000,6000,7000,7000,7000,7000,7000,7000
64,Retained Earnings,-13600000,-11400000,-11300000,-10800000,-11200000,-10200000,-8137000,-5029000,-7043000,-11307000,-10241000,-12525000,-25821000,-37577000,-43246000,-46560000,-54370000,-55430000,-57040000,-56900000,-56887000,-55332000,-53601000,-50708000,-49448000,-48826000,-49283000,-49170000,-49952000
65,Other Comprehensive Income/Loss,-800000,-1000000,-1100000,-1600000,-2100000,-2600000,-3103000,-3670000,-4322000,-1634000,-911000,-806000,-490000,-505000,-440000,-3980000,-3360000,-2170000,-2300000,-2400000,26000,27000,6000,-71000,41000,- -,-93000,37000,96000
66,Other Total Stockholders Equity,18900000,16100000,20000000,22400000,26800000,27500000,3321000,3558000,2709000,- -,- -,- -,-157000,- -,- -,3500000,2890000,1720000,2330000,62570000,60181000,60163000,60252000,60370000,60527000,57804000,57940000,57966000,62554000
67,Total Stockholders Equity,4500000,3700000,7600000,10000000,13500000,14700000,18278000,22489000,20373000,16133000,20516000,34502000,24272000,16864000,14777000,12120000,4860000,4090000,3100000,3270000,3326000,4864000,6663000,9598000,11127000,8985000,8571000,8840000,12705000
68,Total Liabilities And Stockholders Equity,5900000,5200000,10200000,13200000,17600000,19600000,24707000,31774000,26641000,21766000,25582000,40596000,33171000,24355000,28332000,20040000,6980000,5230000,4050000,4140000,4148000,5782000,7562000,10471000,11830000,9612000,9332000,10022000,12742000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1037000
70,Total Liabilities & Equity,5900000,5200000,10200000,13200000,17600000,19600000,24707000,31774000,26641000,21766000,25582000,40596000,33171000,24355000,28332000,20030000,6970000,5230000,4050000,4140000,4148000,5782000,7562000,10471000,11830000,9612000,9332000,10022000,13779000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/828146/000155837017001292/0001558370-17-001292-index.htm,https://www.sec.gov/Archives/edgar/data/828146/000155837018002144/0001558370-18-002144-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/828146/000110465921037332/0001104659-21-037332-index.htm,https://www.sec.gov/Archives/edgar/data/828146/000110465922039438/0001104659-22-039438-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3900000,2300000,200000,500000,- -,400000,2108000,3108000,-2014000,-4264000,1066000,-2284000,-8305000,-11756000,-5669000,-3310000,-7810000,-1060000,-1610000,136000,12000,1555000,1731000,2893000,1260000,622000,-457000,113000,-734000
74,Depreciation and Amortization,200000,300000,400000,600000,700000,500000,630000,688000,773000,805000,593000,609000,989000,555000,627000,560000,570000,300000,180000,143000,124000,80000,56000,65000,190000,155000,443000,506000,281000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-600000,-701000,1301000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23000,- -,- -,519000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108000,4229000,3037000,- -,- -,- -,- -,- -,- -,- -,- -,119000,122000,- -,75000,26000,20000
77,Change in Working Capital,200000,-1500000,4200000,2500000,3500000,1700000,3544000,5484000,-3795000,-3086000,3772000,12847000,-9914000,-8199000,3935000,-7398000,-6280000,-780000,-1190000,220000,35000,1445000,1748000,2024000,1469000,-2347000,-59000,-606000,4576000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1219000,1072000,-1494000,160000,1990000,1080000,60000,-230000,-677000,-291000,229000,-117000,352000,594000,50000,-383000,33000
79,Inventory,-200000,-300000,-1300000,-1500000,-1800000,-1300000,-1132000,-1507000,933000,1496000,-1632000,-1245000,705000,-4023000,1993000,770000,3800000,290000,-350000,-72000,47000,-343000,61000,-274000,73000,124000,144000,99000,66000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90000,- -,- -,- -,- -,- -,- -,9000,-35000,161000,11000,-160000,-69000,-49000,-86000,-31000,88000
81,Other Working Capital,3700000,2200000,6400000,8900000,12400000,14100000,17644000,23128000,19333000,16247000,20019000,32866000,22952000,14753000,18688000,11290000,5010000,4230000,3040000,3260000,3295000,4740000,6488000,8512000,9981000,7634000,56000,-104000,12030000
82,Other Non-Cash Items,-700000,-2900000,-6100000,-4900000,-7200000,-3100000,-3420000,-8765000,5982000,5695000,-8965000,-12429000,12937000,5196000,-4327000,6428000,12470000,1610000,1380000,-623000,-704000,-2073000,-1397000,-3215000,-995000,3126000,- -,- -,-4431000
83,Cash Provided by Operating Activities,-4200000,-1800000,-1300000,-1300000,-3000000,-500000,2862000,-85000,245000,451000,-3534000,-1257000,-4185000,-9975000,-2397000,-3720000,-1050000,70000,-1240000,-124000,-533000,1007000,2138000,1886000,2046000,1579000,2000,39000,231000
84,CAPEX,-300000,-700000,-500000,-400000,-600000,-800000,-529000,-640000,-413000,-504000,-643000,-973000,-463000,-1014000,-277000,-690000,-160000,-130000,-180000,-40000,-83000,-130000,-68000,-230000,-429000,-383000,-233000,-90000,-159000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-2457000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,500000,- -,- -,- -,- -,- -,- -,2457000,- -,- -,- -,- -,1600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-400000,- -,-200000,-200000,- -,- -,-104000,-74000,- -,-14000,-177000,-123000,2899000,8365000,-51000,- -,- -,- -,- -,- -,-6000,-12000,- -,-39000,-35000,-2764000,-92000,-83000,- -
89,Cash Used for Investing Activites,-700000,-700000,-200000,-600000,-600000,-800000,-633000,-714000,-2870000,1939000,-820000,-1096000,2537000,7386000,1323000,-690000,-160000,-130000,-180000,-40000,-83000,-130000,-68000,-230000,-429000,-3147000,-233000,-90000,-159000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-588000,-156000,-152000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,138000
91,Common Stock Issued,8700000,400000,3900000,1900000,3900000,100000,1503000,1433000,1030000,45000,2594000,16165000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4568000
92,Common Stock Repurchased,-1400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000,-6000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-48000
94,Other Financing Activites,-1300000,200000,600000,300000,500000,200000,-111000,2735000,-1368000,-1403000,-531000,-820000,220000,166000,12476000,1040000,-4610000,300000,- -,5000,- -,16000,- -,- -,34000,- -,- -,186000,-138000
95,Cash Used/Provided by Financing Activities,6000000,600000,4500000,2200000,4400000,300000,1392000,4168000,-338000,-1358000,2063000,15345000,-368000,10000,12324000,1040000,-4610000,300000,- -,5000,- -,16000,- -,- -,34000,6000,-6000,186000,4520000
96,Effect of Forex Changes on Cash,- -,- -,-100000,- -,-400000,700000,-29000,-355000,-675000,6000,446000,14000,-113000,-15000,65000,-40000,- -,20000,- -,- -,1000,1000,-21000,-77000,112000,-108000,-26000,146000,65000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,3592000,3014000,-3638000,1038000,-1845000,13006000,-2129000,-2594000,11315000,-3410000,-5830000,260000,-1420000,-159000,-615000,894000,2049000,1579000,1763000,-1670000,-263000,281000,4657000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,7492000,10506000,6868000,7906000,6061000,19067000,3938000,1344000,12659000,9250000,3420000,3680000,2260000,2102000,1487000,2381000,4430000,6009000,7777000,6102000,5844000,6125000,10782000
99,Cash at the Beginning of Period,300000,3000000,600000,3500000,3800000,4200000,3900000,7492000,10506000,6868000,7906000,6061000,6067000,3938000,1344000,12660000,9250000,3420000,3680000,2261000,2102000,1487000,2381000,4430000,6014000,7772000,6107000,5844000,6125000
100,Free Cash Flow,-4500000,-2500000,-1800000,-1700000,-3600000,-1300000,2333000,-725000,-168000,-53000,-4177000,-2230000,-4648000,-10989000,-2674000,-4410000,-1210000,-60000,-1420000,-164000,-616000,877000,2070000,1656000,1617000,1196000,-231000,-51000,72000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/828146/000155837017001292/0001558370-17-001292-index.htm,https://www.sec.gov/Archives/edgar/data/828146/000155837018002144/0001558370-18-002144-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/828146/000110465921037332/0001104659-21-037332-index.htm,https://www.sec.gov/Archives/edgar/data/828146/000110465922039438/0001104659-22-039438-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
