,https://roic.ai/company/PCTY,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
38,PP&E,4959000,7143000,8586000,13125000,16061000,26787000,40756000,62029000,70056000,115395000,103819000
39,Goodwill,- -,- -,- -,3035000,6003000,6003000,6003000,9590000,9590000,21655000,33650000
40,Intangible Assets,2725000,3714000,2614000,11413000,19298000,21846000,26301000,34096000,38237000,49861000,58045000
41,Intangible Assets,2725000,3714000,2614000,14448000,25301000,27849000,32304000,43686000,47827000,71516000,91695000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,22140000,6472000,4955000,11602000
44,Other Non-Current Assets,- -,- -,- -,313000,403000,845000,1535000,1504000,83397000,130628000,174886000
45,Total Non-Current Assets,7684000,10857000,11200000,27886000,41765000,55481000,74595000,129359000,207752000,322494000,382002000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,316492000,284943000,377916000,528151000,720548000,1390689000,1137441000,1507599000,1803941000,1985648000,2414885000
48,Accounts Payable,703000,1107000,880000,2133000,1327000,1621000,2046000,2990000,3954000,1755000,4230000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7549000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,5572000,8777000,9442000
52,Other Current Liabilities,303617000,270193000,363531000,430995000,608160000,1264601000,972760000,1267855000,1446522000,1398408000,1845795000
53,Total Current Liabilities,304320000,271300000,364411000,433128000,609487000,1266222000,974806000,1270845000,1456048000,1408940000,1867016000
54,Long-Term Debt,3188000,1563000,938000,- -,- -,- -,- -,- -,- -,100000000,67201000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,71000,970000,269000,714000,874000,249000,401000,- -,6943000,8754000,1780000
57,Other Non-Current Liabilities,1828000,2183000,2317000,3175000,2607000,4646000,14621000,23930000,32986000,75046000,1958000
58,Total Non-Current Liabilities,5087000,4716000,3524000,3889000,3481000,4895000,15022000,23930000,39929000,183800000,70939000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,2143000,1482000,81382000,74750000
61,Total Liabilities,309407000,276016000,367935000,437017000,612968000,1271117000,989828000,1294775000,1495977000,1592740000,1937955000
62,Preferred Stock,9339000,36573000,36573000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,38000,32000,32000,50000,51000,51000,52000,53000,53000,54000,55000
64,Retained Earnings,-6596000,-27678000,-27061000,-34171000,-48143000,-51994000,-45276000,-6678000,99817000,164272000,235091000
65,Other Comprehensive Income/Loss,-5707000,-7371000,-8255000,-11749000,-15094000,-18457000,-25413000,-28729000,-38366000,1000000,66000
66,Other Total Stockholders Equity,10011000,7371000,8692000,137004000,170766000,189972000,218250000,248178000,246460000,227582000,241718000
67,Total Stockholders Equity,7085000,8927000,9981000,91134000,107580000,119572000,147613000,212824000,307964000,392908000,476930000
68,Total Liabilities And Stockholders Equity,316492000,284943000,377916000,528151000,720548000,1390689000,1137441000,1507599000,1803941000,1985648000,2414885000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,316492000,284943000,377916000,528151000,720548000,1390689000,1137441000,1507599000,1803941000,1985648000,2414885000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1591698/000110465914062738/0001104659-14-062738-index.html,https://www.sec.gov/Archives/edgar/data/1591698/000110465915060024/0001104659-15-060024-index.html,https://www.sec.gov/Archives/edgar/data/1591698/000110465916139345/a16-12777_110k.htm,https://www.sec.gov/Archives/edgar/data/1591698/000155837017006561/0001558370-17-006561-index.html,https://www.sec.gov/Archives/edgar/data/1591698/000155837018006955/0001558370-18-006955-index.html,https://www.sec.gov/Archives/edgar/data/1591698/000155837019007859/0001558370-19-007859-index.html,https://www.sec.gov/Archives/edgar/data/1591698/000155837020009960/0001558370-20-009960-index.htm,https://www.sec.gov/Archives/edgar/data/1591698/000155837021010711/0001558370-21-010711-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-130000,1688000,617000,-7110000,-13972000,-3851000,6718000,38598000,53823000,64455000,70819000
74,Depreciation and Amortization,3779000,4624000,5571000,6336000,8609000,13873000,21027000,30202000,34564000,37913000,42972000
75,Deferred Income Tax,-42000,838000,-822000,341000,91000,150000,152000,-21870000,4134000,2754000,-13642000
76,Stock Based Compensation,177000,203000,523000,4929000,13169000,17563000,26734000,30354000,38765000,47493000,63052000
77,Change in Working Capital,1166000,-1702000,-481000,64832000,2159000,-310000,19054000,19355000,32746000,114073000,-88347000
78,Accounts Receivable,-339000,287000,-295000,-78000,-449000,-725000,-472000,-1494000,-1188000,-732000,-1654000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,252000,102000,138000,465000,-186000,72000,219000,740000,-75000,-806000,2394000
81,Other Working Capital,4488000,2786000,2305000,67137000,69296000,68986000,88040000,107395000,140141000,254214000,165867000
82,Other Non-Cash Items,72000,2913000,820000,-62129000,1049000,5568000,-11705000,1227000,-49000000,-154033000,49996000
83,Cash Provided by Operating Activities,5022000,8564000,6228000,7199000,11105000,32993000,61980000,97866000,115032000,112655000,124850000
84,CAPEX,-4733000,-7162000,-5954000,-11016000,-13235000,-24474000,-34979000,-37314000,-31422000,-42293000,-38055000
85,Acquisitions Net,- -,- -,- -,-6000000,-12000000,- -,- -,-7000000,- -,-17000000,-14992000
86,Purchases of Investments,-176480000,- -,-92650000,-61356000,-173958000,-648403000,- -,-354988000,-250685000,-400343000,- -
87,Sales/Maturities of Investments,- -,35724000,- -,- -,- -,- -,297163000,73044000,246243000,410593000,101467000
88,Other Investing Activites,-2746000,-3716000,-1967000,-450000,21000,-483000,-2845000,-13100000,-7480000,286000,-28594000
89,Cash Used for Investing Activites,-181213000,28562000,-98604000,-78822000,-199172000,-673360000,259339000,-339358000,-43344000,-48757000,48420000
90,Debt Repayment,-467000,-312000,-1625000,-1563000,- -,- -,- -,- -,- -,- -,-100000000
91,Common Stock Issued,- -,- -,- -,82032000,18367000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-27371000,-162000,- -,- -,- -,- -,- -,-34991000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,176999000,-8402000,92726000,62408000,172110000,645605000,-304347000,275217000,149715000,2092000,380478000
95,Cash Used/Provided by Financing Activities,176532000,-36085000,90939000,142877000,190477000,645605000,-304347000,275217000,114724000,2092000,280478000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,341000,1041000,-1437000,71254000,2410000,5238000,16972000,33725000,186412000,65990000,453748000
98,Cash at the End of Period,7990000,9031000,7594000,78848000,81258000,86496000,103468000,137193000,1426143000,1492133000,1945881000
99,Cash at the Beginning of Period,7649000,7990000,9031000,7594000,78848000,81258000,86496000,103468000,1239731000,1426143000,1492133000
100,Free Cash Flow,289000,1402000,274000,-3817000,-2130000,8519000,27001000,60552000,83610000,70362000,86795000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1591698/000110465914062738/0001104659-14-062738-index.html,https://www.sec.gov/Archives/edgar/data/1591698/000110465915060024/0001104659-15-060024-index.html,https://www.sec.gov/Archives/edgar/data/1591698/000110465916139345/a16-12777_110k.htm,https://www.sec.gov/Archives/edgar/data/1591698/000155837017006561/0001558370-17-006561-index.html,https://www.sec.gov/Archives/edgar/data/1591698/000155837018006955/0001558370-18-006955-index.html,https://www.sec.gov/Archives/edgar/data/1591698/000155837019007859/0001558370-19-007859-index.html,https://www.sec.gov/Archives/edgar/data/1591698/000155837020009960/0001558370-20-009960-index.htm,https://www.sec.gov/Archives/edgar/data/1591698/000155837021010711/0001558370-21-010711-index.htm
102,false,,,,,,,,,,,
