,https://roic.ai/company/UPDC,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-0.3620,-0.8703,-0.3839,-0.1996,-0.0359,-0.2378,-0.3322,-0.2897,0.0261,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-19.5055,-175.1383,Infinity,-Infinity
25,EPS,-0.20,-0.40,-0.25,-0.09,-0.02,-0.09,-0.15,-0.13,0.01,0.05,-0.02,-0.01,-0.02,-0.10,-0.09,-0.01,-0.00,-0.00,-0.00,-0.01,-0.02,0.00,-0.00
26,EPS Diluted,-0.20,-0.40,-0.25,-0.09,-0.02,-0.09,-0.15,-0.13,0.01,0.05,-0.02,-0.01,-0.02,-0.10,-0.09,-0.01,-0.00,-0.00,-0.00,-0.01,-0.02,0.00,-0.00
27,Weighted Average Shares Outstanding,1647387,2729578,6263920,7344280,9364650,12853452,13648711,14553152,14809963,12515139,11403654,11418124,11490016,12465426,18222741,18566636,65349763,78766636,79750198,121892799,162636158,171513505,181006414
28,Weighted Average Shares Outstanding Diluted,1647387,2729578,6263920,7344280,9364650,12853452,13648711,14553152,14977213,12515139,11403654,11418124,11490016,12465426,18222741,18566636,65349763,78766636,79750198,121892799,162636158,171513505,181006414
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/836937/000121465920002683/0001214659-20-002683-index.htm,https://www.sec.gov/Archives/edgar/data/836937/000121465920007123/0001214659-20-007123-index.htm,https://www.sec.gov/Archives/edgar/data/836937/000121465921010446/0001214659-21-010446-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,245795,2058929,1361717,615204,278701,212278,213943,114779,6615,640458,280903,146086,64638,1619,65308,13806,7215,20718,16414
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,245795,2058929,1361717,615204,278701,212278,213943,114779,6615,640458,280903,146086,64638,1619,65308,13806,7215,20718,16414
34,Net Receivables,- -,- -,- -,- -,551576,1028850,1479526,2289678,501078,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2783,- -,- -,- -
35,Inventory,- -,- -,- -,- -,232815,370784,477719,653159,66966,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76475,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,34451,290546,268373,315226,427136,9559,10355,9824,9892,48488,9375,7371,- -,- -,- -,- -,- -,755,- -
37,Total Current Assets,- -,- -,- -,- -,1064637,3749109,3587335,3873267,1273881,221837,224298,124603,16507,688946,290278,153457,64638,1619,65308,93064,7215,21473,16414
38,PP&E,- -,- -,- -,- -,115633,203309,374269,502309,293644,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74617,74617,- -,82490
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2170124,- -,- -,416981
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,347112,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,347112,- -,- -,- -,- -,- -,2170124,- -,- -,416981
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,234641,330882,202952,35183,207250,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2365
45,Total Non-Current Assets,- -,- -,- -,- -,115633,437950,705151,705261,328827,207250,- -,- -,- -,347112,- -,- -,- -,- -,- -,2244741,74617,- -,501836
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,1180270,4187059,4292486,4578528,1602708,429087,224298,124603,16507,1036058,290278,153457,64638,1619,65308,2337805,81832,21473,518250
48,Accounts Payable,- -,- -,- -,- -,272129,368230,423396,688623,551102,9224,- -,3638,37703,25982,2095,466,11788,27271,40202,195285,179671,171547,155394
49,Short-Term Debt,- -,- -,- -,- -,283148,756353,998061,2081122,610716,5435,- -,- -,11887,57297,- -,- -,- -,- -,65000,1151250,640560,284689,303314
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,250012,416513,877782,944372,564176,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,209288,187385,436180,739958,594875,- -,- -,397,15611,11012,5760,5760,5760,5760,70758,178906,146772,149359,321762
53,Total Current Liabilities,- -,- -,- -,- -,1014577,1728481,2735419,4454075,2320869,14659,- -,4035,65201,94291,7855,6226,17548,33031,175960,1525441,967003,605595,780470
54,Long-Term Debt,- -,- -,- -,- -,597505,2337345,2210592,2192472,909442,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16241
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,207635,207635,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,597505,2337345,2210592,2400107,1117077,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16241
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42447
61,Total Liabilities,- -,- -,- -,- -,1612082,4065826,4946011,6854182,3437946,14659,- -,4035,65201,94291,7855,6226,17548,33031,175960,1525441,967003,21473,796711
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,53280,67998,71258,73263,75153,89413,89349,89845,89845,77450,92833,92833,393833,393833,398833,812834,855044,862255,973755
64,Retained Earnings,- -,- -,- -,- -,-6823443,-7973886,-9994280,-11940015,-11799579,-11225448,-11476432,-11589162,-11160829,-11160829,-11160829,-11160829,-61338,-139840,-244080,-950022,-3449946,- -,-3804474
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-259038,-319112,-264709,-251849,-358001,- -,- -,- -,-627595,-1919026,-3557635,-3752787,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,6597389,8346233,9534206,9842947,10247189,11550463,11611381,11619885,11649885,13944172,14908054,14968014,-285405,-285405,-265405,949552,1709731,-1446377,2558162
67,Total Stockholders Equity,- -,- -,- -,- -,-431812,121233,-653525,-2275654,-1835238,414428,224298,120568,-48694,941767,282423,147231,47090,-31412,-110652,812364,-885171,-584122,-272557
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,1180270,4187059,4292486,4578528,1602708,429087,- -,124603,16507,1036058,290278,153457,64638,1619,65308,2337805,81832,-562649,524154
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,224298,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,584122,-5904
70,Total Liabilities & Equity,- -,- -,- -,- -,1180270,4187059,4292486,4578528,1602708,429087,224298,124603,16507,1036058,290278,153457,64638,1619,65308,2337805,81832,21473,518250
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/836937/000121465920002683/0001214659-20-002683-index.htm,https://www.sec.gov/Archives/edgar/data/836937/000121465920007123/0001214659-20-007123-index.htm,https://www.sec.gov/Archives/edgar/data/836937/000121465921010446/0001214659-21-010446-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-269302,-1098219,-1565510,-655852,-152728,-1150443,-2020394,-1945735,140436,574131,-250984,-112730,-199262,-1291431,-1638609,-195152,-48500,-78502,-104240,-705942,-2499924,130937,-490399
74,Depreciation and Amortization,28678,44106,91653,80242,59694,60074,91714,424645,462727,273162,- -,- -,- -,- -,86202,- -,- -,- -,- -,- -,- -,- -,6702
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60854,- -,- -,223092,152308,59960,- -,- -,- -,28958,8542,- -,27150
77,Change in Working Capital,100075,- -,- -,- -,50060,1970568,-1168712,-1432724,-466180,1254166,17120,-103730,-169262,643349,-312232,-135192,-100141,-78502,-79240,-1321725,472589,375666,131770
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2783,2783,- -,- -
79,Inventory,-11352,-62807,-5990,72853,-58118,-137969,-106935,-175440,238835,-3613,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19693,76475,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9224,3638,34065,38279,-21860,-1629,-3350,15483,12931,156080,-14841,-6974,112469
81,Other Working Capital,- -,- -,- -,- -,50060,2020628,851916,-580808,-1046988,207178,224298,120568,-48694,594655,282423,147231,47090,-31412,-110652,-1432377,-959788,-584122,- -
82,Other Non-Cash Items,52925,-62560,395662,38196,-137167,-2723847,2144562,653115,-76684,-2965830,35110,108296,218473,113770,1500776,135567,101452,93985,157169,1563934,1870392,-376603,-8066
83,Cash Provided by Operating Activities,-87624,-1116673,-1078195,-537414,-180141,-1843648,-952830,-2300699,60299,-864371,-137900,-108164,-150051,-311220,-211555,-134817,-47189,-63019,-26311,-434775,-148401,130000,-332843
84,CAPEX,-26472,-99875,-46993,-33788,-32343,-147751,-262673,-256475,-27693,-3472,- -,- -,- -,-47500,-225000,- -,- -,- -,- -,- -,- -,- -,-46745
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17023,- -,- -,10284
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,207678,- -,- -,- -,- -,- -,- -,530428,781862,602528,145000,- -,- -,-47500,-225000,- -,89615,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,181206,-99875,-46993,-33788,-32343,-147751,-262673,273953,754169,599056,145000,- -,- -,-47500,-225000,- -,89615,- -,- -,17023,- -,- -,-36461
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5435,- -,-599,-32437,- -,- -,- -,- -,- -,-26250,-33750,- -,- -
91,Common Stock Issued,190918,1475873,132943,495000,250000,1492288,436,1675,9000,225000,- -,- -,- -,- -,117000,- -,16200,- -,25000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-4910,-14925,532899,93865,13030,2312245,517855,1278558,-1159971,-26108,- -,9000,42486,1025000,-15000,- -,100,- -,65000,392500,175560,168568,365000
95,Cash Used/Provided by Financing Activities,186008,1460948,665842,588865,263030,3804533,518291,1280233,-1150971,198892,-5435,9000,41887,992563,77000,- -,16300,- -,90000,366250,141810,168568,365000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,279590,244400,-459346,17663,50546,1813134,-697212,-746513,-336503,-66423,1665,-99164,-108164,633843,-359555,-134817,58726,-63019,63689,-51502,-6591,13503,-4304
98,Cash at the End of Period,376365,620765,177586,195249,245795,2058929,1361717,615204,278701,212278,213943,114779,6615,640458,280903,146086,64638,1619,65308,13806,7215,20718,16414
99,Cash at the Beginning of Period,96775,376365,636932,177586,195249,245795,2058929,1361717,615204,278701,212278,213943,114779,6615,640458,280903,5912,64638,1619,65308,13806,7215,20718
100,Free Cash Flow,-114096,-1216548,-1125188,-571202,-212484,-1991399,-1215503,-2557174,32606,-867843,-137900,-108164,-150051,-358720,-436555,-134817,-47189,-63019,-26311,-434775,-148401,130000,-379588
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/836937/000121465920002683/0001214659-20-002683-index.htm,https://www.sec.gov/Archives/edgar/data/836937/000121465920007123/0001214659-20-007123-index.htm,https://www.sec.gov/Archives/edgar/data/836937/000121465921010446/0001214659-21-010446-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
