,https://roic.ai/company/USFD,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1665918/000156459017002622/0001564590-17-002622-index.html,https://www.sec.gov/Archives/edgar/data/1665918/000156459018003495/0001564590-18-003495-index.html,https://www.sec.gov/Archives/edgar/data/1665918/000166591819000012/0001665918-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/1665918/000166591820000012/0001665918-20-000012-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1665918/000166591821000008/0001665918-21-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-51173000,-57206000,-72914000,167518000,209794000,444000000,407000000,385000000,- -,-226000000
74,Depreciation and Amortization,355892000,388188000,411549000,399247000,421371000,377877000,340000000,362000000,- -,422000000
75,Deferred Income Tax,42142000,29603000,35803000,17606000,-80434000,-122928000,45000000,7000000,- -,-51000000
76,Stock Based Compensation,4312000,8406000,11736000,15832000,18355000,20532000,28000000,32000000,- -,40000000
77,Change in Working Capital,-101467000,949060000,55266000,253284000,-437724000,-3387000,86501000,-3000000,- -,583000000
78,Accounts Receivable,-56639000,-26581000,-47347000,9600000,21555000,-67001000,-71000000,- -,- -,- -
79,Inventory,-214998000,-65427000,105256000,-55047000,-100579000,40403000,-72000000,16000000,- -,201000000
80,Accounts Payable,198227000,-32411000,-35649000,-71448000,131044000,16570000,79000000,-56000000,- -,-339000000
81,Other Working Capital,- -,949060000,1004326000,1257610000,819886000,816499000,903000000,900000000,- -,1483000000
82,Other Non-Cash Items,66213000,-995799000,-39250000,-297719000,424280000,32353000,-297501000,-23000000,- -,-355000000
83,Cash Provided by Operating Activities,315919000,322252000,402190000,555768000,555642000,748447000,609000000,760000000,- -,413000000
84,CAPEX,-293456000,-191131000,-147094000,-187409000,-164395000,-221281000,-235000000,-258000000,- -,-189000000
85,Acquisitions Net,-106041000,-11369000,- -,-69481000,-129952000,-182210000,- -,-1832000000,- -,-972000000
86,Purchases of Investments,- -,- -,- -,-22139000,-484624000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,22139000,- -,- -,- -,- -
88,Other Investing Activites,19685000,14608000,29054000,7819000,16827000,25521000,3000000,103000000,- -,51000000
89,Cash Used for Investing Activites,-379812000,-187892000,-118040000,-271210000,-762144000,-355831000,-232000000,-1987000000,- -,-1110000000
90,Debt Repayment,-3158905000,-2653455000,-1016033000,-109489000,-5517687000,-2672296000,-4595000000,-4967000000,- -,-2692000000
91,Common Stock Issued,761000,1850000,197000,500000,1116649000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-3734000,-8418000,-628000,-19992000,-10591000,-280594000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-666332000,- -,- -,- -,- -,- -
94,Other Financing Activites,3265537000,2462950000,896229000,18566000,4897751000,2548033000,4204000000,6187000000,- -,4119000000
95,Cash Used/Provided by Financing Activities,103659000,-197073000,-120235000,-110415000,-180210000,-404857000,-391000000,1220000000,- -,1427000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,39766000,-62713000,163915000,174143000,-386712000,-12241000,-14000000,-7000000,- -,730000000
98,Cash at the End of Period,242457000,179744000,343659000,517802000,131090000,118849000,105000000,98000000,- -,828000000
99,Cash at the Beginning of Period,202691000,242457000,179744000,343659000,517802000,131090000,119000000,105000000,- -,98000000
100,Free Cash Flow,22463000,131121000,255096000,368359000,391247000,527166000,374000000,502000000,- -,224000000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1665918/000156459017002622/0001564590-17-002622-index.html,https://www.sec.gov/Archives/edgar/data/1665918/000156459018003495/0001564590-18-003495-index.html,https://www.sec.gov/Archives/edgar/data/1665918/000166591819000012/0001665918-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/1665918/000166591820000012/0001665918-20-000012-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1665918/000166591821000008/0001665918-21-000008-index.htm
102,false,,,,,,,,,,
