,https://roic.ai/company/SAGE,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
65,Other Comprehensive Income/Loss,-48000,-95000,-146000,-261000,-542000,-1073000,-1000000,1000000,415000,-2660000
66,Other Total Stockholders Equity,48000,234000,188873000,335293000,689382000,1066990000,1827295000,2587217000,3109407000,3227071000
67,Total Stockholders Equity,-13394000,-31536000,121885000,173695000,368517000,475475000,862971000,944655000,2072334000,1729031000
68,Total Liabilities And Stockholders Equity,2995000,8532000,129665000,189016000,404531000,529937000,952705000,1084150000,2159246000,1825288000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2995000,8532000,129665000,189016000,404531000,529937000,952705000,1084150000,2159246000,1825288000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1597553/000119312515081090/0001193125-15-081090-index.htm,https://www.sec.gov/Archives/edgar/data/1597553/000119312516485683/0001193125-16-485683-index.htm,https://www.sec.gov/Archives/edgar/data/1597553/000156459017002434/0001564590-17-002434-index.htm,https://www.sec.gov/Archives/edgar/data/1597553/000156459018002772/0001564590-18-002772-index.htm,https://www.sec.gov/Archives/edgar/data/1597553/000156459019003191/0001564590-19-003191-index.htm,https://www.sec.gov/Archives/edgar/data/1597553/000156459020007021/0001564590-20-007021-index.htm,https://www.sec.gov/Archives/edgar/data/1597553/000156459021007819/0001564590-21-007819-index.htm,https://www.sec.gov/Archives/edgar/data/1597553/000156459022006495/0001564590-22-006495-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-9632000,-18281000,-33811000,-94495000,-158987000,-270120000,-372882000,-680238000,606073000,-457892000
74,Depreciation and Amortization,44000,47000,51000,115000,281000,531000,1143000,2283000,2630000,4182000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,61000,2512000,15240000,23020000,35534000,101963000,153231000,95994000,104629000
77,Change in Working Capital,662000,4685000,114973000,52119000,194226000,105714000,385541000,64300000,1132201000,-18506000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,609000,674000,441000,2690000,7796000,-3693000,24544000,-18783000,-11511000,6689000
81,Other Working Capital,1407000,6092000,121065000,173184000,367410000,473124000,858665000,922965000,2055166000,- -
82,Other Non-Cash Items,- -,-4028000,-110767000,-43660000,-177218000,-90936000,-376436000,-68282000,-1172618000,-10595000
83,Cash Provided by Operating Activities,-8926000,-17516000,-27042000,-70681000,-118678000,-219277000,-260671000,-528706000,664280000,-378182000
84,CAPEX,-111000,-3000,-128000,-198000,-1421000,-1360000,-2860000,-5751000,-345000,-372000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-259093000,-244403000,-1484358000,-1308675000,-458720000,-1990151000
87,Sales/Maturities of Investments,- -,- -,- -,- -,30499000,261225000,974757000,1171270000,901749000,988075000
88,Other Investing Activites,- -,- -,- -,- -,-525000,-285000,- -,- -,- -,- -
89,Cash Used for Investing Activites,-111000,-3000,-128000,-198000,-230540000,15177000,-512461000,-143156000,442684000,-1002448000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,3000,51000,96295000,129720000,330175000,326025000,631494000,561277000,417500000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,8994000,22732000,50575000,146000,807000,15793000,27864000,46347000,9262000,13334000
95,Cash Used/Provided by Financing Activities,8997000,22783000,146870000,129866000,330982000,341818000,659358000,607624000,426762000,13334000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-40000,5264000,119700000,58987000,-18236000,137718000,-113774000,-64238000,1533726000,-1367296000
98,Cash at the End of Period,2802000,8066000,127766000,186753000,168517000,306235000,193310000,129072000,1662798000,295502000
99,Cash at the Beginning of Period,2842000,2802000,8066000,127766000,186753000,168517000,307084000,193310000,129072000,1662798000
100,Free Cash Flow,-9037000,-17519000,-27170000,-70879000,-120099000,-220637000,-263531000,-534457000,663935000,-378554000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1597553/000119312515081090/0001193125-15-081090-index.htm,https://www.sec.gov/Archives/edgar/data/1597553/000119312516485683/0001193125-16-485683-index.htm,https://www.sec.gov/Archives/edgar/data/1597553/000156459017002434/0001564590-17-002434-index.htm,https://www.sec.gov/Archives/edgar/data/1597553/000156459018002772/0001564590-18-002772-index.htm,https://www.sec.gov/Archives/edgar/data/1597553/000156459019003191/0001564590-19-003191-index.htm,https://www.sec.gov/Archives/edgar/data/1597553/000156459020007021/0001564590-20-007021-index.htm,https://www.sec.gov/Archives/edgar/data/1597553/000156459021007819/0001564590-21-007819-index.htm,https://www.sec.gov/Archives/edgar/data/1597553/000156459022006495/0001564590-22-006495-index.htm
102,false,,,,,,,,,,
