,https://roic.ai/company/IDW,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.0167,0.0613,0.0838,0.1115,- -,0.0951,0.0941,-0.0179,-0.4454,-0.4238,-0.2539,-0.1923
22,Income Tax expense (Gain),91000,-2445000,-11964000,1463000,- -,1636000,2473000,-282000,9884000,-38000,- -,- -
23,Net Income,1248000,4121000,14440000,2243000,- -,2338000,3669000,-797000,-36022000,-26429000,-13798000,-5392000
24,Net Income ratio,0.0416,0.1275,0.4052,0.0539,- -,0.0473,0.0562,-0.0132,-0.6139,-0.4222,-0.3616,-0.1663
25,EPS,0.40,0.88,3.49,0.54,- -,0.50,0.74,-0.14,-5.88,-3.90,-1.54,-0.51
26,EPS Diluted,0.32,0.88,3.49,0.54,- -,0.50,0.74,-0.14,-5.88,-3.90,-1.54,-0.51
27,Weighted Average Shares Outstanding,3094000,4705500,4140000,4130000,- -,4640000,4976000,5842000,6130000,6768000,8982000,10655000
28,Weighted Average Shares Outstanding Diluted,3919500,4705500,4140000,4130000,- -,4640000,4976000,5842000,6130000,6768000,8982000,10655000
29,SEC Link,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1463833/000121390022002839/0001213900-22-002839-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,6516000,7001000,8254000,9341000,- -,6596000,6203000,9154000,13445000,10165000,10541000,17532000
32,Short-Term Investments,1030000,1033000,- -,1003000,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,7546000,8034000,8254000,10344000,- -,6596000,6203000,9154000,13445000,10165000,10541000,17532000
34,Net Receivables,3817000,4358000,3281000,4763000,- -,6287000,11902000,14630000,15998000,45253000,22921000,5431000
35,Inventory,1462000,1743000,1597000,2108000,- -,5688000,13652000,29354000,41525000,12701000,3754000,3090000
36,Other Current Assets,965000,938000,1037000,1044000,- -,2015000,1738000,2292000,1757000,2092000,12532000,2270000
37,Total Current Assets,13790000,15073000,14169000,18259000,- -,20586000,33495000,55430000,72725000,70211000,49748000,28323000
38,PP&E,2013000,2021000,2471000,2187000,- -,3039000,3394000,3479000,3167000,3078000,1181000,649000
39,Goodwill,- -,- -,- -,- -,- -,1700000,2227000,2272000,2297000,2309000,199000,199000
40,Intangible Assets,17000,36000,19000,6000,- -,1769000,1539000,1164000,766000,455000,52000,679000
41,Intangible Assets,17000,36000,19000,6000,- -,3469000,3766000,3436000,3063000,2764000,251000,878000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000,- -
43,Tax Assets,- -,2262000,13811000,13735000,- -,12264000,10413000,10391000,- -,- -,- -,- -
44,Other Non-Current Assets,2581000,1608000,1811000,1468000,- -,808000,2870000,3494000,1384000,1084000,3453000,1548000
45,Total Non-Current Assets,4611000,5927000,18112000,17396000,- -,19580000,20443000,20800000,7614000,6926000,4910000,3075000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,18401000,21000000,32281000,35655000,- -,40166000,53938000,76230000,80339000,77137000,54658000,31398000
48,Accounts Payable,1187000,1117000,1013000,1340000,- -,1302000,2412000,2809000,2150000,2625000,1406000,1141000
49,Short-Term Debt,227000,230000,209000,206000,- -,688000,791000,5806000,34140000,34188000,15559000,348000
50,Tax Payable,770000,451000,698000,2884000,- -,1363000,1819000,1014000,1033000,1639000,110000,- -
51,Deferred Revenue,2035000,1948000,1228000,1322000,- -,2131000,1809000,4677000,1540000,2255000,2385000,2045000
52,Other Current Liabilities,2993000,2899000,2197000,5768000,- -,5002000,10188000,10291000,10290000,6314000,12562000,5207000
53,Total Current Liabilities,6442000,6194000,4647000,8636000,- -,9123000,15200000,23583000,48120000,45382000,31912000,8741000
54,Long-Term Debt,- -,355000,473000,451000,- -,1726000,1556000,1572000,15727000,15683000,4521000,20000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,286000,- -,11000,8000,- -,- -,470000,1602000,- -,- -,- -,- -
58,Total Non-Current Liabilities,286000,355000,484000,459000,- -,1726000,2026000,3174000,15727000,15683000,4521000,20000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,227000,585000,682000,657000,- -,784000,1172000,1320000,1129000,1079000,930000,368000
61,Total Liabilities,6728000,6549000,5131000,9095000,- -,10849000,17226000,26757000,63847000,61065000,36433000,8761000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,93000,93000,5000,6000,- -,51000,61000,66000,66000,79000,98000,128000
64,Retained Earnings,-46235000,-42114000,-27141000,-24898000,- -,-18780000,-15111000,-15908000,-51930000,-78457000,-91996000,-80114000
65,Other Comprehensive Income/Loss,117000,208000,206000,157000,- -,-153000,-250000,-183000,-228000,-60000,-60000,- -
66,Other Total Stockholders Equity,57478000,55756000,53563000,50598000,- -,46223000,52012000,65498000,68584000,94475000,110183000,102623000
67,Total Stockholders Equity,11453000,13943000,26633000,25863000,- -,27341000,36712000,49473000,16492000,16037000,18225000,22637000
68,Total Liabilities And Stockholders Equity,18181000,20492000,31764000,34958000,- -,38190000,53938000,76230000,80339000,77102000,54658000,31398000
69,Minority Interest,220000,508000,517000,697000,- -,1976000,- -,- -,- -,35000,- -,- -
70,Total Liabilities & Equity,18401000,21000000,32281000,35655000,- -,40166000,53938000,76230000,80339000,77137000,54658000,31398000
71,SEC Link,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1463833/000121390022002839/0001213900-22-002839-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,1248000,4121000,14440000,2243000,- -,2338000,3669000,-797000,-36022000,-26429000,-13798000,-5392000
74,Depreciation and Amortization,859000,753000,856000,1011000,- -,1627000,1538000,1585000,1625000,1513000,2574000,908000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,357000,275000,274000,325000,- -,367000,592000,2940000,2960000,3123000,722000,329000
77,Change in Working Capital,21710000,1531000,643000,101000,- -,1840000,6832000,13552000,-7242000,224000,-6993000,19346000
78,Accounts Receivable,221000,-1000,-229000,-1513000,- -,-1213000,-8473000,-3660000,1233000,-28960000,20807000,17460000
79,Inventory,-62000,-2567000,325000,-603000,- -,-3758000,-7580000,-16280000,-12197000,28824000,-442000,664000
80,Accounts Payable,391000,253000,-235000,3837000,- -,328000,4693000,1699000,-2307000,-3501000,-2108000,921000
81,Other Working Capital,7348000,8879000,9522000,9623000,- -,11463000,18295000,31847000,24605000,24829000,17836000,1002000
82,Other Non-Cash Items,-21962000,-3863000,-12507000,3075000,- -,-3799000,-14369000,-28881000,1420000,-3421000,33484000,-4554000
83,Cash Provided by Operating Activities,2212000,2817000,3706000,6755000,- -,2373000,-1738000,-11601000,-37259000,-24990000,15989000,10637000
84,CAPEX,-416000,-363000,-1261000,-726000,- -,-2073000,-1509000,-1274000,-911000,-1113000,-420000,-832000
85,Acquisitions Net,1221000,- -,- -,- -,- -,-1763000,-682000,-66000,-28000,-12000,-115000,- -
86,Purchases of Investments,- -,- -,- -,-1003000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,1034000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-833000,-42000,-861000,-416000,- -,-1633000,-1137000,-964000,-911000,-1113000,-235000,-1734000
89,Cash Used for Investing Activites,388000,-42000,173000,-1419000,- -,-3396000,-1819000,-1030000,-939000,-1125000,-350000,-1734000
90,Debt Repayment,- -,-276000,-242000,-236000,- -,-627000,-771000,-4704000,-11066000,-28788000,-32263000,-14204000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,4075000,10551000,- -,22663000,14596000,9436000
92,Common Stock Repurchased,-1070000,- -,-126000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-2581000,-1997000,-1998000,-3469000,- -,-3031000,-844000,- -,- -,- -,- -,- -
94,Other Financing Activites,1087000,-17000,-76000,-544000,- -,-150000,704000,9735000,53555000,28792000,4025000,1196000
95,Cash Used/Provided by Financing Activities,-2564000,-2290000,-2442000,-4249000,- -,-3808000,3164000,15582000,42489000,22667000,-13642000,-3572000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,168000,- -,39000
97,Net Change In Cash,36000,485000,1437000,1087000,- -,-4831000,-393000,2951000,4291000,-3280000,1997000,5370000
98,Cash at the End of Period,6516000,7001000,8254000,9341000,- -,6596000,6203000,9154000,13445000,10165000,12162000,17532000
99,Cash at the Beginning of Period,6480000,6516000,6817000,8254000,- -,11427000,6596000,6203000,9154000,13445000,10165000,12162000
100,Free Cash Flow,1796000,2454000,2445000,6029000,- -,300000,-3247000,-12875000,-38170000,-26103000,15569000,9805000
101,SEC Link,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1463833/000121390022002839/0001213900-22-002839-index.htm
102,false,,,,,,,,,,,,
