,https://roic.ai/company/TEN,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
36,Other Current Assets,284000000,315000000,269000000,134000000,165000000,167000000,151000000,175000000,194000000,153000000,177000000,157000000,125000000,202000000,184000000,193000000,248000000,299000000,368000000,230000000,231000000,294000000,595000000,634000000,729000000,800000000
37,Total Current Assets,1923000000,2115000000,2157000000,1201000000,1109000000,941000000,966000000,1105000000,1278000000,1197000000,1422000000,1641000000,1338000000,1393000000,1790000000,1979000000,2124000000,2290000000,2426000000,2311000000,2602000000,2799000000,6109000000,5735000000,5693000000,5813000000
38,PP&E,3252000000,3455000000,3628000000,1037000000,1005000000,967000000,1026000000,1111000000,1134000000,1043000000,1093000000,1185000000,1145000000,1110000000,1050000000,1047000000,1122000000,1175000000,1218000000,1243000000,1357000000,1615000000,3501000000,3627000000,3057000000,2872000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,203000000,208000000,95000000,89000000,89000000,74000000,72000000,69000000,65000000,60000000,57000000,49000000,869000000,775000000,508000000,507000000
40,Intangible Assets,- -,- -,- -,495000000,463000000,441000000,205000000,218000000,220000000,230000000,9000000,26000000,26000000,30000000,32000000,32000000,35000000,30000000,26000000,22000000,19000000,22000000,1519000000,1422000000,1194000000,1056000000
41,Intangible Assets,1341000000,1577000000,1613000000,495000000,463000000,441000000,205000000,218000000,220000000,230000000,212000000,234000000,121000000,119000000,121000000,106000000,107000000,99000000,91000000,82000000,76000000,71000000,2388000000,2197000000,1702000000,1563000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,316000000,311000000,364000000,365000000,359000000,413000000,383000000,- -,544000000,518000000,581000000,539000000
43,Tax Assets,60000000,55000000,37000000,- -,- -,128000000,141000000,189000000,309000000,307000000,376000000,370000000,88000000,100000000,92000000,92000000,116000000,125000000,143000000,218000000,195000000,204000000,467000000,607000000,285000000,266000000
44,Other Non-Current Assets,1011000000,1130000000,1356000000,210000000,309000000,204000000,166000000,172000000,169000000,163000000,160000000,160000000,136000000,119000000,-202000000,-198000000,-225000000,-224000000,-227000000,-300000000,-271000000,153000000,223000000,542000000,534000000,569000000
45,Total Non-Current Assets,5664000000,6217000000,6634000000,1742000000,1777000000,1740000000,1538000000,1690000000,1832000000,1743000000,1841000000,1949000000,1490000000,1448000000,1377000000,1358000000,1484000000,1540000000,1584000000,1656000000,1740000000,2043000000,7123000000,7491000000,6159000000,5809000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,7587000000,8332000000,8791000000,2943000000,2886000000,2681000000,2504000000,2795000000,3110000000,2940000000,3263000000,3590000000,2828000000,2841000000,3167000000,3337000000,3608000000,3830000000,4010000000,3967000000,4342000000,4842000000,13232000000,13226000000,11852000000,11622000000
48,Accounts Payable,651000000,687000000,701000000,348000000,464000000,401000000,505000000,621000000,696000000,651000000,782000000,987000000,790000000,766000000,1048000000,1171000000,1186000000,1359000000,1372000000,1376000000,1496000000,1705000000,2759000000,2647000000,2917000000,2955000000
49,Short-Term Debt,236000000,278000000,1071000000,56000000,92000000,191000000,228000000,20000000,19000000,22000000,28000000,46000000,49000000,75000000,63000000,66000000,113000000,83000000,60000000,86000000,90000000,83000000,153000000,281000000,257000000,149000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51000000,44000000,50000000,40000000,40000000,37000000,41000000,45000000,131000000,145000000,182000000,140000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,734000000,696000000,615000000,259000000,253000000,284000000,283000000,252000000,332000000,306000000,323000000,325000000,318000000,360000000,357000000,333000000,350000000,396000000,367000000,332000000,384000000,478000000,1408000000,1371000000,1512000000,1587000000
53,Total Current Liabilities,1621000000,1661000000,2387000000,663000000,809000000,876000000,1016000000,893000000,1047000000,979000000,1133000000,1358000000,1157000000,1201000000,1468000000,1570000000,1649000000,1838000000,1799000000,1794000000,1970000000,2266000000,4320000000,4299000000,4686000000,4691000000
54,Long-Term Debt,2067000000,2633000000,2360000000,1578000000,1435000000,1324000000,1217000000,1410000000,1401000000,1356000000,1350000000,1328000000,1402000000,1145000000,1160000000,1158000000,1067000000,1019000000,1069000000,1124000000,1294000000,1358000000,5340000000,5371000000,5171000000,5018000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125000000,118000000,152000000,204000000,212000000,206000000,116000000,155000000,263000000,490000000,- -,- -
56,Deferred Tax Liabilities,476000000,614000000,649000000,108000000,144000000,166000000,103000000,119000000,126000000,86000000,107000000,114000000,51000000,66000000,56000000,51000000,27000000,28000000,18000000,7000000,7000000,11000000,88000000,106000000,89000000,105000000
57,Other Non-Current Liabilities,473000000,472000000,470000000,156000000,154000000,226000000,243000000,292000000,362000000,366000000,424000000,359000000,438000000,418000000,311000000,385000000,422000000,269000000,374000000,361000000,316000000,310000000,1305000000,1341000000,1725000000,1412000000
58,Total Non-Current Liabilities,3016000000,3719000000,3479000000,1842000000,1733000000,1716000000,1563000000,1821000000,1889000000,1808000000,1881000000,1801000000,1891000000,1629000000,1652000000,1712000000,1668000000,1520000000,1673000000,1698000000,1733000000,1834000000,6996000000,7308000000,6985000000,6535000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96000000,95000000,92000000
61,Total Liabilities,4637000000,5380000000,5866000000,2505000000,2542000000,2592000000,2579000000,2714000000,2936000000,2787000000,3014000000,3159000000,3048000000,2830000000,3120000000,3282000000,3317000000,3358000000,3472000000,3492000000,3703000000,4100000000,11316000000,11607000000,11671000000,11226000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,2000000,2000000,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
64,Retained Earnings,-21000000,89000000,142000000,-1880000000,-1929000000,-2059000000,-2246000000,-2212000000,-2189000000,-2125000000,-2076000000,-2087000000,-2502000000,-2575000000,-2536000000,-2379000000,-2104000000,-1921000000,-1695000000,-1448000000,-1085000000,-946000000,-1013000000,-1367000000,-2888000000,-2853000000
65,Other Comprehensive Income/Loss,-1618000000,-1829000000,-2109000000,-886000000,-847000000,-868000000,-357000000,-241000000,-185000000,-282000000,-253000000,-73000000,-318000000,-212000000,-237000000,-382000000,-408000000,-360000000,-545000000,-665000000,-665000000,-541000000,-692000000,-711000000,-744000000,-595000000
66,Other Total Stockholders Equity,4283000000,4266000000,4469000000,3188000000,3106000000,3001000000,2509000000,2511000000,2524000000,2536000000,2550000000,2560000000,2569000000,2765000000,2768000000,3272000000,2757000000,2713000000,2736000000,2545000000,2337000000,2182000000,3430000000,3502000000,3512000000,3532000000
67,Total Stockholders Equity,2646000000,2528000000,2504000000,422000000,330000000,74000000,-94000000,58000000,150000000,129000000,221000000,400000000,-251000000,-21000000,-4000000,512000000,246000000,433000000,497000000,433000000,588000000,696000000,1726000000,1425000000,-119000000,85000000
68,Total Liabilities And Stockholders Equity,7283000000,7908000000,8370000000,2927000000,2872000000,2666000000,2485000000,2772000000,3086000000,2916000000,3235000000,3559000000,2797000000,2809000000,3116000000,3794000000,3563000000,3791000000,3969000000,3925000000,4291000000,4796000000,13042000000,13032000000,11552000000,11311000000
69,Minority Interest,304000000,424000000,421000000,16000000,14000000,15000000,19000000,23000000,24000000,24000000,28000000,31000000,31000000,32000000,51000000,-457000000,45000000,39000000,41000000,42000000,51000000,46000000,190000000,194000000,300000000,311000000
70,Total Liabilities & Equity,7587000000,8332000000,8791000000,2943000000,2886000000,2681000000,2504000000,2795000000,3110000000,2940000000,3263000000,3590000000,2828000000,2841000000,3167000000,3337000000,3608000000,3830000000,4010000000,3967000000,4342000000,4842000000,13232000000,13226000000,11852000000,11622000000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1024725/000095013703001525/0000950137-03-001525-index.html,https://www.sec.gov/Archives/edgar/data/1024725/000095013704001747/0000950137-04-001747-index.html,https://www.sec.gov/Archives/edgar/data/1024725/000095013705003080/0000950137-05-003080-index.html,- -,https://www.sec.gov/Archives/edgar/data/1024725/000095013707003139/0000950137-07-003139-index.htm,https://www.sec.gov/Archives/edgar/data/1024725/000095013708003112/0000950137-08-003112-index.htm,https://www.sec.gov/Archives/edgar/data/1024725/000095013709001362/0000950137-09-001362-index.htm,https://www.sec.gov/Archives/edgar/data/1024725/000095012310018414/0000950123-10-018414-index.htm,https://www.sec.gov/Archives/edgar/data/1024725/000095012311019050/0000950123-11-019050-index.htm,https://www.sec.gov/Archives/edgar/data/1024725/000119312512078624/0001193125-12-078624-index.htm,https://www.sec.gov/Archives/edgar/data/1024725/000119312513084604/0001193125-13-084604-index.htm,https://www.sec.gov/Archives/edgar/data/1024725/000102472514000006/0001024725-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1024725/000102472515000005/0001024725-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1024725/000102472516000026/0001024725-16-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1024725/000102472517000005/0001024725-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1024725/000102472518000006/0001024725-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1024725/000102472519000004/0001024725-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1024725/000102472520000004/0001024725-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1024725/000102472521000004/0001024725-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1024725/000102472522000005/0001024725-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,410000000,315000000,255000000,-423000000,-42000000,-130000000,-187000000,27000000,13000000,58000000,51000000,-5000000,-415000000,-73000000,39000000,157000000,275000000,183000000,226000000,247000000,363000000,207000000,55000000,-334000000,-1521000000,35000000
74,Depreciation and Amortization,- -,- -,- -,144000000,151000000,153000000,144000000,163000000,177000000,177000000,184000000,205000000,222000000,221000000,216000000,207000000,205000000,205000000,208000000,203000000,212000000,224000000,345000000,673000000,639000000,593000000
75,Deferred Income Tax,23000000,235000000,73000000,97000000,-43000000,30000000,-39000000,-29000000,-59000000,- -,-43000000,25000000,204000000,-24000000,4000000,-5000000,-65000000,5000000,-1000000,- -,-79000000,-10000000,-65000000,-151000000,301000000,12000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7000000,9000000,8000000,11000000,13000000,13000000,15000000,14000000,14000000,14000000,25000000,18000000,24000000
77,Change in Working Capital,35000000,152000000,-684000000,768000000,-238000000,-235000000,-115000000,262000000,19000000,-13000000,71000000,-6000000,-102000000,11000000,130000000,87000000,66000000,-23000000,175000000,-110000000,115000000,-99000000,1256000000,-353000000,-429000000,-462000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9000000,-88000000,-83000000,-90000000,-215000000,31000000,-190000000,-225000000,- -,- -
79,Inventory,18000000,-31000000,-20000000,-23000000,-29000000,75000000,- -,55000000,-19000000,7000000,-56000000,-66000000,19000000,101000000,-122000000,-64000000,-72000000,3000000,-74000000,-36000000,-57000000,-96000000,27000000,284000000,279000000,-162000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000000,161000000,94000000,90000000,109000000,129000000,291000000,-66000000,308000000,232000000
81,Other Working Capital,302000000,454000000,-230000000,538000000,300000000,65000000,-50000000,212000000,231000000,218000000,289000000,283000000,181000000,192000000,322000000,409000000,475000000,452000000,627000000,517000000,632000000,533000000,1789000000,1436000000,1007000000,-151000000
82,Other Non-Cash Items,-215000000,-183000000,888000000,-840000000,406000000,323000000,385000000,-142000000,50000000,-88000000,-64000000,-54000000,251000000,99000000,-154000000,-209000000,-127000000,120000000,-280000000,162000000,-136000000,293000000,-1166000000,584000000,1621000000,31000000
83,Cash Provided by Operating Activities,253000000,519000000,532000000,-254000000,234000000,141000000,188000000,281000000,200000000,134000000,199000000,165000000,160000000,241000000,244000000,245000000,365000000,503000000,341000000,517000000,489000000,629000000,439000000,444000000,629000000,233000000
84,CAPEX,-930000000,-558000000,-592000000,-1454000000,-146000000,-127000000,-138000000,-130000000,-130000000,-158000000,-190000000,-212000000,-248000000,-126000000,-163000000,-228000000,-276000000,-269000000,-344000000,-309000000,-345000000,-419000000,-507000000,-744000000,-394000000,-387000000
85,Acquisitions Net,411000000,-285000000,-72000000,- -,-5000000,- -,- -,- -,- -,-14000000,- -,- -,-16000000,1000000,- -,- -,- -,- -,- -,- -,- -,9000000,-2194000000,-134000000,9000000,9000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,1000000,- -,- -,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-174000000,-54000000,-95000000,266000000,-6000000,1000000,31000000,3000000,15000000,4000000,17000000,10000000,3000000,-1000000,-6000000,-11000000,-10000000,-22000000,-8000000,-17000000,-15000000,-28000000,187000000,272000000,328000000,554000000
89,Cash Used for Investing Activites,-693000000,-897000000,-759000000,-1188000000,-157000000,-126000000,-107000000,-127000000,-116000000,-167000000,-172000000,-202000000,-261000000,-119000000,-157000000,-224000000,-273000000,-266000000,-339000000,-303000000,-340000000,-413000000,-2514000000,-606000000,-57000000,176000000
90,Debt Repayment,-2288000000,-23000000,-21000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-271000000,-874000000,-24000000,-411000000,-62000000,-80000000,-59000000,- -,-26000000,-5858000000,-9238000000,-7104000000,-7598000000
91,Common Stock Issued,164000000,147000000,50000000,41000000,18000000,10000000,- -,- -,10000000,7000000,17000000,8000000,2000000,188000000,- -,- -,5000000,20000000,19000000,6000000,18000000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-192000000,-132000000,-154000000,-4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16000000,- -,- -,- -,- -,- -,- -,-1000000,-2000000,-1000000,- -
93,Dividends Paid,-313000000,-204000000,-203000000,-151000000,-7000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-53000000,-59000000,-20000000,- -,- -
94,Other Financing Activites,2776000000,566000000,544000000,1609000000,-134000000,-7000000,-73000000,-49000000,-22000000,-43000000,-1000000,-25000000,56000000,-4000000,844000000,14000000,317000000,-133000000,81000000,-119000000,-109000000,-172000000,8394000000,9263000000,6747000000,7269000000
95,Cash Used/Provided by Financing Activities,147000000,354000000,216000000,1495000000,-123000000,3000000,-73000000,-49000000,-12000000,-36000000,16000000,-17000000,58000000,-87000000,-30000000,-26000000,-89000000,-175000000,20000000,-172000000,-91000000,-251000000,2476000000,3000000,-358000000,-329000000
96,Effect of Forex Changes on Cash,1000000,3000000,6000000,2000000,-3000000,- -,-7000000,-14000000,-3000000,-4000000,18000000,40000000,-19000000,6000000,9000000,-14000000,6000000,-10000000,-15000000,-37000000,2000000,3000000,-17000000,23000000,23000000,-18000000
97,Net Change In Cash,-292000000,-21000000,-5000000,55000000,-49000000,18000000,1000000,91000000,69000000,-73000000,61000000,-14000000,-62000000,41000000,66000000,-19000000,9000000,52000000,7000000,5000000,60000000,-32000000,384000000,-136000000,237000000,62000000
98,Cash at the End of Period,62000000,41000000,36000000,84000000,35000000,53000000,54000000,145000000,214000000,141000000,202000000,188000000,126000000,167000000,233000000,214000000,223000000,275000000,282000000,287000000,347000000,315000000,702000000,566000000,803000000,865000000
99,Cash at the Beginning of Period,354000000,62000000,41000000,29000000,84000000,35000000,53000000,54000000,145000000,214000000,141000000,202000000,188000000,126000000,167000000,233000000,214000000,223000000,275000000,282000000,287000000,347000000,318000000,702000000,566000000,803000000
100,Free Cash Flow,-677000000,-39000000,-60000000,-1708000000,88000000,14000000,50000000,151000000,70000000,-24000000,9000000,-47000000,-88000000,115000000,81000000,17000000,89000000,234000000,-3000000,208000000,144000000,210000000,-68000000,-300000000,235000000,-154000000
