,https://roic.ai/company/TCOM,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,-0.38,-0.41,-0.12,0.03,0.53,0.86,0.90,1.46,1.61,2.34,3.49,3.54,2.49,3.33,0.79,7.11,-3.02,3.82,1.96,11.50,-5.40,-0.92
27,Weighted Average Shares Outstanding,69103630,72581595,152331168,84847656,245699728,254099352,258743984,263419632,266822760,268738672,283083608,287816504,273894088,263244808,274313360,302381584,473332656,530406464,547227408,567871968,600888208,600888208
28,Weighted Average Shares Outstanding Diluted,69103630,72581595,152331168,114844360,252037616,259529048,266145760,272971120,275396392,282002680,300616448,304247792,288726280,304558728,305662864,379001984,473332656,574207144,567396984,641952112,600888208,600888208
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1269238/000119312505128992/d20f.htm,https://www.sec.gov/Archives/edgar/data/1269238/000119312506135591/d20f.htm,https://www.sec.gov/Archives/edgar/data/1269238/000119312507079411/d20f.htm,https://www.sec.gov/Archives/edgar/data/1269238/000119312508094260/d20f.htm,https://www.sec.gov/Archives/edgar/data/1269238/000136231009008154/c85975e20vf.htm,https://www.sec.gov/Archives/edgar/data/1269238/000095012310008368/0000950123-10-008368-index.html,https://www.sec.gov/Archives/edgar/data/1269238/000095012311031061/c13419e20vf.htm,https://www.sec.gov/Archives/edgar/data/1269238/000119312512141674/0001193125-12-141674-index.html,https://www.sec.gov/Archives/edgar/data/1269238/000110465913025802/0001104659-13-025802-index.html,https://www.sec.gov/Archives/edgar/data/1269238/000110465914023913/a13-27191_120f.htm,https://www.sec.gov/Archives/edgar/data/1269238/000110465915030417/a15-1270_120f.htm,https://www.sec.gov/Archives/edgar/data/1269238/000110465916113453/a16-2532_120f.htm,https://www.sec.gov/Archives/edgar/data/1269238/000110465917023278/a16-23154_120f.htm,https://www.sec.gov/Archives/edgar/data/1269238/000110465918025739/a18-7017_120f.htm,https://www.sec.gov/Archives/edgar/data/1269238/000110465919015257/0001104659-19-015257-index.html,https://www.sec.gov/Archives/edgar/data/1269238/000119312520102627/d860693d20f.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,88908000,- -,38935726,472051537,615875684,735362468,843678498,1065947507,1069827364,1434618382,2153935111,3503428418,3421532962,7138344814,5300887799,19215674674,18434681251,18242991687,21530000000,19923000000,18096000000,21196000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,141376915,176585908,180183917,1178278063,1288471562,1408664335,3635090955,6438854587,8235785516,14112862288,28129938110,36753000000,23058000000,24820000000,29566000000
33,Cash and Short-Term Investments,88908000,- -,38935726,472051537,615875684,735362468,843678498,1207324422,1246413272,1614802299,3332213174,4791899980,4830197297,10773435769,11739742386,27451460190,32547543539,46372929797,58283000000,42981000000,42916000000,50762000000
34,Net Receivables,- -,- -,16582170,29556514,35477750,64068446,154177925,273150331,277314477,422866970,624765477,794030889,1304823458,1624169365,1942082292,4405340553,5701604831,5592426752,8861000000,13417000000,8899000000,4649000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,4000208,7673588,19513189,52231823,54719915,69390217,107579255,268626547,613929799,812611646,1508198758,1968114734,3394858246,8744067688,7662293470,7261463600,12250000000,11557000000,6196000000,10697000000
37,Total Current Assets,- -,- -,59518104,509281639,670866624,851662737,1052576338,1549864971,1631307004,2306295816,4570908450,6398542515,7643219513,14365719868,17076682924,40600868431,45911441840,59226820149,79394000000,67955000000,58011000000,66108000000
38,PP&E,- -,- -,18709405,23283332,31897666,53574147,153560503,267578659,346117083,550506595,653678980,683903870,1123937191,1412943693,5220626461,5555959499,5591960081,5615500429,5872000000,7342000000,6767000000,6311000000
39,Goodwill,- -,- -,- -,- -,- -,9519738,14583508,14616822,63689736,322936838,758231441,798601767,822585341,972531184,1892507708,45690440903,56015185590,56246051292,58026000000,58308000000,59353000000,59353000000
40,Intangible Assets,- -,- -,10503228,11233069,10738209,803378,69448894,68100323,136008994,175773972,403297897,419881091,432142704,464129816,772771239,11110243352,14024314703,13847077285,13817000000,13264000000,13344000000,13046000000
41,Intangible Assets,- -,- -,10503228,11233069,10738209,10323116,84032402,82717145,199698730,498710810,1161529338,1218482858,1254728045,1436661000,2665278947,56800684255,70039500293,70093128577,71843000000,71572000000,72697000000,72399000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,383443499,801246476,1730087245,1305145043,1437247949,2857213480,5318756447,13870523498,20532822365,25573785268,26874000000,51278000000,47943000000,44961000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,405334569,375311594,461969275,850000000,976000000,1395000000,1684000000
44,Other Non-Current Assets,- -,- -,8535644,13504643,27215561,120764672,160455419,227836095,- -,- -,- -,155360492,210618310,745936421,1009572234,1609221708,1962865495,1077273615,997000000,1046000000,436000000,396000000
45,Total Non-Current Assets,- -,- -,37748277,48021043,69851435,184661936,398048324,578131899,929259312,1850463881,3545295563,3362892263,4026531495,6452754594,14214234089,78241723529,98502459828,102821657164,106436000000,132214000000,129238000000,125751000000
46,Other Assets,117890000,108925000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,117890000,108925000,97266380,557302682,740718059,1036324673,1450624662,2127996869,2560566316,4156759697,8116204013,9761434778,11669751008,20818474462,31290917013,118842591960,144413901668,162048477313,185830000000,200169000000,187249000000,191859000000
48,Accounts Payable,- -,- -,1001474,14696630,30150322,72382980,151280147,231236295,138657593,291045743,595283281,763256074,1023672151,1637545824,2304111525,5944501681,7278791082,7459203252,11714000000,12294000000,4506000000,6019000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,187576416,- -,- -,- -,453478628,774599341,3560488641,12710213398,6887309589,16316282473,36011000000,30516000000,34074000000,39866000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,54745686,142256695,161772241,220604123,216456010,315299656,339452319,1641379425,1084241429,927463089,1019000000,1449000000,1217000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,160049,- -,- -,- -,276792049,- -,1090852066,1414865769,2451931450,3937477522,5974062525,8221169594,7899322304,9472000000,11675000000,7605000000,7535000000
52,Other Current Liabilities,9736000,12962000,12093604,49231814,108593442,197881574,269409044,441770359,299803516,590703670,1285615234,713952113,1018127694,1503932083,2912625093,9037316464,7907755921,10485124372,11587000000,14697000000,12184000000,12798000000
53,Total Current Liabilities,9736000,12962000,13095078,63928444,138743764,270424603,420689192,673006654,626037525,1158541462,1880898515,2568060253,3910144242,6368008698,12714702781,33666094068,30295026186,42159932401,68784000000,69182000000,58369000000,66218000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,812500,- -,- -,- -,1121418000,5657182650,8065980000,18354608260,34650673553,29220254767,24146000000,20286000000,23336000000,11493000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,11509937,45382710,48308692,53309153,63197155,132506644,3045259390,3607882808,3847440251,3838000000,3592000000,3574000000,3527000000
57,Other Non-Current Liabilities,94154000,108470000,124977303,- -,- -,- -,2435440,1627331,2628093,- -,- -,- -,- -,- -,- -,91702261,339566619,347820491,329000000,1406000000,403000000,165000000
58,Total Non-Current Liabilities,94154000,108470000,124977303,- -,- -,- -,2435440,1627331,3440593,11509937,45382710,48308692,1174727153,5720379805,8198486644,21491569911,38598122980,33415515509,28313000000,25284000000,27313000000,15185000000
59,Other Liabilities,- -,- -,249954606,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,749000000,1027000000,400000000
61,Total Liabilities,103890000,121432000,138072381,63928444,138743764,270424603,423124632,674633985,629478118,1170051399,1926281225,2616368945,5084871395,12088388503,20913189425,55157663979,68893149166,75575447910,97097000000,94466000000,85682000000,81403000000
62,Preferred Stock,- -,- -,357737,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,788404,2498925,2613544,2653227,2698606,2746148,2761259,2801334,2926132,2939527,2979144,3033490,3085272,4121245,4960354,5173301,5000000,6000000,6000000,- -
64,Retained Earnings,- -,- -,-41803816,-10454153,69010557,203553183,359541922,632498233,1060620258,1707684596,2734858610,3806608747,4515841767,5498934733,5726024997,8198838659,6699580613,8695442393,15943000000,22803000000,19470000000,- -
65,Other Comprehensive Income/Loss,- -,- -,-976383,2112004,18380026,33678395,37656771,24484261,-175929389,-77742443,198972084,-172466277,44443837,491083810,577678123,729018250,1247869552,6762920449,-998000000,-870000000,-971000000,- -
66,Other Total Stockholders Equity,14000000,- -,0,498653711,511367551,525143504,626930517,792473809,1043636070,1292304432,3166935945,3405212867,1926367327,2537343498,3222390903,35618751580,63584424191,69230277409,71765000000,81503000000,81849000000,- -
67,Total Stockholders Equity,14000000,-12507000,-41634057,492810488,601371679,765028309,1026827815,1452202450,1931088198,2925047919,6103692771,7042294864,6489632075,8530395531,9529179295,44550729734,71536834710,84693813552,86715000000,103442000000,100354000000,109677000000
68,Total Liabilities And Stockholders Equity,117890000,108925000,96438324,556738932,740115443,1035452913,1449952447,2126836435,2560566316,4095099318,8029973996,9658663809,11574503470,20618784034,30442368720,99708393713,140429983876,160269261462,183812000000,197908000000,186036000000,191080000000
69,Minority Interest,- -,- -,828056,563750,602616,871760,672215,1160434,- -,61660379,86230017,102770969,95247538,199690428,848548293,19134198247,3983917792,1779215851,2018000000,2261000000,1213000000,779000000
70,Total Liabilities & Equity,117890000,108925000,97266380,557302682,740718059,1036324673,1450624662,2127996869,2560566316,4156759697,8116204013,9761434778,11669751008,20818474462,31290917013,118842591960,144413901668,162048477313,185830000000,200169000000,187249000000,191859000000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1269238/000119312505128992/d20f.htm,https://www.sec.gov/Archives/edgar/data/1269238/000119312506135591/d20f.htm,https://www.sec.gov/Archives/edgar/data/1269238/000119312507079411/d20f.htm,https://www.sec.gov/Archives/edgar/data/1269238/000119312508094260/d20f.htm,https://www.sec.gov/Archives/edgar/data/1269238/000136231009008154/c85975e20vf.htm,https://www.sec.gov/Archives/edgar/data/1269238/000095012310008368/0000950123-10-008368-index.html,https://www.sec.gov/Archives/edgar/data/1269238/000095012311031061/c13419e20vf.htm,https://www.sec.gov/Archives/edgar/data/1269238/000119312512141674/0001193125-12-141674-index.html,https://www.sec.gov/Archives/edgar/data/1269238/000110465913025802/0001104659-13-025802-index.html,https://www.sec.gov/Archives/edgar/data/1269238/000110465914023913/a13-27191_120f.htm,https://www.sec.gov/Archives/edgar/data/1269238/000110465915030417/a15-1270_120f.htm,https://www.sec.gov/Archives/edgar/data/1269238/000110465916113453/a16-2532_120f.htm,https://www.sec.gov/Archives/edgar/data/1269238/000110465917023278/a16-23154_120f.htm,https://www.sec.gov/Archives/edgar/data/1269238/000110465918025739/a18-7017_120f.htm,https://www.sec.gov/Archives/edgar/data/1269238/000110465919015257/0001104659-19-015257-index.html,https://www.sec.gov/Archives/edgar/data/1269238/000119312520102627/d860693d20f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,14195210,53822942,133126361,224337521,240360402,398895873,444107873,658973622,1048069740,1076414897,714405864,998319684,242739781,2507655884,-1430703195,2142011537,1112000000,7011000000,-3247000000,- -
74,Depreciation and Amortization,- -,- -,3587049,5521385,6773828,8836623,14202242,26316543,2625968,8135635,9742475,89876523,99001189,121040782,182121001,316214010,718835720,883201662,982000000,1450000000,1566000000,- -
75,Deferred Income Tax,- -,- -,- -,51846,-468105,-1126229,-780319,-8371629,2802900,-14343474,-18127580,-3388535,-22757864,-35871972,-97573997,86464693,23475428,-171901260,-632000000,-176000000,-493000000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,128517475,130528827,242561458,342791357,431721322,437929477,496643489,642596474,3559718706,1833812105,1707000000,1714000000,1873000000,- -
77,Change in Working Capital,- -,- -,4858281,13628285,20071236,-2731540,38278575,-22411890,-6703372,219778233,263236035,391036345,533638093,1068698999,1423753274,1696743536,3409586202,2197383167,2123000000,282000000,-6934000000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-9784687,-143175414,-179508575,-166668439,-193874838,-487446257,-261973182,-1002531319,-1332377049,-34728011,-704000000,-2041000000,3189000000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,-92578544,111326932,186294824,166395703,255160851,537669487,585953759,2098144678,1251267578,171091615,3687000000,540000000,-7762000000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,-27580529,-25868284,-67014145,1592988,7546116,-12583994,-13525827,303017926,1021123173,1442007498,1675041901,2346363508,-295744114,1292000000,2357000000,-4013000000,- -
82,Other Non-Cash Items,- -,- -,789058,1131176,1996988,2142239,55536883,91849466,19528028,24515340,4735704,-45415680,-101640798,-137289618,-289079692,-2200864681,-1008182370,184354015,1823000000,-2948000000,3412000000,- -
83,Cash Provided by Operating Activities,- -,- -,23429599,74155635,161500307,231458614,347597782,486278363,590878872,1027588183,1550217832,1851314907,1654367806,2452827352,1958603856,3048809916,5272730491,7068861226,7115000000,7333000000,-3823000000,- -
84,CAPEX,- -,- -,-13204473,-9379823,-14899345,-73345656,-125700714,-127028584,-165285145,-178146816,-165962045,-218194142,-543123309,-651765217,-4797676371,-658133430,-689041961,-494185656,-708000000,-834000000,-532000000,- -
85,Acquisitions Net,- -,- -,-2600310,- -,- -,- -,- -,- -,- -,-178156916,-636643782,-27532356,-14461919,-102386761,-91928451,2610398644,-8912901847,1133742959,-1000000,-196000000,-1275000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-80348239,-141376915,-333441792,-358215242,-1533096133,-99747972,-123698692,-3363946166,-4878185835,-6552153083,-11343390943,-15476730603,-13198000000,-823000000,-9770000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,9123201,- -,- -,- -,17352846,- -,61980000,382387499,- -,723000000,719000000,7617000000,- -
88,Other Investing Activites,- -,- -,19232082,-2810763,1810001,500202,-749363,-1564748,-1000000,-59171348,-108281734,-7454442,-558620548,14601568,392379759,91326538,731257605,-418143719,-929000000,-1290000000,139000000,- -
89,Cash Used for Investing Activites,- -,- -,3427299,-12190586,-13089345,-72845455,-206798316,-269970247,-498726937,-762367121,-2440400494,-339947262,-1239904468,-4086143730,-9366410898,-4426581331,-19825478996,-15232251815,-14078000000,-2413000000,-3821000000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4706419,- -,- -,-3854878966,- -,-3297000000,-16882000000,-13801000000,- -
91,Common Stock Issued,- -,- -,- -,452488249,7998423,9601676,40109747,88172316,- -,- -,1564203741,- -,- -,- -,- -,- -,10652571135,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-82814505,-12309129,- -,- -,- -,- -,- -,- -,-158761225,-1733127675,- -,-446155147,-918527793,- -,- -,-1196000000,- -,- -,- -
93,Dividends Paid,- -,- -,-27327233,- -,- -,-39954218,-67216852,-72272838,-112266834,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-3101408,0,0,- -,-0,490704,40178626,96857641,61144078,44012177,1217564154,5320681383,5868350609,16152114137,5492065493,8019066003,16419000000,7626000000,19826000000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,-30428641,369673744,-4310706,-30352541,-27107104,16390182,-72088208,96857641,1625347819,-114749048,-515563521,5315974964,5422195462,15233586344,12289757662,8019066003,11926000000,-9256000000,6025000000,- -
96,Effect of Forex Changes on Cash,- -,- -,38907,1474802,193676,-9025350,-4454111,-12356514,-14654641,2712315,-15848428,-47125290,19204727,34153266,148154565,58971946,1481997420,-47364978,819000000,309000000,-713000000,- -
97,Net Change In Cash,- -,- -,-3532836,433113594,144293933,119235269,109238250,220341784,5409086,364791018,719316729,1349493307,-81895456,3716811852,-1837457015,13914786875,-780993423,-191689564,5782000000,-4027000000,-2332000000,- -
98,Cash at the End of Period,- -,- -,38935726,472051537,615875684,735362468,843678498,1065947507,1069827364,1434618382,2153935111,3503428418,3421532962,7138344814,5300887799,19215674674,18434681251,18242991687,25774000000,21747000000,19415000000,- -
99,Cash at the Beginning of Period,- -,- -,42468562,38937942,471581752,616127199,734440248,845605723,1064418278,1069827364,1434618382,2153935111,3503428418,3421532962,7138344814,5300887799,19215674674,18434681251,19992000000,25774000000,21747000000,- -
100,Free Cash Flow,- -,- -,10225126,64775812,146600962,158112958,221897068,359249779,425593727,849441367,1384255787,1633120765,1111244497,1801062135,-2839072515,2390676486,4583688530,6574675570,6407000000,6499000000,-4355000000,- -
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1269238/000119312505128992/d20f.htm,https://www.sec.gov/Archives/edgar/data/1269238/000119312506135591/d20f.htm,https://www.sec.gov/Archives/edgar/data/1269238/000119312507079411/d20f.htm,https://www.sec.gov/Archives/edgar/data/1269238/000119312508094260/d20f.htm,https://www.sec.gov/Archives/edgar/data/1269238/000136231009008154/c85975e20vf.htm,https://www.sec.gov/Archives/edgar/data/1269238/000095012310008368/0000950123-10-008368-index.html,https://www.sec.gov/Archives/edgar/data/1269238/000095012311031061/c13419e20vf.htm,https://www.sec.gov/Archives/edgar/data/1269238/000119312512141674/0001193125-12-141674-index.html,https://www.sec.gov/Archives/edgar/data/1269238/000110465913025802/0001104659-13-025802-index.html,https://www.sec.gov/Archives/edgar/data/1269238/000110465914023913/a13-27191_120f.htm,https://www.sec.gov/Archives/edgar/data/1269238/000110465915030417/a15-1270_120f.htm,https://www.sec.gov/Archives/edgar/data/1269238/000110465916113453/a16-2532_120f.htm,https://www.sec.gov/Archives/edgar/data/1269238/000110465917023278/a16-23154_120f.htm,https://www.sec.gov/Archives/edgar/data/1269238/000110465918025739/a18-7017_120f.htm,https://www.sec.gov/Archives/edgar/data/1269238/000110465919015257/0001104659-19-015257-index.html,https://www.sec.gov/Archives/edgar/data/1269238/000119312520102627/d860693d20f.htm,- -,undefined
102,Forex Rate,0.1148,0.1148,0.1208,0.1208,0.1208,0.1239,0.1281,0.1369,0.1466,0.1465,0.1517,0.1589,0.1605,0.1652,0.1611,0.154,0.1439,0.1537,0.1453,0.1436,0.1532,0.1572
