,https://roic.ai/company/SWI,2016,2017,2018,2019,2020,2021
34,Net Receivables,116667000,86846000,101421000,123047000,116571000,96209000
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,19263000,24331000,16267000,23480000,25664000,30515000
37,Total Current Assets,239573000,388893000,500308000,319899000,512733000,858840000
38,PP&E,37225000,34209000,35864000,128770000,169610000,104040000
39,Goodwill,3533390000,3695640000,3683961000,4058198000,4249402000,3308405000
40,Intangible Assets,1377668000,1194499000,956261000,771513000,592985000,342563000
41,Intangible Assets,4911058000,4890139000,4640222000,4829711000,4842387000,3650968000
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,1734000,4425000,6873000,4533000,149455000,144162000
44,Other Non-Current Assets,13099000,9398000,11382000,27829000,36298000,34117000
45,Total Non-Current Assets,4963116000,4938171000,4694341000,4990843000,5197750000,3933287000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,5202689000,5327064000,5194649000,5310742000,5710483000,4792127000
48,Accounts Payable,9036000,9657000,9742000,13796000,17932000,7327000
49,Short-Term Debt,17000000,16950000,19900000,33993000,37711000,34282000
50,Tax Payable,1197000,9049000,15682000,15714000,16358000,3086000
51,Deferred Revenue,204717000,241513000,270433000,312227000,346075000,327701000
52,Other Current Liabilities,54900000,60274000,68027000,62997000,89486000,44567000
53,Total Current Liabilities,285653000,328394000,368102000,423013000,491204000,413877000
54,Long-Term Debt,2242892000,2245622000,1904072000,1986490000,1997743000,1945312000
55,Deferred Revenue,13005000,20278000,25699000,31173000,36679000,34968000
56,Deferred Tax Liabilities,264678000,167523000,147144000,97884000,59149000,16918000
57,Other Non-Current Liabilities,2916104000,3295008000,133532000,122660000,115021000,93156000
58,Total Non-Current Liabilities,5436679000,5728431000,2210447000,2238207000,2208592000,2090354000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,107177000,132882000,88925000
61,Total Liabilities,5722332000,6056825000,2578549000,2661220000,2699796000,2504231000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,99000,101000,305000,308000,313000,159000
64,Retained Earnings,-453695000,-805156000,-412328000,-387419000,-228944000,-280352000
65,Other Comprehensive Income/Loss,-66047000,75294000,17043000,-5247000,127212000,1306000
66,Other Total Stockholders Equity,- -,- -,3011080000,3041880000,3112106000,2566783000
67,Total Stockholders Equity,-519643000,-729761000,2616100000,2649522000,3010687000,2287896000
68,Total Liabilities And Stockholders Equity,5202689000,5327064000,5194649000,5310742000,5710483000,4792127000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,5202689000,5327064000,5194649000,5310742000,5710483000,4792127000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1739942/000173994221000043/0001739942-21-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1739942/000173994222000020/0001739942-22-000020-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,- -,-83866000,-102066000,18642000,158475000,-51408000
74,Depreciation and Amortization,- -,250876000,258362000,263244000,277856000,230135000
75,Deferred Income Tax,- -,-101522000,-22101000,-39635000,-178288000,-40567000
76,Stock Based Compensation,- -,80000,5833000,34395000,74240000,58763000
77,Change in Working Capital,- -,185847000,2951000,12881000,41415000,-73794000
78,Accounts Receivable,- -,-2358000,-18010000,-18963000,9039000,-9926000
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,293000,-28000,3734000,3059000,-4915000
81,Other Working Capital,- -,34043000,35507000,41248000,18230000,-852000
82,Other Non-Cash Items,- -,-18722000,111163000,10380000,15396000,34003000
83,Cash Provided by Operating Activities,- -,232693000,254142000,299907000,389094000,157132000
84,CAPEX,- -,-12380000,-18632000,-23041000,-38220000,-13916000
85,Acquisitions Net,- -,-23999000,-60578000,-462447000,-141907000,447000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,2000000,11217000,3035000,- -,- -
88,Other Investing Activites,- -,-4786000,-2687000,-5851000,-9419000,-19667000
89,Cash Used for Investing Activites,- -,-34379000,-67993000,-482453000,-180127000,-28472000
90,Debt Repayment,- -,-36950000,-1051800000,-54900000,-19900000,-20950000
91,Common Stock Issued,- -,313000,358911000,1080000,5404000,- -
92,Common Stock Repurchased,- -,-930000,-578000,-7427000,-12123000,-14228000
93,Dividends Paid,- -,- -,- -,- -,- -,-237214000
94,Other Financing Activites,- -,2213000,617743000,35623000,1063000,510627000
95,Cash Used/Provided by Financing Activities,- -,-35354000,-75724000,-25624000,-25556000,238235000
96,Effect of Forex Changes on Cash,- -,13113000,-5521000,-1078000,13715000,-5277000
97,Net Change In Cash,- -,176073000,104904000,-209248000,197126000,361618000
98,Cash at the End of Period,- -,277716000,382620000,173372000,370498000,732116000
99,Cash at the Beginning of Period,- -,101643000,277716000,382620000,173372000,370498000
100,Free Cash Flow,- -,220313000,235510000,276866000,350874000,143216000
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1739942/000173994221000043/0001739942-21-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1739942/000173994222000020/0001739942-22-000020-index.htm
102,false,,,,,,
