,https://roic.ai/company/ECOL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,15500000,7300000,9300000,-25100000,1300000,7400000,9900000,17600000,10400000,12000000,-47000000,-7541000,2562000,3969000,6658000,7063000,6018000,16870000,-1281000,20535000,32062000,33969000,41727000,35240000,23485000,22506000,46763000,57981000,67251000,104347000,110463000,108497000,99317000,115840000,125952000,-257101000,144481000
16,EBITDA ratio,0.2682,0.1524,0.1366,-0.5962,0.0281,0.1520,0.1774,0.2482,0.1725,0.1669,-0.6922,-0.1509,0.0617,0.1019,0.1938,0.1683,0.1074,0.3606,-0.0225,0.3791,0.4039,0.2907,0.2521,0.2004,0.1772,0.2147,0.3019,0.3428,0.3344,0.2332,0.1962,0.2271,0.1970,0.2047,0.1837,-0.2753,0.1462
17,Operating Income,13200000,4700000,6800000,-27100000,-500000,5900000,7900000,14200000,6600000,5300000,-19600000,-15237000,-3606000,-287000,2981000,3461000,234000,8935000,9749000,13148000,19432000,24458000,30867000,34521000,23102000,20377000,32365000,40638000,52931000,72450000,71631000,70029000,59758000,74088000,68711000,-360918000,33346000
18,Operating Income ratio,0.2284,0.0981,0.0999,-0.6437,-0.0108,0.1211,0.1416,0.2003,0.1095,0.0737,-0.2887,-0.3049,-0.0868,-0.0074,0.0868,0.0825,0.0042,0.1910,0.1709,0.2427,0.2448,0.2093,0.1865,0.1963,0.1743,0.1944,0.2089,0.2403,0.2632,0.1619,0.1272,0.1466,0.1186,0.1309,0.1002,-0.3865,0.0338
19,Total Other Income Expenses (Gains),1400000,1600000,1200000,700000,800000,300000,300000,1600000,900000,400000,-34700000,2313000,3062000,1104000,1623000,1018000,754000,-1346000,-20746000,383000,5682000,1410000,851000,712000,381000,1809000,-2558000,1080000,-2784000,-11400000,-24776000,-14728000,-16788000,-9230000,-18912000,-32683000,-23244000
20,Income Before Tax,14600000,6300000,8000000,-26400000,300000,6200000,8200000,15800000,7500000,5700000,-54300000,-12924000,-544000,817000,4604000,4479000,988000,7589000,-10997000,13531000,25114000,25868000,31718000,35233000,23483000,22186000,29807000,41718000,50147000,61050000,46855000,55301000,42970000,64858000,49799000,-393601000,10102000
21,Income Before Tax Ratio,0.2526,0.1315,0.1175,-0.6271,0.0065,0.1273,0.1470,0.2228,0.1244,0.0793,-0.7997,-0.2586,-0.0131,0.0210,0.1340,0.1067,0.0176,0.1622,-0.1928,0.2498,0.3163,0.2214,0.1916,0.2004,0.1772,0.2116,0.1924,0.2467,0.2493,0.1365,0.0832,0.1158,0.0853,0.1146,0.0726,-0.4215,0.0102
22,Income Tax expense (Gain),6900000,3100000,3400000,-2600000,1100000,2400000,800000,3200000,2800000,1800000,-5400000,-1517000,132000,55000,195000,-12000,186000,-8505000,72000,-8832000,9676000,9979000,12322000,13735000,9513000,9602000,11437000,16059000,17996000,22814000,21244000,21049000,-6395000,15263000,16659000,-4242000,4765000
23,Net Income,7700000,3200000,4600000,-24000000,-3000000,3800000,7400000,12600000,4700000,3900000,-48900000,-11407000,-676000,762000,4409000,4697000,802000,18771000,-8592000,23410000,15438000,15889000,19396000,21498000,13970000,12584000,18370000,25659000,32151000,38236000,25611000,34252000,49365000,49595000,33140000,-389359000,5337000
24,Net Income ratio,0.1332,0.0668,0.0675,-0.5701,-0.0648,0.0780,0.1326,0.1777,0.0779,0.0542,-0.7202,-0.2283,-0.0163,0.0196,0.1283,0.1119,0.0143,0.4012,-0.1506,0.4322,0.1945,0.1360,0.1172,0.1223,0.1054,0.1200,0.1186,0.1517,0.1599,0.0855,0.0455,0.0717,0.0979,0.0876,0.0483,-0.4169,0.0054
25,EPS,1.74,0.73,1.04,-5.44,-0.68,0.78,1.27,1.51,0.57,0.49,-6.26,-1.50,-0.17,0.03,0.30,0.31,0.03,1.28,-0.52,1.36,0.88,0.88,1.06,1.18,0.77,0.69,1.01,1.41,1.73,1.78,1.18,1.58,2.27,2.27,1.41,-12.51,0.17
26,EPS Diluted,1.74,0.73,1.04,-5.44,-0.68,0.78,1.21,1.51,0.57,0.49,-6.26,-1.50,-0.17,0.03,0.27,0.26,0.03,1.15,-0.52,1.32,0.86,0.87,1.06,1.18,0.77,0.69,1.01,1.40,1.72,1.77,1.18,1.57,2.25,2.25,1.40,-12.51,0.17
27,Weighted Average Shares Outstanding,4425287,4383562,4423077,4411765,4411765,4871795,5826772,8344371,8245614,7959184,7827476,7914667,8447059,11500000,13373333,13867742,13466667,14353906,16646154,17213235,17543182,18071000,18217000,18236000,18146000,18170000,18198000,18238000,18592000,21537000,21637000,21704000,21758000,21888000,23521000,31126000,31138000
28,Weighted Average Shares Outstanding Diluted,4425287,4383562,4423077,4411765,4411765,4871795,6115702,8344371,8245614,7959184,7827476,7967864,8447059,11500000,14859259,16534615,13466667,15976522,16646154,17734848,17951163,18202000,18257000,18290000,18173000,18189000,18223000,18281000,18676000,21655000,21733000,21789000,21902000,22047000,23749000,31126000,31373000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1783400/000155837020001841/0001558370-20-001841-index.html,https://www.sec.gov/Archives/edgar/data/1783400/000155837021002040/0001558370-21-002040-index.htm,https://www.sec.gov/Archives/edgar/data/1783400/000155837022002321/0001558370-22-002321-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,9300000,4900000,12000000,1400000,14900000,10800000,5100000,10800000,4400000,200000,200000,185000,366000,4442000,4771000,4122000,4476000,135000,6674000,2160000,3641000,3775000,12563000,18473000,31347000,6342000,4289000,2120000,73940000,22971000,5989000,7015000,27042000,31969000,41281000,73848000,67487000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,410000,- -,- -,- -,- -,- -,- -,- -,10967000,16214000,6120000,2209000,- -,1395000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5598000,- -
33,Cash and Short-Term Investments,9300000,4900000,12000000,1400000,14900000,10800000,5100000,10800000,4400000,200000,200000,595000,366000,4442000,4771000,4122000,4476000,135000,6674000,13127000,19855000,9895000,14772000,18473000,32742000,6342000,4289000,2120000,73940000,22971000,5989000,7015000,27042000,31969000,41281000,79446000,67487000
34,Net Receivables,8900000,11200000,15500000,13800000,12400000,11100000,14600000,20800000,18700000,32000000,24800000,11136000,8669000,10246000,7696000,10579000,13414000,11200000,12598000,10248000,13730000,28342000,30416000,33571000,16302000,33553000,29999000,33947000,43636000,141442000,108397000,100895000,110777000,151761000,266554000,260257000,264595000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1000000,800000,1600000,5600000,8100000,7400000,6600000,7800000,7300000,5600000,2200000,949000,877000,1023000,1947000,1316000,1881000,13965000,5209000,7082000,11145000,4805000,3701000,2965000,1793000,3090000,3149000,4437000,4952000,14797000,8484000,7458000,9138000,10938000,25136000,22781000,32136000
37,Total Current Assets,19200000,16900000,29100000,20800000,35400000,29300000,26300000,39400000,30400000,37800000,27200000,12680000,9912000,15711000,14414000,16017000,19771000,25300000,24481000,30457000,44730000,43042000,48889000,55009000,50837000,42985000,37437000,40504000,122528000,179210000,122870000,115368000,146957000,194668000,332971000,362484000,364218000
38,PP&E,1700000,6700000,6800000,8400000,5200000,6300000,6500000,7700000,16800000,30100000,21800000,14255000,13004000,11145000,12818000,18488000,34265000,26998000,28317000,27363000,40896000,55460000,63306000,67987000,67485000,105822000,99975000,109792000,114859000,227684000,210334000,226237000,234432000,258443000,536164000,508111000,499991000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21790000,21200000,23105000,21693000,217172000,191823000,193621000,189373000,207177000,766980000,413037000,413126000
40,Intangible Assets,800000,1900000,1800000,1600000,800000,600000,600000,600000,6700000,31300000,500000,462000,438000,414000,390000,366000,- -,- -,- -,- -,- -,- -,- -,- -,- -,41740000,39238000,40771000,36832000,278667000,239571000,234356000,222812000,279666000,574902000,523988000,489573000
41,Intangible Assets,800000,1900000,1800000,1600000,800000,600000,600000,600000,6700000,31300000,500000,462000,438000,414000,390000,366000,- -,- -,- -,- -,- -,- -,- -,- -,- -,63530000,60438000,63876000,58525000,495839000,431394000,427977000,412185000,486843000,1341882000,937025000,902699000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5539000,5062000,12473000,3021000,848000,- -,- -,- -,- -,- -,- -,- -,85000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,11600000,13100000,18200000,25200000,35600000,43100000,51300000,56500000,54200000,56200000,64600000,71630000,75077000,34530000,30837000,30879000,32788000,29288000,8766000,6940000,822000,4691000,4881000,4716000,5340000,5012000,4738000,4522000,4644000,17037000,7389000,6818000,8502000,7944000,20227000,23663000,38490000
45,Total Non-Current Assets,14100000,21700000,26800000,35200000,41600000,50000000,58400000,64800000,77700000,117600000,86900000,86347000,88519000,46089000,44045000,49733000,67053000,61825000,42145000,46776000,44739000,60999000,68187000,72703000,72825000,174364000,165151000,178190000,178028000,740645000,649117000,661032000,655119000,753230000,1898273000,1468799000,1441180000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,33300000,38600000,55900000,56000000,77000000,79300000,84700000,104200000,108100000,155400000,114100000,99027000,98431000,61800000,58459000,65750000,86824000,87125000,66626000,77233000,89469000,104041000,117076000,127712000,123662000,217349000,202588000,218694000,300556000,919855000,771987000,776400000,802076000,947898000,2231244000,1831283000,1805398000
48,Accounts Payable,- -,- -,- -,- -,7400000,6400000,4700000,5200000,7900000,12500000,13400000,10470000,8997000,5101000,2706000,2680000,2408000,2192000,1678000,3022000,3665000,6866000,4861000,5400000,4264000,5033000,4669000,6333000,7277000,24513000,17169000,13948000,14868000,17754000,46906000,35881000,64793000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1985000,1475000,1457000,- -,6000,8000,500000,304000,785000,2961000,- -,- -,3828000,3056000,5080000,- -,- -,20676000,20407000,19158000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,201000,2615000,1510000,426000,4428000,4124000,117000,165000,2970000,505000,726000,977000,559000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1261000,3612000,4491000,4657000,1353000,3620000,3574000,3919000,8870000,13190000,8078000,7820000,8532000,10451000,14788000,15267000,15950000
52,Other Current Liabilities,8000000,8100000,18300000,15700000,12700000,9900000,9600000,15700000,14600000,23700000,30000000,18903000,17845000,18177000,14017000,11058000,27931000,13036000,8523000,8664000,7787000,8009000,9683000,7293000,6086000,14854000,17461000,17231000,21025000,58329000,40051000,35746000,42430000,55027000,98400000,97662000,87033000
53,Total Current Liabilities,8000000,8100000,18300000,15700000,20100000,16300000,14300000,20900000,22500000,36200000,43400000,29373000,26842000,23278000,16723000,13738000,30339000,17213000,11676000,13143000,12713000,18493000,19043000,17850000,12007000,24292000,28665000,27483000,37172000,99860000,68354000,62594000,65830000,83232000,180770000,169217000,186934000
54,Long-Term Debt,- -,- -,2000000,7100000,23700000,23000000,500000,- -,- -,33500000,28400000,36202000,39872000,2223000,3569000,10775000,4436000,6575000,4200000,2734000,- -,24000,27000,13972000,13070000,78995000,54948000,45000000,- -,390825000,290684000,274459000,277000000,364000000,765842000,782484000,763602000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,577000,3927000,5077000,19146000,18208000,18159000,14778000,105986000,82622000,81333000,57583000,63206000,128345000,120983000,123482000
57,Other Non-Current Liabilities,6100000,7700000,8100000,31000000,28200000,31200000,29400000,28600000,22000000,18700000,20300000,19848000,18337000,18839000,16585000,15252000,25633000,17389000,14399000,9745000,12797000,12169000,14331000,21000,10000,204000,604000,16030000,17068000,71847000,74192000,77990000,77586000,78243000,144907000,156668000,107056000
58,Total Non-Current Liabilities,6100000,7700000,10100000,38100000,51900000,54200000,29900000,28600000,22000000,52200000,48700000,56050000,58209000,21062000,20154000,26027000,30069000,23964000,18599000,12479000,12797000,12193000,14935000,17920000,18157000,98345000,73760000,79189000,31846000,568658000,447498000,433782000,412169000,505449000,1039094000,1060135000,994140000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31000,21000,10000,2890000,- -,- -,- -,- -,- -,- -,- -,57271000,52117000,44276000
61,Total Liabilities,14100000,15800000,28400000,53800000,72000000,70500000,44200000,49500000,44500000,88400000,92100000,85423000,85051000,44340000,36877000,39765000,60408000,41177000,30275000,25622000,25510000,30686000,33978000,35770000,30164000,122637000,102425000,106672000,69018000,668518000,515852000,496376000,477999000,588681000,1219864000,1229352000,1181074000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80000,85000,136000,137000,137000,138000,145000,170000,174000,177000,182000,182000,183000,183000,183000,183000,184000,215000,216000,217000,218000,218000,220000,315000,315000,315000
64,Retained Earnings,14100000,17400000,22000000,-3300000,-6500000,-2700000,4700000,17300000,22000000,125100000,-24100000,-35971000,-37407000,-37062000,-33069000,-28764000,-28360000,-9987000,-18643000,422000,10569000,15641000,24100000,33544000,34446000,33940000,39197000,48424000,70597000,93301000,103300000,121879000,155533000,189324000,206574000,-188452000,-183115000
65,Other Comprehensive Income/Loss,-3200000,-2400000,-2600000,-3500000,-4500000,-4800000,-6200000,-5300000,-13900000,-19000000,-22100000,-24628000,-27148000,-28702000,-25958000,-23397000,-26838000,-22704000,-28026000,-30329000,-34991000,-40430000,-48465000,-57237000,-62489000,676000,-117000,628000,-1785000,-7686000,-17066000,-14725000,-9104000,-13791000,-11854000,-14658000,-4194000
66,Other Total Stockholders Equity,8300000,7800000,8100000,9000000,16000000,16300000,42000000,42700000,55500000,- -,68200000,74123000,77850000,83088000,80472000,78009000,81476000,78493000,82850000,81344000,88204000,97962000,107281000,115452000,121358000,59913000,60900000,62786000,162511000,165506000,169684000,172652000,177430000,183464000,816345000,804726000,- -
67,Total Stockholders Equity,19200000,22800000,27500000,2200000,5000000,8800000,40500000,54700000,63600000,67000000,22000000,13604000,13380000,17460000,21582000,25985000,26416000,45948000,36351000,51611000,63959000,73355000,83098000,91942000,93498000,94712000,100163000,112022000,231538000,251337000,256135000,280024000,324077000,359217000,1011380000,601931000,624324000
68,Total Liabilities And Stockholders Equity,33300000,38600000,55900000,56000000,77000000,79300000,84700000,104200000,108100000,155400000,114100000,99027000,98431000,61800000,58459000,65750000,86824000,87125000,66626000,77233000,89469000,104041000,117076000,127712000,123662000,217349000,202588000,218694000,300556000,919855000,771987000,776400000,802076000,947898000,2231244000,1831283000,1805398000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,33300000,38600000,55900000,56000000,77000000,79300000,84700000,104200000,108100000,155400000,114100000,99027000,98431000,61800000,58459000,65750000,86824000,87125000,66626000,77233000,89469000,104041000,117076000,127712000,123662000,217349000,202588000,218694000,300556000,919855000,771987000,776400000,802076000,947898000,2231244000,1831283000,1805398000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1783400/000155837020001841/0001558370-20-001841-index.html,https://www.sec.gov/Archives/edgar/data/1783400/000155837021002040/0001558370-21-002040-index.htm,https://www.sec.gov/Archives/edgar/data/1783400/000155837022002321/0001558370-22-002321-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,-3000000,3800000,7400000,12600000,4700000,3900000,-48900000,-11407000,-676000,762000,4409000,4697000,802000,18771000,-8592000,23410000,15438000,15889000,19396000,21498000,13970000,12584000,18370000,25659000,32151000,38236000,25611000,34252000,49365000,49595000,33140000,-389359000,5337000
74,Depreciation and Amortization,- -,- -,- -,- -,3200000,1200000,1700000,1800000,2900000,6300000,7300000,5383000,3106000,3152000,2054000,2028000,5030000,6604000,6973000,5957000,6775000,8093000,10009000,- -,- -,- -,15352000,15385000,16276000,32620000,40238000,35879000,38190000,38852000,56914000,103905000,105413000
75,Deferred Income Tax,- -,- -,- -,- -,1000000,- -,-1200000,-2800000,2200000,3000000,800000,- -,- -,- -,111000,-87000,- -,-8284000,- -,-9800000,8351000,6721000,2924000,3333000,1793000,-286000,-1095000,-698000,-2624000,1555000,-2714000,-2704000,-25309000,6391000,6363000,-4156000,-619000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,820000,655000,988000,837000,846000,865000,1250000,2297000,2925000,3933000,4366000,9261000,7833000,7889000
77,Change in Working Capital,- -,- -,- -,- -,2100000,-2300000,-1000000,6500000,-10600000,-6300000,-17800000,-493000,-237000,9363000,5258000,4588000,-12847000,18655000,4718000,4509000,14703000,-7468000,5297000,7313000,1671000,-20137000,-9921000,4249000,72335000,-6006000,-24834000,-1742000,28353000,30309000,40765000,41066000,-4675000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1850000,-10408000,-4400000,1565000,10912000,-13861000,-32301000,-9357000,8381000,-14685000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2172000,1673000,-2878000,-6481000,-7735000,2012000,14301000,-10706000,-13628000,15985000
81,Other Working Capital,- -,- -,- -,- -,15300000,13000000,12000000,18500000,7900000,1600000,-16200000,-16693000,-16930000,-7567000,-2309000,2279000,-10568000,8087000,12805000,17314000,32017000,24549000,29846000,37159000,38830000,18693000,8772000,13021000,85356000,79350000,54516000,52774000,81127000,111436000,152201000,193267000,-2621000
82,Other Non-Cash Items,- -,- -,- -,- -,-100000,2400000,-4500000,-7100000,5300000,-8700000,61200000,11687000,792000,-11575000,-14336000,-10002000,10442000,-30928000,15324000,260000,-24029000,-2522000,-6976000,-2356000,18698000,21780000,19648000,-10267000,-69364000,3714000,30949000,6017000,-13516000,-48028000,-66827000,347857000,2974000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,3200000,5100000,2400000,11000000,4500000,-1800000,2600000,5170000,2985000,1702000,-2504000,1224000,3427000,4818000,18423000,24336000,21238000,20713000,30650000,30608000,36787000,14929000,43191000,35174000,49639000,71369000,71547000,74627000,81016000,81485000,79616000,107146000,116319000
84,CAPEX,- -,- -,- -,- -,-1300000,-2700000,-900000,-2900000,-6700000,-3700000,-2300000,-1677000,-1356000,-697000,-3219000,-6442000,-3456000,-2737000,-6270000,-4984000,-19426000,-19758000,-15430000,-13617000,-9405000,-14190000,-10096000,-15766000,-21373000,-28434000,-39370000,-35696000,-36240000,-40757000,-58100000,-57399000,-68666000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-77427000,- -,-10743000,- -,-460874000,58728000,-7260000,- -,-108382000,-407469000,-3309000,-712000
86,Purchases of Investments,- -,- -,- -,- -,-3500000,-300000,-2700000,- -,- -,- -,- -,-1993000,-678000,- -,- -,- -,- -,- -,- -,-10967000,-5247000,-32482000,-24901000,-992000,-1409000,-4998000,- -,- -,-5249000,- -,- -,- -,- -,-1023000,-1197000,-1615000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,900000,4500000,- -,200000,384000,1660000,6940000,4373000,- -,- -,- -,- -,- -,- -,42909000,28970000,3216000,- -,6375000,- -,- -,5263000,654000,- -,- -,- -,910000,1145000,- -,2142000
88,Other Investing Activites,- -,- -,- -,- -,-6800000,-5600000,-4900000,-3600000,-7000000,-31000000,-5300000,-3951000,-2086000,-1359000,1319000,2000000,3869000,- -,74000,383000,13144000,-4432000,-98000,179000,-20000,743000,98000,203000,168000,164000,930000,952000,959000,493000,9896000,4685000,2681000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-11600000,-8600000,-8500000,-5600000,-9200000,-34700000,-7400000,-7237000,-2460000,4884000,2473000,-4442000,413000,-2737000,-6196000,-15568000,-11529000,-13763000,-11459000,-11214000,-10834000,-89497000,-9998000,-26306000,-21191000,-488490000,20288000,-42004000,-35281000,-148759000,-455725000,-57638000,-64555000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000,-10000,-11000,-39400000,-21500000,-54500000,-19384000,-104939000,-65361000,-300855000,-448000,-159536000,-153180000,-115442000
