,https://roic.ai/company/GTBP,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,1600000,1720000,2300000,2500000,1600000,2100000,2500000,2400000,2200000,2100000,3500000,4000000,9000000,9100000,8100000,9600000,6524000,5650000,3991000,1721000,2017000,2262000,2841000,5362000,3904000,1445000,1154000,2443000,3906000,3762000,935000,2400000,8954000,9374000,135570000,21554000,11457000,6764000,57515000
11,COGS and Expenses,3880000,4050000,3200000,3600000,2100000,3300000,4600000,4300000,3200000,3300000,4700000,5500000,10600000,10700000,10100000,12200000,11575000,8266000,6421000,2861000,3513000,3478000,4186000,8446000,7165000,2354000,1204000,2508000,3954000,3856000,1161000,2457000,8954000,9374000,135570000,21554000,11457000,6764000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,180000,29000,7000,1000,1000,110000,80000,52000,- -,4000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-38000
13,Interest Expense (Gain),210000,290000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,100000,- -,300000,- -,90000,14000,18000,14000,101000,26000,2158000,1014000,1657000,1136000,513000,556000,1653000,- -,5146000,17039000,- -,- -,9117000,2128000,3320000,718000
14,Depreciation and Amortization,- -,- -,- -,- -,20000,- -,- -,- -,- -,- -,100000,600000,1400000,1400000,1200000,1600000,838000,443000,412000,282000,177000,785000,154000,301000,893000,251000,55000,31000,23000,3000,2000,22000,2000,1000,2000,7000,4000,- -,- -
15,EBITDA,430000,890000,-300000,-400000,320000,100000,700000,900000,-200000,-300000,-1400000,-5000000,-7300000,-4500000,-4000000,-5200000,-3657000,-4151000,-3069000,-522000,-600000,-1770000,-2927000,-2361000,2453000,-3021000,-1055000,-2451000,-3121000,-3515000,-499000,-18321000,-15685000,-46335000,-136493000,-21547000,-11453000,-19362000,57515000
16,EBITDA ratio,0.1123,0.2139,-0.1250,-0.1333,0.1391,0.0313,0.1373,0.1875,-0.0741,-0.1071,-0.4667,-1.4286,-1.4314,-0.9184,-0.7843,-1.0196,-0.5104,-1.1726,-1.0340,-0.2546,-0.2190,-0.7487,-1.1722,-0.4088,0.4055,-2.6430,-21.9792,-222.8182,-120.0385,-10.2778,-1.3560,-300.3443,-580.9259,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity
17,Operating Income,-50000,100000,-800000,-600000,200000,-100000,500000,500000,-500000,-500000,-1700000,-2000000,-5500000,-5800000,-5000000,-7100000,-4410000,-4726000,-3453000,-811000,-773000,-1719000,-3189000,-2670000,-1116000,-1211000,-1156000,-2497000,-3928000,-3514000,-793000,-2396000,-8927000,-9374000,-135570000,-250069000,-16056000,-6764000,57515000
18,Operating Income ratio,-0.0131,0.0240,-0.3333,-0.2000,0.0870,-0.0313,0.0980,0.1042,-0.1852,-0.1786,-0.5667,-0.5714,-1.0784,-1.1837,-0.9804,-1.3922,-0.6155,-1.3350,-1.1634,-0.3956,-0.2821,-0.7272,-1.2771,-0.4623,-0.1845,-1.0595,-24.0833,-227.0000,-151.0769,-10.2749,-2.1549,-39.2787,-330.6296,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity
19,Total Other Income Expenses (Gains),210000,290000,300000,200000,200000,200000,300000,300000,300000,300000,200000,-3600000,-3300000,- -,100000,300000,57000,- -,-999000,-11000,-5000,-937000,82000,7490000,1662000,-1498000,-1090000,-498000,228000,-1747000,229000,-21093000,-23799000,30407000,-7677000,-9117000,-22591000,-21532000,-115528000
20,Income Before Tax,160000,390000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-822000,-778000,-2656000,-3107000,4820000,546000,-2709000,-2246000,-2995000,-3700000,-5261000,-564000,-23489000,-32726000,21033000,-143247000,-259186000,-38647000,-28296000,-58013000
21,Income Before Tax Ratio,0.0418,0.0938,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.4010,-0.2839,-1.1235,-1.2443,0.8345,0.0903,-2.3701,-46.7917,-272.2727,-142.3077,-15.3830,-1.5326,-385.0656,-1212.0741,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),70000,180000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000,120000,75000,77000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,150000,420000,-300000,-400000,300000,100000,700000,900000,-200000,-300000,-1500000,-5600000,-8900000,-6000000,-5200000,-7100000,-4495000,-4684000,-3495000,-822000,-791000,-2656000,-3109000,-4940000,471000,-5006000,-2246000,-2995000,-3700000,-5171000,-501000,-23489000,-32726000,21033000,-143247000,-259186000,-38647000,-28296000,-58013000
24,Net Income ratio,0.0392,0.1010,-0.1250,-0.1333,0.1304,0.0313,0.1373,0.1875,-0.0741,-0.1071,-0.5000,-1.6000,-1.7451,-1.2245,-1.0196,-1.3922,-0.6274,-1.3232,-1.1776,-0.4010,-0.2887,-1.1235,-1.2451,-0.8553,0.0779,-4.3797,-46.7917,-272.2727,-142.3077,-15.1199,-1.3614,-385.0656,-1212.0741,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,6479.59,15971.82,-446291.06,-510046.92,382535.19,191267.60,956337.98,1083849.72,-255023.46,-446291.06,-1912675.97,-5610516.17,-8900000.00,-3000000.00,-1300000.00,-1183333.33,-749166.67,-669142.86,-499285.71,-117428.57,-39550.00,-83000.00,-94212.12,-145294.12,13083.33,-139055.56,-43192.31,-25794.87,-17535.55,-13191.33,-1115.81,-50622.84,-69629.79,4386.40,-145.18,-87.72,-11.39,-6.45,-13.22
26,EPS Diluted,6479.59,15971.82,-446291.06,-510046.92,382535.19,191267.60,956337.98,1083849.72,-255023.46,-446291.06,-1912675.97,-5610516.17,-8900000.00,-3000000.00,-1300000.00,-1183333.33,-749166.67,-669142.86,-499285.71,-117428.57,-39550.00,-83000.00,-94212.12,-145294.12,13083.33,-139055.56,-43192.31,-25794.87,-17535.55,-13191.33,-1115.81,-50622.84,-69629.79,4386.40,-145.18,-87.72,-11.39,-6.45,-13.22
27,Weighted Average Shares Outstanding,30582400,30582400,1,1,1,1,1,1,1,1,1,1,1,2,4,6,6,7,7,7,20,32,33,34,36,36,52,117,211,392,449,464,470,4789,986445,2955317,3383968,4387011,4387011
28,Weighted Average Shares Outstanding Diluted,30582400,30582400,1,1,1,1,1,1,1,1,1,1,1,2,4,6,6,7,7,7,20,32,33,34,36,36,52,117,211,392,449,464,470,4789,986445,2955317,3383968,4387011,4387011
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/109657/000165495421004295/0001654954-21-004295-index.htm,https://www.sec.gov/Archives/edgar/data/109657/000149315222007883/0001493152-22-007883-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2000000,2700000,1800000,2400000,2400000,2600000,3600000,4700000,300000,300000,800000,900000,700000,400000,1300000,2600000,789000,2059000,221000,424000,372000,4687000,614000,1208000,1140000,22000,1293000,54000,92000,123000,43000,855000,47000,19000,576000,60000,28000,5297000,8968000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23011000
33,Cash and Short-Term Investments,2000000,2700000,1800000,2400000,2400000,2600000,3600000,4700000,300000,300000,800000,900000,700000,400000,1300000,2600000,789000,2059000,221000,424000,372000,4687000,614000,1208000,1140000,22000,1293000,54000,92000,123000,43000,855000,47000,19000,576000,60000,28000,5297000,31979000
34,Net Receivables,600000,200000,400000,100000,100000,200000,400000,- -,100000,800000,600000,1200000,800000,900000,2000000,1000000,1072000,502000,149000,188000,251000,2479000,865000,732000,830000,250000,- -,- -,- -,- -,40000,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,400000,500000,400000,400000,200000,200000,200000,100000,100000,100000,200000,700000,1000000,600000,1800000,1600000,1327000,1271000,292000,301000,295000,246000,650000,561000,520000,3000,- -,- -,12000,59000,42000,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,100000,- -,200000,- -,100000,200000,100000,100000,4100000,3500000,1300000,300000,300000,200000,100000,200000,37000,81000,44000,138000,139000,128000,3312000,3200000,137000,- -,- -,83000,- -,20000,- -,27000,2000,2000,- -,30000,246000,364000,190000
37,Total Current Assets,3100000,3400000,2800000,2900000,2800000,3200000,4300000,4900000,4600000,4700000,2900000,3100000,2800000,2100000,5200000,5400000,3225000,3913000,706000,1051000,1057000,7540000,5441000,5701000,2627000,275000,1293000,137000,104000,202000,125000,882000,49000,21000,576000,90000,274000,5661000,32169000
38,PP&E,200000,100000,100000,100000,100000,200000,100000,100000,200000,200000,200000,1300000,1100000,1300000,4000000,2800000,808000,651000,102000,62000,42000,61000,243000,244000,169000,- -,- -,- -,- -,- -,- -,6000,5000,4000,6000,35000,110000,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1291000,1199000,1331000,7000,7000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,426000,594000,733000,995000,831000,761000,561000,308000,84000,48000,25000,24000,22000,- -,- -,- -,253777000,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,426000,594000,733000,995000,2122000,1960000,1892000,315000,91000,48000,25000,24000,22000,- -,- -,- -,253777000,25262000,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,200000,300000,300000,300000,400000,100000,- -,- -,- -,- -,- -,6800000,6000000,4600000,3400000,3000000,1151000,1061000,487000,278000,131000,- -,- -,92000,169000,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000,12000,12000,- -,- -
45,Total Non-Current Assets,400000,400000,400000,400000,500000,300000,100000,100000,200000,200000,200000,8100000,7100000,5900000,7400000,5800000,1959000,1712000,1015000,934000,906000,1056000,2365000,2296000,2230000,315000,91000,48000,25000,24000,22000,6000,5000,4000,253792000,25309000,122000,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3500000,3800000,3200000,3300000,3300000,3500000,4400000,5000000,4800000,4900000,3100000,11200000,9900000,8000000,12600000,11200000,5184000,5625000,1721000,1985000,1963000,8596000,7806000,7997000,4857000,590000,1384000,185000,129000,226000,147000,888000,54000,25000,254368000,25399000,396000,5661000,32169000
48,Accounts Payable,300000,300000,- -,- -,- -,- -,- -,- -,- -,- -,300000,1600000,1200000,1400000,1600000,700000,1131000,628000,589000,321000,609000,491000,699000,763000,1034000,919000,925000,625000,806000,878000,940000,412000,893000,2100000,2546000,1762000,1940000,2243000,8189000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,1900000,1300000,1500000,800000,775000,259000,92000,160000,160000,1360000,3060000,3060000,- -,2148000,2125000,2164000,2061000,1880000,2491000,2725000,9033000,12413000,31000,10804000,13358000,26334000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,100000,- -,100000,600000,200000,300000,500000,200000,200000,600000,- -,1700000,1100000,800000,1200000,900000,395000,515000,505000,286000,324000,829000,468000,3830000,2169000,1203000,3809000,2865000,2363000,3804000,2953000,26691000,51248000,4436000,102000,1463000,4408000,6517000,2070000
53,Total Current Liabilities,400000,300000,100000,600000,200000,300000,500000,200000,200000,600000,300000,4100000,4200000,3500000,4300000,2400000,2301000,1402000,1186000,767000,1093000,2680000,4227000,7653000,3203000,4270000,6859000,5654000,5230000,6562000,6384000,29828000,61174000,18949000,2679000,14029000,19706000,35094000,10259000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,1300000,- -,1600000,1600000,194000,150000,2000,- -,- -,- -,- -,124000,- -,- -,- -,- -,- -,- -,97000,634000,714000,- -,- -,- -,- -,- -,31000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41000,25000,25000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,100000,100000,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,249000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,400000,1400000,- -,1500000,1600000,194000,150000,2000,- -,- -,- -,41000,149000,25000,- -,249000,- -,- -,- -,97000,634000,714000,- -,- -,- -,- -,- -,31000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120000,- -,- -
61,Total Liabilities,400000,300000,100000,500000,200000,300000,500000,200000,200000,600000,300000,4500000,5600000,3500000,5800000,4000000,2495000,1552000,1188000,767000,1093000,2680000,4268000,7802000,3228000,4270000,7108000,5654000,5230000,6562000,6481000,30462000,61888000,18949000,2679000,14029000,19706000,35094000,10259000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000,5000,5000,1000,1000,1000,1000,- -,3000,3000,3000,3000,3000,3000,3000,2000,2000,3000,3000,- -
63,Common Stock,2500000,15400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000,9000,10000,10000,26000,41000,43000,45000,47000,47000,67000,149000,269000,501000,574000,592000,2000,31000,50000,51000,70000,52000,1145000
64,Retained Earnings,-12300000,-11900000,-12200000,-12600000,-12300000,-12200000,-14400000,-10600000,-10700000,-11100000,-12600000,-18100000,-27000000,-33000000,-38200000,-45300000,-49750000,-54386000,-57881000,-58703000,-59494000,-62150000,-65379000,-70319000,-69848000,-74854000,-77100000,-80095000,-83795000,-88966000,-89467000,-112956000,-145682000,-124649000,-267896000,-528685000,-567332000,-595628000,-653584000
65,Other Comprehensive Income/Loss,- -,- -,-200000,-300000,-200000,-300000,-300000,-200000,-200000,-200000,-200000,-400000,-800000,-2300000,-2800000,-1000000,-959000,-1193000,-706000,1564000,-32000,3906000,-417000,-417000,-417000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,12800000,- -,15500000,15700000,15600000,15700000,18600000,15600000,15500000,15600000,15600000,25200000,32100000,39800000,47800000,53500000,53390000,59643000,59110000,58327000,60365000,64114000,68686000,70115000,70980000,71126000,71309000,74474000,78422000,82216000,82709000,82956000,84012000,105860000,519702000,540171000,548118000,566309000,674349000
67,Total Stockholders Equity,3000000,3500000,3100000,2800000,3100000,3200000,3900000,4800000,4600000,4300000,2800000,6700000,4300000,4500000,6800000,7200000,2689000,4073000,533000,1218000,870000,5916000,2934000,-575000,763000,-3680000,-5724000,-5469000,-5101000,-6246000,-6181000,-29405000,-61665000,-18755000,251858000,11539000,-19141000,-29264000,21910000
68,Total Liabilities And Stockholders Equity,3400000,3800000,3200000,3300000,3300000,3500000,4400000,5000000,4800000,4900000,3100000,11200000,9900000,8000000,12600000,11200000,5184000,5625000,1721000,1985000,1963000,8596000,7202000,7227000,3991000,590000,1384000,185000,129000,316000,300000,1057000,223000,194000,254537000,25568000,565000,5830000,32169000
69,Minority Interest,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,604000,770000,866000,- -,- -,- -,- -,-90000,-153000,-169000,-169000,-169000,-169000,-169000,-169000,-169000,- -
70,Total Liabilities & Equity,3500000,3800000,3200000,3300000,3300000,3500000,4400000,5000000,4800000,4900000,3100000,11200000,9900000,8000000,12600000,11200000,5184000,5625000,1721000,1985000,1963000,8596000,7806000,7997000,4857000,590000,1384000,185000,129000,226000,147000,888000,54000,25000,254368000,25399000,396000,5661000,32169000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/109657/000165495421004295/0001654954-21-004295-index.htm,https://www.sec.gov/Archives/edgar/data/109657/000149315222007883/0001493152-22-007883-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-300000,-400000,300000,100000,700000,900000,-200000,-300000,-1500000,-5600000,-8900000,-6000000,-5200000,-7100000,-4495000,-4684000,-3495000,-822000,-791000,-2656000,-3109000,-4940000,471000,-5006000,-2246000,-2995000,-3700000,-5171000,-501000,-23489000,-32726000,21033000,-143247000,-259186000,-38647000,-28296000,-58013000
74,Depreciation and Amortization,- -,- -,- -,- -,20000,- -,- -,- -,- -,- -,100000,600000,1400000,1400000,1200000,1600000,838000,443000,412000,282000,177000,785000,154000,301000,893000,251000,55000,31000,23000,3000,2000,22000,2000,1000,2000,7000,4000,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12000,2000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,146000,- -,149000,307000,929000,176000,2630000,3761000,6591000,130124000,9696000,5308000,269000,16695000
77,Change in Working Capital,- -,- -,- -,-400000,300000,300000,900000,900000,-300000,-300000,-1500000,-3600000,-400000,- -,2300000,2100000,-2076000,1587000,-2991000,764000,-320000,4896000,-3646000,-3166000,1376000,-3419000,-1571000,49000,391000,-1234000,101000,-22687000,-32179000,42197000,16825000,-11836000,-5493000,-10001000,51343000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,145000,- -,- -,- -,- -,-40000,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,200000,- -,- -,- -,- -,- -,-100000,-200000,- -,400000,-200000,- -,237000,56000,463000,-9000,6000,49000,-108000,89000,41000,255000,3000,- -,-12000,-47000,17000,42000,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,252000,5000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-838000,7077000
81,Other Working Capital,- -,- -,2700000,2300000,2600000,2900000,3800000,4700000,4400000,4100000,2600000,-1000000,-1400000,-1400000,900000,3000000,924000,2511000,-480000,284000,-36000,4860000,1214000,-1952000,-576000,-3995000,-5566000,-5517000,-5126000,-6360000,-6259000,-28946000,-61125000,-18928000,-2103000,-13939000,-19432000,-29433000,21910000
82,Other Non-Cash Items,- -,- -,300000,800000,-570000,-400000,-1600000,-1800000,300000,100000,1300000,9000000,2600000,300000,-3100000,-1800000,3256000,-1233000,4649000,-1232000,705000,-6317000,4508000,7146000,-3012000,7859000,2825000,1231000,2016000,4486000,-220000,41775000,56485000,-71752000,-9134000,250642000,35169000,30766000,-25631000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,50000,- -,- -,- -,-200000,-500000,-1600000,400000,-5300000,-4300000,-4800000,-5200000,-2477000,-3887000,-1425000,-1008000,-229000,-3292000,-2093000,-671000,-270000,-169000,-937000,-1535000,-963000,-987000,-442000,-1749000,-4657000,-1930000,-5430000,-10677000,-3659000,-7262000,-15606000
84,CAPEX,- -,- -,- -,- -,-50000,- -,- -,- -,- -,-100000,-100000,- -,-100000,-100000,-100000,-100000,-381000,-160000,-11000,-6000,-13000,-47000,-205000,-108000,-97000,- -,- -,- -,- -,-2000,- -,-6000,-1000,- -,-4000,-36000,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3215000,- -,-132000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-69000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23040000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,- -,- -,500000,- -,- -,- -,- -,- -,- -,- -,62000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-320000,- -,- -,- -,-100000,- -,2100000,-200000,- -,-300000,- -,-100000,2531000,-143000,-145000,-174000,-147000,-262000,-2653000,- -,3060000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-370000,- -,- -,- -,-100000,500000,2000000,-200000,400000,-400000,-100000,-200000,2150000,-303000,-156000,-180000,-98000,-309000,-6073000,-108000,2762000,- -,- -,- -,- -,-2000,- -,-6000,-1000,- -,-4000,-36000,200000,- -,-23040000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8000,-6000,- -,- -,- -,-4415000,-100000,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3100000,4300000,6200000,7500000,- -,5868000,- -,- -,21000,622000,285000,70000,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24679000
