,https://roic.ai/company/BELFA,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,5800000,7000000,8700000,10300000,11000000,12700000,18400000,12600000,13700000,14100000,15600000,14500000,17200000,20700000,25600000,29215907,21561028,22269733,26757349,32334508,33151672,38830256,30618000,50898000,25362000,40443000,39284000,39343000,45831000,72051000,78113000,71005000,85067000,79937000,102987000,102315000,108503000
11,COGS and Expenses,16900000,20600000,28200000,33800000,32200000,36700000,39500000,42000000,44000000,47800000,63200000,58000000,64500000,75300000,95600000,111762697,111164355,94689953,140570209,165110812,189298396,231815260,233625000,267977000,186816000,279628000,284033000,279435000,332783000,471151000,536366000,471250000,474668000,518351000,484702000,448356000,517614000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,266000,176000,276000,4720000,622000,107000,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16000,156000,3978000,7588000,6662000,6802000,5317000,5448000,4746000,3542000
14,Depreciation and Amortization,1000000,1100000,1400000,1800000,2000000,2200000,2400000,2400000,2400000,2600000,3000000,3000000,3400000,4100000,6100000,5931755,7784577,5998426,8374918,9025364,10104373,9027659,7921000,7443000,6778000,8836000,8667000,9072000,12382000,19746000,23009000,21778000,20718000,18207000,16471000,16423000,16861000
15,EBITDA,2400000,4300000,7100000,6100000,200000,2200000,-400000,22500000,6400000,800000,12300000,12700000,13900000,21100000,30800000,43308216,-4924395,7776423,26551612,37395953,37819650,40076012,39625000,-11210000,-2917000,24416000,16539000,10126000,27703000,34115000,56329000,-54112000,37163000,47140000,14617000,33305000,47730000
16,EBITDA ratio,0.1341,0.1845,0.2107,0.1622,0.0066,0.0601,-0.0109,0.4464,0.1347,0.0175,0.1740,0.1939,0.1891,0.2324,0.2577,0.2982,-0.0513,0.0814,0.1675,0.1968,0.1752,0.1572,0.1529,-0.0434,-0.0160,0.0807,0.0560,0.0353,0.0793,0.0700,0.0993,-0.1082,0.0756,0.0860,0.0297,0.0715,0.0878
17,Operating Income,1000000,2700000,5500000,3800000,-2000000,-100000,-2900000,8400000,3500000,-2100000,7500000,7500000,9000000,15500000,23900000,33464114,-15119538,837939,17927293,24911141,26617360,23117726,25512000,-10749000,-17351000,15160000,7396000,1705000,15047000,14093000,28600000,-76512000,16338000,29611000,483000,18667000,31257000
18,Operating Income ratio,0.0559,0.1159,0.1632,0.1011,-0.0662,-0.0027,-0.0792,0.1667,0.0737,-0.0460,0.1061,0.1145,0.1224,0.1707,0.2000,0.2304,-0.1574,0.0088,0.1131,0.1311,0.1233,0.0907,0.0984,-0.0416,-0.0949,0.0501,0.0251,0.0059,0.0431,0.0289,0.0504,-0.1530,0.0332,0.0540,0.0010,0.0401,0.0575
19,Total Other Income Expenses (Gains),400000,500000,200000,500000,200000,200000,100000,11700000,500000,300000,1800000,2200000,1500000,1500000,800000,3912347,2410566,940058,249401,3459448,1097917,7930627,6192000,29402000,7656000,420000,476000,-667000,118000,-3702000,-2868000,-6040000,-6695000,-5995000,-7785000,-6531000,-3930000
20,Income Before Tax,1400000,3200000,5700000,4300000,- -,- -,-2800000,20100000,4000000,-1800000,9300000,9700000,10500000,17000000,24700000,37376461,-12708972,1777997,18176694,28370589,27715277,31048353,31704000,18653000,-9695000,15580000,7872000,1038000,15165000,10391000,25732000,-82552000,9643000,23616000,-7302000,12136000,27327000
21,Income Before Tax Ratio,0.0782,0.1373,0.1691,0.1144,- -,- -,-0.0765,0.3988,0.0842,-0.0394,0.1315,0.1481,0.1429,0.1872,0.2067,0.2574,-0.1323,0.0186,0.1147,0.1493,0.1284,0.1218,0.1223,0.0722,-0.0530,0.0515,0.0267,0.0036,0.0434,0.0213,0.0454,-0.1651,0.0196,0.0431,-0.0148,0.0261,0.0503
22,Income Tax expense (Gain),100000,600000,1600000,1200000,- -,-700000,500000,1200000,200000,-200000,1200000,1900000,1600000,1800000,3400000,5159000,-547000,1199000,4413000,3649000,7482000,5845000,5368000,-3724000,-1385000,1931000,4108000,-1364000,-743000,1296000,6535000,-17718000,21540000,2907000,1441000,-659000,2506000
23,Net Income,1300000,2600000,4100000,3100000,-1800000,700000,-3300000,18900000,3800000,-1600000,8100000,7800000,8900000,15200000,21300000,32217461,-12161972,578997,13763694,24721589,20233277,25203353,26336000,-14929000,-8310000,13649000,3764000,2402000,15908000,9095000,19197000,-64834000,-11897000,20709000,-8743000,12795000,24821000
24,Net Income ratio,0.0726,0.1116,0.1217,0.0824,-0.0596,0.0191,-0.0902,0.3750,0.0800,-0.0350,0.1146,0.1191,0.1211,0.1674,0.1782,0.2218,-0.1266,0.0061,0.0868,0.1301,0.0937,0.0989,0.1016,-0.0578,-0.0455,0.0451,0.0128,0.0084,0.0456,0.0187,0.0339,-0.1296,-0.0242,0.0378,-0.0178,0.0275,0.0457
25,EPS,0.07,0.14,0.22,0.17,-0.10,0.04,-0.17,0.97,0.20,-0.16,0.81,0.77,0.87,1.47,2.03,3.04,-1.13,0.05,1.25,2.19,1.76,2.16,2.22,-1.28,-0.72,1.17,0.32,0.21,1.41,0.79,1.64,-5.48,-0.99,1.73,-0.71,0.97,2.01
26,EPS Diluted,0.07,0.14,0.22,0.17,-0.10,0.04,-0.17,0.97,0.19,-0.16,0.81,0.77,0.86,1.45,1.98,2.94,-1.13,0.05,1.24,2.15,1.75,2.15,2.21,-1.28,-0.72,1.17,0.32,0.21,1.41,0.79,1.64,-5.48,-0.99,1.73,-0.71,0.97,2.01
27,Weighted Average Shares Outstanding,18571429,18571429,18636364,18787879,18947368,17500000,19411765,20000000,9868000,9894120,10021556,10127552,10176966,10361630,10476670,10582916,10715921,10907371,11020916,11283750,11510175,2702677,11861607,11527074,11538000,11679000,11773000,11800000,11415000,11666000,11873000,11924000,12032000,12114000,12284000,12330000,12330000
28,Weighted Average Shares Outstanding Diluted,18571429,18571429,18636364,18787879,18947368,17500000,19411765,20000000,9868000,9894120,10021556,10127552,10317756,10527844,10777485,10953540,10715921,11085934,11133471,11511095,11593258,2702677,11903425,11527074,11538000,11679000,11773000,11800000,11415000,11666000,11873000,11924000,12032000,12114000,12284000,12330000,12330000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/729580/000095011096000322/0000950110-96-000322-index.html,https://www.sec.gov/Archives/edgar/data/729580/000095011097000545/0000950110-97-000545-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/729580/000095011001000244/0000950110-01-000244-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/729580/000114420405009461/v014734_10-k.htm,https://www.sec.gov/Archives/edgar/data/729580/000114420406010168/v037509_10-k.htm,https://www.sec.gov/Archives/edgar/data/729580/000114420407013141/v068360_10-k.htm,https://www.sec.gov/Archives/edgar/data/729580/000114420408015714/v106810_10k.htm,https://www.sec.gov/Archives/edgar/data/729580/000114420409013931/0001144204-09-013931-index.html,https://www.sec.gov/Archives/edgar/data/729580/000114420410013110/0001144204-10-013110-index.html,https://www.sec.gov/Archives/edgar/data/729580/000072958011000009/bel10-k.htm,https://www.sec.gov/Archives/edgar/data/729580/000072958012000005/0000729580-12-000005-index.html,https://www.sec.gov/Archives/edgar/data/729580/000072958013000006/0000729580-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/729580/000072958014000005/bel10-k.htm,https://www.sec.gov/Archives/edgar/data/729580/000072958015000009/bel10-k.htm,https://www.sec.gov/Archives/edgar/data/729580/000072958016000036/0000729580-16-000036-index.html,https://www.sec.gov/Archives/edgar/data/729580/000072958017000006/0000729580-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/729580/000072958018000006/0000729580-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/729580/000072958019000007/0000729580-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/729580/000143774920006060/0001437749-20-006060-index.html,https://www.sec.gov/Archives/edgar/data/729580/000143774921005899/0001437749-21-005899-index.htm,https://www.sec.gov/Archives/edgar/data/729580/000143774922006139/0001437749-22-006139-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,8500000,7800000,8900000,8300000,6300000,3200000,2300000,17100000,8100000,2800000,8300000,23500000,29200000,14900000,31400000,62587033,69278574,59002581,57461152,71197891,51997634,76760543,83875000,74955000,124231000,83829000,88241000,71262000,62123000,77138000,85040000,73411000,69354000,53911000,72289000,84939000,61756000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2300000,231431,2342663,4966275,5038749,23120028,38463108,15576212,3273000,17748000,2000,1706000,5731000,2000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,8500000,7800000,8900000,8300000,6300000,3200000,2300000,17100000,8100000,2800000,8300000,23500000,29200000,14900000,33700000,62818464,71621237,63968856,62499901,94317919,90460742,92336755,87148000,92703000,124233000,85535000,93972000,71264000,62123000,77138000,85040000,73411000,69354000,53911000,72289000,84939000,61756000
34,Net Receivables,2100000,3300000,3800000,4500000,4500000,4800000,5700000,7500000,6100000,8100000,11700000,8900000,11200000,17100000,18800000,25165748,9814914,16839497,30381613,33247911,39304984,43765750,55385000,46047000,38038000,57682000,41978000,46041000,65538000,99605000,86268000,74416000,78808000,107738000,92410000,85507000,87135000
35,Inventory,2200000,3200000,4300000,4200000,4400000,6000000,5700000,7000000,8800000,8800000,10800000,8400000,12200000,21800000,24200000,30259606,13870822,12384472,26228697,29101060,32947103,46297208,39049000,46524000,31791000,56970000,53361000,54924000,70019000,113630000,98510000,98871000,107719000,120068000,107276000,100133000,139383000
36,Other Current Assets,400000,100000,100000,200000,1800000,500000,600000,300000,9300000,8500000,5800000,3500000,800000,700000,400000,972120,1913134,1311086,2354475,3100731,2519148,3896713,24649000,8345000,1768000,3377000,18378000,18907000,6514000,20283000,15636000,8744000,10218000,8792000,11206000,9637000,40742000
37,Total Current Assets,13200000,14400000,17100000,17200000,17000000,14500000,14300000,31900000,32300000,28200000,36600000,44300000,53400000,54500000,77100000,119215938,97220107,94503911,121464686,159767621,165231977,186296426,206231000,193619000,195830000,203564000,207689000,191136000,204194000,310656000,285454000,255442000,266099000,290509000,283181000,280216000,329016000
38,PP&E,6900000,8800000,11900000,13200000,13900000,15800000,13400000,16800000,19500000,22200000,26700000,26300000,29100000,35500000,36000000,39738064,36353951,37605195,44119786,41244759,42379356,44289159,41113000,39936000,35943000,44793000,39414000,34974000,40896000,70661000,57611000,48755000,43495000,43932000,60447000,48718000,59462000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13653521,- -,- -,- -,- -,28117143,28447000,14334000,1957000,4264000,4163000,14218000,18360000,117573000,121634000,17951000,20177000,19817000,21993000,23966000,- -
40,Intangible Assets,- -,600000,1700000,2600000,3000000,3600000,200000,200000,200000,200000,100000,- -,- -,13200000,11700000,10241051,- -,7624729,13519839,12573536,25210122,1892417,1181000,926000,551000,11291000,10877000,20963000,29472000,95502000,87827000,74828000,69366000,62689000,72365000,65789000,- -
41,Intangible Assets,- -,600000,1700000,2600000,3000000,3600000,200000,200000,200000,200000,100000,- -,- -,13200000,11700000,10241051,13653521,7624729,13519839,12573536,25210122,30009560,29628000,15260000,2508000,15555000,15040000,35181000,47832000,213075000,209461000,92779000,89543000,82506000,94358000,89755000,87646000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3901000,3425375,4364000,5205000,4516000,3201000,- -,1403000,1680000,7933000,3321000,3410000,4155000,496000,3731000,5705000,- -
44,Other Non-Current Assets,400000,600000,500000,400000,700000,600000,500000,1100000,1100000,1100000,1100000,1000000,700000,400000,400000,318352,288943,7159077,2712250,4190655,5333462,4476990,9524000,6764000,7149000,10059000,14768000,12524000,13448000,33700000,31164000,26354000,27973000,26081000,27200000,29472000,35722000
45,Total Non-Current Assets,7300000,10000000,14100000,16200000,17600000,20000000,14100000,18100000,20800000,23500000,27900000,27300000,29800000,49100000,48100000,50297467,50296415,52389001,60351875,58008950,76823940,82201084,87629000,68165000,50116000,73608000,69222000,84082000,103856000,325369000,301557000,171298000,165166000,153015000,185736000,173650000,182830000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,20500000,24400000,31200000,33400000,34600000,34500000,28400000,50000000,53100000,51700000,64500000,71600000,83200000,103600000,125200000,169513405,147516522,146892912,181816561,217776571,242055917,268497510,293860000,261784000,245946000,277172000,276911000,275218000,308050000,636025000,587011000,426740000,431265000,443524000,468917000,453866000,511846000
48,Accounts Payable,- -,- -,- -,- -,1200000,2000000,800000,1300000,1300000,3200000,3400000,3300000,3500000,5000000,4400000,13038299,4624185,5099894,7514860,8814161,14560827,17244937,16145000,14285000,17194000,21180000,18459000,18862000,29518000,61926000,49798000,47235000,47947000,56171000,44169000,39774000,65960000
49,Short-Term Debt,200000,200000,- -,- -,1700000,600000,- -,- -,- -,300000,- -,- -,- -,- -,- -,- -,- -,- -,2000000,2000000,- -,- -,- -,- -,- -,- -,- -,205000,12739000,13438000,24772000,11395000,2641000,2508000,12866000,11877000,6880000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1863000,1584000,224000,1040000,1394000,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5705000,- -
52,Other Current Liabilities,1400000,2600000,3800000,2700000,2000000,2300000,1500000,3600000,3100000,2000000,4600000,4200000,5900000,8700000,9600000,8458026,8897425,6614871,10199121,21329531,22467853,24374107,16915000,15349000,10803000,25088000,23966000,27321000,24633000,46438000,47456000,33697000,36712000,47351000,33183000,30180000,39172000
53,Total Current Liabilities,1600000,2800000,3800000,2700000,4900000,4900000,2300000,4900000,4400000,5500000,8000000,7500000,9400000,13700000,14000000,21496325,13521610,11714765,19713981,32143692,37028680,41619044,33060000,29634000,27997000,46268000,42425000,46388000,66890000,121802000,122026000,92327000,87300000,106030000,90218000,87536000,112012000
54,Long-Term Debt,400000,400000,200000,200000,100000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6500000,4500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,219187000,162416000,129850000,120053000,111705000,138215000,110294000,127168000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,200000,300000,700000,800000,1700000,800000,800000,600000,400000,200000,600000,800000,1000000,1100000,1000000,7001000,4532000,4519000,6764000,410000,- -,- -,- -,- -,- -,- -,- -,- -,- -,15865000,13002000,1460000,1567000,1161000,1726000,1030000,- -
57,Other Non-Current Liabilities,100000,- -,- -,- -,100000,- -,- -,100000,- -,100000,- -,-100000,- -,- -,-100000,- -,- -,- -,1983627,2261583,3450688,4728286,16273000,14377000,9017000,10571000,13406000,13439000,12458000,54420000,56445000,44669000,64385000,48158000,70707000,69207000,63923000
58,Total Non-Current Liabilities,700000,700000,900000,1000000,1900000,1100000,800000,700000,400000,300000,600000,700000,1000000,1100000,900000,7001000,4532000,4519000,15247627,7171583,3450688,4728286,16273000,14377000,9017000,10571000,13406000,13439000,12458000,289472000,231863000,175979000,186005000,161024000,210648000,180531000,191091000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19128000,14655000,21548000
61,Total Liabilities,2300000,3500000,4700000,3700000,6800000,6000000,3100000,5600000,4800000,5800000,8600000,8200000,10400000,14800000,14900000,28497325,18053610,16233765,34961608,39315275,40479368,46347330,49333000,44011000,37014000,56839000,55831000,59827000,79348000,411274000,353889000,268306000,273305000,267054000,300866000,268067000,303103000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1100000,1064062,1076976,1093772,1116236,1136327,1171595,1187035,1184000,1155000,1163000,1170000,1181000,1154000,1150000,1186000,1187000,1202000,1203000,1226000,1227000,1235000,- -
64,Retained Earnings,13400000,16000000,20100000,23300000,21400000,22100000,18900000,37800000,41600000,40000000,48100000,55900000,64800000,79700000,99800000,130470576,116699114,115632819,127406693,149949283,167991188,190952754,214580000,196467000,185014000,195477000,196029000,195212000,207993000,213901000,229371000,161287000,147807000,168695000,157063000,166491000,- -
65,Other Comprehensive Income/Loss,-3500000,-4500000,-5800000,-7400000,-8900000,-10900000,-13100000,-12100000,-14400000,-16500000,-19000000,-21800000,-25200000,-27200000,-31700000,-36042880,-37074879,-50132,979576,5386512,700158,-1815655,-344000,188000,1092000,-39000,-1550000,-1427000,645000,-11962000,-21876000,-31297000,-19625000,-24838000,-24065000,-18063000,-18863000
66,Other Total Stockholders Equity,8300000,9400000,12200000,13800000,15300000,17300000,19500000,18700000,21100000,22400000,26800000,29300000,33200000,36300000,41100000,45524322,48761701,13982688,17352448,21989174,31713608,31826046,29107000,19963000,21663000,23725000,25420000,20452000,18914000,21626000,24440000,27242000,28575000,31387000,33826000,36136000,- -
67,Total Stockholders Equity,18200000,20900000,26500000,29700000,27800000,28500000,25300000,44400000,48300000,45900000,55900000,63400000,72800000,88800000,110300000,141016080,129462912,130659147,146854953,178461296,201576549,222150180,244527000,217773000,208932000,220333000,221080000,215391000,228702000,224751000,233122000,158434000,157960000,176470000,168051000,185799000,208743000
68,Total Liabilities And Stockholders Equity,20500000,24400000,31200000,33400000,34600000,34500000,28400000,50000000,53100000,51700000,64500000,71600000,83200000,103600000,125200000,169513405,147516522,146892912,181816561,217776571,242055917,268497510,293860000,261784000,245946000,277172000,276911000,275218000,308050000,636025000,587011000,426740000,431265000,443524000,468917000,453866000,511846000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,20500000,24400000,31200000,33400000,34600000,34500000,28400000,50000000,53100000,51700000,64500000,71600000,83200000,103600000,125200000,169513405,147516522,146892912,181816561,217776571,242055917,268497510,293860000,261784000,245946000,277172000,276911000,275218000,308050000,636025000,587011000,426740000,431265000,443524000,468917000,453866000,511846000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/729580/000095011096000322/0000950110-96-000322-index.html,https://www.sec.gov/Archives/edgar/data/729580/000095011097000545/0000950110-97-000545-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/729580/000095011001000244/0000950110-01-000244-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/729580/000114420405009461/v014734_10-k.htm,https://www.sec.gov/Archives/edgar/data/729580/000114420406010168/v037509_10-k.htm,https://www.sec.gov/Archives/edgar/data/729580/000114420407013141/v068360_10-k.htm,https://www.sec.gov/Archives/edgar/data/729580/000114420408015714/v106810_10k.htm,https://www.sec.gov/Archives/edgar/data/729580/000114420409013931/0001144204-09-013931-index.html,https://www.sec.gov/Archives/edgar/data/729580/000114420410013110/0001144204-10-013110-index.html,https://www.sec.gov/Archives/edgar/data/729580/000072958011000009/bel10-k.htm,https://www.sec.gov/Archives/edgar/data/729580/000072958012000005/0000729580-12-000005-index.html,https://www.sec.gov/Archives/edgar/data/729580/000072958013000006/0000729580-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/729580/000072958014000005/bel10-k.htm,https://www.sec.gov/Archives/edgar/data/729580/000072958015000009/bel10-k.htm,https://www.sec.gov/Archives/edgar/data/729580/000072958016000036/0000729580-16-000036-index.html,https://www.sec.gov/Archives/edgar/data/729580/000072958017000006/0000729580-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/729580/000072958018000006/0000729580-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/729580/000072958019000007/0000729580-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/729580/000143774920006060/0001437749-20-006060-index.html,https://www.sec.gov/Archives/edgar/data/729580/000143774921005899/0001437749-21-005899-index.htm,https://www.sec.gov/Archives/edgar/data/729580/000143774922006139/0001437749-22-006139-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,-1800000,700000,-3300000,18900000,3800000,-1600000,8100000,7800000,8900000,15200000,21300000,32217461,-12161972,578997,13763694,24721589,20233277,25203353,26336000,-14929000,-8310000,13649000,3764000,2402000,15908000,9095000,19197000,-64834000,-11897000,20709000,-8743000,12795000,24821000
74,Depreciation and Amortization,- -,- -,- -,- -,2000000,2200000,2400000,2400000,2400000,2600000,3000000,3000000,3400000,4100000,6100000,5931755,7784577,5998426,8374918,9025364,10104373,9027659,7921000,7443000,6778000,8836000,8667000,9072000,12382000,19746000,23009000,21778000,20718000,18207000,16471000,16423000,16861000
75,Deferred Income Tax,- -,- -,- -,- -,1000000,-1000000,100000,-100000,-100000,-400000,100000,400000,-100000,300000,-400000,1783000,-2592000,405000,1591000,-4986000,-3602000,-988237,-2039000,-3616000,4004000,725000,683000,-1222000,-877000,-2562000,-356000,-6401000,-315000,2490000,-2172000,-1743000,441000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1731000,2200000,1709000,1767000,1879000,2717000,2815000,2817000,3030000,2835000,2888000,2318000,2300000
77,Change in Working Capital,- -,- -,- -,- -,-1700000,2400000,15000000,900000,-5200000,5900000,8200000,7200000,-3200000,22300000,34619613,-14021116,-909351,18961559,25873224,579368,16474085,28493618,-9186000,3848000,-10537000,7968000,-20516000,-7444000,51550000,-25426000,-313000,15684000,5680000,8484000,-283000,48828000,-35973000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11297000,-12164000,14172000,260000,-8025000,1382000,12187000,10803000,-2948000,-13004000,19298000,5397000,-12982000
79,Inventory,- -,- -,- -,- -,-700000,-1200000,-100000,-1300000,-2000000,-600000,-2500000,2400000,-3800000,-2200000,-2400000,-6048952,1863260,1486350,2043609,-2774275,-1145242,-13500956,7482000,-7585000,14763000,-17648000,3561000,-343000,-6538000,9121000,12951000,-2794000,-6160000,-24735000,17087000,9690000,-34005000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2905000,1716000,-2683000,-1422000,1485000,-3890000,-10022000,-588000,-1426000,8995000,-15105000,-6044000,23961000
