,https://roic.ai/company/BHVN,2015,2016,2017,2018,2019,2020,2021
35,Inventory,- -,- -,- -,- -,- -,39563000,80608000
36,Other Current Assets,427000,470000,5197000,8090000,8576000,88398000,122784000
37,Total Current Assets,1887000,24035000,136665000,272339000,328281000,603406000,876254000
38,PP&E,5000,26000,2344000,6248000,8152000,9340000,14690000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,39087000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,39087000,56438000
42,Investments,- -,2753000,7847000,11414000,5338000,1176000,- -
43,Tax Assets,- -,9000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,194000,32000,11000,2493000,33966000,129830000
45,Total Non-Current Assets,5000,2982000,10223000,17673000,15983000,83569000,200958000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1892000,27017000,146888000,290012000,344264000,686975000,1077212000
48,Accounts Payable,68000,746000,4721000,10752000,14071000,48476000,51683000
49,Short-Term Debt,- -,4216000,362000,- -,- -,- -,- -
50,Tax Payable,- -,99000,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,261000,2980000,4346000,8782000,52102000,228284000,482519000
53,Total Current Liabilities,329000,7942000,9429000,19534000,66173000,276760000,534202000
54,Long-Term Debt,- -,595000,- -,117515000,- -,267458000,626720000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,476000,1305000,5488000,2043000,285515000,534946000,599299000
58,Total Non-Current Liabilities,476000,1900000,5488000,119558000,285515000,802404000,1226019000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,362000,- -,- -,- -,- -
61,Total Liabilities,805000,9842000,14917000,139092000,351688000,1079164000,1760221000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,8665000,82152000,311061000,554384000,881426000,1249547000,1676792000
64,Retained Earnings,-11779000,-75456000,-202646000,-443568000,-972373000,-1739169000,-2585755000
65,Other Comprehensive Income/Loss,-3000,-8000,-43000,-303000,-932000,314000,-73000
66,Other Total Stockholders Equity,4261000,10487000,23599000,40407000,84455000,98938000,- -
67,Total Stockholders Equity,1144000,17175000,131971000,150920000,-7424000,-390370000,-739380000
68,Total Liabilities And Stockholders Equity,1949000,27017000,146888000,290012000,344264000,688794000,1020841000
69,Minority Interest,-57000,- -,- -,- -,- -,-1819000,56371000
70,Total Liabilities & Equity,1892000,27017000,146888000,290012000,344264000,686975000,1077212000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1689813/000104746918001326/0001047469-18-001326-index.htm,https://www.sec.gov/Archives/edgar/data/1689813/000168981319000014/0001689813-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1689813/000168981320000016/0001689813-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1689813/000168981321000024/0001689813-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1689813/000168981322000014/0001689813-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-10062000,-63677000,-127190000,-240922000,-528805000,-766796000,-846586000
74,Depreciation and Amortization,- -,5000,- -,- -,- -,9447000,24932000
75,Deferred Income Tax,- -,-9000,9000,- -,- -,- -,- -
76,Stock Based Compensation,2837000,4603000,13239000,16925000,54972000,57414000,127127000
77,Change in Working Capital,-261000,14535000,111143000,125569000,9303000,64538000,-216771000
78,Accounts Receivable,- -,- -,- -,- -,- -,-120111000,-188158000
79,Inventory,- -,- -,- -,- -,- -,-37965000,-24102000
80,Accounts Payable,23000,678000,3975000,5390000,3319000,32807000,2215000
81,Other Working Capital,1558000,16093000,127236000,252805000,262108000,326646000,- -
82,Other Non-Cash Items,1861000,15039000,-92016000,-98713000,87199000,-67482000,80198000
83,Cash Provided by Operating Activities,-5625000,-29504000,-94815000,-197141000,-377331000,-702879000,-831100000
84,CAPEX,-3000,-26000,-541000,-4165000,-3784000,-45470000,-1718000
85,Acquisitions Net,- -,-3000000,-6627000,-6375000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-319395000,-193295000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,94985000,221565000
88,Other Investing Activites,- -,-127000,127000,- -,- -,-41500000,- -
89,Cash Used for Investing Activites,-3000,-3153000,-7041000,-10540000,-3784000,-269880000,26552000
90,Debt Repayment,- -,- -,-5595000,- -,- -,-2240000,-21218000
91,Common Stock Issued,4853000,11399000,179996000,234078000,303221000,283333000,308743000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,463000,43363000,35358000,106384000,131372000,507731000,557324000
95,Cash Used/Provided by Financing Activities,5316000,54762000,209759000,340462000,434593000,788824000,844849000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,439000,-189000
97,Net Change In Cash,-312000,22105000,107903000,132781000,53478000,-183496000,40112000
98,Cash at the End of Period,1460000,23565000,131468000,264249000,317727000,134231000,174343000
99,Cash at the Beginning of Period,1772000,1460000,23565000,131468000,264249000,317727000,134231000
100,Free Cash Flow,-5628000,-29530000,-95356000,-201306000,-381115000,-748349000,-832818000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1689813/000104746918001326/0001047469-18-001326-index.htm,https://www.sec.gov/Archives/edgar/data/1689813/000168981319000014/0001689813-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1689813/000168981320000016/0001689813-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1689813/000168981321000024/0001689813-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1689813/000168981322000014/0001689813-22-000014-index.htm
102,false,,,,,,,
