,https://roic.ai/company/APWC,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1026980/000095013608001379/file1.htm,https://www.sec.gov/Archives/edgar/data/1026980/000095013608003246/file1.htm,https://www.sec.gov/Archives/edgar/data/1026980/000095012309017897/y01848e20vf.htm,https://www.sec.gov/Archives/edgar/data/1026980/000095012310049827/y03505e20vf.htm,https://www.sec.gov/Archives/edgar/data/1026980/000095012311049931/y04857e20vf.htm,https://www.sec.gov/Archives/edgar/data/1026980/000129281412001198/apwcform20f_2011.htm,- -,https://www.sec.gov/Archives/edgar/data/1026980/000129281414001070/apwcform20f_2013.htm,https://www.sec.gov/Archives/edgar/data/1026980/000117184315002394/f20f_043015.htm,https://www.sec.gov/Archives/edgar/data/1026980/000117184316009568/f20f_043016.htm,https://www.sec.gov/Archives/edgar/data/1026980/000117184317002434/f20f_042817.htm,https://www.sec.gov/Archives/edgar/data/1026980/000156459018009676/apwc-20f_20171231.htm,https://www.sec.gov/Archives/edgar/data/1026980/000156459019013702/apwc-20f_20181231.htm,https://www.sec.gov/Archives/edgar/data/1026980/000156459020019390/apwc-20f_20191231.htm,https://www.sec.gov/Archives/edgar/data/1026980/000156459021021602/0001564590-21-021602-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,11600000,21300000,16768000,20883000,11350000,14431000,25032000,18504000,20748000,24664000,29127000,37510000,41534000,63217000,76672000,79026000,62509000,68863000,51303000,48231000,46093000,60778000,53673000,52237000
32,Short-Term Investments,- -,- -,4603000,11387000,7113000,3892000,3567000,8169000,11264000,13587000,18714000,68000,106000,- -,2529000,2378000,- -,- -,19000,187000,- -,- -,- -,- -
33,Cash and Short-Term Investments,11600000,21300000,21371000,32270000,18463000,18323000,28599000,26673000,32012000,38251000,47841000,37578000,41640000,63217000,79201000,81404000,62509000,68863000,51322000,48418000,46093000,60778000,53673000,52237000
34,Net Receivables,30000000,36800000,36542000,39116000,38633000,58415000,61975000,83210000,83527000,128956000,154540000,102823000,107513000,152700000,103556000,129194000,137874000,137860000,106805000,111008000,135428000,105560000,97197000,109490000
35,Inventory,21800000,39600000,34579000,34356000,29745000,39520000,45696000,62395000,59013000,109013000,105431000,72562000,69047000,85980000,79015000,98521000,98194000,107408000,83137000,77407000,97205000,83925000,85187000,96371000
36,Other Current Assets,19000000,8800000,4858000,5226000,7816000,4530000,4600000,16369000,17035000,15332000,14760000,33310000,20848000,27564000,26925000,21089000,3672000,3861000,6258000,7795000,4301000,3885000,3447000,5601000
37,Total Current Assets,82400000,106500000,97350000,110968000,94657000,120788000,140870000,188647000,191587000,291552000,322572000,246273000,239048000,329461000,288697000,330208000,302249000,317992000,247522000,244628000,283027000,254148000,239504000,263699000
38,PP&E,32100000,75700000,73676000,63682000,58139000,68250000,67961000,64803000,56851000,57344000,57518000,48006000,43640000,43901000,42914000,50396000,48709000,47929000,45898000,39637000,42326000,42396000,45482000,57948000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8801000,8801000,8801000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,7000000,4721000,4910000,5609000,7607000,8324000,8324000,8324000,8801000,8801000,- -,- -,- -,- -,- -,104000,110000,93000,173000,138000,157000,128000,180000
41,Intangible Assets,- -,7000000,4721000,4910000,5609000,7607000,8324000,8324000,8324000,8801000,8801000,8801000,8801000,8801000,- -,- -,104000,110000,93000,173000,138000,157000,128000,180000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4647000,3843000,3986000,5053000,5416000,6461000,5386000,4801000,3860000,3608000,3196000,4997000,3201000
43,Tax Assets,- -,- -,- -,- -,1245000,233000,2113000,95000,1184000,2039000,2032000,1182000,613000,677000,517000,2475000,3978000,4551000,4481000,3114000,3022000,3919000,3939000,3889000
44,Other Non-Current Assets,23800000,19400000,15605000,7157000,11247000,11315000,12908000,8564000,4992000,4829000,5193000,889000,107000,97000,108000,889000,3134000,2704000,2607000,2184000,2722000,1982000,4861000,9202000
45,Total Non-Current Assets,55900000,102100000,94002000,75749000,76240000,87405000,91306000,81786000,71351000,73013000,73544000,63525000,57004000,57462000,48592000,59176000,62386000,60680000,57880000,48968000,51816000,51650000,59407000,74420000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,138300000,208600000,191352000,186717000,170897000,208193000,232176000,270433000,262938000,364565000,396116000,309798000,296052000,386923000,337289000,389384000,364635000,378672000,305402000,293596000,334843000,305798000,298911000,338119000
48,Accounts Payable,18400000,24300000,17312000,12530000,14573000,12767000,16508000,23799000,20011000,31114000,32325000,72178000,51193000,59129000,22148000,40616000,41369000,30411000,27343000,30023000,22973000,15941000,10509000,17358000
49,Short-Term Debt,7800000,35500000,34243000,50384000,40766000,56236000,24302000,51444000,50897000,100195000,104146000,59694000,38917000,69083000,54545000,59577000,41826000,53894000,37723000,28254000,41187000,24858000,11930000,10682000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5710000,7059000,10627000,9835000,11225000,9874000,7752000,6031000,3473000,4536000,3863000,2872000,3567000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,756000,216000,259000
52,Other Current Liabilities,12900000,15500000,14202000,16893000,11708000,5339000,28919000,33252000,40329000,52159000,53692000,13973000,21799000,30596000,41048000,46301000,44577000,64154000,37503000,29339000,37115000,30183000,30994000,55077000
53,Total Current Liabilities,39100000,75300000,65757000,79807000,67047000,74342000,69729000,108495000,111237000,183468000,190163000,145845000,111909000,158808000,117741000,146494000,127772000,148459000,102569000,87616000,101275000,71738000,53649000,83376000
54,Long-Term Debt,16400000,13800000,12730000,14246000,10746000,9497000,9478000,5945000,7541000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3650000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,100000,1200000,1384000,2159000,2299000,2336000,1774000,1640000,300000,728000,698000,782000,1005000,1581000,1181000,2219000,2676000,2720000,2734000,2588000,3154000,3925000,4139000,4408000
57,Other Non-Current Liabilities,- -,100000,194000,268000,229000,232000,197000,217000,166000,387000,578000,464000,546000,822000,3678000,6060000,6060000,6282000,6031000,6217000,7588000,8319000,12688000,11810000
58,Total Non-Current Liabilities,16500000,15100000,14308000,16673000,13274000,12065000,11449000,7802000,8007000,1115000,1276000,1246000,1551000,2403000,4859000,8279000,8736000,9002000,8765000,8805000,10742000,12244000,16827000,19868000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65000,69000,73000,83000,78000,90000,2828000,2334000
61,Total Liabilities,55600000,90400000,80065000,96480000,80321000,86407000,81178000,116297000,119244000,184583000,191439000,147091000,113460000,161211000,122600000,154773000,136508000,157461000,111334000,96421000,112017000,83982000,70476000,103244000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,100000,100000,107000,107000,107000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000,138000
64,Retained Earnings,11900000,16000000,9834000,4691000,3408000,11032000,21032000,18508000,13551000,26524000,29468000,15819000,25908000,40229000,34545000,45553000,51766000,52338000,44180000,46012000,53350000,55016000,53384000,52832000
65,Other Comprehensive Income/Loss,-21300000,-32000000,-40642000,-39198000,-43169000,-30664000,-25535000,-23041000,-27608000,-19438000,-4364000,-13369000,-10195000,1286000,286000,5424000,-127537000,-129898000,-116609000,-115710000,-128144000,-129286000,-141012000,-141107000
66,Other Total Stockholders Equity,92000000,134100000,141988000,124637000,130230000,111541000,111541000,111541000,111541000,111541000,111541000,111541000,111541000,111541000,111541000,110602000,232881000,230454000,207621000,205510000,227984000,224160000,241344000,245997000
67,Total Stockholders Equity,82700000,118200000,111287000,90237000,90576000,92047000,107176000,107146000,97622000,118765000,136783000,114129000,127392000,153194000,146510000,161717000,157248000,153032000,135330000,135950000,153328000,150028000,153854000,157860000
68,Total Liabilities And Stockholders Equity,138300000,208600000,191352000,186717000,170897000,178454000,188354000,223443000,216866000,303348000,328222000,261220000,240852000,314405000,269110000,316490000,293756000,310493000,246664000,232371000,265345000,234010000,224330000,261104000
69,Minority Interest,- -,- -,- -,- -,- -,29739000,43822000,46990000,46072000,61217000,67894000,48578000,55200000,72518000,68179000,72894000,70879000,68179000,58738000,61225000,69498000,71788000,74581000,77015000
70,Total Liabilities & Equity,138300000,208600000,191352000,186717000,170897000,208193000,232176000,270433000,262938000,364565000,396116000,309798000,296052000,386923000,337289000,389384000,364635000,378672000,305402000,293596000,334843000,305798000,298911000,338119000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1026980/000095013608001379/file1.htm,https://www.sec.gov/Archives/edgar/data/1026980/000095013608003246/file1.htm,https://www.sec.gov/Archives/edgar/data/1026980/000095012309017897/y01848e20vf.htm,https://www.sec.gov/Archives/edgar/data/1026980/000095012310049827/y03505e20vf.htm,https://www.sec.gov/Archives/edgar/data/1026980/000095012311049931/y04857e20vf.htm,https://www.sec.gov/Archives/edgar/data/1026980/000129281412001198/apwcform20f_2011.htm,- -,https://www.sec.gov/Archives/edgar/data/1026980/000129281414001070/apwcform20f_2013.htm,https://www.sec.gov/Archives/edgar/data/1026980/000117184315002394/f20f_043015.htm,https://www.sec.gov/Archives/edgar/data/1026980/000117184316009568/f20f_043016.htm,https://www.sec.gov/Archives/edgar/data/1026980/000117184317002434/f20f_042817.htm,https://www.sec.gov/Archives/edgar/data/1026980/000156459018009676/apwc-20f_20171231.htm,https://www.sec.gov/Archives/edgar/data/1026980/000156459019013702/apwc-20f_20181231.htm,https://www.sec.gov/Archives/edgar/data/1026980/000156459020019390/apwc-20f_20191231.htm,https://www.sec.gov/Archives/edgar/data/1026980/000156459021021602/0001564590-21-021602-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-6000000,4100000,-6168000,-5143000,-1283000,4791000,10000000,-2524000,-4957000,12973000,4833000,-13649000,10089000,14140000,-5439000,10949000,5847000,572000,-8158000,2853000,8720000,2928000,-1632000,-552000
74,Depreciation and Amortization,4700000,5500000,10463000,10197000,10001000,9805000,9217000,8295000,9429000,8989000,9079000,7646000,8941000,6857000,6462000,4975000,5659000,6046000,5634000,5497000,5021000,4980000,5324000,5402000
75,Deferred Income Tax,-2400000,4800000,-666000,5792000,-2247000,1867000,-2110000,126000,-324000,-423000,-1969000,-145000,1196000,-213000,-2273000,1264000,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-11100000,6900000,-2471000,-5510000,-2853000,-11089000,4008000,-34019000,3025000,-74846000,-3601000,46555000,18677000,-31380000,13309000,-7557000,4275000,-4874000,11105000,1534000,-33281000,27153000,11933000,4839000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36193000,-552000,-31779000,34052000,-23103000,- -,- -,- -,- -,- -,27993000,16031000,-1899000
79,Inventory,-9000000,-1900000,3757000,-728000,3406000,-7746000,-6253000,-18138000,3037000,-52017000,4854000,7724000,30069000,-8595000,-5539000,-12022000,-5350000,-15521000,16020000,7713000,-11523000,10339000,3166000,-8828000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1165000,-343000,-1625000,2045000,4668000,-7713000,-268000,2335000,-1477000,939000,2777000
82,Other Non-Cash Items,20700000,-300000,3363000,-19344000,4305000,13975000,2731000,9987000,13055000,10377000,-6436000,19640000,-20496000,7960000,10565000,2017000,4831000,6398000,623000,-870000,2641000,5588000,-485000,6686000
83,Cash Provided by Operating Activities,5900000,21000000,4521000,-14008000,7923000,19349000,23846000,-18135000,20228000,-42930000,1906000,60047000,18407000,-2636000,22624000,11648000,20612000,8142000,9204000,9014000,-16899000,40649000,15140000,16375000
84,CAPEX,-4600000,-5900000,-5054000,-11435000,-8369000,-11135000,-4877000,-4269000,-4618000,-5202000,-2889000,-3383000,-3260000,-3653000,-8888000,-10937000,-9509000,-5990000,53000,4695000,-84000,-4508000,-5462000,-14604000
85,Acquisitions Net,- -,- -,- -,- -,- -,-1998000,-1091000,- -,- -,-477000,- -,- -,- -,- -,- -,- -,- -,-327000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-942000,-97000,-197000,- -,-4583000,-14792000,-1056000,-3156000,- -,- -,-3066000,-16531000,-8888000,- -,- -,- -,- -,- -,-410000,-1107000,-4227000
87,Sales/Maturities of Investments,- -,- -,- -,10000,4274000,3221000,603000,2858000,- -,9245000,583000,- -,10984000,- -,11350000,3897000,3890000,- -,- -,4695000,340000,- -,- -,- -
88,Other Investing Activites,-29600000,22200000,-373000,12833000,-146000,-4469000,7840000,761000,743000,764000,1414000,-1773000,153000,147000,165000,173000,142000,26000,96000,197000,8427000,33000,151000,-1532000
89,Cash Used for Investing Activites,-34200000,16300000,-5427000,466000,-4338000,-14578000,2475000,-5233000,-18667000,3274000,-4048000,-5156000,7877000,-6572000,-13904000,-15755000,-5462000,-6252000,-7321000,-152000,3864000,-4818000,-6398000,-20296000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-54883000,-30733000,-19608000,-22503000,-6000000,-40818000,-14535000,-41553000,-35346000,-17306000,-25737000,-20237000,-6262000
91,Common Stock Issued,33300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6000,-32000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-1300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3195000,- -,- -,- -,- -,- -,-1382000,-1106000,- -,- -
94,Other Financing Activites,5700000,-27900000,-3663000,17657000,-13118000,-4878000,-16507000,24371000,1144000,41796000,3951000,10431000,9023000,46021000,31319000,5944000,21479000,22193000,26920000,24933000,25730000,7265000,2288000,8323000
95,Cash Used/Provided by Financing Activities,37700000,-27900000,-3663000,17657000,-13118000,-4878000,-16507000,24371000,1144000,41796000,3951000,-44452000,-21710000,26413000,5621000,-62000,-19371000,7658000,-14633000,-10413000,7042000,-19578000,-17949000,2061000
96,Effect of Forex Changes on Cash,-11800000,200000,73000,- -,- -,297000,787000,257000,-461000,1776000,2654000,-2056000,-550000,4478000,-886000,313000,-6086000,-3194000,-4810000,-1521000,3855000,-1568000,2102000,424000
97,Net Change In Cash,-2300000,9700000,-4496000,4115000,-9533000,190000,10601000,1260000,2244000,3916000,4463000,8383000,4024000,21683000,13455000,-3856000,-10307000,6354000,-17560000,-3072000,-2138000,14685000,-7105000,-1436000
98,Cash at the End of Period,11600000,21300000,16768000,20883000,11350000,14431000,25032000,18504000,20748000,24664000,29127000,37510000,41534000,63217000,76672000,72816000,62509000,68863000,51303000,48231000,46093000,60778000,53673000,52237000
99,Cash at the Beginning of Period,13900000,11600000,21264000,16768000,20883000,14241000,14431000,17244000,18504000,20748000,24664000,29127000,37510000,41534000,63217000,76672000,72816000,62509000,68863000,51303000,48231000,46093000,60778000,53673000
100,Free Cash Flow,1300000,15100000,-533000,-25443000,-446000,8214000,18969000,-22404000,15610000,-48132000,-983000,56664000,15147000,-6289000,13736000,711000,11103000,2152000,1760000,3844000,-21812000,36141000,9678000,1771000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1026980/000095013608001379/file1.htm,https://www.sec.gov/Archives/edgar/data/1026980/000095013608003246/file1.htm,https://www.sec.gov/Archives/edgar/data/1026980/000095012309017897/y01848e20vf.htm,https://www.sec.gov/Archives/edgar/data/1026980/000095012310049827/y03505e20vf.htm,https://www.sec.gov/Archives/edgar/data/1026980/000095012311049931/y04857e20vf.htm,https://www.sec.gov/Archives/edgar/data/1026980/000129281412001198/apwcform20f_2011.htm,- -,https://www.sec.gov/Archives/edgar/data/1026980/000129281414001070/apwcform20f_2013.htm,https://www.sec.gov/Archives/edgar/data/1026980/000117184315002394/f20f_043015.htm,https://www.sec.gov/Archives/edgar/data/1026980/000117184316009568/f20f_043016.htm,https://www.sec.gov/Archives/edgar/data/1026980/000117184317002434/f20f_042817.htm,https://www.sec.gov/Archives/edgar/data/1026980/000156459018009676/apwc-20f_20171231.htm,https://www.sec.gov/Archives/edgar/data/1026980/000156459019013702/apwc-20f_20181231.htm,https://www.sec.gov/Archives/edgar/data/1026980/000156459020019390/apwc-20f_20191231.htm,https://www.sec.gov/Archives/edgar/data/1026980/000156459021021602/0001564590-21-021602-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
