,https://roic.ai/company/BYND,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,-1459000,20454000,38990000,277088000,-112638000,-179579000
78,Accounts Receivable,1071000,-2702000,-9045000,-27454000,4516000,-8463000
79,Inventory,-3710000,-1959000,-22113000,-51339000,-38863000,-122666000
80,Accounts Payable,548000,2361000,10455000,10149000,16027000,21665000
81,Other Working Capital,19365000,39819000,78809000,355897000,243259000,- -
82,Other Non-Cash Items,304000,-19189000,-53987000,-332553000,84817000,10953000
83,Cash Provided by Operating Activities,-23495000,-25273000,-37721000,-46995000,-39995000,-301370000
84,CAPEX,-4955000,-7908000,-23250000,-25918000,-59984000,-135961000
85,Acquisitions Net,- -,- -,- -,- -,- -,-11000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-83000,-207000,8000,-246000,-14916000,-518000
89,Cash Used for Investing Activites,-5038000,-8115000,-23242000,-26164000,-74900000,-147479000
90,Debt Repayment,-1754000,-721000,-5103000,-55000,-56070000,-25177000
91,Common Stock Issued,- -,- -,2000,292262000,- -,- -
92,Common Stock Repurchased,- -,- -,-514000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,33668000,56146000,81814000,2669000,54308000,1047499000
95,Cash Used/Provided by Financing Activities,31914000,55425000,76199000,294876000,-1762000,1022322000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-204000,694000
97,Net Change In Cash,3381000,22037000,15236000,221717000,-116861000,574167000
98,Cash at the End of Period,16998000,39035000,54271000,275988000,159127000,733294000
99,Cash at the Beginning of Period,13617000,16998000,39035000,54271000,275988000,159127000
100,Free Cash Flow,-28450000,-33181000,-60971000,-72913000,-99979000,-437331000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1655210/000162828020003841/0001628280-20-003841-index.htm,https://www.sec.gov/Archives/edgar/data/1655210/000165521021000032/0001655210-21-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1655210/000165521022000019/0001655210-22-000019-index.htm
102,false,,,,,,
