,https://roic.ai/company/XPEL,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,-18333,-503792,-677792,-1351519,-607127,-3396285,-178078,571170,952026,1432784,2424795,3293571,3633957,4444748,4320515,13019780,18726650,25283871,44130313
16,EBITDA ratio,-0.0091,-0.1941,-0.2227,-0.3984,-0.1037,-0.4368,-0.0464,0.1383,0.1576,0.1343,0.1355,0.1112,0.0876,0.0859,0.0638,0.1184,0.1441,0.1591,0.1702
17,Operating Income,-40493,-655243,-742862,-1450731,-843204,- -,174063,327907,612975,1073765,2042895,2792273,2608275,3252551,2236056,11831736,17087347,23369932,40115619
18,Operating Income ratio,-0.0201,-0.2525,-0.2441,-0.4276,-0.1440,- -,0.0454,0.0794,0.1015,0.1006,0.1141,0.0942,0.0629,0.0628,0.0330,0.1076,0.1315,0.1471,0.1547
19,Total Other Income Expenses (Gains),- -,- -,- -,-100139,- -,-48248,-33017,-103159,-4026,3442,-8627,-39631,-174225,-222976,-72223,-350431,-136919,-565573,-675648
20,Income Before Tax,- -,- -,- -,- -,-843204,-1192951,141046,224748,608949,1077207,2034268,2752642,2434050,3029575,2163833,11481305,16950428,22804359,39439971
21,Income Before Tax Ratio,- -,- -,- -,- -,-0.1440,-0.1534,0.0368,0.0544,0.1008,0.1009,0.1137,0.0929,0.0587,0.0585,0.0319,0.1045,0.1305,0.1435,0.1521
22,Income Tax expense (Gain),- -,- -,- -,- -,-19289,16477,- -,-201062,-206938,-85000,714000,-317475,963381,866075,1029489,2760073,2955356,4522668,7873109
23,Net Income,-40493,-655243,-742862,-1450731,-823915,-3917926,-566412,425810,815887,1162207,1320268,3097102,1554565,2215502,1187345,8712534,13977625,18281691,31566862
24,Net Income ratio,-0.0201,-0.2525,-0.2441,-0.4276,-0.1407,-0.5038,-0.1477,0.1031,0.1350,0.1089,0.0738,0.1045,0.0375,0.0428,0.0175,0.0793,0.1076,0.1150,0.1218
25,EPS,-0.00,-0.04,-0.04,-0.07,-0.03,-0.15,-0.02,0.02,0.03,0.05,0.05,0.12,0.06,0.08,0.04,0.32,0.51,0.66,1.14
26,EPS Diluted,-0.00,-0.04,-0.04,-0.07,-0.03,-0.15,-0.02,0.02,0.03,0.05,0.05,0.12,0.06,0.08,0.04,0.32,0.51,0.66,1.14
27,Weighted Average Shares Outstanding,18185000,18240247,20313664,21868694,27463833,25894790,25720950,25720950,25781969,25784950,25784950,25784950,25784950,25784950,27326261,27612597,27612597,27612597,27612597
28,Weighted Average Shares Outstanding Diluted,18185000,18240247,20313664,21868694,27463833,25894790,25720950,25720950,25781969,25784950,25784950,25784950,25784950,25784950,27326261,27612597,27612597,27612597,27612729
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1767258/000176725820000011/0001767258-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1767258/000176725821000014/0001767258-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1767258/000176725822000010/0001767258-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,57905,74937,266720,30790,752471,131034,122694,157833,424795,1396300,1414913,1474130,2840549,1861089,3498904,3971226,11500973,29027124,9644248
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,57905,74937,266720,30790,752471,131034,122694,157833,424795,1396300,1414913,1474130,2840549,1861089,3498904,3971226,11500973,29027124,9644248
34,Net Receivables,119082,144776,230374,316291,769316,434083,583572,365102,593514,904453,1018956,2287342,3751075,4827077,5569212,5554313,7247234,9944213,13776177
35,Inventory,61121,53494,178345,170114,448151,363574,222888,359375,1161548,1899534,2716612,6235137,6972768,7806029,10151594,10799611,15141153,22364126,51936164
36,Other Current Assets,7936,7986,39443,49537,161215,98447,54986,131509,51343,102139,259233,347472,522613,454173,689890,706718,2391340,1441749,3671657
37,Total Current Assets,246044,281193,714882,566732,2131153,1027138,984140,1013819,2231200,4302426,5409714,10344081,14087005,14948368,19909600,21031868,36280700,62777212,79028246
38,PP&E,141455,185550,266772,406687,557887,369827,245244,216069,237639,297483,517925,790343,1235337,1352120,2153233,3384206,9093763,10679950,22807733
39,Goodwill,- -,- -,- -,- -,3292703,836108,- -,- -,- -,- -,- -,526243,1668527,1891948,2490105,2322788,2406512,4472217,25655428
40,Intangible Assets,- -,146042,126185,- -,962355,790348,- -,341095,359899,302769,518559,784510,2434692,3467218,4114374,3804026,3820460,5423980,32732771
41,Intangible Assets,- -,146042,126185,- -,4255058,1626456,340847,341095,359899,302769,518559,1310753,4103219,5359166,6604479,6126814,6226972,9896197,58388199
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,109670,408000,493000,- -,163000,100659,135363,378014,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,69977,52862,33988,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,486472,790339
45,Total Non-Current Assets,141455,331592,392957,476664,4865807,2030271,586091,666834,1005538,1093252,1036484,2264096,5439215,6846649,9135726,9511020,15320735,21062619,81986271
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,387499,612785,1107839,1043396,6996960,3057409,1570231,1680653,3236738,5395678,6446198,12608177,19526220,21795017,29045326,30542888,51601435,83839831,161014517
48,Accounts Payable,- -,- -,- -,- -,- -,1524506,- -,- -,- -,2385717,1829164,4121590,4465819,5859981,9519649,3905187,7440965,12987487,25174805
49,Short-Term Debt,36683,142688,41679,70327,126860,209844,131121,- -,- -,- -,68505,990413,4215811,3514205,3064434,853150,1588927,4218921,3353207
50,Tax Payable,- -,- -,- -,- -,- -,10221,- -,- -,- -,- -,- -,- -,117649,168690,1126865,1337599,- -,183961,- -
51,Deferred Revenue,- -,- -,- -,103100,69825,52494,- -,- -,17750,15050,12350,12350,- -,- -,- -,136213,559232,244837,817955
52,Other Current Liabilities,240268,497887,301678,842615,1702303,10221,848118,663851,1386284,- -,- -,- -,117649,168690,1126865,3588292,2197156,3749099,6921855
53,Total Current Liabilities,276951,640575,343357,1016042,1898988,1797065,979239,663851,1404034,2400767,1910019,5124353,8799279,9542876,13710948,8482842,11786280,21200344,36267822
54,Long-Term Debt,162715,66260,122365,193672,206413,113195,- -,- -,- -,- -,- -,- -,1827149,1434425,1018493,968237,307281,3568191,34905845
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,111205,- -,- -,- -,- -,221000,- -,558116,524272,463140,478864,604715,627806,2748283
57,Other Non-Current Liabilities,- -,- -,- -,- -,282854,15985,15985,15985,- -,- -,- -,- -,- -,- -,- -,- -,4009949,5060622,2630486
58,Total Non-Current Liabilities,162715,66260,122365,193672,489267,240385,15985,15985,- -,- -,221000,- -,2385265,1958697,1481633,1447101,4921945,9256619,40284614
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5136650,5981963,12807922
61,Total Liabilities,439666,706835,465722,1209714,2388255,2037450,995224,679836,1404034,2400767,2131019,5124353,11184544,11501573,15192581,9929943,16708225,30456963,76552436
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,461239,1921461,2261222,6486736,6619133,6619133,- -,- -,6635133,6635133,6635133,6635133,6635133,9210646,27613,27613,27613,27613
64,Retained Earnings,-52167,-707410,-1450272,-2901003,-3724918,-6620283,-8209256,-7783446,-6967559,-5805352,-4485084,-1387982,166583,2382085,3569430,10617253,24594878,42876569,74443431
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,54824,-112927,- -,-314067,-351359,-408538,-503172,-15721,-621993,-833725,-984281,-1190055,-908764,66215,-590446
66,Other Total Stockholders Equity,- -,152121,170928,473463,1792063,1134036,2165130,9098330,9151622,2573668,2668302,2165130,2165130,2165130,2165130,11348163,11348163,10412471,10581483
67,Total Stockholders Equity,-52167,-94050,642117,-166318,4608705,1019959,575007,1000817,1832704,2994911,4315179,7396560,8344853,10348623,13960925,20802974,35061890,53382868,84462081
68,Total Liabilities And Stockholders Equity,387499,612785,1107839,1043396,6996960,3057409,1570231,1680653,3236738,5395678,6446198,12520913,19529397,21850196,29153506,30732917,51770115,83839831,161014517
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87264,-3177,-55179,-108180,-190029,-168680,- -,- -
70,Total Liabilities & Equity,387499,612785,1107839,1043396,6996960,3057409,1570231,1680653,3236738,5395678,6446198,12608177,19526220,21795017,29045326,30542888,51601435,83839831,161014517
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1767258/000176725820000011/0001767258-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1767258/000176725821000014/0001767258-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1767258/000176725822000010/0001767258-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,-40493,-655243,-742862,-1450731,-823915,-3917926,-566412,425810,815887,1162207,1320268,3097102,1554565,2215502,1187345,8712534,13977625,18281691,31566862
74,Depreciation and Amortization,22160,151451,65070,99212,236077,456916,354999,330913,338751,354153,383755,477196,891370,1140126,1766011,1378784,1697023,2230032,4387668
75,Deferred Income Tax,- -,- -,- -,- -,- -,-34173,- -,-201062,-206938,-85000,714000,-384000,211869,-97847,-255236,-86218,117328,-273299,1011275
76,Stock Based Compensation,- -,48018,125060,375720,310553,233116,8533,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,169012
77,Change in Working Capital,33005,-328475,730907,-820835,681475,-1002092,774828,345067,477198,1074493,1598036,1720033,67998,117766,793160,6350374,11945394,17082448,-19157582
78,Accounts Receivable,-10174,-25694,-85598,-85917,172774,116360,-56936,-102601,-228412,-310939,-114503,-1236486,-677419,-1253439,-814234,-261256,-1773371,-2431292,-431582
79,Inventory,-43219,7627,-124851,8231,-45123,-27211,-11673,-136487,-802173,-737986,-817078,-3518525,-321559,-637531,-1861344,11148,-4251134,-6758855,-26939002
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,242830,- -,3135183,-3635246,3877024,6359365,- -
81,Other Working Capital,-30907,-359382,371525,-449310,232165,-769927,4901,349968,827166,1901659,3499695,5219728,5287726,5405492,6198652,12549026,24494420,41576868,-765613
82,Other Non-Cash Items,- -,579243,-1078634,1249732,-273402,4459665,-337401,-665903,-774500,-1182347,-3244109,-4310680,-1318369,-445271,460572,-9558689,-16771851,-18854861,290439
83,Cash Provided by Operating Activities,14672,-205006,-900459,-546902,130788,195506,234547,234825,650398,1323506,771950,599651,1407433,2930276,3951852,6796785,10965519,18466011,18267674
84,CAPEX,-101260,-211916,-2056,-54944,-435761,-352113,-21138,-331071,-379410,-357631,-827842,-924735,-1214158,-1362422,-2206452,-2417299,-2244404,-2155822,-7688929
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-493894,-2001270,-822067,-1143034,-831934,-127623,-2568538,-49184666
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-107410,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,213838,321071,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-93523,-24885,-69977,-1846576,-323879,-187395,-227414,-303838,-234291,-497565,-555658,-763710,-973404,-675604,-231708,-606124,-313552,-897859
89,Cash Used for Investing Activites,-101260,-193113,-24885,-124921,-1945214,-372739,5305,-68565,-379110,-352001,-821842,-1418629,-3215428,-2181007,-3309986,-3093956,-2303570,-4663554,-56807542
90,Debt Repayment,- -,- -,- -,- -,-78958,-135495,-191918,-131121,- -,- -,-8713,-21805,-698815,-2153291,-1533724,-3098181,-1143240,-10636134,-5758973
91,Common Stock Issued,- -,37999,- -,244076,- -,67524,- -,- -,- -,- -,- -,- -,- -,- -,2613529,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,107443,377152,1117127,191817,2568674,279018,- -,- -,-4326,- -,77218,900000,4000000,500000,477109,- -,- -,14147363,25000000
95,Cash Used/Provided by Financing Activities,107443,415151,1117127,435893,2489716,211047,-191918,-131121,-4326,- -,68505,878195,3301185,-1653291,1556914,-3098181,-1143240,3511229,19241027
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,29391,-10083,- -,- -,- -,- -,- -,- -,-126771,-75438,-560965,-132326,11038,212465,-84035
97,Net Change In Cash,20855,17032,191783,-235930,704681,-592136,47934,35139,266962,971505,18613,59217,1366419,-979460,1637815,472322,7529747,17526151,-19382876
98,Cash at the End of Period,57905,74937,266720,30790,735471,131034,122694,157833,424795,1396300,1414913,1474130,2840549,1861089,3498904,3971226,11500973,29027124,9644248
99,Cash at the Beginning of Period,37050,57905,74937,266720,30790,723170,74760,122694,157833,424795,1396300,1414913,1474130,2840549,1861089,3498904,3971226,11500973,29027124
100,Free Cash Flow,-86588,-416922,-902515,-601846,-304973,-156607,213409,-96246,270988,965875,-55892,-325084,193275,1567854,1745400,4379486,8721115,16310189,10578745
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1767258/000176725820000011/0001767258-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1767258/000176725821000014/0001767258-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1767258/000176725822000010/0001767258-22-000010-index.htm
102,false,,,,,,,,,,,,,,,,,,,
