,https://roic.ai/company/FWONK,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),231000000,227000000,1686000000,8042000000,-380000000,-196000000,57000000,-264000000,-90000000,-366000000,- -,-197000000
20,Income Before Tax,426000000,758000000,2012000000,8856000000,461000000,-277000000,500000000,-304000000,-200000000,-401000000,- -,-157000000
21,Income Before Tax Ratio,0.2078,0.5380,1.0065,2.2129,0.1036,-Infinity,Infinity,-0.1705,-0.1095,-0.1983,- -,-0.0735
22,Income Tax expense (Gain),-571000000,165000000,600000000,-135000000,66000000,-102000000,171000000,-561000000,-50000000,-90000000,- -,-37000000
23,Net Income,1000000000,836000000,1414000000,8780000000,178000000,-175000000,329000000,255000000,-150000000,-311000000,- -,-190000000
24,Net Income ratio,0.4878,0.5933,0.7074,2.1939,0.0400,-Infinity,Infinity,0.1430,-0.0821,-0.1538,- -,-0.0890
25,EPS,5.80,4.85,8.20,52.25,0.37,-0.38,3.93,1.23,-0.65,-1.35,-2.57,-0.82
26,EPS Diluted,5.80,4.85,8.20,51.38,0.37,-0.38,3.93,1.21,-0.65,-1.35,-2.57,-0.82
27,Weighted Average Shares Outstanding,172487902,172487902,172487902,168030584,487003896,463015550,83797309,207000000,231000000,231000000,232000000,232000000
28,Weighted Average Shares Outstanding Diluted,172487902,172487902,172487902,170878560,491275860,463015550,83797309,211000000,232000000,233000000,238000000,240000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1560385/000155837021001967/0001558370-21-001967-index.htm,https://www.sec.gov/Archives/edgar/data/1560385/000155837022002199/0001558370-22-002199-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,2070000000,1353000000,1088000000,681000000,76000000,168000000,282000000,160000000,587000000,2831000000,2074000000
32,Short-Term Investments,- -,299000000,67000000,- -,199000000,- -,- -,- -,- -,- -,1018000000,- -
33,Cash and Short-Term Investments,- -,2369000000,1420000000,1088000000,880000000,76000000,168000000,282000000,160000000,587000000,3849000000,2074000000
34,Net Receivables,- -,288000000,286000000,206000000,235000000,3000000,2000000,84000000,110000000,69000000,823000000,66000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,1203000000,505000000,1200000000,1229000000,18000000,5000000,113000000,40000000,92000000,-642000000,229000000
37,Total Current Assets,- -,3860000000,2211000000,2494000000,2344000000,97000000,175000000,479000000,310000000,748000000,4030000000,2369000000
38,PP&E,- -,215000000,207000000,1808000000,1756000000,104000000,89000000,95000000,90000000,112000000,4017000000,119000000
39,Goodwill,- -,332000000,332000000,14365000000,14345000000,- -,- -,3956000000,3956000000,3956000000,19218000000,3957000000
40,Intangible Assets,- -,652000000,602000000,10873000000,10769000000,- -,1000000,5110000000,4736000000,4303000000,5378000000,3507000000
41,Intangible Assets,- -,984000000,934000000,25238000000,25114000000,- -,1000000,9066000000,8692000000,8259000000,24596000000,7464000000
42,Investments,- -,987000000,3654000000,3370000000,922000000,1448000000,2380000000,1661000000,1449000000,1174000000,- -,221000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,1673000000,1319000000,1632000000,1071000000,303000000,350000000,501000000,416000000,1212000000,11361000000,1491000000
45,Total Non-Current Assets,- -,3859000000,6114000000,32048000000,28863000000,1855000000,2820000000,11323000000,10647000000,10757000000,39974000000,9295000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,7719000000,8325000000,34542000000,31207000000,1952000000,2995000000,11802000000,10957000000,11505000000,44004000000,11664000000
48,Accounts Payable,- -,15000000,10000000,670000000,- -,17000000,16000000,258000000,233000000,264000000,- -,308000000
49,Short-Term Debt,- -,754000000,4000000,777000000,257000000,- -,- -,- -,- -,- -,209000000,695000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,63000000,49000000,1575000000,1641000000,- -,- -,8000000,93000000,113000000,2070000000,253000000
52,Other Current Liabilities,- -,398000000,322000000,150000000,752000000,-141000000,15000000,39000000,34000000,49000000,2211000000,40000000
53,Total Current Liabilities,- -,1230000000,385000000,3172000000,2650000000,-124000000,31000000,305000000,360000000,426000000,4490000000,1296000000
54,Long-Term Debt,- -,541000000,536000000,4778000000,5595000000,1033000000,1583000000,5796000000,5039000000,5677000000,16686000000,2936000000
55,Deferred Revenue,- -,39000000,39000000,164000000,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,409000000,802000000,2312000000,2438000000,- -,39000000,-31000000,-91000000,- -,- -,- -
57,Other Non-Current Liabilities,- -,251000000,131000000,234000000,348000000,60000000,56000000,61000000,96000000,161000000,3227000000,492000000
58,Total Non-Current Liabilities,- -,1240000000,1508000000,7488000000,8381000000,1093000000,1678000000,5826000000,5044000000,5838000000,19913000000,3428000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,2470000000,1893000000,10660000000,11031000000,969000000,1709000000,6131000000,5404000000,6264000000,24403000000,4724000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1000000,1000000,1000000,3000000,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,1665000000,3079000000,11859000000,11416000000,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,29000000,12000000,4000000,-21000000,-93000000,-71000000,-77000000,-88000000,-59000000,- -,- -
66,Other Total Stockholders Equity,- -,3564000000,3348000000,2217000000,- -,1076000000,1357000000,5748000000,5641000000,5300000000,19601000000,- -
67,Total Stockholders Equity,- -,5259000000,6440000000,14081000000,11398000000,983000000,1286000000,5669000000,5550000000,5239000000,6550000000,6340000000
68,Total Liabilities And Stockholders Equity,- -,7729000000,8333000000,24741000000,22429000000,1952000000,2995000000,11800000000,10954000000,11503000000,30953000000,11064000000
69,Minority Interest,- -,-10000000,-8000000,9801000000,8778000000,- -,- -,2000000,3000000,2000000,13051000000,600000000
70,Total Liabilities & Equity,- -,7719000000,8325000000,34542000000,31207000000,1952000000,2995000000,11802000000,10957000000,11505000000,44004000000,11664000000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1560385/000155837021001967/0001558370-21-001967-index.htm,https://www.sec.gov/Archives/edgar/data/1560385/000155837022002199/0001558370-22-002199-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,1000000000,836000000,1414000000,8780000000,178000000,-175000000,329000000,255000000,-150000000,-311000000,- -,-190000000
74,Depreciation and Amortization,823000000,53000000,817000000,315000000,359000000,9000000,10000000,405000000,460000000,453000000,441000000,397000000
75,Deferred Income Tax,-745000000,42000000,450000000,-172000000,91000000,-101000000,126000000,-529000000,-71000000,-112000000,-102000000,-46000000
76,Stock Based Compensation,-121000000,11000000,14000000,191000000,188000000,37000000,13000000,32000000,25000000,28000000,21000000,29000000
77,Change in Working Capital,-57000000,2630000000,-804000000,-2504000000,372000000,527000000,-77000000,30000000,-224000000,372000000,-782000000,143000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-57000000,47000000,47000000,-78000000,33000000,- -,-12000000,-359000000,133000000,38000000,-8000000,- -
81,Other Working Capital,- -,2630000000,1826000000,-678000000,-306000000,221000000,144000000,174000000,-50000000,322000000,-460000000,- -
82,Other Non-Cash Items,-856000000,-3296000000,-1655000000,-5374000000,-63000000,-332000000,-23000000,-268000000,228000000,-136000000,283000000,148000000
83,Cash Provided by Operating Activities,44000000,276000000,236000000,1236000000,1125000000,-35000000,378000000,-75000000,268000000,294000000,-139000000,481000000
84,CAPEX,-16000000,-7000000,-31000000,-207000000,-194000000,-33000000,-2000000,-10000000,-14000000,-44000000,-21000000,-17000000
85,Acquisitions Net,-1141000000,-597000000,-785000000,-2622000000,-230000000,-19000000,-764000000,-1656000000,-9000000,-6000000,88000000,-140000000
86,Purchases of Investments,-542000000,-732000000,-9000000,-237000000,-432000000,-496000000,-259000000,-9000000,- -,- -,- -,-575000000
87,Sales/Maturities of Investments,751000000,1009000000,232000000,229000000,423000000,509000000,335000000,16000000,244000000,69000000,13000000,204000000
88,Other Investing Activites,448000000,46000000,776000000,-134000000,-170000000,1000000,49000000,-3000000,6000000,18000000,-5000000,-89000000
89,Cash Used for Investing Activites,-484000000,-274000000,214000000,-2764000000,-411000000,-38000000,-641000000,-1662000000,227000000,37000000,75000000,-600000000
90,Debt Repayment,-1047000000,- -,-1254000000,-2779000000,-1936000000,- -,-2000000,-1673000000,-1309000000,-7000000,-614000000,-322000000
91,Common Stock Issued,- -,- -,- -,21000000,- -,- -,- -,1938000000,- -,- -,- -,575000000
92,Common Stock Repurchased,-754000000,-465000000,-323000000,-1742000000,-2157000000,-350000000,- -,- -,- -,-24000000,-69000000,-55000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,380000000,443000000,410000000,5863000000,2972000000,-23000000,357000000,1582000000,693000000,127000000,1841000000,314000000
95,Cash Used/Provided by Financing Activities,-1421000000,-22000000,-1167000000,1363000000,-1121000000,-373000000,355000000,1847000000,-616000000,96000000,1158000000,512000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,4000000,-1000000,- -,3000000,-3000000
97,Net Change In Cash,-1861000000,-803000000,-717000000,485000000,-407000000,-446000000,92000000,114000000,-122000000,427000000,1097000000,390000000
98,Cash at the End of Period,2090000000,970000000,1353000000,1088000000,681000000,76000000,168000000,282000000,160000000,587000000,1684000000,2074000000
99,Cash at the Beginning of Period,3951000000,1773000000,2070000000,603000000,1088000000,522000000,76000000,168000000,282000000,160000000,587000000,1684000000
100,Free Cash Flow,28000000,269000000,205000000,1029000000,931000000,-68000000,376000000,-85000000,254000000,250000000,-160000000,464000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1560385/000155837021001967/0001558370-21-001967-index.htm,https://www.sec.gov/Archives/edgar/data/1560385/000155837022002199/0001558370-22-002199-index.htm
102,false,,,,,,,,,,,,
