,https://roic.ai/company/CPAC,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,6325000,4459000,4459000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,40881000,39160000,41664000,41680000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,47206000,43619000,46123000,46139000
42,Investments,18296000,30813000,22074000,34887000,36058000,744000,436000,657000,21206000,26883000,18224000,692000,- -
43,Tax Assets,21641000,7637000,45030000,13438000,15155000,17175000,21077000,6350000,142000,3098000,7419000,15618000,9446000
44,Other Non-Current Assets,54962000,83865000,60445000,37269000,47512000,69448000,191124000,96803000,17443000,17247000,5078000,47622000,- -
45,Total Non-Current Assets,1115356000,1224310000,1324950000,1529915000,1695166000,2206083000,2785314000,2419886000,2260760000,2247158000,2183228000,2138545000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2192382000
47,Total Assets,1402441000,1587011000,1985042000,2383324000,3114537000,3240904000,3413794000,3320623000,2814115000,2863245000,2931558000,3016284000,3201772000
48,Accounts Payable,50560000,52025000,128485000,80263000,62618000,70826000,86067000,64098000,76478000,69567000,84894000,83754000,- -
49,Short-Term Debt,88809000,121585000,139048000,22884000,- -,- -,- -,- -,- -,60822000,98774000,66763000,452820000
50,Tax Payable,15048000,24863000,12870000,15466000,13084000,15938000,11917000,18467000,13335000,8715000,12047000,11529000,- -
51,Deferred Revenue,5526000,1631000,- -,2899000,7303000,5336000,7428000,1181000,4276000,790000,11775000,14880000,- -
52,Other Current Liabilities,56658000,84560000,41564000,73706000,87740000,123953000,110052000,115373000,124247000,127416000,157233000,99673000,- -
53,Total Current Liabilities,201553000,259801000,309097000,179752000,157661000,200115000,203547000,180652000,205001000,258595000,352676000,265070000,452820000
54,Long-Term Debt,228564000,185670000,451546000,192571000,824022000,883564000,1012406000,998148000,965290000,1022555000,1003187000,1208454000,1098364000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,133236000,143442000,139905000,100308000,102887000,85883000,119069000,139752000,108823000,125355000,145099000,149864000,- -
57,Other Non-Current Liabilities,4575000,4803000,10909000,16578000,20497000,657000,32638000,22042000,28293000,5377000,8945000,25341000,- -
58,Total Non-Current Liabilities,366375000,333915000,602360000,309457000,947406000,970104000,1164113000,1159942000,1102406000,1153287000,1157231000,1383659000,1098364000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57000,6633000,5829000
61,Total Liabilities,567928000,593716000,911457000,489209000,1105067000,1170219000,1367660000,1340594000,1307407000,1411882000,1509907000,1648729000,- -
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,418777000,418777000,418777000,531461000,531461000,531461000,531461000,531461000,423868000,423868000,423868000,423868000,423868000
64,Retained Earnings,306100000,435668000,473721000,570878000,653704000,696736000,727765000,677086000,611652000,519285000,497200000,456629000,- -
65,Other Comprehensive Income/Loss,-137948000,-161793000,90451000,105221000,119833000,160049000,188107000,171473000,116987000,156410000,148783000,135258000,- -
66,Other Total Stockholders Equity,246735000,299904000,57604000,625692000,625842000,604294000,495721000,487420000,354053000,351800000,351800000,351800000,- -
67,Total Stockholders Equity,833664000,992556000,1040553000,1833252000,1930840000,1992540000,1943054000,1867440000,1506560000,1451363000,1421651000,1367555000,- -
68,Total Liabilities And Stockholders Equity,1401592000,1586272000,1952010000,2322461000,3035907000,3162759000,3310714000,3208034000,2813967000,2863245000,2931558000,3016284000,- -
69,Minority Interest,849000,739000,33032000,60863000,78630000,78145000,103080000,112589000,148000,- -,- -,- -,3201772000
70,Total Liabilities & Equity,1402441000,1587011000,1985042000,2383324000,3114537000,3240904000,3413794000,3320623000,2814115000,2863245000,2931558000,3016284000,3201772000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1221029/000119312513183427/0001193125-13-183427-index.htm,https://www.sec.gov/Archives/edgar/data/1221029/000119312514169840/0001193125-14-169840-index.htm,https://www.sec.gov/Archives/edgar/data/1221029/000119312515162616/0001193125-15-162616-index.htm,https://www.sec.gov/Archives/edgar/data/1221029/000119312516569808/0001193125-16-569808-index.htm,https://www.sec.gov/Archives/edgar/data/1221029/000119312517149012/0001193125-17-149012-index.htm,https://www.sec.gov/Archives/edgar/data/1221029/000161577418003041/0001615774-18-003041-index.htm,https://www.sec.gov/Archives/edgar/data/1221029/000161577419006749/0001615774-19-006749-index.htm,https://www.sec.gov/Archives/edgar/data/1221029/000121390020010732/0001213900-20-010732-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,147768000,223219000,67694000,159005000,155634000,192827000,215532000,116174000,93782000,76699000,132047000,57894000,- -
74,Depreciation and Amortization,32702000,36288000,47633000,47954000,55871000,64759000,70810000,111266000,124206000,129779000,129818000,139167000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,5529000,6701000,5944000,14159000,16088000,11401000,9495000,6523000,5759000,- -
77,Change in Working Capital,-15830000,-16705000,-40973000,-50570000,-98871000,-34518000,-2563000,-58825000,-44296000,-71190000,-129651000,100252000,-163365000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,2324000,-28422000,-45786000,-71218000,-57490000,9785000,5135000,-49967000,-31863000,-59637000,-97657000,54140000,-151530000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,479000,-62624000,57984000,-62187000,72419000,11374000,-22294000,56976000,65315000,58845000,66400000,28293000,163365000
83,Cash Provided by Operating Activities,165119000,180178000,132338000,99731000,191754000,240386000,275644000,241679000,250408000,203628000,205137000,331365000,- -
84,CAPEX,-75570000,-110696000,-241215000,-270232000,-210443000,-575492000,-483366000,-137068000,-77686000,-111266000,-83015000,-52549000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-403950000,-662000000,- -,- -,- -,- -,- -,- -,-208990000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,1065950000,18936000,- -,- -,694000,- -,- -,208990000,- -
88,Other Investing Activites,168000,90723000,125462000,6828000,1010000,3061000,7499000,1441000,6353000,12441000,-1899000,-1096000,- -
89,Cash Used for Investing Activites,-75402000,-19973000,-115753000,-667354000,194517000,-553495000,-475867000,-135627000,-70639000,-98825000,-79579000,-48421000,- -
90,Debt Repayment,-168530000,-163952000,-119674000,-388394000,-235369000,- -,- -,- -,- -,-588150000,-610999000,-747053000,- -
91,Common Stock Issued,- -,- -,- -,672302000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-108218000,- -,-34216000,- -,- -,- -,- -
93,Dividends Paid,-35263000,-72606000,-90761000,-52016000,-58093000,-115824000,-162168000,-154401000,-124993000,-171790000,-120647000,-143623000,- -
94,Other Financing Activites,204411000,121114000,403013000,41812000,800839000,1050000,12577000,-23136000,-26217000,654596000,624804000,846827000,-130094000
95,Cash Used/Provided by Financing Activities,618000,-115444000,192578000,273704000,507377000,-114774000,-257809000,-177537000,-185426000,-105344000,-106842000,-43849000,-130094000
96,Effect of Forex Changes on Cash,-1010000,-1928000,-377000,475000,13469000,31430000,35540000,1268000,-185000,392000,483000,1551000,- -
97,Net Change In Cash,89325000,42833000,208786000,-293444000,907117000,-396453000,-422492000,-77792000,-30999000,-149000,19199000,240646000,-130094000
98,Cash at the End of Period,111660000,154493000,363279000,69835000,976952000,580499000,158007000,80215000,49216000,49067000,68266000,308912000,273402000
99,Cash at the Beginning of Period,22335000,111660000,154493000,363279000,69835000,976952000,580499000,158007000,80215000,49216000,49067000,68266000,- -
100,Free Cash Flow,89549000,69482000,-108877000,-170501000,-18689000,-335106000,-207722000,104611000,172722000,92362000,122122000,278816000,- -
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1221029/000119312513183427/0001193125-13-183427-index.htm,https://www.sec.gov/Archives/edgar/data/1221029/000119312514169840/0001193125-14-169840-index.htm,https://www.sec.gov/Archives/edgar/data/1221029/000119312515162616/0001193125-15-162616-index.htm,https://www.sec.gov/Archives/edgar/data/1221029/000119312516569808/0001193125-16-569808-index.htm,https://www.sec.gov/Archives/edgar/data/1221029/000119312517149012/0001193125-17-149012-index.htm,https://www.sec.gov/Archives/edgar/data/1221029/000161577418003041/0001615774-18-003041-index.htm,https://www.sec.gov/Archives/edgar/data/1221029/000161577419006749/0001615774-19-006749-index.htm,https://www.sec.gov/Archives/edgar/data/1221029/000121390020010732/0001213900-20-010732-index.htm,- -,- -
102,Forex Rate,0.3461,0.3562,0.3708,0.3914,0.3575,0.3333,0.2922,0.2979,0.3088,0.2968,0.3017,0.2762,0.2501
