,https://roic.ai/company/TAST,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,-0.53,0.70,0.10,-0.63,-0.29,0.83,0.70,0.59,1.01,0.55,0.52,-0.83,-0.59,-1.23,- -,0.00,0.16,0.22,-0.74,- -,-0.58
26,EPS Diluted,-0.53,0.70,0.10,-0.63,-0.29,0.83,0.70,0.59,1.00,0.55,0.52,-0.83,-0.59,-1.23,- -,0.00,0.16,0.22,-0.74,- -,-0.58
27,Weighted Average Shares Outstanding,12915095,12915095,12915095,12915095,14905750,16152060,21551850,21573500,21594000,21621000,21677837,22748241,22959000,30885000,- -,34959000,35417000,35715000,43422000,- -,50751000
28,Weighted Average Shares Outstanding Diluted,12915095,12915095,12915095,12915095,14905750,16152330,21559239,21575773,21769000,21835000,21677837,22748241,22959000,30885000,- -,44623000,44977000,45320000,43422000,- -,50751000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/809248/000080924814000004/0000809248-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/809248/000080924815000025/0000809248-15-000025-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/809248/000080924816000134/0000809248-16-000134-index.htm,https://www.sec.gov/Archives/edgar/data/809248/000080924818000029/0000809248-18-000029-index.htm,https://www.sec.gov/Archives/edgar/data/809248/000080924819000026/0000809248-19-000026-index.htm,https://www.sec.gov/Archives/edgar/data/809248/000080924820000005/0000809248-20-000005-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/809248/000080924821000050/0000809248-21-000050-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,31466000,9331000,3939000,7396000,3399000,4402000,3144000,24661000,38290000,8300000,21221000,- -,22274000,29412000,4014000,2974000,- -,64964000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,31466000,9331000,3939000,7396000,3399000,4402000,3144000,24661000,38290000,8300000,21221000,- -,22274000,29412000,4014000,2974000,- -,64964000
34,Net Receivables,- -,- -,- -,5904000,3610000,8170000,4734000,5622000,7156000,6082000,8912000,6461000,5500000,6450000,- -,6161000,9474000,11693000,13729000,- -,20031000
35,Inventory,- -,- -,- -,4831000,5333000,4677000,5339000,5588000,5935000,5203000,5601000,7729000,6500000,7785000,- -,7126000,9373000,10396000,13334000,- -,11595000
36,Other Current Assets,- -,- -,- -,14189000,13978000,14036000,13777000,14626000,13597000,13976000,13083000,7788000,8400000,6173000,- -,9434000,11756000,8575000,9748000,- -,15355000
37,Total Current Assets,- -,- -,- -,56390000,32252000,30822000,31246000,29235000,31090000,28405000,52257000,60268000,28700000,41629000,- -,44995000,60015000,34678000,39785000,- -,111945000
38,PP&E,- -,- -,- -,213489000,217506000,182742000,200325000,195376000,192724000,186850000,190310000,135926000,152200000,179383000,- -,220114000,274098000,289817000,1196594000,- -,1149517000
39,Goodwill,- -,- -,- -,122241000,124934000,124934000,124934000,124934000,124934000,124934000,124934000,8162000,8200000,17793000,- -,20438000,36792000,38469000,122619000,- -,122619000
40,Intangible Assets,- -,- -,- -,96536000,93824000,90236000,86487000,83371000,80141000,76480000,72764000,107163000,105900000,122227000,- -,140000000,181082000,206203000,381631000,- -,366181000
41,Intangible Assets,- -,- -,- -,218777000,218758000,215170000,211421000,208305000,205075000,201414000,197698000,115325000,114100000,140020000,- -,160438000,217874000,244672000,504250000,- -,488800000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,12940000,13279000,11136000,10559000,6697000,1935000,1949000,- -,2222000,- -,- -,- -,- -,27647000,- -,6983000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,14650000,15150000,12989000,12007000,10585000,9153000,7684000,18127000,32515000,34500000,3541000,- -,1709000,1880000,31084000,3848000,- -,6823000
45,Total Non-Current Assets,- -,- -,- -,459856000,464693000,422037000,434312000,420963000,408887000,397897000,406135000,285988000,300800000,322944000,- -,382261000,521499000,565573000,1711675000,- -,1645140000
46,Other Assets,552884000,554787000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,552884000,554787000,- -,516246000,496945000,452859000,465558000,450198000,439977000,426302000,458392000,346256000,329500000,364573000,- -,427256000,581514000,600251000,1751460000,- -,1757085000
48,Accounts Payable,- -,- -,- -,17581000,19022000,17860000,20054000,18789000,15983000,13944000,14759000,20075000,14700000,19239000,- -,20436000,29245000,29143000,45780000,- -,27596000
49,Short-Term Debt,- -,- -,- -,2611000,2588000,2477000,3129000,12093000,12985000,15538000,6553000,1062000,1147000,1272000,- -,1435000,1808000,1948000,46671000,- -,47340000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,4778000,4812000,4041000,4945000,4908000,- -,5117000,5269000,5910000,8139000,- -,7774000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3196000,1642000,- -,12589000,- -,28291000,6983000,- -,- -
52,Other Current Liabilities,- -,- -,- -,60713000,36083000,41031000,41175000,39923000,42175000,38569000,42565000,31653000,31557000,33030000,- -,36794000,48476000,22757000,49891000,- -,81405000
53,Total Current Liabilities,- -,- -,- -,80905000,57693000,61368000,64358000,70805000,71143000,68051000,63877000,52790000,50600000,55183000,- -,71254000,79529000,82139000,149325000,- -,156341000
54,Long-Term Debt,- -,- -,- -,398614000,391108000,297432000,350843000,304061000,270107000,247975000,272030000,160430000,159400000,155442000,- -,203235000,274646000,278019000,456759000,- -,475312000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,2937000,- -,18623000,- -,- -,- -,- -,11451000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,8585000,10660000,31391000,31348000,43447000,- -,- -,2234000,- -,3196000,1642000,- -,- -,- -,- -,6983000,- -,22170000
57,Other Non-Current Liabilities,- -,- -,- -,143690000,141021000,88435000,25806000,23426000,67323000,62432000,61094000,24240000,39104000,45771000,- -,44768000,46828000,54553000,828931000,- -,831730000
58,Total Non-Current Liabilities,- -,- -,- -,550889000,542789000,417258000,407997000,370934000,337430000,313344000,335358000,203293000,201700000,202855000,- -,248003000,332925000,332572000,1292673000,- -,1329212000
59,Other Liabilities,553913000,546776000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,102738000,- -,111715000,110898000,58571000,52689000,14859000,9999000,10061000,10064000,1197000,10536000,9896000,- -,9199000,6877000,5137000,850291000,- -,853883000
61,Total Liabilities,553913000,546776000,- -,631794000,600482000,478626000,472355000,441739000,408573000,381395000,399235000,256083000,252300000,258038000,- -,319257000,412454000,414711000,1441998000,- -,1485553000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,129000,159000,216000,- -,216000,216000,216000,218000,227000,200000,348000,- -,350000,354000,357000,510000,- -,515000
64,Retained Earnings,- -,- -,- -,-30807000,-35157000,-21733000,926000,6072000,27907000,39823000,51041000,21362000,7200000,-30962000,- -,-30958000,25407000,35511000,11096000,- -,-18367000
65,Other Comprehensive Income/Loss,- -,- -,- -,-232571000,-240899000,-1001000,1361000,1964000,1663000,1535000,1085000,669000,702000,-357000,- -,-335000,-1210000,-646000,622000,- -,-3015000
66,Other Total Stockholders Equity,- -,8011000,- -,147701000,172360000,-3249000,- -,- -,1618000,3333000,6813000,67915000,69102000,137506000,- -,138942000,144509000,150318000,297234000,- -,292399000
67,Total Stockholders Equity,-1029000,8011000,- -,-115548000,-103537000,-25767000,-6797000,8459000,31404000,44907000,59157000,90173000,77204000,106535000,- -,107999000,169060000,185540000,309462000,- -,271532000
68,Total Liabilities And Stockholders Equity,552884000,554787000,- -,516246000,496945000,452859000,465558000,450198000,439977000,426302000,458392000,346256000,329504000,364573000,- -,427256000,581514000,600251000,1751460000,- -,1757085000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,552884000,554787000,- -,516246000,496945000,452859000,465558000,450198000,439977000,426302000,458392000,346256000,329500000,364573000,- -,427256000,581514000,600251000,1751460000,- -,1757085000
71,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/809248/000080924814000004/0000809248-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/809248/000080924815000025/0000809248-15-000025-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/809248/000080924816000134/0000809248-16-000134-index.htm,https://www.sec.gov/Archives/edgar/data/809248/000080924818000029/0000809248-18-000029-index.htm,https://www.sec.gov/Archives/edgar/data/809248/000080924819000026/0000809248-19-000026-index.htm,https://www.sec.gov/Archives/edgar/data/809248/000080924820000005/0000809248-20-000005-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/809248/000080924821000050/0000809248-21-000050-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-6805000,9040000,- -,-8091000,-4350000,13430000,15053000,12752000,21835000,11916000,11218000,-18888000,-13500000,-38117000,- -,4000,7159000,10104000,-31919000,- -,-29463000
74,Depreciation and Amortization,45461000,39434000,- -,37436000,31988000,31525000,28907000,29256000,32520000,32459000,33522000,26321000,33594000,36923000,- -,39845000,54159000,58468000,74674000,- -,81727000
75,Deferred Income Tax,- -,- -,- -,-6466000,1036000,3123000,-1232000,3396000,5010000,299000,5594000,-9399000,-6284000,11548000,- -,- -,574000,-483000,-11982000,- -,6026000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,1411000,1651000,2779000,925000,1205000,1180000,- -,1438000,3518000,5812000,5753000,- -,5223000
77,Change in Working Capital,- -,- -,- -,-24515000,-926000,-5105000,-2566000,-8458000,1517000,407000,28026000,19098000,-29378000,8346000,- -,-12705000,19717000,-27947000,-62079000,- -,65144000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3653000,-1094000,- -,-2127000,-1310000,-2275000,-523000,- -,-6417000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,-2399000,-2199000,960000,7160000,-2691000,2194000,- -,2054000,3084000,-926000,1196000,- -,-5927000
81,Other Working Capital,- -,- -,- -,-24515000,-25441000,-30546000,-33112000,-41570000,-40053000,-39646000,-11620000,7478000,-21900000,-13554000,- -,-26259000,-19514000,-47461000,-109540000,- -,-44396000
82,Other Non-Cash Items,7779000,5720000,- -,60847000,-5740000,5782000,14793000,7700000,-1605000,16000,-26639000,3868000,35944000,-5173000,- -,42120000,-12344000,34815000,74261000,- -,-24712000
83,Cash Provided by Operating Activities,46435000,54194000,- -,59211000,22008000,48755000,54955000,44646000,60688000,46748000,54500000,21925000,21581000,14707000,- -,70702000,72783000,80769000,48708000,- -,103945000
84,CAPEX,-47575000,- -,- -,-20647000,-39940000,-48552000,-58279000,-62408000,-39850000,-40782000,-52694000,-37642000,-53630000,-55422000,- -,-60361000,-74920000,-77858000,-146808000,- -,-72427000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12135000,- -,-52200000,- -,-52750000,-37923000,-38102000,-130646000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-49156000,- -,- -,12158000,6032000,38113000,12984000,14761000,-27463000,-24605000,-38985000,-31138000,-47342000,-12391000,- -,-47166000,-68778000,-66669000,-86192000,- -,-32320000
89,Cash Used for Investing Activites,-49156000,- -,- -,-8489000,-33908000,-10439000,-45295000,-47647000,-30369000,-28340000,-41043000,-80915000,-50486000,-68003000,- -,-103429000,-108105000,-106894000,-218045000,- -,-47857000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-132447000,-116830000,-309733000,-87195000,-1075000,-60050000,- -,-161051000,-198401000,-18811000,-672920000,- -,-201992000
91,Common Stock Issued,- -,- -,- -,- -,- -,65419000,- -,- -,- -,- -,- -,- -,- -,67327000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4017000,- -,-10053000
93,Dividends Paid,- -,- -,- -,-116794000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2414000,- -,- -,95124000,-10235000,-109127000,-6203000,-996000,103131000,97164000,317793000,159814000,-8000,58938000,- -,194831000,261133000,19538000,845234000,- -,217947000
95,Cash Used/Provided by Financing Activities,2414000,- -,- -,-21670000,-10235000,-43708000,-6203000,-996000,-29316000,-19666000,8060000,72619000,-1083000,66215000,- -,33780000,62732000,727000,168297000,- -,5902000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,2414000,- -,- -,29052000,-22135000,-5392000,3457000,-3997000,1003000,-1258000,21517000,13629000,-29988000,12919000,- -,1053000,27410000,-25398000,-1040000,- -,61990000
98,Cash at the End of Period,- -,- -,- -,31466000,9331000,3939000,7396000,3399000,4402000,3144000,24661000,38290000,8302000,21221000,- -,22274000,29412000,4014000,2974000,- -,64964000
99,Cash at the Beginning of Period,- -,- -,- -,2414000,31466000,9331000,3939000,7396000,3399000,4402000,3144000,24661000,38290000,8302000,- -,21221000,2002000,29412000,4014000,- -,2974000
100,Free Cash Flow,-1140000,54194000,- -,38564000,-17932000,203000,-3324000,-17762000,20838000,5966000,1806000,-15717000,-32049000,-40715000,- -,10341000,-2137000,2911000,-98100000,- -,31518000
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/809248/000080924814000004/0000809248-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/809248/000080924815000025/0000809248-15-000025-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/809248/000080924816000134/0000809248-16-000134-index.htm,https://www.sec.gov/Archives/edgar/data/809248/000080924818000029/0000809248-18-000029-index.htm,https://www.sec.gov/Archives/edgar/data/809248/000080924819000026/0000809248-19-000026-index.htm,https://www.sec.gov/Archives/edgar/data/809248/000080924820000005/0000809248-20-000005-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/809248/000080924821000050/0000809248-21-000050-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
