,https://roic.ai/company/SSKN,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1051514/000095012306003863/0000950123-06-003863-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000095012307003922/0000950123-07-003922-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000095012308002847/0000950123-08-002847-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000095012309003799/0000950123-09-003799-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000095012310020941/0000950123-10-020941-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000095012311021697/0000950123-11-021697-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000119312512106195/0001193125-12-106195-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000119312513091842/0001193125-13-091842-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000119312514102619/0001193125-14-102619-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000161577415000575/0001615774-15-000575-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000105151416000048/0001051514-16-000048-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000105151417000014/0001051514-17-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000105151418000012/0001051514-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000105151419000084/0001051514-19-000084-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000105151420000015/0001051514-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000105151421000018/0001051514-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000114036122010347/0001140361-22-010347-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,120000,108705,18505030,20939527,19196589,15069939,29673420,30520812,27996871,7861524,3783000,11434000,3303000,3928000,4069000,16487000,8129000,10604000,12586000
32,Short-Term Investments,- -,- -,- -,- -,6594751,- -,- -,1719905,390512,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,120000,6703456,18505030,20939527,20916494,15460451,29673420,30520812,27996871,7861524,3783000,11434000,3303000,3928000,4069000,16487000,8129000,10604000,12586000
34,Net Receivables,- -,- -,- -,- -,7128,- -,487680,- -,- -,- -,- -,- -,179956,57000,220000,4068000,3390000,3141000,3393000,4386000,2944000,3433000
35,Inventory,- -,- -,- -,- -,69755,- -,- -,- -,- -,- -,- -,- -,675602,5631000,5275000,4128000,2817000,3009000,2794000,3027000,3444000,3489000
36,Other Current Assets,- -,- -,111000,97000,32844,367617,343634,411554,375612,664962,523672,1061550,965624,880000,274000,480000,617000,533000,536000,8013000,7839000,462000
37,Total Current Assets,- -,- -,111000,217000,6813183,18872647,21770841,21328048,15836063,30338382,31044484,29058421,9682706,10351000,17203000,11979000,10752000,10752000,23210000,23555000,24831000,19970000
38,PP&E,- -,- -,- -,- -,89306,175369,564471,616110,643383,1571956,2073602,1626791,7350000,3691000,1961000,13851000,10180000,7703000,5301000,6683000,6517000,7521000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8928000,8803000,8803000,8803000,8803000,8803000,8803000
40,Intangible Assets,- -,- -,- -,- -,163459,84052,100630,118138,94908,- -,- -,- -,47308,42000,37000,15227000,13412000,11325000,9765000,7955000,6345000,10083000
41,Intangible Assets,- -,- -,- -,- -,163459,84052,100630,118138,94908,83008,71108,59208,47308,42000,37000,24155000,22215000,20128000,18568000,16758000,15148000,18886000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,233000,215000,30201,33612,39758,45876,45276,133570,400096,648889,189799,48000,869000,1387000,46000,48000,428000,347000,282000,216000
45,Total Non-Current Assets,- -,- -,233000,215000,282966,293033,704859,780124,783567,1788534,2544806,2334888,7587107,3781000,2867000,39393000,32441000,27879000,24297000,23788000,21947000,26623000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,344000,432000,7096149,19165680,22475700,22108172,16619630,32126916,33589290,31393309,17269813,14132000,20070000,51372000,43193000,38631000,47507000,47343000,46778000,46593000
48,Accounts Payable,- -,- -,- -,- -,338821,329462,641036,567987,634394,1187201,1096505,670950,1850102,1479000,1240000,4446000,1853000,2277000,1764000,1880000,2764000,2822000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,299000,2053000,2744000,252000,7275000,8753000,318000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,106335,- -,- -,- -,36085,- -,- -,- -,171726,244000,43000,173000,235000,291000,2099000,2832000,2262000,3285000
52,Other Current Liabilities,- -,- -,- -,650000,245867,586880,520747,768461,859694,623885,589513,776747,997352,3929000,1403000,2161000,1992000,2360000,4500000,5447000,5059000,6377000
53,Total Current Liabilities,- -,- -,- -,650000,691023,916342,1161783,1336448,1530173,1811086,1686018,1447697,3019180,5652000,2686000,7079000,6133000,7672000,8615000,17434000,18838000,12802000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5001000,20983000,21780000,7853000,7145000,- -,1050000,7711000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,104304,138216,131651,64000,27000,- -,- -,- -,- -,- -,- -,400000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,119000,359000,414000,111000,- -,254000,266000
57,Other Non-Current Liabilities,- -,- -,- -,- -,9955174,- -,- -,- -,- -,- -,- -,- -,143772,120000,80000,7104000,202000,447000,388000,1256000,744000,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,9955174,- -,- -,- -,- -,- -,104304,138216,275423,184000,5108000,28206000,22341000,8714000,7644000,1256000,2048000,8377000
59,Other Liabilities,- -,- -,5001000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1391000,1079000,- -
61,Total Liabilities,- -,- -,5001000,650000,10646197,916342,1161783,1336448,1530173,1811086,1790322,1585913,3294603,5836000,7794000,35285000,28474000,16386000,16259000,18690000,20886000,21179000
62,Preferred Stock,- -,- -,- -,- -,972311,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000,1000,1000,4000,1000,1000,- -,- -
63,Common Stock,- -,- -,- -,- -,1810,10838,13296,15402,17634,22354,25263,30308,32205,48000,6000,10000,11000,4000,30000,33000,34000,34000
64,Retained Earnings,- -,- -,-8518000,-10288000,-13906963,-20633310,-31224787,-43162231,-60767262,-79220106,-99142621,-119527336,-142199868,-168148000,-182293000,-207240000,-210575000,-229406000,-210771000,-214561000,-218973000,-221679000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-196694,-196694,-196694,-196694,-839000,-944000,-1461000,-2012000,-2969000,-5403000,-5192000,-6161000,-6828000,-10734000,-13532000,-15962000,- -,- -
66,Other Total Stockholders Equity,- -,- -,3861000,10070000,9579488,39068504,52722102,64115247,76678085,110457582,132377326,151316424,159111873,181799000,199754000,229477000,232110000,262377000,255520000,259142000,244831000,247059000
67,Total Stockholders Equity,- -,- -,-4657000,-218000,-3550048,18249338,21313917,20771724,15089457,30315830,31798968,29807396,13975210,8296000,12276000,16087000,14719000,22245000,31248000,28653000,25892000,25414000
68,Total Liabilities And Stockholders Equity,- -,- -,344000,432000,7096149,19165680,22475700,22108172,16619630,32126916,33589290,31393309,17269813,14132000,20070000,51372000,43193000,38631000,47507000,47343000,46778000,46593000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,344000,432000,7096149,19165680,22475700,22108172,16619630,32126916,33589290,31393309,17269813,14132000,20070000,51372000,43193000,38631000,47507000,47343000,46778000,46593000
71,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1051514/000095012306003863/0000950123-06-003863-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000095012307003922/0000950123-07-003922-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000095012308002847/0000950123-08-002847-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000095012309003799/0000950123-09-003799-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000095012310020941/0000950123-10-020941-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000095012311021697/0000950123-11-021697-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000119312512106195/0001193125-12-106195-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000119312513091842/0001193125-13-091842-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000119312514102619/0001193125-14-102619-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000161577415000575/0001615774-15-000575-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000105151416000048/0001051514-16-000048-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000105151417000014/0001051514-17-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000105151418000012/0001051514-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000105151419000084/0001051514-19-000084-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000105151420000015/0001051514-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000105151421000018/0001051514-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000114036122010347/0001140361-22-010347-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,-1950000,-3619146,-6726347,-10591477,-11937444,-17605031,-18452844,-19922515,-20384715,-22672532,-25948000,-14145000,-24947000,-3335000,-18831000,-4033000,-3790000,-4412000,-2706000
74,Depreciation and Amortization,- -,- -,- -,30000,25859,15596,138358,210867,308977,314352,552860,562803,969500,2439000,1790000,4051000,6366000,6336000,5397000,4821000,3911000,4086000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,119000,240000,55000,-303000,-111000,254000,12000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1487550,1301000,413000,1753000,113000,186000,904000,1195000,1633000,1643000
77,Change in Working Capital,- -,- -,- -,-430000,6555160,11834145,2652753,-617458,-5685710,14221406,831170,-1747742,-20947198,-1964526,9818000,-9617000,-281000,-1539000,11515000,-8474000,-128000,1175000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-179956,77000,-215000,-186000,558000,184000,-222000,-1036000,1352000,-490000
79,Inventory,- -,- -,- -,- -,3110,-16122,-132694,- -,- -,- -,- -,- -,-675602,121000,-784000,-508000,1311000,-193000,215000,-233000,-417000,-45000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1389939,-484000,-241000,542000,-2605000,381000,-513000,116000,884000,58000
81,Other Working Capital,- -,- -,- -,-433000,6122160,17956305,20609058,19991600,14305890,28527296,29358466,27610724,6663526,4699000,14517000,4900000,4619000,3080000,14595000,6121000,5993000,7168000
82,Other Non-Cash Items,- -,- -,- -,650000,-6026486,-10988527,-2340979,1295098,6777247,-13385628,-282004,4111793,21939004,4759526,-15585000,22056000,-2781000,17933000,-10584000,8588000,838000,-2702000
83,Cash Provided by Operating Activities,- -,- -,- -,-1700000,-3064613,-5865133,-10141345,-11048937,-16204517,-17302714,-18820489,-17457861,-19223676,-19413000,-17709000,-6585000,322000,4140000,2896000,2229000,2096000,1508000
84,CAPEX,- -,- -,- -,-10000,-88884,-121239,-544038,-292853,-313020,-1251211,-1044079,-104092,-6158326,-5188000,- -,-1724000,-1008000,-2059000,-1762000,-2791000,-2159000,-3653000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-42500000,125000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-6584750,- -,- -,-1731522,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,6628253,- -,- -,1334142,397380,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-3166,-5316,500000,500000,- -,- -,10284,- -,- -,- -,17000,- -,15000,-135000,-23000,- -,- -,-3473000
89,Cash Used for Investing Activites,- -,- -,- -,-10000,-6676800,6501698,-44038,-1524375,1021122,-853831,-1033795,-104092,-6158326,-5188000,17000,-44224000,-868000,-2194000,-1785000,-2791000,-2159000,-7126000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6425000,- -,-10196000,-333000,-1803000,-3357000,-7571000,- -,-500000
91,Common Stock Issued,- -,- -,- -,- -,9308980,34500,114493,114527,11909057,15000000,- -,- -,5201896,21174000,11458000,- -,- -,- -,17000000,- -,- -,585000
92,Common Stock Repurchased,- -,- -,- -,1500000,-447553,- -,- -,- -,-936273,-1300821,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,320000,872000,17725260,12505387,10715847,83961,19060847,20701676,15038012,44759,5773000,13885000,52866000,1500000,- -,-2336000,7275000,2546000,7000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,1820000,9733427,17759760,12619880,10830374,11056745,32760026,20701676,15038012,5246655,20522000,25343000,42670000,1167000,-1803000,11307000,-296000,2546000,92000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000,4000,-2000,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,110000,-7986,18396325,2434497,-1742938,-4126650,14603481,847392,-2523941,-20135347,-4079000,7651000,-8131000,625000,141000,12418000,-858000,2483000,-5526000
98,Cash at the End of Period,- -,- -,- -,110000,108705,18505030,20939527,19196589,15069939,29673420,30520812,27996871,7861524,3783000,11434000,3303000,3928000,4069000,16487000,15629000,18112000,12586000
99,Cash at the Beginning of Period,- -,- -,- -,- -,116691,108705,18505030,20939527,19196589,15069939,29673420,30520812,27996871,7862000,3783000,11434000,3303000,3928000,4069000,16487000,15629000,18112000
100,Free Cash Flow,- -,- -,- -,-1710000,-3153497,-5986372,-10685383,-11341790,-16517537,-18553925,-19864568,-17561953,-25382002,-24601000,-17709000,-8309000,-686000,2081000,1134000,-562000,-63000,-2145000
101,SEC Link,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1051514/000095012306003863/0000950123-06-003863-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000095012307003922/0000950123-07-003922-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000095012308002847/0000950123-08-002847-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000095012309003799/0000950123-09-003799-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000095012310020941/0000950123-10-020941-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000095012311021697/0000950123-11-021697-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000119312512106195/0001193125-12-106195-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000119312513091842/0001193125-13-091842-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000119312514102619/0001193125-14-102619-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000161577415000575/0001615774-15-000575-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000105151416000048/0001051514-16-000048-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000105151417000014/0001051514-17-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000105151418000012/0001051514-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000105151419000084/0001051514-19-000084-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000105151420000015/0001051514-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000105151421000018/0001051514-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1051514/000114036122010347/0001140361-22-010347-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
