,https://roic.ai/company/ENPH,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
45,Total Non-Current Assets,4264000,6548000,22972000,27293000,26160000,37296000,43760000,45712000,38701000,117635000,213566000,267038000,616795000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,20947000,59504000,104759000,122291000,116669000,152192000,165528000,163576000,169147000,339937000,713223000,1200102000,2079256000
48,Accounts Payable,4595000,6521000,12928000,11272000,7363000,22316000,25569000,31696000,28747000,48794000,57474000,72609000,113767000
49,Short-Term Debt,178000,2567000,4529000,2384000,3507000,- -,17000000,13132000,17429000,28155000,6054000,330509000,89882000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,107000,595000,23414000,933000,2773000,2747000,3915000,6411000,15691000,33119000,81783000,47665000,62670000
52,Other Current Liabilities,799000,3520000,10100000,19266000,19722000,33643000,26364000,31533000,29874000,37093000,54000000,83260000,173477000
53,Total Current Liabilities,5679000,13203000,50971000,33855000,33365000,58706000,72848000,82772000,91741000,147161000,199311000,534043000,439796000
54,Long-Term Debt,233000,4336000,10148000,8677000,5170000,- -,- -,20768000,32322000,81628000,102659000,4898000,951594000
55,Deferred Revenue,175000,1044000,3670000,7537000,11284000,16612000,25115000,33893000,29941000,76911000,100204000,125473000,187186000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,1233000,2440000,6878000,15567000,26644000,29922000,26116000,24843000,24269000,26461000,38837000,51695000,70512000
58,Total Non-Current Liabilities,1641000,7820000,20696000,31781000,43098000,46534000,51231000,79504000,86532000,185000000,241700000,182066000,1209292000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3170000,4542000,3830000
61,Total Liabilities,7320000,21023000,71667000,65636000,76463000,105240000,124079000,162276000,178273000,332161000,441011000,716109000,1649088000
62,Preferred Stock,47859000,93596000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,1000,1000,1000,1000,1000,1000
64,Retained Earnings,-34741000,-56518000,-91802000,-127026000,-152939000,-160991000,-183073000,-250535000,-295727000,-346302000,-185181000,-51186000,-405737000
65,Other Comprehensive Income/Loss,-1183000,-2707000,83000,52000,229000,-79000,-210000,-292000,-656000,742000,-923000,434000,-2020000
66,Other Total Stockholders Equity,49551000,97706000,130624000,194160000,209751000,231720000,256031000,252126000,287256000,353335000,458315000,534744000,837924000
67,Total Stockholders Equity,13627000,38481000,33092000,56655000,40206000,46952000,41449000,1300000,-9126000,7776000,272212000,483993000,430168000
68,Total Liabilities And Stockholders Equity,20947000,59504000,104759000,122291000,116669000,152192000,165528000,163576000,169147000,339937000,713223000,1200102000,2079256000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,20947000,59504000,104759000,122291000,116669000,152192000,165528000,163576000,169147000,339937000,713223000,1200102000,2079256000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1463101/000144530513000492/0001445305-13-000492-index.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310114000007/0001463101-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310115000017/0001463101-15-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310116000040/0001463101-16-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310117000024/0001463101-17-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310118000030/0001463101-18-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310119000033/0001463101-19-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310120000021/0001463101-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310121000016/0001463101-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310122000016/0001463101-22-000016-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-16925000,-21777000,-32290000,-38218000,-25913000,-8052000,-22082000,-67462000,-45192000,-11627000,161148000,133995000,145449000
74,Depreciation and Amortization,803000,1550000,3032000,5568000,6981000,8259000,10539000,10638000,9004000,9667000,14119000,18103000,32439000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,642000,651000,-1394000,123000,-73375000,-17117000,-31241000
76,Stock Based Compensation,180000,829000,2120000,4766000,6849000,9740000,12696000,10326000,6727000,11432000,20176000,42503000,114286000
77,Change in Working Capital,-3269000,-8937000,30327000,-3999000,-954000,-7270000,-13828000,3613000,36436000,225205000,98675000,975605000,15063000
78,Accounts Receivable,-5691000,-1655000,-9874000,-11040000,-5019000,-13746000,-2482000,-18017000,-4803000,-13515000,-68745000,-34321000,-151160000
79,Inventory,-700000,-3038000,-6708000,-8615000,3263000,-5010000,-19210000,8840000,5961000,9732000,-15789000,-9708000,-29258000
80,Accounts Payable,- -,- -,- -,16774000,7641000,25325000,-2620000,8897000,-5078000,23082000,22200000,35695000,117183000
81,Other Working Capital,39753000,30816000,61143000,57144000,56190000,48920000,35092000,38705000,75141000,300346000,399021000,1374626000,78167000
82,Other Non-Cash Items,324000,10483000,-3556000,-12762000,12165000,21545000,-9127000,9281000,-34023000,-218668000,-81676000,-936755000,76032000
83,Cash Provided by Operating Activities,-18887000,-17852000,-367000,-44645000,-872000,24222000,-21160000,-32953000,-28442000,16132000,139067000,216334000,352028000
84,CAPEX,-2170000,-3262000,-14662000,-12990000,-6257000,-13999000,-12762000,-12845000,-4121000,-4151000,-14788000,-20558000,-52508000
85,Acquisitions Net,- -,- -,- -,- -,- -,-2235000,- -,1050000,- -,-15000000,- -,-5010000,-235652000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5010000,-992956000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61569000
88,Other Investing Activites,12000,- -,- -,- -,- -,-1050000,63000,-678000,- -,- -,- -,5010000,-250000
89,Cash Used for Investing Activites,-2122000,-3262000,-14662000,-12990000,-6257000,-16534000,-12462000,-11795000,-4121000,-19151000,-14788000,-25568000,-1219547000
90,Debt Repayment,-230000,-243000,-2032000,-14199000,-2487000,-8708000,-29000000,-16900000,-10100000,-9976000,-51855000,-43303000,-291941000
91,Common Stock Issued,- -,- -,1858000,58609000,- -,- -,- -,16142000,26425000,19766000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,25745000,52708000,26656000,7026000,2429000,5366000,49564000,35133000,26972000,70824000,117705000,234981000,1101352000
95,Cash Used/Provided by Financing Activities,25515000,52465000,26482000,51436000,-58000,-3342000,20564000,34375000,43297000,80614000,65850000,191678000,309411000
96,Effect of Forex Changes on Cash,- -,- -,78000,-31000,83000,-504000,-522000,-315000,646000,-502000,-257000,826000,-1955000
97,Net Change In Cash,4506000,31351000,11531000,-6230000,-7104000,3842000,-13580000,-10688000,11380000,77093000,189872000,383270000,-560063000
98,Cash at the End of Period,8642000,39993000,51524000,45294000,38190000,42032000,28452000,17764000,29144000,106237000,296109000,679379000,119316000
99,Cash at the Beginning of Period,4136000,8642000,39993000,51524000,45294000,38190000,42032000,28452000,17764000,29144000,106237000,296109000,679379000
100,Free Cash Flow,-21057000,-21114000,-15029000,-57635000,-7129000,10223000,-33922000,-45798000,-32563000,11981000,124279000,195776000,299520000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1463101/000144530513000492/0001445305-13-000492-index.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310114000007/0001463101-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310115000017/0001463101-15-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310116000040/0001463101-16-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310117000024/0001463101-17-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310118000030/0001463101-18-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310119000033/0001463101-19-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310120000021/0001463101-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310121000016/0001463101-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1463101/000146310122000016/0001463101-22-000016-index.htm
102,false,,,,,,,,,,,,,
