,https://roic.ai/company/HTGM,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,-5.1491,-5.2470,-4.1930,-5.2919,-5.0713,-1.2844,-0.7650,-1.0047,-2.4396,-1.9224
22,Income Tax expense (Gain),- -,- -,- -,10189,10118,2921,3526,3379,14415,-22475
23,Net Income,-12774011,-11769419,-13958408,-21397791,-26039550,-18960017,-16453918,-19297664,-20870218,-17145170
24,Net Income ratio,-5.1491,-5.2470,-4.1930,-5.2944,-5.0732,-1.2846,-0.7652,-1.0049,-2.4413,-1.9249
25,EPS,-642.58,-638.47,-792.68,-75.45,-54.90,-26.85,-9.00,-7.65,-4.51,-3.71
26,EPS Diluted,-642.58,-638.47,-792.68,-75.45,-54.90,-26.85,-9.00,-7.65,-4.51,-3.71
27,Weighted Average Shares Outstanding,22227,22227,22227,301234,474207,706491,1834906,2539991,4627918,4627918
28,Weighted Average Shares Outstanding Diluted,22227,22227,195602,301234,474207,706491,1834906,2539991,4627918,4627918
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1169987/000156459016015252/0001564590-16-015252-index.htm,https://www.sec.gov/Archives/edgar/data/1169987/000156459017005153/0001564590-17-005153-index.htm,https://www.sec.gov/Archives/edgar/data/1169987/000156459018006602/0001564590-18-006602-index.htm,https://www.sec.gov/Archives/edgar/data/1169987/000156459019006806/0001564590-19-006806-index.htm,https://www.sec.gov/Archives/edgar/data/1169987/000156459020012877/0001564590-20-012877-index.htm,https://www.sec.gov/Archives/edgar/data/1169987/000156459021015554/0001564590-21-015554-index.htm,https://www.sec.gov/Archives/edgar/data/1169987/000156459022012240/0001564590-22-012240-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,7316054,1815289,3613392,3293983,7507659,9968600,8432600,7619748,22397812,9599950
32,Short-Term Investments,- -,- -,- -,28201507,4304901,- -,22681049,25410222,6298075,12343456
33,Cash and Short-Term Investments,7316054,1815289,3613392,31495490,11812560,9968600,31113649,33029970,28695887,21943406
34,Net Receivables,183718,603853,801125,716246,1377441,6356268,5012678,3164176,1588767,2092466
35,Inventory,123119,744171,1475208,2201301,1511053,1180521,1306609,1269667,1492126,1987753
36,Other Current Assets,202372,164127,112035,445217,433328,443068,568209,3903769,1094273,1163339
37,Total Current Assets,7825263,3327440,6001760,34858254,15134382,17948457,38001145,41367582,32871053,27186964
38,PP&E,607726,1070407,1357205,1932213,3270197,3304890,2373790,3449278,2236499,1118886
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,2603901,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,1369281,52377,49630,2953,3396345,302409,90356,2154837
45,Total Non-Current Assets,607726,1070407,2726486,4588491,3319827,3307843,5770135,3751687,2326855,3273723
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,8432989,4397847,8728246,39446745,18454209,21256300,43771280,45119269,35197908,30460687
48,Accounts Payable,603339,750236,948429,724805,761663,2438798,1849921,1662583,1348762,1649440
49,Short-Term Debt,- -,- -,813715,3059068,6389782,5793599,- -,3746599,3707359,10749037
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,95500,136690,41248,47476,335659,665882,332711,426014,185083,- -
52,Other Current Liabilities,1055828,1486148,1499750,2488261,2533887,4443688,4834742,3063663,1995170,-2454967
53,Total Current Liabilities,1754667,2373074,3303142,6319610,10020991,13341967,7017374,8898859,7236374,9943510
54,Long-Term Debt,205209,44120,10436198,7789963,5389137,2960760,9678854,6871545,8568308,6128090
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,24732473,24429126,19029267,8443774,8636943,8013110,5982990,5379231,4908566,3989263
58,Total Non-Current Liabilities,24937682,24473246,29465465,16233737,14026080,10973870,15661844,12250776,13476874,10117353
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,1395272,1053902,- -
61,Total Liabilities,26692349,26846320,32768607,22553347,24047071,24315837,22679218,21149635,20713248,20060863
62,Preferred Stock,25893415,35803437,45629565,- -,- -,- -,- -,- -,24,- -
63,Common Stock,10260,10354,333,6844,7938,13929,28585,58090,5200,7588
64,Retained Earnings,-42440876,-54210295,-68168703,-89566494,-115606044,-134566061,-151019979,-170317643,-191187861,-208333031
65,Other Comprehensive Income/Loss,-1155431,-1470517,-1955512,-41357,-1090,- -,-3453,-4964,5298,1894
66,Other Total Stockholders Equity,-566728,-2581452,453956,106494405,110006334,131492595,172086909,194234151,205661999,218723373
67,Total Stockholders Equity,-18259360,-22448473,-24040361,16893398,-5592862,-3059537,21092062,23969634,14484660,10399824
68,Total Liabilities And Stockholders Equity,8432989,4397847,8728246,39446745,18454209,21256300,43771280,45119269,35197908,30460687
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,8432989,4397847,8728246,39446745,18454209,21256300,43771280,45119269,35197908,30460687
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1169987/000156459016015252/0001564590-16-015252-index.htm,https://www.sec.gov/Archives/edgar/data/1169987/000156459017005153/0001564590-17-005153-index.htm,https://www.sec.gov/Archives/edgar/data/1169987/000156459018006602/0001564590-18-006602-index.htm,https://www.sec.gov/Archives/edgar/data/1169987/000156459019006806/0001564590-19-006806-index.htm,https://www.sec.gov/Archives/edgar/data/1169987/000156459020012877/0001564590-20-012877-index.htm,https://www.sec.gov/Archives/edgar/data/1169987/000156459021015554/0001564590-21-015554-index.htm,https://www.sec.gov/Archives/edgar/data/1169987/000156459022012240/0001564590-22-012240-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-12774011,-11769419,-13958408,-21397791,-26039550,-18960017,-16453918,-19297664,-20870218,-17145170
74,Depreciation and Amortization,222626,315086,496595,662562,1473778,1241873,1468121,1735804,1346560,721246
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,57192,88097,184966,405426,1002128,1436087,1947014,1222805,1811509,1317355
77,Change in Working Capital,1344459,-5116230,1744252,25840026,-23425253,-506901,26377281,1484952,-6834044,-8391225
78,Accounts Receivable,1711356,-456435,-312340,40025,-661195,-4978827,1332030,1848502,1575409,-805736
79,Inventory,-78187,-621052,-746982,-746241,-33218,77176,-171909,-116787,-256940,174589
80,Accounts Payable,-2252,146897,198193,-312275,10073,1225954,-150176,-155974,-23801,453337
81,Other Working Capital,6070596,954366,2698618,28538644,5113391,4606490,30983771,32468723,25634679,17243454
82,Other Non-Cash Items,2469800,4659309,-1464021,-24753496,24754689,216650,-26512416,-1841833,8253816,6989240
83,Cash Provided by Operating Activities,-8679934,-11823157,-12996616,-19243273,-22234208,-16572308,-13173918,-16695936,-16292377,-16508554
84,CAPEX,-69010,-777767,-857677,-1338124,-1946515,-1020531,-949514,-1103176,-453552,-644381
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-38346765,-3381271,- -,-53970921,-34601208,-12465341,-18620363
87,Sales/Maturities of Investments,- -,- -,- -,7500000,29750000,4300000,31700000,32200000,31650000,12574982
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,25018
89,Cash Used for Investing Activites,-69010,-777767,-857677,-32184889,24422214,3279469,-23220435,-3504384,18731107,-6664744
90,Debt Repayment,- -,- -,-771932,-29242,-4579475,-6458924,-6023699,-44043,-611230,-45126
91,Common Stock Issued,- -,- -,- -,47654190,2000000,20175503,38281022,20863892,7586814,326
92,Common Stock Repurchased,- -,- -,- -,-2925,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,7169882,7100159,16424328,3486730,4605145,2037201,5872422,-1428045,2073894,10436422
95,Cash Used/Provided by Financing Activities,7169882,7100159,15652396,51108753,2025670,15753780,38129745,19391804,9049478,10391622
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-1145,-4336,19609,-16186
97,Net Change In Cash,-1579062,-5500765,1798103,-319409,4213676,2460941,1734247,-812852,11507817,-12797862
98,Cash at the End of Period,7316054,1815289,3613392,3293983,7507659,9968600,11702847,10889995,22397812,9599950
99,Cash at the Beginning of Period,8895116,7316054,1815289,3613392,3293983,7507659,9968600,11702847,10889995,22397812
100,Free Cash Flow,-8748944,-12600924,-13854293,-20581397,-24180723,-17592839,-14123432,-17799112,-16745929,-17152935
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1169987/000156459016015252/0001564590-16-015252-index.htm,https://www.sec.gov/Archives/edgar/data/1169987/000156459017005153/0001564590-17-005153-index.htm,https://www.sec.gov/Archives/edgar/data/1169987/000156459018006602/0001564590-18-006602-index.htm,https://www.sec.gov/Archives/edgar/data/1169987/000156459019006806/0001564590-19-006806-index.htm,https://www.sec.gov/Archives/edgar/data/1169987/000156459020012877/0001564590-20-012877-index.htm,https://www.sec.gov/Archives/edgar/data/1169987/000156459021015554/0001564590-21-015554-index.htm,https://www.sec.gov/Archives/edgar/data/1169987/000156459022012240/0001564590-22-012240-index.htm
102,false,,,,,,,,,,
