,https://roic.ai/company/AATC,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
66,Other Total Stockholders Equity,- -,4200000,4400000,4700000,4897000,5871000,6037000,4717000,5218000,6541000,7641000,8130000,11004000,11652000,11994000,22065000,22619000,23055000,23276000,23547000,23826000,24055000,- -,24550000,24751000,24968000,25167000
67,Total Stockholders Equity,- -,2600000,3100000,3400000,3682000,4375000,3870000,5123000,7760000,11779000,15722000,19333000,23225000,28530000,32713000,46021000,36326000,33980000,18514000,8320000,5397000,6209000,8641000,10637000,17933000,19370000,19794000
68,Total Liabilities And Stockholders Equity,- -,3300000,4100000,4500000,4836000,5282000,5004000,6789000,9587000,13063000,16791000,21224000,30338000,36108000,41150000,54356000,41254000,38536000,24385000,14890000,8971000,8204000,11128000,13484000,19183000,21424000,22367000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,3300000,4100000,4500000,4836000,5282000,5004000,6789000,9587000,13063000,16791000,21224000,30338000,36108000,41150000,54356000,41254000,38536000,24384000,14890000,8971000,8204000,11128000,13484000,19183000,21424000,22367000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/943034/000089710121000169/0000897101-21-000169-index.htm,https://www.sec.gov/Archives/edgar/data/943034/000089710122000298/0000897101-22-000298-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-400000,-1000000,500000,200000,251000,-50000,-455000,1192000,2135000,2694000,2841000,3105000,872000,4964000,3865000,3005000,-10017000,-3352000,-15901000,-9703000,-3102000,687000,2078000,1862000,6995000,1063000,2295000
74,Depreciation and Amortization,100000,200000,200000,200000,351000,419000,478000,419000,381000,344000,379000,388000,277000,1125000,1192000,1716000,2198000,2349000,2227000,2091000,753000,390000,580000,774000,795000,960000,148000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-117000,- -,- -,294000,-73000,-57000,-203000,-1653000,-133000,138000,174000,-3620000,-402000,4085000,-21000,4000,-39000,20000,-21000,-5162000,-489000,884000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,412000,244000,213000,271000,279000,247000,301000,206000,219000,224000,226000
77,Change in Working Capital,-400000,2000000,500000,-400000,73000,222000,-219000,905000,3024000,4221000,3907000,3536000,-6976000,7894000,413000,2038000,-70000,940000,-11120000,-7222000,-436000,-245000,1647000,2286000,1339000,2387000,839000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1623000,960000,-3711000,-11000,2777000,1470000,1033000,-529000,52000,-328000,-491000,704000,865000,-108000
79,Inventory,- -,- -,-100000,100000,-10000,-286000,29000,152000,-149000,-81000,92000,-358000,-909000,-29000,-1126000,-1309000,-1493000,1657000,896000,1355000,177000,507000,-194000,-954000,508000,10000,-659000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-565000,702000,391000,-96000,114000,297000,906000,-932000,-1263000,280000,337000,-514000,187000,-310000
81,Other Working Capital,- -,2000000,2500000,2100000,2173000,2395000,2176000,3081000,6105000,10326000,14233000,17769000,10793000,18687000,19100000,21138000,21068000,22008000,10888000,3666000,3230000,2985000,4632000,6918000,8257000,10644000,11483000
82,Other Non-Cash Items,- -,-1900000,-700000,200000,-192000,89000,-178000,-520000,-2820000,-4623000,-4660000,-2203000,8961000,-8667000,-219000,-6900000,9786000,6160000,14979000,12005000,718000,-593000,-1676000,-3445000,-1936000,-1585000,-1830000
83,Cash Provided by Operating Activities,-700000,-700000,500000,200000,483000,563000,-374000,1996000,3014000,2563000,2410000,4623000,1481000,5183000,5389000,33000,-1311000,5939000,-5517000,-2579000,-1784000,447000,2950000,1662000,2250000,2560000,2562000
84,CAPEX,-600000,-100000,-100000,-100000,-193000,-176000,-184000,-54000,-82000,-86000,-323000,-419000,-11510000,-385000,-694000,-380000,-859000,-487000,-1088000,-495000,-1360000,-1838000,-1352000,-556000,-1410000,-151000,-2572000
85,Acquisitions Net,- -,- -,- -,- -,-10000,- -,- -,-614000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4550000,- -,-1800000,- -,-7400000,-6640000,-9327000,-7340000,-10027000,-5807000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,5000000,- -,1800000,3400000,6705000,8863000,9201000,7303000,7685000,2639000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-100000,-800000,-287000,-615000,-50000,43000,- -,29000,- -,- -,2300000,- -,-1192000,-9412000,-2361000,- -,-867000,150000,2043000,-1255000,-1052000,-362000,-1156000,-22000,-485000
89,Cash Used for Investing Activites,-600000,-100000,-200000,-900000,-490000,-791000,-234000,-625000,-82000,-4007000,4677000,-2219000,-7410000,-4385000,-1821000,-10256000,-1359000,-3211000,790000,2294000,1893000,-1418000,-1352000,-556000,-1410000,-151000,-2572000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1250000,-3750000,-4556000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,3900000,- -,- -,- -,- -,689000,28000,54000,277000,672000,657000,200000,34000,- -,- -,8818000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1932000
94,Other Financing Activites,-100000,- -,- -,- -,- -,- -,- -,- -,-450000,- -,- -,- -,-263000,5436000,4001000,121000,105000,121000,9000,- -,- -,-17000,- -,-10000,-17000,918000,1703000
95,Cash Used/Provided by Financing Activities,3800000,- -,- -,- -,- -,689000,28000,54000,-173000,672000,657000,200000,-229000,4186000,251000,4383000,105000,121000,9000,- -,- -,-17000,- -,-10000,-17000,918000,-229000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16000,145000,-308000,-24000,-223000,-232000,261000,-52000,-623000,-117000,-113000,45000,-50000,59000,160000,-137000
97,Net Change In Cash,3800000,- -,- -,- -,-7000,461000,-580000,1425000,2759000,-772000,7744000,2620000,-6013000,4676000,3795000,-6063000,-2797000,3110000,-4770000,-908000,-8000,-1101000,1643000,1046000,882000,3487000,-376000
98,Cash at the End of Period,- -,- -,- -,- -,1319000,1780000,1200000,2625000,5384000,1262000,9006000,11626000,5613000,10289000,14084000,8021000,5224000,8334000,3564000,2656000,2648000,1547000,3190000,4236000,5118000,8605000,8229000
99,Cash at the Beginning of Period,- -,2600000,1700000,2000000,1326000,1319000,1780000,1200000,2625000,2034000,1262000,9006000,11626000,5613000,10289000,14084000,8021000,5224000,8334000,3564000,2656000,2648000,1547000,3190000,4236000,5118000,8605000
100,Free Cash Flow,-1300000,-800000,400000,100000,290000,387000,-558000,1942000,2932000,2477000,2087000,4204000,-10029000,4798000,4695000,-347000,-2170000,5452000,-6605000,-3074000,-3144000,-1391000,1598000,1106000,840000,2409000,-10000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/943034/000089710121000169/0000897101-21-000169-index.htm,https://www.sec.gov/Archives/edgar/data/943034/000089710122000298/0000897101-22-000298-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
