,https://roic.ai/company/NWLI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1635984/000163598416000042/0001635984-16-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1635984/000163598417000006/0001635984-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1635984/000163598418000004/0001635984-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1635984/000163598419000009/0001635984-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1635984/000163598420000004/0001635984-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1635984/000163598421000009/0001635984-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1635984/000163598422000009/0001635984-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67796000,108866000,80332000,119290000,124561000,120859000,277078000,106007000,51247000,217624000,131976000,253525000,581059000,714624000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2826001000,2651544000,2728680000,2879583000,3060363000,3059609000,2946059000,3356945000,10770923000,9068946000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67796000,108866000,80332000,119290000,2950562000,2772403000,3005758000,2985590000,3111610000,3277233000,3078035000,3610470000,11351982000,9783570000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,675000,- -,- -,- -,- -,- -,3888000,1284000,513000,- -,- -,2107000,- -,10010000,1820000,- -,427000,- -,5655000,- -,- -,12512000,- -,- -,17934000,- -,1719640000,1539919000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2892095000,-3060363000,-3059609000,-2963993000,-3356945000,-12490563000,-7425072000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106007000,51247000,217624000,131976000,253525000,581059000,3898417000
38,PP&E,- -,- -,- -,- -,- -,1800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83300000,81300000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13900000,13900000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,138071000,171170000,161971000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,138071000,185070000,175871000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5576683000,6226740000,7367623000,8266862000,8788121000,9161864000,9570223000,10053550000,10219622000,10306633000,10248804000,10486784000,10788667000,10174601000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1353400000,1524867000,1604019000,1454573000,1581769000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11406950000,11744489000,11910652000,11703377000,12206624000,11057037000,10431772000
46,Other Assets,594600000,819800000,1068000000,1392000000,1908200000,2288300000,2581000000,2698500000,2941100000,2915054000,2958459000,3120829000,3225563000,3518003000,3682828000,3697956000,3809472000,4137247000,5297720000,5991685000,6369008000,6693443000,6835326000,6786480000,7518735000,8773948000,9727999000,10263858000,10830416000,11351892000,- -,- -,- -,- -,- -,25124248000,24761961000
47,Total Assets,594600000,819800000,1068000000,1392000000,1908200000,2288300000,2581000000,2698500000,2941100000,2915054000,2958459000,3120829000,3225563000,3518003000,3682828000,3697956000,3809472000,4137247000,5297720000,5991685000,6369008000,6693443000,6835326000,6786480000,7518735000,8773948000,9727999000,10263858000,10830416000,11351892000,11512957000,11795736000,12128276000,11835353000,12460149000,14648270000,14330189000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,3692000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29698000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2331000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,145126000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49333000,64990000,25408000,39384000,39907000,10741225000,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49333000,64990000,25408000,39384000,39907000,10916049000,- -
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1996000,12287000,- -,- -,- -,4659000,- -,- -,- -,- -,- -,- -,- -,- -,26506000,32818000,57857000,46481000,55054000,7199000,31675000,49333000,64990000,25408000,39384000,39907000,145126000,101166000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49333000,64990000,25408000,39384000,39907000,- -,- -
59,Other Liabilities,522000000,734700000,978100000,1294600000,1807000000,2192100000,2458600000,2512400000,2698400000,2639920000,2646472000,2767969000,2824700000,3079638000,3207306000,3197850000,3250084000,3530041000,4617862000,5183013000,5495000000,5760459000,5823641000,5800267000,6404682000,7555157000,8451214000,8872178000,9382468000,9795572000,10000590000,10173153000,10392920000,10030914000,10425204000,1192471000,11790498000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,522000000,734700000,978100000,1294600000,1807000000,2192100000,2458600000,2512400000,2698400000,2639920000,2646472000,2767969000,2824700000,3079638000,3207306000,3197850000,3250084000,3530041000,4617862000,5183013000,5495000000,5760459000,5823641000,5800267000,6404682000,7555157000,8451214000,8872178000,9382468000,9795572000,10000590000,10173153000,10392920000,10030914000,10425204000,12108520000,11790498000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,3488000,3491000,3491000,3492000,3498000,3501000,3504000,3515000,3525000,3547000,3584000,3613000,3621000,3622000,3626000,3626000,3629000,3635000,3635000,3635000,3636000,36000,36000,36000,36000,36000,36000,36000
64,Retained Earnings,45200000,57900000,63600000,71100000,74000000,69200000,95000000,158400000,215100000,249370000,268654000,314869000,356441000,391334000,450559000,479099000,525818000,567884000,623666000,745835000,821908000,896984000,978892000,1011265000,1055987000,1127614000,1182207000,1273492000,1368466000,1472782000,1569905000,1669524000,1776141000,1896040000,2026383000,2102577000,2281986000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11000000,14000000,-37000000,60000000,395421000,215953000
66,Other Total Stockholders Equity,27400000,27200000,26300000,26300000,27200000,27000000,27400000,27700000,27600000,22276000,39842000,34500000,40930000,43533000,21462000,17503000,30055000,35797000,52645000,59253000,48487000,32379000,29171000,-28678000,54440000,87548000,90943000,114553000,75847000,79902000,42045000,41268000,41997000,41701000,41824000,41716000,- -
67,Total Stockholders Equity,72600000,85100000,89900000,97400000,101200000,96200000,122400000,186100000,242700000,275134000,311987000,352860000,400863000,438365000,475522000,500106000,559388000,607206000,679858000,808672000,874008000,932984000,1011685000,986213000,1114053000,1218791000,1276785000,1391680000,1447948000,1556320000,1611986000,1721828000,1832174000,1900777000,2128243000,2539750000,2539691000
68,Total Liabilities And Stockholders Equity,594600000,819800000,1068000000,1392000000,1908200000,2288300000,2581000000,2698500000,2941100000,2915054000,2958459000,3120829000,3225563000,3518003000,3682828000,3697956000,3809472000,4137247000,5297720000,5991685000,6369008000,6693443000,6835326000,6786480000,7518735000,8773948000,9727999000,10263858000,10830416000,11351892000,11612576000,11894981000,12225094000,11931691000,12553447000,14648270000,14330189000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-99619000,-99245000,-96818000,-96338000,-93298000,- -,- -
70,Total Liabilities & Equity,594600000,819800000,1068000000,1392000000,1908200000,2288300000,2581000000,2698500000,2941100000,2915054000,2958459000,3120829000,3225563000,3518003000,3682828000,3697956000,3809472000,4137247000,5297720000,5991685000,6369008000,6693443000,6835326000,6786480000,7518735000,8773948000,9727999000,10263858000,10830416000,11351892000,11512957000,11795736000,12128276000,11835353000,12460149000,14648270000,14330189000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1635984/000163598416000042/0001635984-16-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1635984/000163598417000006/0001635984-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1635984/000163598418000004/0001635984-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1635984/000163598419000009/0001635984-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1635984/000163598420000004/0001635984-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1635984/000163598421000009/0001635984-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1635984/000163598422000009/0001635984-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,-4800000,25700000,63400000,56700000,34236000,19284000,46215000,41572000,34893000,59225000,28540000,46719000,42066000,55782000,122169000,77267000,76343000,85371000,33642000,45484000,72897000,55627000,92558000,96247000,105588000,98396000,100892000,110421000,116758000,131616000,92312000,180681000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,-2300000,1300000,100000,900000,-9600000,600000,-6200000,-5400000,-6800000,-3500000,-3685000,-5357000,-6028000,-9546000,-6708000,-2601000,1516000,1031000,2292000,-502000,2386000,792000,5688000,4674000,3421000,2987000,8057000,10005000,11825000,11270000,11903000,13001000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-1300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7481000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,-39600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56674000,-70417000,205959000,-99624000,121026000,-10548608000,-90622000
78,Accounts Receivable,- -,- -,- -,- -,- -,14500000,-300000,-11800000,106400000,184200000,900000,-4400000,-1600000,-3600000,700000,23268000,-2301000,-6454000,-9708000,-1855000,1599000,-40234000,62676000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,728000,169313000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,-34300000,- -,30500000,-37200000,-78400000,-4600000,-700000,1900000,25200000,-37800000,3149000,519000,15106000,48731000,16276000,23774000,22726000,-2259000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56674000,-13743000,192216000,92592000,213618000,-10334990000,3746000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,96500000,61500000,114100000,43800000,144188000,79113000,104628000,108180000,102722000,62668000,114203000,101028000,90673000,22729000,30556000,126424000,146161000,171500000,158691000,92543000,103585000,188346000,192035000,152678000,204255000,188167000,270611000,-50255000,297664000,65117000,10824945000,173765000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,49800000,87200000,177600000,101400000,168824000,98997000,144643000,144352000,130815000,118393000,139058000,142390000,126711000,68965000,146017000,201090000,224020000,257902000,194625000,137525000,178868000,244765000,290281000,253599000,313264000,346224000,309143000,276130000,326623000,329029000,373071000,276825000
84,CAPEX,- -,- -,- -,- -,- -,-700000,-600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-50214000,-9116000,-3138000,-2844000,-12106000,-9977000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-189000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-629100000,-1656500000,-1842600000,-595000000,-306456000,-366324000,-359311000,-343867000,-29572000,-467794000,-220319000,-374420000,-617562000,-1711774000,-1209371000,-947499000,-690126000,-752608000,-785899000,-1551819000,-2049428000,-1774257000,-2339870000,-2093647000,-1257564000,-1430803000,-836059000,-938964000,-834671000,-531536000,-958997000,-2643084000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,300400000,1509900000,1715000000,572500000,31766000,21931000,38841000,49238000,47190000,47277000,32629000,31375000,420909000,754357000,546715000,573082000,689655000,586857000,784280000,1128378000,1029153000,919381000,1893156000,1715016000,1012284000,863132000,638014000,1031106000,858774000,1172196000,1424121000,3062804000
88,Other Investing Activites,- -,- -,- -,- -,- -,-26200000,-55500000,-26400000,-12500000,164580000,138867000,160865000,198265000,-245134000,244630000,155222000,240264000,2752000,30164000,-673000,-469000,-230450000,-3216000,-51145000,-9077000,-41931000,-12965000,18509000,15307000,-14274000,43264000,-61306000,-28229000,6964000,-70942000,-59481000,-229148000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-355600000,-202700000,-154000000,-35000000,-110110000,-205526000,-159605000,-96364000,-227516000,-175887000,-32468000,-102781000,-193901000,-927253000,-663329000,-374886000,-230921000,-168967000,-52764000,-432518000,-1062206000,-867841000,-428205000,-363324000,-259554000,-524407000,-309565000,54797000,27929000,377874000,393537000,180595000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-75000000,-378000,-389000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16000,243000,132000,149000,547000,686000,1473000,2514000,2948000,511000,127000,448000,- -,463000,633000,- -,- -,350000,- -,- -,- -,- -,- -,- -,- -
