,https://roic.ai/company/TENX,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,- -,- -,- -,-800000,-911597,-2002190,-3604505,-2273392,-2267205,-2684612,-2478591,-1772409,-2932685,- -,- -,-10562677,-8220197,-5189027,-16611120,-14816743,-52650739,-9205898,-6893280,-8555264,-9867930,- -
18,Operating Income ratio,- -,- -,- -,-8.0000,-911597.0000,-2002190.0000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,- -,-32.7678,-19.8061,-4.2049,-57.5325,-300.6278,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -
19,Total Other Income Expenses (Gains),-5916,-914,-3069,- -,16141,331019,130288,48558,18002,11814,67872,120027,-176581,-238526,-199550,-16100,-109693,-4226773,-2930719,734931,764735,366216,79835,160901,19719321,- -
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9415800,-19541839,-14081812,-51886004,-8839682,-6813445,-8394363,9851391,32474358
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7.6301,-67.6830,-285.7163,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7962100,- -,- -,- -,- -,- -
23,Net Income,-2346227,-1910376,-1281032,-800000,-911339,-1672242,-3487813,-2227337,-2249203,-2672798,-4066593,-3330870,-6721168,-33218840,-10507376,-10448296,-15712410,-9415800,-19541839,-14081812,-43923904,-8839682,-6813445,-8394363,9851391,32474358
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-8.0000,-911339.0000,-1672242.0000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-32.4130,-37.8581,-7.6301,-67.6830,-285.7163,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,Infinity
25,EPS,-480.00,-300.00,-180.00,-120.00,-60.00,-120.00,-240.00,-180.00,-120.00,-120.00,-180.00,-120.00,-300.00,-1139.99,-216.00,-180.00,-244.00,-125.80,-54.20,-10.00,-31.20,-6.27,-9.04,-1.35,-1.33,4.38
26,EPS Diluted,-480.00,-300.00,-180.00,-120.00,-60.00,-120.00,-240.00,-180.00,-120.00,-120.00,-180.00,-120.00,-480.00,-1139.99,-216.00,-180.00,-280.00,-133.60,-54.20,-10.00,-31.20,-6.27,-9.04,-1.35,-1.33,4.38
27,Weighted Average Shares Outstanding,4815,6008,7666,8564,10894,14400,14533,14775,15888,19806,21864,23038,23580,28878,48712,58366,64820,82514,468101,1403898,1405991,1410630,1564773,6195444,7416215,7416215
28,Weighted Average Shares Outstanding Diluted,4815,6008,7666,8564,10894,14400,14533,14775,15888,19806,21864,23038,41669,28878,48712,58366,69380,87951,468101,1403898,1405991,1410630,1564773,6195444,7416215,7416215
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/34956/000101317601500111/0001013176-01-500111-index.html,https://www.sec.gov/Archives/edgar/data/34956/000089843002002685/0000898430-02-002685-index.html,https://www.sec.gov/Archives/edgar/data/34956/000119312503020991/d10k.htm,https://www.sec.gov/Archives/edgar/data/34956/000119312504140189/d10k.htm,https://www.sec.gov/Archives/edgar/data/34956/000119312505168197/d10k.htm,https://www.sec.gov/Archives/edgar/data/34956/000119312506155937/d10k.htm,https://www.sec.gov/Archives/edgar/data/34956/000119312507182471/d10k.htm,https://www.sec.gov/Archives/edgar/data/34956/000119312508176263/d10k.htm,https://www.sec.gov/Archives/edgar/data/34956/000119312509173086/d10k.htm,https://www.sec.gov/Archives/edgar/data/34956/000119312510165026/0001193125-10-165026-index.html,https://www.sec.gov/Archives/edgar/data/34956/000135448811002180/0001354488-11-002180-index.html,https://www.sec.gov/Archives/edgar/data/34956/000135448812003634/0001354488-12-003634-index.html,https://www.sec.gov/Archives/edgar/data/34956/000135448813003629/0001354488-13-003629-index.html,https://www.sec.gov/Archives/edgar/data/34956/000135448814003782/0001354488-14-003782-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/34956/000165495418003517/0001654954-18-003517-index.html,https://www.sec.gov/Archives/edgar/data/34956/000165495419003861/0001654954-19-003861-index.html,https://www.sec.gov/Archives/edgar/data/34956/000165495420003498/0001654954-20-003498-index.html,https://www.sec.gov/Archives/edgar/data/34956/000165495421003641/0001654954-21-003641-index.htm,https://www.sec.gov/Archives/edgar/data/34956/000165495422004036/0001654954-22-004036-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,53857,740215,200000,5466391,4250898,2442015,178442,302310,588763,382,16234,4880633,2555872,632706,951944,1879872,783528,58320555,3660453,9995955,1604810,12367321,4905993,6250241,5583922
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16528494,3284616,6122400,494633,493884,462687,- -
33,Cash and Short-Term Investments,- -,53857,740215,200000,5466391,4250898,2442015,178442,302310,588763,382,16234,4880633,2555872,632706,951944,1879872,783528,58320555,20188947,13280571,7727210,12861954,5399877,6712928,5583922
34,Net Receivables,- -,- -,- -,- -,400000,30000,- -,- -,- -,- -,- -,- -,- -,32286,72055,138867,49035,541463,66108,49448,72599,50171,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,535090,257382,83370,99204,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,17425,19525,100000,71065,83373,89537,72960,118980,77686,154225,1467114,72084,156926,944975,284018,618755,418056,579370,321958,275005,285512,458286,780952,82578,105078
37,Total Current Assets,- -,71282,759740,300000,5937456,4364271,2531552,251402,421290,666449,154607,1483348,4952717,2745084,2184826,1632211,2631032,1842251,58966033,20560353,13628175,8062893,13320240,6180829,6795506,5689000
38,PP&E,- -,137433,84653,100000,31731,243904,485614,425924,407194,384278,298370,194216,177605,210355,383959,442586,293606,205389,124374,35786,19105,9945,8525,176007,5972,294800
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11265100,11265100,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,109448,141521,200000,230464,234121,258654,237579,219495,211618,157811,144958,129102,650222,907710,699951,872971,924698,22999744,22000000,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,109448,141521,200000,230464,234121,258654,237579,219495,211618,157811,144958,129102,650222,907710,699951,872971,924698,34264844,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18019054,8586110,1809428,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,5297289,197176,52651,147608,344325,208305,74189,34371885,1106785,8435,8435,8435,462687,8435
45,Total Non-Current Assets,- -,246881,226174,200000,262195,478025,744268,663503,626689,595896,456181,339174,5603996,1057753,1344320,1290145,1510902,1338392,34463407,52426725,9712000,1827808,16960,184442,468659,303235
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,318163,985914,500000,6199651,4842296,3275820,914905,1047979,1262345,610788,1822522,10556713,3802837,3529146,2922356,4141934,3180643,93429440,- -,23340175,9890701,13337200,6365271,7264165,5992235
48,Accounts Payable,- -,323401,339540,300000,211460,87256,41174,12235,237249,269975,151670,391627,63907,195569,499044,889376,542809,977162,411145,972483,727599,611861,749814,1661054,757856,859638
49,Short-Term Debt,- -,75979,74972,100000,44534,177358,105569,- -,- -,- -,191089,1270141,43631,36666,56394,43295,62958,57539,346890,- -,- -,- -,- -,111353,180870,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,185068,124521,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,201295,116828,200000,89446,79454,32335,2298,56449,43969,81813,183866,157453,241518,843903,1250573,2521103,689808,1688491,3629147,5471638,396979,815855,759988,1180237,704340
53,Total Current Liabilities,- -,600675,531340,600000,345440,344068,179078,14533,293698,313944,424572,1845634,264991,473753,1399341,2183244,3126870,1909577,2571047,4601630,6199237,1008840,1565669,2532395,2118963,1563978
54,Long-Term Debt,- -,- -,103021,- -,- -,- -,- -,- -,- -,- -,- -,- -,539786,227715,2767,4463635,1361110,2994442,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7962100,7962100,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,50000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54660,10932,- -,- -,- -,- -,60379,- -,183589
58,Total Non-Current Liabilities,- -,- -,103021,50000,- -,- -,- -,- -,- -,- -,- -,- -,539786,227715,2767,4463635,1361110,3049102,7973032,7962100,- -,- -,- -,60379,- -,183589
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,171732,60379,- -
61,Total Liabilities,- -,600675,634361,600000,345440,344068,179078,14533,293698,313944,424572,1845634,804777,701468,1402108,6646879,4487980,4958679,10544079,12563730,6199237,1008840,1565669,2592774,124166,183589
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1,- -,- -,- -,- -,285,4,- -,- -
63,Common Stock,- -,428295,507293,600000,809073,844745,885772,887839,1138089,1256599,1365891,1398549,1464056,23621,2146,2339,2942,193,2786,2812,2812,141,379,674,1262,2521
64,Retained Earnings,- -,-8287132,-9568164,-10400000,-11313338,-12985580,-16473393,-18700730,-20949933,-23622731,-27689324,-31020194,-37741362,-70960202,-81467578,-91915874,-107628284,-117044084,-136585923,-160735699,-204659603,-213499285,-227801743,-236168436,- -,-278494185
65,Other Comprehensive Income/Loss,- -,-166085,-219627,-200000,-43994,-72066,-141481,-215020,-142834,31084,-15831,-531003,-531003,-666388,-687697,-826176,-953565,-828752,-831830,-129442,-18718,-16193,516,458,-70,- -
66,Other Total Stockholders Equity,- -,7742410,9632051,9900000,16402470,16711129,18825844,18928283,20708959,23283449,26525480,30129536,46560245,74704338,84280167,89015188,108232861,116094606,220300328,- -,- -,222397198,239572094,239939797,4624370,282736332
67,Total Stockholders Equity,- -,-282512,351553,-100000,5854211,4498228,3096742,900372,754281,948401,186216,-23112,9751936,3101369,2127038,-3724523,-346046,-1778036,82885361,60423348,17140938,8881861,11771531,3772497,4625562,4244668
68,Total Liabilities And Stockholders Equity,- -,318163,985914,500000,6199651,4842296,3275820,914905,1047979,1262345,610788,1822522,10556713,3802837,3529146,2922356,4141934,3180643,93429440,72987078,23340175,9890701,13337200,6365271,4749728,4428257
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-72987078,- -,- -,- -,- -,2514437,1563978
70,Total Liabilities & Equity,- -,318163,985914,500000,6199651,4842296,3275820,914905,1047979,1262345,610788,1822522,10556713,3802837,3529146,2922356,4141934,3180643,93429440,- -,23340175,9890701,13337200,6365271,7264165,5992235
71,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/34956/000101317601500111/0001013176-01-500111-index.html,https://www.sec.gov/Archives/edgar/data/34956/000089843002002685/0000898430-02-002685-index.html,https://www.sec.gov/Archives/edgar/data/34956/000119312503020991/d10k.htm,https://www.sec.gov/Archives/edgar/data/34956/000119312504140189/d10k.htm,https://www.sec.gov/Archives/edgar/data/34956/000119312505168197/d10k.htm,https://www.sec.gov/Archives/edgar/data/34956/000119312506155937/d10k.htm,https://www.sec.gov/Archives/edgar/data/34956/000119312507182471/d10k.htm,https://www.sec.gov/Archives/edgar/data/34956/000119312508176263/d10k.htm,https://www.sec.gov/Archives/edgar/data/34956/000119312509173086/d10k.htm,https://www.sec.gov/Archives/edgar/data/34956/000119312510165026/0001193125-10-165026-index.html,https://www.sec.gov/Archives/edgar/data/34956/000135448811002180/0001354488-11-002180-index.html,https://www.sec.gov/Archives/edgar/data/34956/000135448812003634/0001354488-12-003634-index.html,https://www.sec.gov/Archives/edgar/data/34956/000135448813003629/0001354488-13-003629-index.html,https://www.sec.gov/Archives/edgar/data/34956/000135448814003782/0001354488-14-003782-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/34956/000165495418003517/0001654954-18-003517-index.html,https://www.sec.gov/Archives/edgar/data/34956/000165495419003861/0001654954-19-003861-index.html,https://www.sec.gov/Archives/edgar/data/34956/000165495420003498/0001654954-20-003498-index.html,https://www.sec.gov/Archives/edgar/data/34956/000165495421003641/0001654954-21-003641-index.htm,https://www.sec.gov/Archives/edgar/data/34956/000165495422004036/0001654954-22-004036-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2346227,-1910376,-1281032,-800000,-911339,-1672242,-3487813,-2227337,-2249203,-2672798,-4066593,-3330870,-6721168,-33218840,-10507376,-10448296,-15712410,-9415800,-19541839,-14081812,-43923904,-8839682,-6813445,-8394363,9851391,32474358
74,Depreciation and Amortization,87459,83073,71107,100000,53992,71627,110262,137049,141712,265802,263253,152122,102455,20475,110631,311026,206677,148804,150489,148140,18952,13621,9016,107279,114748,4116
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7962100,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,185264,651460,117295,1062,79589,190083,- -,- -,- -
77,Change in Working Capital,668545,757793,-528400,5892016,-1571813,-1667729,-2115605,-109277,224913,-622470,-92321,5050012,-2416395,-1485846,-1336518,55195,428512,56462312,-43401020,2964757,-8529785,-374885,4700518,-8106137,1028109,-551521
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-793148,23801,1110272,-122605,-322666,698374,-22500
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,238026,-7280,-20228,99204,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-544589
81,Other Working Capital,-529393,228400,-300000,5592016,4020203,2352474,236869,127592,352505,-269965,-362286,4687726,2271331,785485,-551033,-495838,-67326,56394986,12993966,15958723,7428938,7054053,11754571,3648434,4676543,4125022
82,Other Non-Cash Items,60000,197363,1162635,-5992016,1515859,1730727,3595288,105803,109118,1037510,1747304,-3008922,6758899,30626578,3145991,1678933,6798855,-52301863,52879339,1102826,44524475,-3019160,-3585633,8837044,-20267104,-42783156
83,Cash Provided by Operating Activities,-1530223,-872147,-575690,-800000,-913301,-1537617,-1897868,-2093762,-1773460,-1991956,-2148357,-1137658,-2276209,-4057633,-8587272,-8403142,-8278366,-4921283,-9261571,-9748794,-15871300,-12140517,-5499461,-7556177,-9272856,-10856203
84,CAPEX,-33699,-2128,-762,- -,-17664,-240246,-376503,-37872,-80417,-69675,-21787,- -,-102101,-99691,-541722,-463939,-265389,-152051,-147038,-109657,-2884,-4537,-7595,-3574,-3490,-5252
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-267636,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-55142333,-7255578,-299172,-493822,-618100,-596524,-345540
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14319630,29390264,4053081,7856215,620023,620123,803401
88,Other Investing Activites,-20409,-40011,-49638,-100000,-34377,-77212,- -,-26737,-24481,-37249,-34391,-19283,- -,- -,-305995,-223115,-243494,-130788,-137234,-98923,75000,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-54108,-42139,-50400,-100000,-52041,-317458,-376503,-64609,-104898,-106924,-56178,-19283,-102101,-367327,-541722,-463939,-261146,-147987,-147038,-40925860,22206802,3749372,7354798,-1651,20109,452609
90,Debt Repayment,-14065,-17722,-16573,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-88071,-84245,-104782,-118043,-100895,-135291,-435433,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,292750,600000,1260000,400000,6379584,506757,537277,367,2002226,2244500,321904,- -,221104,2098125,10030030,4901400,8733629,- -,62044419,543998,- -,- -,- -,- -,8659177,773787
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2836520,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,614133,309553,69021,- -,-140864,132825,-71789,-105569,- -,140833,1294250,1172793,7021605,90145,96563,4389701,851854,4073821,5036508,172025,- -,- -,8907174,96500,1937818,8963488
95,Cash Used/Provided by Financing Activities,892818,891831,1312448,400000,6238720,639582,465488,-105202,2002226,2385333,1616154,1172793,7242709,2100199,7205828,9186319,9467440,3972926,66945636,280590,- -,- -,8907174,96500,10596995,9737275
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-691513,-22455,686358,-500000,5273378,-1215493,-1808883,-2263573,123868,286453,-588381,15852,4864399,-2324761,-1923166,319238,927928,-1096344,57537027,-50394064,6335502,-8391145,10762511,-7461328,1344248,-666319
98,Cash at the End of Period,76312,53857,740215,200000,5466391,4250898,2442015,178442,302310,588763,382,16234,4880633,2555872,632706,951944,1879872,783528,58320555,7926491,9995955,1604810,12367321,4905993,6250241,5583922
99,Cash at the Beginning of Period,767825,76312,53857,700000,193013,5466391,4250898,2442015,178442,302310,588763,382,16234,4880633,2555872,632706,951944,1879872,783528,58320555,3660453,9995955,1604810,12367321,4905993,6250241
100,Free Cash Flow,-1563922,-874275,-576452,-800000,-930965,-1777863,-2274371,-2131634,-1853877,-2061631,-2170144,-1137658,-2378310,-4157324,-9128994,-8867081,-8543755,-5073334,-9408609,-9858451,-15874184,-12145054,-5507056,-7559751,-9276346,-10861455
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/34956/000101317601500111/0001013176-01-500111-index.html,https://www.sec.gov/Archives/edgar/data/34956/000089843002002685/0000898430-02-002685-index.html,https://www.sec.gov/Archives/edgar/data/34956/000119312503020991/d10k.htm,https://www.sec.gov/Archives/edgar/data/34956/000119312504140189/d10k.htm,https://www.sec.gov/Archives/edgar/data/34956/000119312505168197/d10k.htm,https://www.sec.gov/Archives/edgar/data/34956/000119312506155937/d10k.htm,https://www.sec.gov/Archives/edgar/data/34956/000119312507182471/d10k.htm,https://www.sec.gov/Archives/edgar/data/34956/000119312508176263/d10k.htm,https://www.sec.gov/Archives/edgar/data/34956/000119312509173086/d10k.htm,https://www.sec.gov/Archives/edgar/data/34956/000119312510165026/0001193125-10-165026-index.html,https://www.sec.gov/Archives/edgar/data/34956/000135448811002180/0001354488-11-002180-index.html,https://www.sec.gov/Archives/edgar/data/34956/000135448812003634/0001354488-12-003634-index.html,https://www.sec.gov/Archives/edgar/data/34956/000135448813003629/0001354488-13-003629-index.html,https://www.sec.gov/Archives/edgar/data/34956/000135448814003782/0001354488-14-003782-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/34956/000165495418003517/0001654954-18-003517-index.html,https://www.sec.gov/Archives/edgar/data/34956/000165495419003861/0001654954-19-003861-index.html,https://www.sec.gov/Archives/edgar/data/34956/000165495420003498/0001654954-20-003498-index.html,https://www.sec.gov/Archives/edgar/data/34956/000165495421003641/0001654954-21-003641-index.htm,https://www.sec.gov/Archives/edgar/data/34956/000165495422004036/0001654954-22-004036-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
