,https://roic.ai/company/INDT,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,15700000,16900000,18700000,20686000,10247000,8053000,8479000,9905000,10761000,11957000,12043000,10928000,10667000,10263000,9712000,9938000,14463000,13806000,14725000,16164000,18616000,19153000,9995000,23583000,2283000
11,COGS and Expenses,49600000,51100000,59800000,67927000,35195000,36249000,39993000,45579000,46650000,52897000,50006000,54094000,44559000,38758000,37418000,34465000,23090000,22410000,23774000,25224000,31262000,28829000,9995000,34059000,- -
12,Interest Income ,- -,- -,- -,43000,- -,- -,39000,500000,- -,- -,- -,- -,182000,302000,210000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,1141000,- -,- -,2621000,2487000,- -,- -,- -,- -,3522000,4456000,4167000,3533000,3848000,3529000,3670000,4545000,5690000,6270000,6408000,7281000,-1700000
14,Depreciation and Amortization,1900000,2000000,2200000,2533000,2919000,3226000,4509000,4955000,5356000,5569000,5868000,7532000,6517000,7039000,6761000,6304000,6673000,6729000,7668000,8797000,10064000,11404000,11801000,13623000,3935000
15,EBITDA,-1700000,2200000,5700000,6352000,5844000,2987000,3148000,53564000,2772000,5342000,18934000,-5847000,1339000,4194000,7269000,10690000,5692000,9250000,12143000,14653000,23054000,16526000,22090000,11263000,-1336000
16,EBITDA ratio,-0.0367,0.0430,0.0906,0.0885,0.1826,0.0880,0.0825,1.3006,0.0662,0.1004,0.3186,-0.1313,0.0342,0.1178,0.1954,0.2921,0.2230,0.3819,0.4323,0.4750,0.5253,0.4889,0.5015,0.3012,-0.1242
17,Operating Income,-3300000,100000,3100000,3812000,-3182000,-2288000,-1833000,-4396000,-4761000,334000,9417000,-11203000,-5360000,-3147000,-225000,2126000,2436000,1809000,4314000,5627000,12622000,4971000,9599000,3145000,-3523000
18,Operating Income ratio,-0.0713,0.0020,0.0493,0.0531,-0.0994,-0.0674,-0.0480,-0.1067,-0.1137,0.0063,0.1585,-0.2515,-0.1367,-0.0884,-0.0060,0.0581,0.0954,0.0747,0.1536,0.1824,0.2876,0.1471,0.2179,0.0841,-0.3276
19,Total Other Income Expenses (Gains),-300000,100000,400000,-1134000,6460000,2049000,-2149000,50190000,2177000,-561000,3649000,-2176000,-3340000,-4154000,-3957000,-2920000,466000,-2961000,-3509000,-4316000,-5322000,-6119000,-6144000,-12786000,- -
20,Income Before Tax,-3600000,200000,3500000,2678000,3278000,-239000,-3982000,45794000,-2584000,-227000,13066000,-13379000,-8700000,-7301000,-4182000,-794000,2902000,-1152000,805000,1311000,7300000,-1148000,3455000,-9641000,-3523000
21,Income Before Tax Ratio,-0.0778,0.0039,0.0556,0.0373,0.1024,-0.0070,-0.1044,1.1120,-0.0617,-0.0043,0.2199,-0.3003,-0.2219,-0.2050,-0.1124,-0.0217,0.1137,-0.0476,0.0287,0.0425,0.1663,-0.0340,0.0784,-0.2579,-0.3276
22,Income Tax expense (Gain),-1500000,100000,1000000,1044000,1788000,-3164000,-1633000,15124000,-1216000,-12000,4735000,-5094000,-3187000,-2814000,-1185000,-113000,992000,96000,380000,735000,2673000,505000,213000,3076000,-24000
23,Net Income,-2100000,100000,2500000,1634000,1137000,2925000,-2349000,30998000,-1368000,-215000,8331000,-8285000,-5513000,-4487000,-2474000,966000,-5821000,-1104000,425000,576000,4627000,-1653000,3668000,-12717000,-3547000
24,Net Income ratio,-0.0454,0.0020,0.0397,0.0228,0.0355,0.0861,-0.0616,0.7527,-0.0327,-0.0040,0.1402,-0.1860,-0.1406,-0.1260,-0.0665,0.0264,-0.2280,-0.0456,0.0151,0.0187,0.1054,-0.0489,0.0833,-0.3401,-0.3298
25,EPS,-0.44,0.02,0.51,0.34,0.23,0.60,-0.48,6.31,-0.27,-0.04,1.62,-1.64,-1.09,-0.88,-0.48,0.19,-1.13,-0.21,0.08,0.11,0.92,-0.33,0.72,-1.97,-0.46
26,EPS Diluted,-0.44,0.02,0.48,0.33,0.22,0.53,-0.49,6.06,-0.27,-0.04,1.58,-1.64,-1.09,-0.88,-0.48,0.19,-1.13,-0.21,0.08,0.11,0.92,-0.33,0.72,-1.97,-0.46
27,Weighted Average Shares Outstanding,4772727,5000000,4901961,4805882,4943478,4875000,4893750,4912520,5066667,5072000,5142593,5051829,5080000,5105000,5130000,5138000,5144000,5148000,5151000,5117000,5010000,5023000,5070000,5309000,7724000
28,Weighted Average Shares Outstanding Diluted,4772727,6000000,5208333,4951515,5168182,5518868,4893750,5115182,5066667,5254000,5272785,5051829,5080000,5105000,5130000,5138000,5152000,5148000,5168000,5123000,5038000,5023000,5106000,5309000,7724000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1037390/000104746909001057/0001047469-09-001057-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1037390/000104746912001126/0001047469-12-001126-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1037390/000104746914000864/0001047469-14-000864-index.htm,https://www.sec.gov/Archives/edgar/data/1037390/000104746915000791/0001047469-15-000791-index.htm,https://www.sec.gov/Archives/edgar/data/1037390/000104746916010132/0001047469-16-010132-index.htm,https://www.sec.gov/Archives/edgar/data/1037390/000155837017000508/0001558370-17-000508-index.htm,https://www.sec.gov/Archives/edgar/data/1037390/000155837018000519/0001558370-18-000519-index.htm,https://www.sec.gov/Archives/edgar/data/1037390/000155837019000568/0001558370-19-000568-index.htm,https://www.sec.gov/Archives/edgar/data/1037390/000155837020000756/0001558370-20-000756-index.htm,https://www.sec.gov/Archives/edgar/data/1037390/000155837021001230/0001558370-21-001230-index.htm,https://www.sec.gov/Archives/edgar/data/1037390/000155837021014665/0001558370-21-014665-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,11500000,2100000,2000000,1126000,23000,24000,18000,8827000,1207000,2265000,11120000,4773000,9149000,9260000,7431000,10181000,14179000,17059000,18271000,24689000,30068000,8592000,5874000,28540000,- -
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,30173000,40985000,35973000,22875000,8624000,454000,- -,- -,- -,- -,- -,- -,- -,- -,17000000,- -,- -,- -
33,Cash and Short-Term Investments,11500000,2100000,2000000,1126000,23000,24000,18000,39000000,42192000,38238000,33995000,13397000,9603000,9260000,7431000,10181000,14179000,17059000,18271000,24689000,30068000,25592000,5874000,28540000,- -
34,Net Receivables,4700000,4700000,6000000,5920000,2437000,1999000,1948000,2162000,2696000,2559000,2222000,2071000,9017000,1673000,1717000,1846000,1409000,6248000,4488000,4843000,6448000,6009000,- -,7109000,- -
35,Inventory,25300000,26700000,29200000,31869000,30449000,31164000,32396000,32184000,33184000,30579000,30374000,24347000,19573000,15528000,13695000,14206000,5220000,9943000,1418000,2992000,1932000,2652000,- -,6802000,- -
36,Other Current Assets,3900000,5800000,4900000,6313000,4455000,5583000,4973000,4995000,4998000,9557000,5024000,8984000,3788000,4674000,5546000,4089000,7882000,1109000,8067000,717000,448000,452000,- -,491000,- -
37,Total Current Assets,45400000,39300000,42100000,45228000,37364000,38770000,39335000,78341000,83070000,80933000,71615000,48799000,41981000,31135000,28389000,30322000,28690000,34359000,32244000,33241000,38896000,34705000,5874000,42942000,- -
38,PP&E,12500000,12600000,14400000,17069000,11418000,12514000,11919000,11310000,10686000,9144000,8270000,6437000,2730000,2363000,2248000,2125000,1950000,230000,221000,280000,251000,245000,- -,899000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,506000,305000,247000,1695000,1399000,- -,2170000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4615000,5102000,3005000,4226000,2208000,1924000,1970000,977000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1142000,3045000,2222000,1744000,5996000,- -,4984000,1904000,1556000,- -,- -,- -
44,Other Non-Current Assets,44900000,53000000,56900000,64359000,75393000,81672000,94467000,86746000,94894000,126538000,126918000,126439000,139410000,143409000,139988000,141219000,150135000,143362000,174561000,183894000,206291000,225564000,- -,255351000,- -
45,Total Non-Current Assets,57400000,65600000,71300000,81428000,86811000,94186000,106386000,98056000,105580000,135682000,135188000,132876000,146755000,152016000,148286000,149792000,156037000,152018000,177057000,190382000,210141000,228764000,- -,258420000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,262621000,- -,- -
47,Total Assets,102800000,104900000,113400000,126656000,124175000,132956000,145721000,176397000,188650000,216615000,206803000,181675000,188736000,183151000,176675000,180114000,184727000,186377000,209301000,223623000,249037000,263469000,268495000,301362000,- -
48,Accounts Payable,5000000,5600000,5400000,8341000,5761000,3939000,4573000,5921000,7089000,7813000,5694000,1008000,619000,- -,- -,690000,865000,670000,422000,1060000,432000,380000,4318000,914000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,540000,11428000,855000,1060000,1197000,1239000,8661000,1532000,1742000,1700000,1869000,2101000,- -,- -,- -,- -,- -,5875000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,6245000,3141000,1175000,1249000,1406000,1296000,4376000,8033000,- -,1230000,1351000,1624000,1667000,3281000,2125000,- -
52,Other Current Liabilities,200000,400000,300000,7694000,508000,- -,- -,- -,- -,- -,- -,4232000,3048000,3587000,3954000,3580000,3411000,3873000,4472000,4594000,6559000,5232000,136700000,14728000,- -
53,Total Current Liabilities,5200000,6000000,5700000,16035000,6269000,4479000,16001000,6776000,8149000,15255000,10074000,15076000,6448000,6735000,6950000,10515000,14410000,4543000,6124000,7005000,8615000,7279000,150174000,17767000,- -
54,Long-Term Debt,2800000,2700000,8900000,9008000,15940000,26007000,30737000,31479000,43159000,50631000,48456000,39855000,61066000,61295000,59481000,57692000,64692000,70168000,90436000,109697000,129203000,145052000,- -,161048000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8349000,10790000,9526000,11818000,10599000,- -,10121000,- -
56,Deferred Tax Liabilities,- -,1100000,1400000,2729000,1457000,1906000,- -,1979000,780000,6990000,4987000,1257000,1050000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,4300000,3900000,3600000,3794000,3593000,1094000,1659000,1600000,3705000,4125000,4383000,4327000,5426000,6054000,6939000,7761000,7510000,7438000,7142000,6592000,6348000,5711000,- -,15527000,- -
58,Total Non-Current Liabilities,7100000,7700000,13900000,15531000,20990000,29007000,32396000,35058000,47644000,61746000,57826000,45439000,67542000,67349000,66420000,65453000,72202000,85955000,108368000,125815000,147369000,161362000,- -,186696000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27559000,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,748000,- -
61,Total Liabilities,12300000,13700000,19600000,31566000,27259000,33486000,48397000,41834000,55793000,77001000,67900000,60515000,73990000,74084000,73370000,75968000,86612000,90498000,114492000,132820000,155984000,168641000,177733000,204463000,- -
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,49000,49000,49000,49000,50000,50000,52000,53000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,56000,57000,63000,- -
64,Retained Earnings,-2500000,-2400000,100000,1271000,3036000,5961000,3612000,34610000,32809000,32377000,40199000,29888000,22342000,15811000,11284000,11222000,4372000,2238000,1117000,179000,2806000,-211000,919000,-11798000,- -
65,Other Comprehensive Income/Loss,-10200000,-10900000,-11800000,-12965000,-10810000,-128000,271000,5204000,4659000,9942000,5002000,646000,926000,1007000,-978000,-721000,-449000,-835000,-1085000,-1049000,-284000,2395000,-3141000,-8051000,- -
66,Other Total Stockholders Equity,103200000,104500000,105500000,106735000,104641000,93588000,93392000,94699000,95339000,97243000,93649000,90571000,91423000,92194000,92944000,93590000,94137000,94421000,94722000,91618000,90476000,92588000,92927000,116685000,- -
67,Total Stockholders Equity,90500000,91200000,93800000,95090000,96916000,99470000,97324000,134563000,132857000,139614000,138903000,121160000,114746000,109067000,103305000,104146000,98115000,95879000,94809000,90803000,93053000,94828000,90762000,96899000,- -
68,Total Liabilities And Stockholders Equity,102800000,104900000,113400000,126656000,124175000,132956000,145721000,176397000,188650000,216615000,206803000,181675000,188736000,183151000,176675000,180114000,184727000,186377000,209301000,223623000,249037000,263469000,268495000,301362000,- -
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,102800000,104900000,113400000,126656000,124175000,132956000,145721000,176397000,188650000,216615000,206803000,181675000,188736000,183151000,176675000,180114000,184727000,186377000,209301000,223623000,249037000,263469000,268495000,301362000,- -
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1037390/000104746909001057/0001047469-09-001057-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1037390/000104746912001126/0001047469-12-001126-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1037390/000104746914000864/0001047469-14-000864-index.htm,https://www.sec.gov/Archives/edgar/data/1037390/000104746915000791/0001047469-15-000791-index.htm,https://www.sec.gov/Archives/edgar/data/1037390/000104746916010132/0001047469-16-010132-index.htm,https://www.sec.gov/Archives/edgar/data/1037390/000155837017000508/0001558370-17-000508-index.htm,https://www.sec.gov/Archives/edgar/data/1037390/000155837018000519/0001558370-18-000519-index.htm,https://www.sec.gov/Archives/edgar/data/1037390/000155837019000568/0001558370-19-000568-index.htm,https://www.sec.gov/Archives/edgar/data/1037390/000155837020000756/0001558370-20-000756-index.htm,https://www.sec.gov/Archives/edgar/data/1037390/000155837021001230/0001558370-21-001230-index.htm,undefined
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2100000,100000,2500000,1634000,1137000,2925000,-2349000,30998000,-1368000,-215000,8331000,-8285000,-5513000,-4487000,-2474000,966000,-5821000,-1104000,425000,576000,4627000,-1653000,3668000,-12717000,-3547000
74,Depreciation and Amortization,1900000,2000000,2200000,2533000,2919000,3226000,4509000,4955000,5356000,5569000,5868000,7532000,6517000,7039000,6761000,6304000,6673000,6729000,7668000,8797000,10064000,11404000,11801000,13623000,3935000
75,Deferred Income Tax,-1100000,200000,900000,927000,-93000,-373000,-1612000,655000,-871000,2780000,1420000,-3433000,2959000,-2487000,-976000,763000,-3414000,123000,297000,785000,2623000,389000,-388000,3119000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,366000,392000,564000,604000,467000,338000,230000,267000,349000,350000,261000,510000,- -
77,Change in Working Capital,700000,-6900000,3100000,-7207000,1902000,3196000,-10957000,48231000,3356000,-9243000,-4137000,-27818000,1810000,-11133000,-2961000,-1632000,-5527000,15536000,-3696000,116000,4045000,-2855000,-171726000,169475000,-202978000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-719000,1030000,-45000,-155000,400000,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,2200000,-1400000,-2500000,-2673000,-3033000,-715000,-1232000,-937000,-4078000,1819000,-524000,-1963000,3408000,3761000,646000,-891000,-810000,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,40200000,33300000,36400000,29193000,31095000,34291000,23334000,71565000,74921000,65678000,61541000,33723000,35533000,24400000,21439000,19807000,14280000,29816000,26120000,26236000,30281000,27426000,-144300000,25175000,-177803000
82,Other Non-Cash Items,-1300000,5200000,-7800000,7188000,-11950000,-11191000,9553000,-131693000,-19258000,7232000,348000,42201000,4384000,21341000,496000,-5060000,7068000,-17362000,8037000,-3324000,-12329000,806000,167653000,-165862000,202590000
83,Cash Provided by Operating Activities,-1900000,600000,900000,5075000,-6085000,-2217000,-856000,-46854000,-12785000,6123000,11830000,10197000,10523000,10665000,1410000,1945000,-554000,4260000,12961000,7217000,9379000,8441000,11269000,8148000,- -
84,CAPEX,-900000,-1200000,-6200000,-12823000,-13137000,-5898000,-6921000,-603000,-729000,-389000,-15036000,-11282000,-17051000,-9908000,-3096000,-188000,-113000,-78000,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-15947000,- -,- -,- -,- -,- -,- -,309000,3418000,169000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-60000,- -,- -,- -,- -,- -,- -,-17000000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3467000,- -,- -,- -,- -,- -,2487000,566000,- -,- -,1216000,- -,15989000,- -,- -
88,Other Investing Activites,- -,-5600000,-400000,- -,18501000,-1145000,-7702000,65475000,9863000,-14148000,13532000,501000,-824000,877000,3939000,2894000,-6969000,-3415000,-29705000,-16624000,-21130000,-28334000,-31017000,-24685000,- -
89,Cash Used for Investing Activites,-900000,-9800000,-6600000,-12823000,5364000,-7043000,-14623000,64872000,-6813000,-14537000,1963000,-10781000,-17875000,-9031000,783000,3015000,-1177000,-2758000,-29705000,-16624000,-19914000,-45334000,-15028000,-24685000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9534000,-4385000,-1894000,-1674000,-1916000,-3017000,-20123000,-24822000,-19287000,-15439000,-3953000,-13763000,- -
91,Common Stock Issued,400000,100000,- -,- -,- -,- -,- -,1000000,469000,967000,435000,134000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27281000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4180000,-2880000,- -,- -,- -,- -,- -,- -,- -,-3354000,-1474000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2028000,-2031000,-2041000,-2052000,-513000,-1028000,-1029000,-1030000,-1546000,-1514000,-2000000,-2279000,-2538000,- -
94,Other Financing Activites,6600000,-300000,5600000,6871000,-382000,9261000,15473000,-10209000,11509000,8505000,-1193000,-989000,23293000,4903000,-76000,-23000,8673000,5424000,39109000,45547000,38189000,32856000,7273000,28223000,- -
95,Cash Used/Provided by Financing Activities,7000000,-200000,5600000,6871000,-382000,9261000,15473000,-9209000,11978000,9472000,-4938000,-5763000,11728000,-1523000,-4022000,-2210000,5729000,1378000,17956000,15825000,15914000,15417000,1041000,39203000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-100000,-877000,-1103000,1000,-6000,8809000,-7620000,1058000,8855000,-6347000,4376000,111000,-1829000,2750000,3998000,2880000,1212000,6418000,5379000,-21476000,-2718000,22666000,- -
98,Cash at the End of Period,- -,- -,2000000,1126000,23000,24000,18000,8827000,1207000,2265000,11120000,4773000,9149000,9260000,7431000,10181000,14179000,17059000,18271000,24689000,30068000,8592000,5874000,28540000,- -
99,Cash at the Beginning of Period,7400000,11500000,2100000,2003000,1126000,23000,24000,18000,8827000,1207000,2265000,11120000,4773000,9149000,9260000,7431000,10181000,14179000,17059000,18271000,24689000,30068000,8592000,5874000,- -
100,Free Cash Flow,-2800000,-600000,-5300000,-7748000,-19222000,-8115000,-7777000,-47457000,-13514000,5734000,-3206000,-1085000,-6528000,757000,-1686000,1757000,-667000,4182000,12961000,7217000,9379000,8441000,11269000,8148000,- -
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1037390/000104746909001057/0001047469-09-001057-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1037390/000104746912001126/0001047469-12-001126-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1037390/000104746914000864/0001047469-14-000864-index.htm,https://www.sec.gov/Archives/edgar/data/1037390/000104746915000791/0001047469-15-000791-index.htm,https://www.sec.gov/Archives/edgar/data/1037390/000104746916010132/0001047469-16-010132-index.htm,https://www.sec.gov/Archives/edgar/data/1037390/000155837017000508/0001558370-17-000508-index.htm,https://www.sec.gov/Archives/edgar/data/1037390/000155837018000519/0001558370-18-000519-index.htm,https://www.sec.gov/Archives/edgar/data/1037390/000155837019000568/0001558370-19-000568-index.htm,https://www.sec.gov/Archives/edgar/data/1037390/000155837020000756/0001558370-20-000756-index.htm,https://www.sec.gov/Archives/edgar/data/1037390/000155837021001230/0001558370-21-001230-index.htm,https://www.sec.gov/Archives/edgar/data/1037390/000155837021014665/0001558370-21-014665-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
