,https://roic.ai/company/PKX,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
37,Total Current Assets,- -,- -,- -,- -,5397202845140,7993750000000,10131000000000,11517023087792,11672149348034,14401678869483,22197633000000,20634150000000,27107123000000,33556911000000,31566116000000,31666211000000,33207927000000,29501895000000,29655108000000,31844259000000,34151972000000,35144493000000,36404828000000,46621630000000
38,PP&E,- -,- -,- -,- -,10324047446075,10326250000000,10085000000000,12141708808002,13967258007790,15590583366385,18069099000000,21839785000000,25699149000000,28453184000000,34399413000000,37088058000000,35333654000000,34673999000000,33932607000000,32089479000000,30210403000000,30003244000000,29457281000000,29596698000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,261740000000,1465674000000,1656817000000,1713691000000,1615938000000,1795144000000,1461954000000,1375131000000,1349838000000,1125149000000,1097809000000,903893000000,- -
40,Intangible Assets,- -,- -,- -,- -,474790035426,497500000000,479000000000,448902768216,531369642669,571102061136,723767000000,368229000000,1695778000000,3588111000000,1825636000000,2985963000000,4997386000000,4792656000000,4551330000000,4396487000000,3853546000000,3733393000000,3488399000000,- -
41,Intangible Assets,- -,- -,- -,- -,474790035426,497500000000,479000000000,448902768216,531369642669,571102061136,723767000000,629969000000,3161452000000,5244928000000,3539327000000,4601901000000,6792530000000,6254610000000,5926461000000,5746325000000,4978695000000,4831202000000,4392292000000,4166309000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5193944000000,6230600000000,9340453000000,4359192000000,6891592000000,8240283000000,6497323000000,6192907000000,6441780000000,5465238000000,5261066000000,5532407000000,5419505000000,6634321000000
43,Tax Assets,- -,- -,- -,- -,51655990493,45000000000,52000000000,39499350468,254548921430,280060862017,317023000000,294441000000,438833000000,855603000000,994684000000,1139932000000,1206408000000,1333785000000,1500219000000,1463055000000,1408787000000,1247313000000,1357844000000,1433766000000
44,Other Non-Current Assets,- -,- -,- -,- -,2828181493700,2918750000000,2562000000000,3068774858652,3286043634126,5451867052756,459816000000,682803000000,2198923000000,5939020000000,1874719000000,1719022000000,2805721000000,2790774000000,2681439000000,3177273000000,2766068000000,2612149000000,2651926000000,3018890000000
45,Total Non-Current Assets,- -,- -,- -,- -,13678674965693,13787500000000,13178000000000,15698885785339,18039220206015,21893613342295,24763649000000,29677598000000,40838810000000,44851927000000,47699735000000,52789196000000,52635636000000,51246075000000,50482506000000,47941370000000,44625019000000,44226315000000,43278848000000,44849984000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,19075877810833,21781250000000,23309000000000,27215908873130,29711369554049,36295292211777,46961282000000,50311748000000,67945933000000,78408838000000,79265851000000,84455407000000,85843563000000,80747970000000,80137614000000,79785629000000,78776991000000,79370808000000,79683676000000,91471614000000
48,Accounts Payable,- -,- -,- -,- -,689709371059,1158750000000,1046000000000,1326016788703,1715101564915,2248161053455,3650289000000,3377346000000,5035271000000,4397279000000,5126997000000,5145610000000,5033462000000,4108756000000,4927909000000,4265520000000,4789697000000,4255767000000,4555952000000,5468175000000
49,Short-Term Debt,- -,- -,- -,- -,1907389085947,1837500000000,1646000000000,1896666334217,1567319253645,2056585210352,4024497000000,4012688000000,9268932000000,10791510000000,10525392000000,10727864000000,12217372000000,12397908000000,10219330000000,11292279000000,10299771000000,8697388000000,8922077000000,8809715000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2083472000000,393719000000,769475000000,509709000000,926957000000,866453000000,958437000000,884282000000,932184000000,1011666000000,1379084000000,937113000000,799292000000,2139718000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,597514000000,- -,997728000000,- -,1337003000000,1206040000000,1332521000000,1059069000000,873238000000,1190229000000,1180715000000,807964000000,975954000000,- -
52,Other Current Liabilities,- -,- -,- -,- -,1368188611634,1378750000000,2133000000000,2596573399512,1565298496089,2323617982454,2737092000000,1884784000000,1791296000000,4416569000000,2785609000000,3161645000000,3791683000000,2787793000000,2923832000000,2742310000000,3160394000000,2789949000000,2757480000000,6785381000000
53,Total Current Liabilities,- -,- -,- -,- -,3965287068640,4375000000000,4825000000000,5819256522432,4847719314649,6628364246262,11009392000000,9274818000000,17093227000000,19605358000000,19775001000000,20241159000000,22375038000000,20353526000000,18944309000000,19490338000000,19430577000000,16551068000000,17211463000000,21063271000000
54,Long-Term Debt,- -,- -,- -,- -,3193851718962,3096250000000,1981000000000,1119285500534,2599705483101,3308357684916,6895862000000,8229781000000,10608584000000,16020590000000,14445046000000,15572216000000,15257588000000,12863608000000,12600077000000,9864396000000,10004253000000,12419695000000,12315205000000,12931501000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,313509000000,202897000000,236995000000,194470000000,438845000000,372071000000,191073000000,143339000000,329230000000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,126250000000,261000000000,218291196238,439095181848,655339889030,70363000000,531927000000,1541388000000,1168097000000,1461519000000,1711762000000,1832260000000,1676658000000,1642939000000,1904242000000,1688893000000,1691498000000,1320726000000,1271775000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,342897983276,288750000000,413000000000,402622164623,457072650080,571275282110,641460000000,610908000000,1501313000000,884873000000,841358000000,905343000000,884286000000,646507000000,746175000000,827857000000,789581000000,801910000000,903529000000,1400124000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,3536749702238,3511250000000,2655000000000,1740198861394,3495873315028,4534972856056,7607685000000,9372616000000,13651285000000,18073560000000,17061432000000,18392218000000,18211129000000,15381243000000,15428036000000,12968566000000,12673800000000,15056442000000,14868690000000,15603400000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49005000000,53475000000,46703000000,41285000000,114409000000,93018000000,94754000000,675470000000,739675000000,- -
61,Total Liabilities,- -,- -,- -,- -,7502036770878,7886250000000,7480000000000,7559455383826,8343592629677,11163337102318,18617077000000,18647434000000,30744512000000,37678918000000,36836433000000,38633377000000,40586167000000,35734769000000,34372345000000,32458904000000,32104377000000,31607510000000,32080153000000,36666671000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,482378410275,506250000000,466000000000,477292895137,460137495276,482676030986,482403000000,482403000000,482403000000,482403000000,482403000000,482403000000,482403000000,482403000000,482403000000,482403000000,482403000000,482403000000,482403000000,482403000000
64,Retained Earnings,- -,- -,- -,- -,8219080661500,10356250000000,12414000000000,15986776262104,17992685122328,21779620832690,25393246000000,27935726000000,31395470000000,38709475000000,40346481000000,41090649000000,40937148000000,40461496000000,41125712000000,42974658000000,44160659000000,45054077000000,46064477000000,51532888000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-288317912120,-410000000000,-1112000000000,-1139409413801,-1400696349867,-1943313674532,-21986000000,455471000000,1009099000000,-23134937000000,-88150000000,-23076000000,-408773000000,-594756000000,-143985000000,-682556000000,-1404368000000,-1157980000000,-1380918000000,-666986000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,2881549227965,3135000000000,3764000000000,3949125613426,3849022431316,4178956001369,1810002000000,2035364000000,2008316000000,22299409000000,-1286592000000,496061000000,546180000000,856100000000,870698000000,885886000000,86663000000,76788000000,-872136000000,-920950000000
67,Total Stockholders Equity,- -,- -,- -,- -,11294690387619,13587500000000,15532000000000,19273785356866,20901148699053,24497939190512,27663665000000,30908964000000,34895288000000,38356350000000,39454142000000,42046037000000,41556958000000,41205243000000,42334828000000,43660391000000,43325357000000,44455288000000,44293826000000,50427355000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,18796727158496,21473750000000,23012000000000,26833240740692,29244741328730,35661276292830,46280742000000,49556398000000,65639800000000,76035268000000,76290575000000,80679414000000,82143125000000,76940012000000,76707173000000,76119295000000,75429734000000,76062798000000,76373979000000,87094026000000
69,Minority Interest,- -,- -,- -,- -,279150652337,307500000000,297000000000,382668132439,466628225319,634015918947,680540000000,755350000000,2306133000000,2373570000000,2975276000000,3775993000000,3700438000000,3807958000000,3430441000000,3666334000000,3347257000000,3308010000000,3309697000000,4377588000000
70,Total Liabilities & Equity,- -,- -,- -,- -,19075877810833,21781250000000,23309000000000,27215908873130,29711369554049,36295292211777,46961282000000,50311748000000,67945933000000,78408838000000,79265851000000,84455407000000,85843563000000,80747970000000,80137614000000,79785629000000,78776991000000,79370808000000,79683676000000,91471614000000
71,SEC Link,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/889132/000114554903000514/0001145549-03-000514-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000114554904000826/0001145549-04-000826-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000114554905001160/0001145549-05-001160-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000114554906000799/0001145549-06-000799-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000114554907001133/0001145549-07-001133-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000114554908001123/0001145549-08-001123-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000095012309018332/0000950123-09-018332-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000095012310060955/0000950123-10-060955-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000095012311061431/0000950123-11-061431-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000119312512193767/0001193125-12-193767-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000119312513179725/0001193125-13-179725-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000119312514194110/0001193125-14-194110-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000119312515154634/0001193125-15-154634-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000119312516561771/0001193125-16-561771-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000119312517140742/0001193125-17-140742-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000119312518136684/0001193125-18-136684-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000119312519127060/0001193125-19-127060-index.htm,https://www.sec.gov/Archives/edgar/data/889132/000119312520124495/0001193125-20-124495-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,928554640326,1549603622289,1630085963055,846039423886,1089232502595,2093750000000,3685000000000,3969049666596,3161212622352,3560674164852,4350104000000,3218425000000,4181285000000,3714286000000,2462081000000,1376396000000,632706000000,171494000000,1354807000000,2756230000000,1711902000000,1864405000000,1581208000000,6617239000000
74,Depreciation and Amortization,1149118682327,1373612682507,1227825534225,1307741133296,1453177935449,1645000000000,1514000000000,1595473169329,1700455064471,2127932588781,2379291000000,2552777000000,2950883000000,2251915000000,2563760000000,2685550000000,3238549000000,3218246000000,3213847000000,3297420000000,3267629000000,3461115000000,3621739000000,3580805000000
75,Deferred Income Tax,- -,- -,- -,- -,-137763938269,- -,133000000000,- -,-56734675602,-20138576822,- -,- -,- -,- -,982879000000,590997000000,823841000000,266560000000,379544000000,1185740000000,1683630000000,1088369000000,224272000000,2220183000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-55155000000,36100000000,-10436000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,1263924792628,233861834395,-444877369305,-480155060309,328259786365,-527500000000,-859000000000,-680951334300,-1650874651245,-596316480665,-4394703000000,2911017000000,-5827660000000,-4850747000000,2050204000000,12606000000,-1692990000000,2942435000000,-126292000000,-1656413000000,-1916561000000,38230000000,3081201000000,-6955172000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,713418000000,-2254772000000,-2402346000000,87830000000,-612379000000,-97703000000,1586113000000,273419000000,63075000000,17806000000,286121000000,818857000000,- -
79,Inventory,168977673094,-59909399707,-230256636593,173829172568,69946619193,-411250000000,-873000000000,-699043669671,-362597355414,-461486892364,-3393710000000,3344506000000,-4216445000000,-2538178000000,1450431000000,582287000000,-1130138000000,2456068000000,-889998000000,-1435170000000,-1451009000000,1136819000000,1443931000000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-68766000000,- -,265993000000,225086000000,47323000000,-385914000000,-894129000000,769337000000,-607999000000,379742000000,-732741000000,594414000000,- -
81,Other Working Capital,- -,- -,- -,12394218164,22080664287,-28750000000,- -,-492131508113,-210276766859,-164749064020,-173804000000,136587000000,-34832000000,-250762000000,-17480000000,53947000000,179632000000,-119172000000,-124884000000,-145763000000,-116790000000,-75514000000,-81988000000,- -
82,Other Non-Cash Items,504112807770,-149716874126,-363030340433,236670171408,464173190827,457500000000,305000000000,554378934936,569722343697,521087079756,1407478000000,-85465000000,730493000000,576112000000,-739468000000,192586000000,409993000000,1003094000000,447512000000,24333000000,1123125000000,-447464000000,177317000000,790626000000
83,Cash Provided by Operating Activities,3845710923051,3007361265065,2050003787543,1910295668281,3197079476968,3668750000000,4778000000000,5437950436561,3723780703674,5593238775903,3687015000000,8632854000000,2024565000000,1691566000000,7319456000000,4858135000000,3412099000000,7601829000000,5269418000000,5607310000000,5869725000000,6004655000000,8685737000000,6253681000000
84,CAPEX,-2265804932266,-1168629670277,-872353980120,-1496599215230,-1688754447824,- -,- -,-3405677027250,-3663714173208,-2975876410803,-4224420000000,-6507705000000,-6104855000000,-5905721000000,-7502757000000,-7113279000000,-3849353000000,-2849392000000,-2462293000000,-2631003000000,-2583166000000,-2818806000000,-3497587000000,-3532065000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-429169000000
86,Purchases of Investments,-458401879513,-7542468847800,-11017041691800,-12211387677750,-13407890861396,-14655000000000,-11678000000000,-14685449190607,-16021609993035,-12114648902088,-14002339000000,-14783600000000,-17079907000000,-5840935000000,-3923958000000,-4891742000000,-3196867000000,-13160547000000,-18915209000000,-20932340000000,-32495050000000,-36360233000000,-43645790000000,-42387922000000
87,Sales/Maturities of Investments,- -,7738618337956,11366466469688,12704031568576,12973182676491,13607500000000,11618000000000,14382009598218,16309470366506,10928382045640,12551996000000,10991210000000,18958959000000,7104891000000,4567934000000,4202185000000,4887176000000,10903540000000,17457475000000,20153490000000,31327190000000,35478314000000,40948884000000,40610352000000
88,Other Investing Activites,-249236192373,598187994806,-275027812208,-558584758267,-21992882555,-1191250000000,-3205000000000,6432497254,152358732794,-103982209958,-259113000000,481964000000,-2873019000000,-1449854000000,241564000000,-1492500000000,-1929942000000,282575000000,27219000000,-751444000000,655440000000,-281721000000,-365417000000,-281401000000
89,Cash Used for Investing Activites,-2973443004152,-374292185315,-797957014440,-1562540082672,-2145455515285,-2238750000000,-3265000000000,-3702684122385,-3223495066942,-4266125477209,-5802769000000,-9716929000000,-6889927000000,-5516866000000,-6169003000000,-8751670000000,-3745182000000,-4534676000000,-3754627000000,-3817874000000,-2647970000000,-3682859000000,-6259265000000,-5607961000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9941790000000,-7245842000000,-4163696000000,-1746487000000,-1884140000000,-2845957000000,-2802150000000,-3509970000000,-4274895000000,-3136016000000,-3136308000000,-3914272000000,-3861369000000,-3991043000000
91,Common Stock Issued,216803759985,- -,- -,- -,- -,- -,- -,921794743996,66558147585,407220974646,364753000000,249124000000,- -,164384000000,- -,14019000000,43188000000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-17508813137,-377010192107,-1001672563868,-26533508606,-91138790005,-276250000000,-294000000000,-1281442990347,-811838904658,-1292093635698,-36832000000,- -,- -,-61296000000,- -,- -,- -,- -,- -,- -,- -,- -,-1161800000000,-116771000000
