,https://roic.ai/company/NMRK,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-0.0023,0.1247,0.0905,0.0521,0.0529,0.0420,0.2583
25,EPS,-0.02,0.41,1.08,0.65,0.59,0.39,4.19
26,EPS Diluted,-0.02,0.39,0.85,0.64,0.58,0.39,4.19
27,Weighted Average Shares Outstanding,150091007,145942443,133413000,157256000,177774000,179106000,179106000
28,Weighted Average Shares Outstanding Diluted,225158363,157335619,138398000,163810000,185016000,179690000,179106000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1690680/000119312518140974/0001193125-18-140974-index.htm,https://www.sec.gov/Archives/edgar/data/1690680/000156459019008054/0001564590-19-008054-index.htm,https://www.sec.gov/Archives/edgar/data/1690680/000169068020000012/0001690680-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1690680/000169068021000013/0001690680-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1690680/000169068022000011/0001690680-22-000011-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,111430000,66627000,121027000,122475000,163564000,191448000,180131000
32,Short-Term Investments,- -,- -,57623000,48942000,36795000,33283000,524569000
33,Cash and Short-Term Investments,111430000,66627000,178650000,171417000,200359000,224731000,704700000
34,Net Receivables,284452000,259986000,210471000,472103000,530862000,385999000,588668000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,431037000,1156132000,435976000,1113534000,342309000,1208342000,1229686000
37,Total Current Assets,826919000,1482745000,825097000,1757054000,1073530000,1819072000,2523054000
38,PP&E,25792000,56450000,64822000,78805000,299677000,286836000,742904000
39,Goodwill,393028000,412846000,477532000,515321000,557914000,560332000,657131000
40,Intangible Assets,291017000,370128000,417547000,447578000,458870000,539018000,626501000
41,Intangible Assets,684045000,782974000,895079000,962899000,1016784000,1099350000,1283632000
42,Investments,2596000,2896000,107567000,154745000,194079000,110996000,- -
43,Tax Assets,24251000,23074000,168594000,149938000,182781000,187526000,- -
44,Other Non-Current Assets,94327000,186549000,211848000,350716000,434748000,478670000,667121000
45,Total Non-Current Assets,831011000,1051943000,1447910000,1697103000,2128069000,2163378000,2693657000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1657930000,2534688000,2273007000,3454157000,3201599000,3982450000,5216711000
48,Accounts Payable,48733000,57488000,79376000,113713000,189172000,97304000,517815000
49,Short-Term Debt,- -,- -,- -,972387000,246383000,1094480000,1190700000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,677286000,1352886000,703212000,578539000,609832000,513508000,474331000
53,Total Current Liabilities,726019000,1410374000,782588000,1664639000,1045387000,1705292000,2182846000
54,Long-Term Debt,- -,- -,1083210000,537926000,589294000,680385000,1131822000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,3560000,2796000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,124317000,137735000,184891000,194793000,626293000,675626000,215261000
58,Total Non-Current Liabilities,127877000,140531000,1268101000,732719000,1215587000,1356011000,1347083000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,227942000,248097000,586583000
61,Total Liabilities,853896000,1550905000,2050689000,2397358000,2260974000,3061303000,3529929000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,1544000,1782000,1820000,1888000,- -
64,Retained Earnings,- -,- -,199492000,277952000,313112000,342764000,- -
65,Other Comprehensive Income/Loss,-33116000,-34006000,-45764000,-58424000,-66232000,-2094000,-2731000
66,Other Total Stockholders Equity,833309000,1015782000,105138000,346259000,350964000,312491000,- -
67,Total Stockholders Equity,800193000,981776000,260410000,567569000,599664000,655049000,1686782000
68,Total Liabilities And Stockholders Equity,1654089000,2532681000,2311099000,2964927000,2860638000,3716352000,5216711000
69,Minority Interest,3841000,2007000,-38092000,489230000,340961000,266098000,- -
70,Total Liabilities & Equity,1657930000,2534688000,2273007000,3454157000,3201599000,3982450000,5216711000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1690680/000119312518140974/0001193125-18-140974-index.htm,https://www.sec.gov/Archives/edgar/data/1690680/000156459019008054/0001564590-19-008054-index.htm,https://www.sec.gov/Archives/edgar/data/1690680/000169068020000012/0001690680-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1690680/000169068021000013/0001690680-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1690680/000169068022000011/0001690680-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-2803000,168401000,144492000,106732000,117305000,80060000,750726000
74,Depreciation and Amortization,71774000,72197000,95815000,97733000,131144000,141193000,- -
75,Deferred Income Tax,-11281000,-1141000,44383000,16387000,-27852000,419000,- -
76,Stock Based Compensation,- -,- -,10000000,224644000,258836000,130759000,- -
77,Change in Working Capital,-75201000,-28529000,-29862000,49906000,-64272000,85637000,- -
78,Accounts Receivable,-17311000,9462000,-57175000,-129490000,-52021000,123743000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,90712000,-82415000,- -
81,Other Working Capital,100900000,72371000,42509000,92415000,28143000,113780000,- -
82,Other Non-Cash Items,404662000,-857266000,587389000,-827769000,571599000,-1215762000,-810636000
83,Cash Provided by Operating Activities,387151000,-646338000,852217000,-332367000,986760000,-777694000,-59910000
84,CAPEX,-21392000,-34936000,-21124000,-24123000,-36015000,-19826000,- -
85,Acquisitions Net,- -,- -,- -,-35000000,-34000000,-5850000,- -
86,Purchases of Investments,- -,- -,- -,-29500000,-28000000,-12754000,- -
87,Sales/Maturities of Investments,- -,- -,18710000,95878000,32606000,34738000,- -
88,Other Investing Activites,-6604000,-7158000,738000,-2620000,7132000,-110000,453088000
89,Cash Used for Investing Activites,-18737000,-34418000,379000,7742000,-56788000,-3602000,453088000
90,Debt Repayment,-6293249000,-8980148000,-10188133000,-9538733000,-9650964000,-11797677000,- -
91,Common Stock Issued,- -,- -,- -,504129000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-486000,-37368000,-6364000,- -
93,Dividends Paid,- -,- -,- -,-41787000,-69245000,-23171000,- -
94,Other Financing Activites,5942133000,9616101000,9389937000,9413534000,8862071000,12645035000,-396278000
95,Cash Used/Provided by Financing Activities,-351116000,635953000,-798196000,336657000,-895506000,817823000,-396278000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,17298000,-44803000,54400000,12032000,34466000,36527000,-3100000
98,Cash at the End of Period,111430000,66627000,121027000,185406000,221872000,258399000,255299000
99,Cash at the Beginning of Period,94132000,111430000,66627000,173374000,187406000,221872000,258399000
100,Free Cash Flow,365759000,-681274000,831093000,-356490000,950745000,-797520000,-59910000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1690680/000119312518140974/0001193125-18-140974-index.htm,https://www.sec.gov/Archives/edgar/data/1690680/000156459019008054/0001564590-19-008054-index.htm,https://www.sec.gov/Archives/edgar/data/1690680/000169068020000012/0001690680-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1690680/000169068021000013/0001690680-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1690680/000169068022000011/0001690680-22-000011-index.htm
102,false,,,,,,,
