,https://roic.ai/company/PBSV,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,- -,- -,- -,- -,- -,95000,95000,95000,71260,67877,33429,20283,26600,44475,- -,- -,- -
33,Cash and Short-Term Investments,50000,2275035,4792366,3087990,2051874,2412168,4411725,6633113,12117183,15155947,14926816,13793865,11778314,16074395,15490174,17137924,17468345
34,Net Receivables,- -,5801089,3559279,3245153,2034963,2520407,4864616,7580167,7403987,6385575,7447984,6853123,7208054,6943385,10031026,10977591,4613142
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,466223,276506,194108,298830,270827,331441,382773,767452,783466,891905,981105,550163,394017,453780,468703,740869
37,Total Current Assets,50000,8542347,8628151,6527251,4385667,5203402,9607782,14596053,20288622,22324988,23266705,21628093,19536531,23411797,25974980,28584218,22822356
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1064286,105522
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,203267,120000,50000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,203267,120000,50000,69469,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,394722,814537,1534702,1567145,1354622,1244417,1138963,993314,886096,872201,2369608,2813470,1966515,658095,270242,993323
45,Total Non-Current Assets,- -,597989,934537,1584702,1636614,1354622,1244417,1138963,993314,886096,872201,2369608,2813470,1966515,658095,1334528,1098845
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,50000,9140336,9562688,8111953,6022281,6558024,10852199,15735016,21281936,23211084,24138906,23997701,22350001,25378312,26633075,29918746,23921201
48,Accounts Payable,- -,1086094,1592389,1189705,1112739,1205576,1941658,2562462,2825532,2355034,2061889,2090818,1526904,2140001,1590172,1938305,- -
49,Short-Term Debt,- -,38873,41987,45318,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1462357,390180
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,392131,449896
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,2826702,3130595,2755216,184180,229138,581979,213056,354919,270553,61961,67720,16016,425671,2080368,392131,2261040
53,Total Current Liabilities,- -,3951669,4764971,3990239,1296919,1434714,2523637,2775518,3180451,2625587,2123850,2158538,1542920,2565672,3670540,3792793,2651220
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1329318,974728
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,5041609,2630534,69934,62385,53839,92237,83912,51724,74736,51952,29002,59795,2548977,2355029,2079974,1381122
58,Total Non-Current Liabilities,- -,5041609,2630534,69934,62385,53839,92237,83912,51724,74736,51952,29002,59795,2548977,2355029,3409292,2355850
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,106122,72066,123379,123348,83912,96730,74736,51952,73744,59795,78109,859975,- -
61,Total Liabilities,- -,8993278,7395505,4060173,1359304,1488553,2615874,2859430,3232175,2700323,2175802,2187540,1602715,5114649,6025569,7202085,5007070
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1831,1961,2075,2075,2075,2076,2076,2271,2305,2319,2323,2333,2337,2340,2341,2343
64,Retained Earnings,-30000,145227,2046264,3534060,4068817,4440728,7599708,12286714,17193203,19606817,21231629,20975050,19560131,19111111,19473069,21523990,17707384
65,Other Comprehensive Income/Loss,- -,-253670,-322933,-480085,-660750,-950107,-1250748,-1540358,-1880346,-2204009,-1791202,-1936699,-2293329,-496953,-509275,160654,144455
66,Other Total Stockholders Equity,80000,253670,441891,995730,1252835,1576775,1885289,2127154,2734633,3105648,2520358,2769487,3478151,1647168,1641372,1029676,1059949
67,Total Stockholders Equity,50000,147058,2167183,4051780,4662977,5069471,8236325,12875586,18049761,20510761,21963104,21810161,20747286,20263663,20607506,22716661,18914131
68,Total Liabilities And Stockholders Equity,50000,9140336,9562688,8111953,6022281,6558024,10852199,15735016,21281936,23211084,24138906,23997701,22350001,25378312,26633075,29918746,23921201
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,50000,9140336,9562688,8111953,6022281,6558024,10852199,15735016,21281936,23211084,24138906,23997701,22350001,25378312,26633075,29918746,23921201
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1304161/000114420409004140/0001144204-09-004140-index.html,https://www.sec.gov/Archives/edgar/data/1304161/000114420410004451/0001144204-10-004451-index.html,- -,https://www.sec.gov/Archives/edgar/data/1304161/000135448812000360/0001354488-12-000360-index.html,https://www.sec.gov/Archives/edgar/data/1304161/000135448813000352/0001354488-13-000352-index.html,https://www.sec.gov/Archives/edgar/data/1304161/000135448814000379/0001354488-14-000379-index.htm,https://www.sec.gov/Archives/edgar/data/1304161/000135448815000359/0001354488-15-000359-index.htm,https://www.sec.gov/Archives/edgar/data/1304161/000135448816006025/0001354488-16-006025-index.html,https://www.sec.gov/Archives/edgar/data/1304161/000165495417000601/0001654954-17-000601-index.html,https://www.sec.gov/Archives/edgar/data/1304161/000165495418000819/0001654954-18-000819-index.html,https://www.sec.gov/Archives/edgar/data/1304161/000165495419000854/0001654954-19-000854-index.html,https://www.sec.gov/Archives/edgar/data/1304161/000165495420000889/0001654954-20-000889-index.html,https://www.sec.gov/Archives/edgar/data/1304161/000165495421000973/0001654954-21-000973-index.htm,https://www.sec.gov/Archives/edgar/data/1304161/000165495422001532/0001654954-22-001532-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-20000,2335340,1901167,1487796,534757,371911,3158981,4687006,4906489,2413645,1624826,-256575,-1414909,1279734,2087256,2050922,-2089240
74,Depreciation and Amortization,- -,194977,208225,227152,307332,321713,320861,321732,344520,377195,357460,312558,443994,74601,99095,86283,72728
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,62171,43378,8664,23664,53161,94400,87119,88884,63875,51642,34120,42878,56239
77,Change in Working Capital,-10000,4540678,-727498,-1326168,551736,679940,3315457,4736390,5287636,2591230,1443454,-1673300,-1475944,2852514,1458315,2486985,-4620289
78,Accounts Receivable,- -,- -,- -,- -,1301996,-407868,-2274869,-2735046,428309,1050843,-1067445,647282,-18996,1158809,-3593069,-944257,-134990
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,50000,4590678,3863180,2537012,3088748,3768688,7084145,11820535,17108171,19699401,21142855,19469555,17993611,20846125,22304440,24791425,20171136
82,Other Non-Cash Items,- -,-5513137,4246822,1191326,716535,-950593,-4663690,-7309726,-4965120,-2145803,-3140252,2238086,834776,-539807,-5886525,-3141626,7385404
83,Cash Provided by Operating Activities,-30000,1557858,5628716,1580106,2172531,466349,2140273,2459066,5626686,3330667,372607,709653,-1548208,3718684,-2207739,1525442,804842
84,CAPEX,- -,-104922,-322512,-845814,-290137,-45429,-123511,-187362,-219352,-207507,-342364,-1808632,-451705,-122009,-57379,-55657,-7404
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-95000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44475,- -,- -
88,Other Investing Activites,- -,28943,- -,- -,-137994,- -,400,18836,13946,38800,- -,29625,47757,6000,1849038,26700,1304130
89,Cash Used for Investing Activites,- -,-75979,-322512,-845814,-428131,-140429,-123111,-168526,-205406,-168707,-342364,-1779007,-403948,-116009,1836134,-28957,1296726
90,Debt Repayment,- -,- -,- -,- -,-34573,-42714,-25162,-32826,-39436,-73177,-21994,-22784,-55678,-13949,-67686,-11030,- -
91,Common Stock Issued,- -,10000000,- -,382861,- -,- -,- -,- -,109859,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,50000,- -,- -,- -,- -,- -,- -,- -,- -,-18089,-168730,-45917,-15427,-56525,-87891,-1699,-25966
93,Dividends Paid,- -,-749554,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1728750,- -,-1725295,-1727364
94,Other Financing Activites,30000,-10248847,-2788873,-2810091,-2750000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1931700,- -
95,Cash Used/Provided by Financing Activities,80000,-998401,-2788873,-2427230,-2784573,-42714,-25162,-32826,70423,-91266,-190724,-68701,-71105,-1799224,-155577,193676,-1753330
96,Effect of Forex Changes on Cash,- -,- -,- -,-11438,4057,-17912,7557,-36326,16107,-28547,-34202,18250,1393,-93805,-12564,-42411,-17817
97,Net Change In Cash,50000,483478,2517331,-1704376,-1036116,265294,1999557,2221388,5507810,3042147,-194683,-1119805,-2021868,4438372,-539746,1647750,330421
98,Cash at the End of Period,50000,2275035,4792366,3087990,2051874,2317168,4316725,6538113,12045923,15088070,14893387,13773582,11751714,16029920,15490174,17137924,17468345
99,Cash at the Beginning of Period,- -,1791557,2275035,4792366,3087990,2051874,2317168,4316725,6538113,12045923,15088070,14893387,13773582,11591548,16029920,15490174,17137924
100,Free Cash Flow,-30000,1452936,5306204,734292,1882394,420920,2016762,2271704,5407334,3123160,30243,-1098979,-1999913,3596675,-2265118,1469785,797438
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1304161/000114420409004140/0001144204-09-004140-index.html,https://www.sec.gov/Archives/edgar/data/1304161/000114420410004451/0001144204-10-004451-index.html,- -,https://www.sec.gov/Archives/edgar/data/1304161/000135448812000360/0001354488-12-000360-index.html,https://www.sec.gov/Archives/edgar/data/1304161/000135448813000352/0001354488-13-000352-index.html,https://www.sec.gov/Archives/edgar/data/1304161/000135448814000379/0001354488-14-000379-index.htm,https://www.sec.gov/Archives/edgar/data/1304161/000135448815000359/0001354488-15-000359-index.htm,https://www.sec.gov/Archives/edgar/data/1304161/000135448816006025/0001354488-16-006025-index.html,https://www.sec.gov/Archives/edgar/data/1304161/000165495417000601/0001654954-17-000601-index.html,https://www.sec.gov/Archives/edgar/data/1304161/000165495418000819/0001654954-18-000819-index.html,https://www.sec.gov/Archives/edgar/data/1304161/000165495419000854/0001654954-19-000854-index.html,https://www.sec.gov/Archives/edgar/data/1304161/000165495420000889/0001654954-20-000889-index.html,https://www.sec.gov/Archives/edgar/data/1304161/000165495421000973/0001654954-21-000973-index.htm,https://www.sec.gov/Archives/edgar/data/1304161/000165495422001532/0001654954-22-001532-index.htm
102,false,,,,,,,,,,,,,,,,,
