,https://roic.ai/company/CPLP,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,- -,8756000,41708000,73482000,60684000,51318000,35298000,3246000,41323000,60711000,73806000,75687000,64296000,26275000,40132000,47243000,118060000
18,Operating Income ratio,- -,0.5808,0.5749,0.5587,0.4915,0.4119,0.2709,0.0211,0.2410,0.3149,0.3350,0.3132,0.2581,0.0941,0.3703,0.3354,0.6393
19,Total Other Income Expenses (Gains),- -,-42000,-3782000,-54000,-12000,-32399000,51822000,-24435000,58158000,-16699000,-18396000,-23198000,-25813000,-26379000,-15711000,-16876000,-19882000
20,Income Before Tax,- -,- -,- -,- -,- -,18919000,87120000,-21189000,99481000,44012000,55410000,52489000,38483000,-104000,24421000,30367000,98178000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,0.1518,0.6685,-0.1376,0.5801,0.2283,0.2515,0.2172,0.1545,-0.0004,0.2253,0.2156,0.5317
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,4628000,27827000,49263000,29225000,17936000,87120000,-21189000,99481000,44012000,55410000,52489000,38483000,-104000,-122455000,30367000,98178000
24,Net Income ratio,- -,0.3070,0.3836,0.3746,0.2367,0.1440,0.6685,-0.1376,0.5801,0.2283,0.2515,0.2172,0.1545,-0.0004,-1.1299,0.2156,0.5317
25,EPS,- -,1.44,6.65,14.00,8.05,3.78,12.46,-3.22,7.28,2.17,2.66,2.38,1.54,-0.60,-7.10,1.60,5.14
26,EPS Diluted,- -,1.44,6.65,14.00,8.05,3.78,12.46,-3.22,7.07,2.17,2.66,2.38,1.54,-0.60,-7.10,1.60,5.14
27,Weighted Average Shares Outstanding,- -,3204303,3188285,3454958,3545303,4633897,6734041,9750857,10806447,13336153,16432966,17114744,17692174,18100455,18178144,18194186,18342413
28,Weighted Average Shares Outstanding Diluted,- -,3204303,3188285,3454958,3545303,4633897,6734041,9750857,13909862,13336153,16435960,17114744,17692174,18100455,18178144,18194186,18342413
29,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1392326/000095015709000145/0000950157-09-000145-index.html,https://www.sec.gov/Archives/edgar/data/1392326/000095015710000073/0000950157-10-000073-index.html,https://www.sec.gov/Archives/edgar/data/1392326/000095015711000101/form20-f.htm,https://www.sec.gov/Archives/edgar/data/1392326/000119312512055592/0001193125-12-055592-index.html,https://www.sec.gov/Archives/edgar/data/1392326/000119312513038546/0001193125-13-038546-index.html,https://www.sec.gov/Archives/edgar/data/1392326/000119312514057161/d679697d20f.htm,https://www.sec.gov/Archives/edgar/data/1392326/000119312515063310/d868009d20f.htm,https://www.sec.gov/Archives/edgar/data/1392326/000119312516467071/0001193125-16-467071-index.html,https://www.sec.gov/Archives/edgar/data/1392326/000119312517030840/0001193125-17-030840-index.html,https://www.sec.gov/Archives/edgar/data/1392326/000119312518070556/0001193125-18-070556-index.html,https://www.sec.gov/Archives/edgar/data/1392326/000119312519122567/d736127d20f.htm,https://www.sec.gov/Archives/edgar/data/1392326/000119312520056321/0001193125-20-056321-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1239000,19917000,43149000,3552000,32471000,53370000,43551000,63972000,164199000,90190000,106678000,63297000,30199000,57964000,47336000,20373000
32,Short-Term Investments,- -,- -,- -,1080000,30390000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,1239000,19917000,44229000,33942000,32471000,53370000,43551000,63972000,164199000,90190000,106678000,63297000,30199000,57964000,47336000,20373000
34,Net Receivables,- -,3789000,1488000,6420000,213000,2307000,3415000,2346000,5032000,2643000,2680000,2497000,4772000,16126000,2690000,2855000,6025000
35,Inventory,- -,192000,- -,- -,111000,83000,4010000,2333000,2740000,3434000,4407000,4761000,5315000,8699000,1471000,3528000,5009000
36,Other Current Assets,- -,198000,140000,571000,522000,278000,1496000,1259000,1988000,1839000,2547000,3943000,32073000,9536000,3821000,4060000,6277000
37,Total Current Assets,- -,5418000,21545000,51220000,34788000,35139000,62291000,49489000,73732000,172115000,99824000,117879000,105457000,64560000,65946000,57779000,37684000
38,PP&E,- -,198206000,429171000,641607000,638723000,707339000,1073986000,959550000,1176819000,1186711000,1333657000,1367731000,1265196000,1229782000,576891000,712197000,1781858000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34579000,48605000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34579000,48605000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,614000,4198000,7327000,7576000,15774000,60012000,61089000,151221000,134269000,122394000,112995000,95563000,90903000,60625000,17643000,17023000
45,Total Non-Current Assets,- -,198820000,433369000,648934000,646299000,723113000,1133998000,1020639000,1328040000,1320980000,1456051000,1480726000,1360759000,1320685000,637516000,764419000,1847486000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,204238000,454914000,700154000,681087000,758252000,1196289000,1070128000,1401772000,1493095000,1555875000,1598605000,1466216000,1385245000,703462000,822198000,1885170000
48,Accounts Payable,- -,1282000,257000,143000,296000,526000,8460000,4776000,7519000,5351000,8431000,8686000,9631000,15769000,12501000,9029000,9823000
49,Short-Term Debt,- -,13021000,- -,- -,- -,- -,18325000,- -,5400000,5400000,11922000,39568000,50514000,52348000,26997000,35810000,97879000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,3200000,3485000,3458000,3207000,7739000,10302000,6936000,11684000,10867000,19986000,18800000,8926000,3826000,2821000,8919000
52,Other Current Liabilities,- -,3898000,277000,1369000,7212000,5442000,21113000,20695000,19073000,23133000,30026000,23956000,44126000,38116000,21412000,13946000,14180000
53,Total Current Liabilities,- -,18201000,3734000,4997000,10966000,9175000,55637000,35773000,38928000,45568000,61246000,92196000,123071000,115159000,64736000,61606000,130801000
54,Long-Term Debt,- -,140052000,274500000,474000000,474000000,474000000,615255000,458365000,577915000,572515000,555888000,562619000,403820000,388676000,231989000,338514000,1211095000
55,Deferred Revenue,- -,- -,690000,1568000,2062000,2812000,3649000,2162000,3503000,2451000,921000,16033000,5920000,96000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,14051000,47414000,36931000,272265000,4422000,- -,- -,- -,- -,- -,- -,- -,- -,- -,17810000
58,Total Non-Current Liabilities,- -,140052000,289241000,522982000,512993000,749077000,623326000,460527000,581418000,574966000,556809000,578652000,409740000,388772000,231989000,338514000,1228905000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,158253000,292975000,527979000,523959000,758252000,678963000,496300000,620346000,620534000,618055000,670848000,532811000,503931000,296725000,400120000,1359706000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,41394000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,4591000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,-10288000,-43651000,-33168000,-28742000,-11224000,-462000,- -,-276665000,-338242000,-407958000,-473319000,-494526000,-171928000,-210823000,- -
66,Other Total Stockholders Equity,- -,- -,178686000,216843000,223044000,- -,528326000,573828000,781426000,1149226000,1276062000,1335715000,1406724000,1375840000,578665000,632901000,- -
67,Total Stockholders Equity,- -,45985000,- -,- -,- -,-239760000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
68,Total Liabilities And Stockholders Equity,- -,204238000,454914000,700154000,681087000,518492000,1196289000,1070128000,1401772000,1493095000,1555875000,1598605000,1466216000,1385245000,703462000,822198000,1359706000
69,Minority Interest,- -,- -,- -,- -,- -,239760000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,525464000
70,Total Liabilities & Equity,- -,204238000,454914000,700154000,681087000,758252000,1196289000,1070128000,1401772000,1493095000,1555875000,1598605000,1466216000,1385245000,703462000,822198000,1885170000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1392326/000095015709000145/0000950157-09-000145-index.html,https://www.sec.gov/Archives/edgar/data/1392326/000095015710000073/0000950157-10-000073-index.html,https://www.sec.gov/Archives/edgar/data/1392326/000095015711000101/form20-f.htm,https://www.sec.gov/Archives/edgar/data/1392326/000119312512055592/0001193125-12-055592-index.html,https://www.sec.gov/Archives/edgar/data/1392326/000119312513038546/0001193125-13-038546-index.html,https://www.sec.gov/Archives/edgar/data/1392326/000119312514057161/d679697d20f.htm,https://www.sec.gov/Archives/edgar/data/1392326/000119312515063310/d868009d20f.htm,https://www.sec.gov/Archives/edgar/data/1392326/000119312516467071/0001193125-16-467071-index.html,https://www.sec.gov/Archives/edgar/data/1392326/000119312517030840/0001193125-17-030840-index.html,https://www.sec.gov/Archives/edgar/data/1392326/000119312518070556/0001193125-18-070556-index.html,https://www.sec.gov/Archives/edgar/data/1392326/000119312519122567/d736127d20f.htm,https://www.sec.gov/Archives/edgar/data/1392326/000119312520056321/0001193125-20-056321-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,- -,4628000,27827000,49263000,29225000,17936000,87120000,-21189000,99481000,44012000,55410000,52489000,38483000,-104000,-122455000,30367000,98178000
74,Depreciation and Amortization,- -,2977000,13221000,25031000,28264000,31464000,37214000,56139000,65802000,73476000,77571000,86439000,89201000,89979000,43641000,53101000,54222000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,782000,2455000,3826000,3528000,- -,34000,1074000,1156000,613000,907000,2049000,2043000
77,Change in Working Capital,- -,2111000,5771000,-1901000,11337000,-2604000,8215000,5108000,-4336000,7570000,2381000,17504000,-5280000,-20875000,-23834000,-1808000,2513000
78,Accounts Receivable,- -,- -,-2757000,-4857000,6095000,-2717000,7211000,221000,-1171000,1777000,-92000,183000,-2275000,-11354000,13436000,-165000,-3170000
79,Inventory,- -,-192000,-69000,177000,-289000,237000,5576000,1677000,-407000,-694000,-973000,-354000,-719000,-3219000,45000,-2057000,-1481000
80,Accounts Payable,- -,- -,1113000,736000,494000,118000,-4600000,-5594000,2066000,-1570000,1929000,-595000,2764000,5495000,-9406000,3779000,-252000
81,Other Working Capital,- -,- -,7706000,639000,157000,501000,5369000,1078000,-1852000,3919000,-2207000,24267000,-11299000,-15698000,-3585000,-1005000,5402000
82,Other Non-Cash Items,- -,-1719000,3763000,393000,1252000,2473000,-78465000,40914000,-34899000,219000,-1187000,-2420000,3414000,28277000,155923000,-3027000,-45792000
83,Cash Provided by Operating Activities,- -,7997000,50582000,72786000,70078000,50051000,56539000,84798000,129576000,125277000,134209000,155086000,126974000,97890000,54182000,80682000,111164000
84,CAPEX,- -,-142795000,-243688000,-200939000,-26460000,-99842000,-27003000,-1614000,-363038000,-30327000,-207937000,-90782000,-2038000,-44265000,-6519000,-185247000,-368096000
85,Acquisitions Net,- -,- -,- -,- -,- -,-9000000,11847000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-1080000,-111850000,-81729000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,82540000,112119000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-19252000,-3250000,-1250000,- -,-750000,-1500000,17549000,27692000,- -,-2000000,-1000000,- -,39789000,-1484000,- -,193031000
89,Cash Used for Investing Activites,- -,-162047000,-246938000,-203269000,-55770000,-79202000,-16656000,15935000,-335346000,-30327000,-209937000,-91782000,-2038000,-4476000,-8003000,-185247000,-175065000
90,Debt Repayment,- -,-22147000,-16841000,-60543000,-23309000,-1556000,-134580000,-175215000,-4050000,-5400000,-121299000,-17354000,-129262000,-73818000,-32733000,-153573000,-145471000
91,Common Stock Issued,- -,- -,- -,- -,- -,105273000,1470000,140000000,195771000,173932000,133327000,4546000,17815000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-249000,- -,- -,- -,- -,- -,-60000000,- -,- -,- -,- -,-116850000,- -,-4499000
93,Dividends Paid,- -,- -,-30598000,-39892000,-70463000,-33665000,-45116000,-73316000,-88241000,-102798000,-122773000,-68193000,-51630000,-52600000,-28771000,-17075000,-7613000
94,Other Financing Activites,- -,177429000,262473000,254397000,39867000,-11982000,159242000,-2021000,122711000,-457000,112464000,34185000,-5240000,-94000,157440000,266085000,198135000
95,Cash Used/Provided by Financing Activities,- -,155282000,215034000,153713000,-53905000,58070000,-18984000,-110552000,226191000,5277000,1719000,-46816000,-168317000,-126512000,-20914000,95437000,40552000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,1232000,18678000,23230000,-39597000,28919000,20899000,-9819000,20421000,100227000,-74009000,16488000,-43381000,-33098000,25265000,-9128000,-23349000
98,Cash at the End of Period,- -,1239000,19917000,43149000,3552000,32471000,53370000,43551000,63972000,164199000,90190000,106678000,63297000,48199000,63464000,54336000,30987000
99,Cash at the Beginning of Period,- -,7000,1239000,19919000,43149000,3552000,32471000,53370000,43551000,63972000,164199000,90190000,106678000,81297000,38199000,63464000,54336000
100,Free Cash Flow,- -,-134798000,-193106000,-128153000,43618000,-49791000,29536000,83184000,-233462000,94950000,-73728000,64304000,124936000,53625000,47663000,-104565000,-256932000
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1392326/000095015709000145/0000950157-09-000145-index.html,https://www.sec.gov/Archives/edgar/data/1392326/000095015710000073/0000950157-10-000073-index.html,https://www.sec.gov/Archives/edgar/data/1392326/000095015711000101/form20-f.htm,https://www.sec.gov/Archives/edgar/data/1392326/000119312512055592/0001193125-12-055592-index.html,https://www.sec.gov/Archives/edgar/data/1392326/000119312513038546/0001193125-13-038546-index.html,https://www.sec.gov/Archives/edgar/data/1392326/000119312514057161/d679697d20f.htm,https://www.sec.gov/Archives/edgar/data/1392326/000119312515063310/d868009d20f.htm,https://www.sec.gov/Archives/edgar/data/1392326/000119312516467071/0001193125-16-467071-index.html,https://www.sec.gov/Archives/edgar/data/1392326/000119312517030840/0001193125-17-030840-index.html,https://www.sec.gov/Archives/edgar/data/1392326/000119312518070556/0001193125-18-070556-index.html,https://www.sec.gov/Archives/edgar/data/1392326/000119312519122567/d736127d20f.htm,https://www.sec.gov/Archives/edgar/data/1392326/000119312520056321/0001193125-20-056321-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,,
