,https://roic.ai/company/SPI,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-0.4860,-0.3965,-0.1843,-0.1326,-0.2606,-0.0045,-0.2544,-0.7564,-0.0567,-0.9700,-1.5742,-0.7145,-0.0978,-0.1559,-0.0470,-0.2808
25,EPS,-11.00,-22.00,-23.00,-17.00,-17.00,-0.33,-13.00,-16.00,-2.00,-30.00,-34.00,-13.00,-1.70,-1.20,-0.40,-2.86
26,EPS Diluted,-11.00,-22.00,-23.00,-17.00,-17.00,-0.33,-13.00,-16.00,-2.00,-30.00,-34.00,-13.00,-1.70,-1.20,-0.40,-2.86
27,Weighted Average Shares Outstanding,192136,329301,376968,417876,522925,1412467,1904616,1982144,3070050,6120470,6415616,6826633,7262023,12733062,15907144,15907144
28,Weighted Average Shares Outstanding Diluted,192136,329301,376968,417876,522925,1412467,1904616,1982144,3070050,6120470,6415616,6826633,7262023,12733062,15907144,15907144
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1210618/000119312512164641/0001193125-12-164641-index.htm,https://www.sec.gov/Archives/edgar/data/1210618/000143774913004982/0001437749-13-004982-index.htm,https://www.sec.gov/Archives/edgar/data/1210618/000143774914006658/0001437749-14-006658-index.htm,https://www.sec.gov/Archives/edgar/data/1210618/000143774915006488/0001437749-15-006488-index.htm,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1210618/000168316822002280/0001683168-22-002280-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,11393661,6840000,5915000,3136000,1441000,23855000,17823000,1031000,156540000,82124000,4178000,2577000,4141000,2764000,38882000,9765000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,36206000,- -,- -,- -,- -,- -,- -,69606000
33,Cash and Short-Term Investments,11393661,6840000,5915000,3136000,1441000,23855000,17823000,1031000,192746000,82124000,4178000,2577000,4141000,2764000,38882000,79371000
34,Net Receivables,1433900,7561000,3010000,17985000,5988000,92222000,101208000,18615000,96396000,148364000,92960000,65474000,31453000,19148000,19326000,22599000
35,Inventory,2286282,6945000,4665000,5213000,4087000,6878000,1618000,23000,6975000,27245000,12266000,15919000,11906000,13781000,17260000,23242000
36,Other Current Assets,1102564,1767000,1592000,9355000,9881000,7858000,20365000,4458000,85197000,135836000,44929000,47342000,26383000,20796000,3847000,-41145000
37,Total Current Assets,16216407,23113000,15182000,35689000,21397000,130813000,141014000,24127000,381314000,393569000,154333000,131312000,73883000,56489000,79315000,84067000
38,PP&E,220920,2066000,2178000,1390000,915000,14010000,18754000,11752000,106438000,125793000,126985000,61328000,21150000,33768000,39387000,49673000
39,Goodwill,434948,435000,435000,435000,435000,435000,- -,- -,66045000,75969000,- -,683000,651000,626000,4546000,4896000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,1703000,1132000,560000,4526000,2931000,2305000,1801000,1528000,4058000,3433000
41,Intangible Assets,434948,435000,435000,435000,435000,435000,1703000,1132000,66605000,80495000,2931000,2988000,2452000,2154000,8604000,8329000
42,Investments,- -,- -,- -,- -,- -,- -,- -,7536000,- -,13950000,2214000,69606000,69606000,69606000,69606000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,1024000,848000,1025000,589000,140000,58000,82000,168000
44,Other Non-Current Assets,- -,1395000,- -,- -,1059000,420000,1358000,26417000,32526000,94915000,74330000,51488000,21497000,16778000,20039000,85843000
45,Total Non-Current Assets,655868,3896000,2613000,1825000,2409000,14865000,21815000,46837000,206593000,316001000,207485000,185999000,114845000,122364000,137718000,144013000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,16872275,27009000,17795000,37514000,23806000,145678000,162829000,70964000,587907000,709570000,361818000,317311000,188728000,178853000,217033000,228080000
48,Accounts Payable,1480462,4960000,3916000,16110000,6055000,53861000,15709000,3919000,76778000,97803000,69643000,58465000,16271000,19677000,14952000,25612000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,4250000,74993000,248763000,141784000,143726000,44766000,58764000,- -,10471000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1684000
51,Deferred Revenue,- -,- -,350000,- -,- -,- -,8576000,862000,17690000,19693000,17647000,31707000,25984000,17632000,1377000,- -
52,Other Current Liabilities,1799827,3424000,3583000,4906000,9875000,16944000,94325000,51648000,82848000,107292000,101454000,152408000,79510000,73944000,135231000,137755000
53,Total Current Liabilities,3280289,8384000,7849000,21016000,15930000,70805000,118610000,60679000,252309000,473551000,330528000,386306000,166531000,170017000,151560000,173838000
54,Long-Term Debt,- -,- -,311000,53000,13000,33116000,18760000,11730000,32575000,4451000,15093000,25608000,20074000,6039000,6355000,12522000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,3680000,4199000,4031000,748000,515000,3506000,3966000,2970000
57,Other Non-Current Liabilities,- -,655000,- -,- -,- -,1479000,1337000,1422000,37235000,10811000,25094000,2293000,1538000,4766000,6766000,16321000
58,Total Non-Current Liabilities,- -,655000,311000,53000,13000,34595000,20097000,13152000,73490000,19461000,44218000,28649000,22127000,14311000,17087000,31813000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,689000,- -,10092000,8796000,27487000,26399000,- -,1926000,6539000,- -
61,Total Liabilities,3280289,9039000,8160000,21069000,15943000,105400000,138707000,73831000,325799000,493012000,374746000,414955000,188658000,184328000,168647000,205651000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,3227,4000,4000,5000,5000,18000,20000,20000,57000,64000,64000,1000,1000,1000,2000,- -
64,Retained Earnings,-2243972,-9438000,-18176000,-25146000,-34016000,-34988000,-23830000,-56074000,-61270000,-246068000,-466764000,-557844000,-570126000,-585384000,-591899000,-637390000
65,Other Comprehensive Income/Loss,-20328,-350000,-1062000,-1704000,-2079000,-4004000,-4089000,-4559000,-4000000,-17000000,-33000000,-34000000,-35000000,-36000000,-13386000,-35257000
66,Other Total Stockholders Equity,15853059,27754000,28869000,43290000,43953000,79252000,52021000,57746000,327321000,475983000,482726000,490098000,601204000,613199000,650540000,695076000
67,Total Stockholders Equity,13591986,17970000,9635000,16445000,7863000,40278000,24122000,-2867000,262108000,212979000,-16974000,-101745000,-3921000,-8184000,45257000,22429000
68,Total Liabilities And Stockholders Equity,16872275,27009000,17795000,37514000,23806000,145678000,162829000,70964000,587907000,705991000,357772000,313210000,184737000,176144000,213904000,228080000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,3579000,4046000,4101000,3991000,2709000,3129000,- -
70,Total Liabilities & Equity,16872275,27009000,17795000,37514000,23806000,145678000,162829000,70964000,587907000,709570000,361818000,317311000,188728000,178853000,217033000,228080000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1210618/000119312512164641/0001193125-12-164641-index.htm,https://www.sec.gov/Archives/edgar/data/1210618/000143774913004982/0001437749-13-004982-index.htm,https://www.sec.gov/Archives/edgar/data/1210618/000143774914006658/0001437749-14-006658-index.htm,https://www.sec.gov/Archives/edgar/data/1210618/000143774915006488/0001437749-15-006488-index.htm,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1210618/000168316822002280/0001683168-22-002280-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-2129388,-7194000,-8738000,-6970000,-8870000,-461000,-25428000,-32244000,-5196000,-184798000,-220696000,-91080000,-12282000,-15258000,-6515000,-44834000
74,Depreciation and Amortization,728223,1014000,700000,827000,531000,985000,1776000,1854000,1839000,5548000,5258000,3358000,1504000,2693000,4249000,5112000
75,Deferred Income Tax,21039,61000,- -,- -,- -,- -,387000,-150000,-126000,188000,-345000,-253000,-83000,-6975000,-188000,- -
76,Stock Based Compensation,- -,- -,548000,709000,306000,359000,455000,575000,356000,38193000,1929000,798000,2726000,821000,315000,5789000
77,Change in Working Capital,-1681510,1792882,-7396000,7340000,-9206000,54541000,-37604000,-58956000,165557000,-208987000,-96213000,-78799000,162346000,-20880000,41283000,-17526000
78,Accounts Receivable,- -,- -,1870000,- -,11474000,-72118000,27077000,11491000,-1272000,-86369000,4820000,-11490000,-13898000,3087000,963000,1185000
79,Inventory,-2170614,-4659000,2433000,-546000,1126000,-3044000,6067000,1025000,3838000,-7996000,14173000,-4240000,2876000,-1958000,-223000,983000
80,Accounts Payable,- -,- -,-1248000,12194000,-10055000,47806000,3534000,-5452000,37556000,605000,-3624000,4749000,3353000,7805000,-6961000,8547000
81,Other Working Capital,12936118,14729000,7333000,14673000,5467000,60008000,22404000,-36552000,129005000,-79982000,-176195000,-254994000,-92648000,-113528000,-72245000,-89771000
82,Other Non-Cash Items,389078,-8737882,14309000,-17478000,13292000,-85863000,46017000,100133000,-218886000,194338000,263037000,162342000,-146201000,36728000,-44794000,23975000
83,Cash Provided by Operating Activities,-2672558,-13064000,-577000,-15572000,-3947000,-30439000,-14397000,11212000,-56456000,-155518000,-47030000,-3634000,8010000,-2871000,-5650000,-27484000
84,CAPEX,-219533,-1034000,-766000,-53000,-63000,-121000,-1011000,-3000,-147000,-22212000,-33927000,-689000,-95000,-16239000,-195000,-1316000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-7000000,-13000000,-2000000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-49079000,-36765000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,12873000,72971000,- -,- -,- -,3630000,- -,- -
88,Other Investing Activites,-1521565,- -,- -,- -,- -,-5862000,-6334000,5672000,-1532000,-53002000,22810000,-2597000,-3669000,4715000,1580000,-7550000
89,Cash Used for Investing Activites,-1741098,-1034000,-766000,-53000,-63000,-5983000,-7345000,5669000,-44885000,-52008000,-13117000,-3286000,-3764000,-7894000,1385000,-8866000
90,Debt Repayment,- -,- -,-1319000,-341000,-400000,-3956000,-18854000,-36285000,-4250000,-285299000,-310824000,-119331000,-67754000,-83619000,-130946000,- -
91,Common Stock Issued,15422932,12282000,69000,12943000,- -,32719000,- -,- -,167848000,62029000,5049000,5760000,- -,7656000,46810000,91000
92,Common Stock Repurchased,- -,- -,-14000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,320000,-2738000,1668000,247000,2733000,29602000,33294000,2686000,93744000,356406000,287956000,119367000,64024000,85483000,124930000,18334000
95,Cash Used/Provided by Financing Activities,15742932,9544000,404000,12849000,2333000,58365000,14440000,-33599000,257342000,133136000,-17819000,5796000,-3730000,9520000,40794000,18425000
96,Effect of Forex Changes on Cash,- -,- -,14000,-3000,-18000,471000,602000,-74000,-492000,-26000,20000,-477000,453000,-351000,250000,-4012000
97,Net Change In Cash,11329276,-4554000,-925000,-2779000,-1695000,22414000,-6700000,-16792000,155509000,-74416000,-77946000,-1601000,969000,-1596000,36779000,-21937000
98,Cash at the End of Period,11393661,6840000,5915000,3136000,1441000,23855000,17823000,1031000,156540000,82124000,4178000,2577000,4599000,3003000,39782000,17845000
99,Cash at the Beginning of Period,64385,11394000,6840000,5915000,3136000,1441000,24523000,17823000,1031000,156540000,82124000,4178000,3630000,4599000,3003000,39782000
100,Free Cash Flow,-2892091,-14098000,-1343000,-15625000,-4010000,-30560000,-15408000,11209000,-56603000,-177730000,-80957000,-4323000,7915000,-19110000,-5845000,-28800000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1210618/000119312512164641/0001193125-12-164641-index.htm,https://www.sec.gov/Archives/edgar/data/1210618/000143774913004982/0001437749-13-004982-index.htm,https://www.sec.gov/Archives/edgar/data/1210618/000143774914006658/0001437749-14-006658-index.htm,https://www.sec.gov/Archives/edgar/data/1210618/000143774915006488/0001437749-15-006488-index.htm,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1210618/000168316822002280/0001683168-22-002280-index.htm
102,false,,,,,,,,,,,,,,,,
