,https://roic.ai/company/AP,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,76000000,70700000,55300000,53700000,50300000,49900000,50800000,47900000,24900000,22600000,26500000,30400000,31900000,35200000,38400000,38158000,40707000,37176000,33433000,35261000,37319000,68325000,45610000,100814000,46983000,72631000,52312000,51191000,51024000,49198000,51297000,78638000,83697000,79447000,72610000,64117000,-287278000
11,COGS and Expenses,450900000,375900000,261800000,234600000,203200000,199000000,208000000,189300000,103200000,105600000,129600000,144300000,152000000,164600000,189000000,205943000,210549000,201934000,175172000,205085000,232298000,290208000,289417000,380905000,249752000,302159000,308342000,277097000,268366000,267795000,247388000,355134000,441369000,431286000,398767000,321630000,361000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2168000,3576000,2263000,- -,- -,- -,63000,89000,171000,174000,- -,133000,- -,- -,- -,- -
13,Interest Expense (Gain),11600000,10300000,- -,8400000,8400000,7000000,4200000,3200000,900000,200000,- -,- -,- -,- -,- -,922000,659000,424000,332000,312000,547000,706000,736000,511000,312000,324000,315000,246000,245000,236000,226000,2397000,3525000,4130000,5342000,4114000,-3599000
14,Depreciation and Amortization,12700000,11700000,10700000,10800000,9100000,8400000,8800000,8300000,6300000,5300000,5700000,6200000,6700000,7500000,7600000,7425000,7747000,7630000,6214000,6273000,6569000,6507000,6659000,6988000,7150000,8565000,10153000,10661000,11342000,11818000,11787000,20463000,22387000,21379000,18967000,18575000,- -
15,EBITDA,28800000,-24200000,21100000,-2300000,33200000,18000000,4400000,-2700000,1300000,17400000,19700000,25000000,32600000,31200000,30200000,30289000,8509000,14952000,6090000,4002000,21954000,20345000,65758000,22314000,52189000,33032000,44693000,24480000,29837000,10101000,16019000,-34248000,12468000,-43558000,5431000,30189000,-13428000
16,EBITDA ratio,0.0624,-0.0635,0.0754,-0.0092,0.1514,0.0829,0.0199,-0.0142,0.0119,0.1529,0.1370,0.1539,0.1875,0.1660,0.1426,0.1328,0.0388,0.0704,0.0338,0.0197,0.0889,0.0674,0.1896,0.0566,0.1744,0.1011,0.1296,0.0836,0.1062,0.0370,0.0672,-0.1032,0.0288,-0.1038,0.0136,0.0919,-0.0389
17,Operating Income,10400000,5100000,17900000,15900000,16100000,18200000,13300000,1000000,5600000,8200000,14200000,18100000,21900000,23300000,22800000,22085000,1338000,9863000,5061000,-2224000,14701000,11572000,57417000,13608000,46731000,24727000,36474000,16292000,28967000,80000,5047000,-54530000,-9369000,-44892000,-10908000,6446000,-13616000
18,Operating Income ratio,0.0225,0.0134,0.0640,0.0635,0.0734,0.0838,0.0601,0.0053,0.0515,0.0721,0.0987,0.1115,0.1259,0.1240,0.1076,0.0969,0.0061,0.0464,0.0281,-0.0110,0.0595,0.0383,0.1655,0.0345,0.1562,0.0756,0.1058,0.0556,0.1031,0.0003,0.0212,-0.1643,-0.0217,-0.1070,-0.0274,0.0196,-0.0395
19,Total Other Income Expenses (Gains),-5900000,-6800000,-4000000,-4800000,-1500000,-15600000,-16600000,-2700000,5000000,2000000,-200000,700000,4000000,400000,-200000,-143000,-1235000,-71000,-419000,-359000,137000,1560000,946000,1207000,-1842000,-105000,-1747000,-1125000,-1787000,-972000,-527000,-2990000,-4324000,1085000,2541000,2254000,3787000
20,Income Before Tax,4500000,-1700000,13900000,11100000,14600000,2600000,-3300000,-1700000,10600000,10200000,14000000,18800000,25900000,23700000,22600000,21942000,103000,9792000,4642000,-2583000,14838000,13132000,58363000,14815000,44889000,24622000,34727000,15167000,27180000,-892000,4520000,-57520000,-13693000,-43807000,-8367000,8700000,-9829000
21,Income Before Tax Ratio,0.0098,-0.0045,0.0497,0.0443,0.0666,0.0120,-0.0149,-0.0089,0.0974,0.0896,0.0974,0.1158,0.1489,0.1261,0.1067,0.0962,0.0005,0.0461,0.0258,-0.0127,0.0601,0.0435,0.1683,0.0376,0.1500,0.0753,0.1007,0.0518,0.0967,-0.0033,0.0190,-0.1733,-0.0317,-0.1044,-0.0210,0.0265,-0.0285
22,Income Tax expense (Gain),1100000,100000,6800000,5600000,6400000,5700000,5100000,500000,-1400000,3900000,4900000,6400000,9400000,8000000,7500000,5750000,1086000,4637000,2093000,16000,-198000,-3503000,19132000,2240000,17050000,8687000,12916000,5218000,5813000,-766000,2633000,22712000,-1355000,268000,2108000,-470000,-10390000
23,Net Income,3400000,-46300000,3600000,-27100000,9300000,-3100000,-13700000,-14700000,-4500000,8000000,9100000,12400000,16500000,15700000,15100000,16192000,-983000,2261000,-2549000,-2599000,15036000,16635000,39231000,12575000,27677000,15456000,21309000,8355000,12437000,-1187000,1373000,-79820000,-12089000,-69335000,-20986000,7970000,561000
24,Net Income ratio,0.0074,-0.1215,0.0129,-0.1082,0.0424,-0.0143,-0.0619,-0.0772,-0.0414,0.0703,0.0633,0.0764,0.0949,0.0836,0.0713,0.0710,-0.0045,0.0106,-0.0141,-0.0128,0.0609,0.0551,0.1131,0.0319,0.0925,0.0473,0.0618,0.0285,0.0443,-0.0044,0.0058,-0.2405,-0.0280,-0.1653,-0.0527,0.0243,0.0016
25,EPS,0.36,-4.85,0.37,-2.83,0.97,-0.32,-1.43,-1.54,-0.47,0.84,0.94,1.29,1.73,1.64,1.58,1.68,-0.10,0.23,-0.26,-0.27,1.54,1.69,3.90,1.24,2.71,1.51,2.07,0.81,1.20,-0.11,0.13,-6.68,-0.98,-5.57,-1.67,0.56,0.04
26,EPS Diluted,0.36,-4.85,0.37,-2.83,0.97,-0.32,-1.43,-1.54,-0.47,0.84,0.94,1.29,1.73,1.64,1.58,1.68,-0.10,0.23,-0.26,-0.27,1.53,1.67,3.88,1.24,2.71,1.50,2.05,0.80,1.20,-0.11,0.13,-6.68,-0.98,-5.57,-1.67,0.54,0.04
27,Weighted Average Shares Outstanding,9444444,9550000,9729730,9575972,9587629,9687500,9580420,9545455,9574468,9577621,9680851,9577621,9577621,9577621,9585657,9601000,9605000,9625000,9637000,9708000,9760000,9828000,10046000,10177000,10200000,10253788,10319000,10338000,10358000,10405000,10435000,11951000,12330000,12448000,12590000,14272000,14272000
28,Weighted Average Shares Outstanding Diluted,9444444,9550000,9729730,9575972,9587629,9687500,9580420,9545455,9574468,9577621,9680851,9577621,9577621,9606299,9585657,9601000,9605000,9625000,9637000,9708000,9818000,9969000,10109000,10180000,10204000,10290824,10393000,10390000,10406000,10405000,10447000,11951000,12330000,12448000,12590000,14636000,14636000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6176/000156459021015797/0001564590-21-015797-index.htm,https://www.sec.gov/Archives/edgar/data/6176/000156459022010687/0001564590-22-010687-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4400000,2200000,4300000,5400000,2800000,2400000,4600000,3600000,9600000,19300000,15600000,25500000,21700000,33100000,16300000,17861000,13514000,27685000,35739000,36795000,7914000,56084000,71627000,81607000,66441000,70021000,69888000,78889000,97910000,97098000,95122000,38579000,20700000,19713000,6960000,16842000,10337000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31550000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4400000,2200000,4300000,5400000,2800000,2400000,4600000,3600000,9600000,19300000,15600000,25500000,21700000,33100000,16300000,17861000,13514000,27685000,35739000,36795000,39464000,56084000,71627000,81607000,66441000,70021000,69888000,78889000,97910000,97098000,95122000,38579000,20700000,19713000,6960000,16842000,10337000
34,Net Receivables,77400000,73900000,55100000,58300000,42500000,37700000,41900000,35800000,17900000,21200000,28700000,32000000,35000000,35000000,51100000,49181000,45506000,39059000,38802000,37496000,47338000,66570000,69933000,67763000,59621000,64734000,77211000,72794000,74779000,71863000,61877000,85233000,99623000,86448000,97783000,76366000,68829000
35,Inventory,122800000,94600000,66500000,62000000,53400000,53200000,48000000,45600000,28200000,30300000,33500000,33200000,35500000,35500000,47300000,48011000,47278000,47055000,48260000,54319000,48536000,55912000,69228000,62634000,69975000,68822000,68544000,70669000,64129000,54713000,59734000,83579000,107561000,94196000,82289000,73243000,88198000
36,Other Current Assets,7300000,4100000,16400000,16500000,8000000,3700000,2900000,2700000,4800000,9000000,14200000,8500000,4500000,4100000,3900000,5702000,8374000,6685000,11525000,8337000,6252000,8414000,17263000,16886000,13790000,13656000,12888000,15230000,9968000,8582000,2949000,14073000,12363000,27509000,6380000,5381000,20933000
37,Total Current Assets,211900000,174800000,142300000,142200000,106700000,97000000,97400000,87700000,60500000,79800000,92000000,99200000,96700000,107700000,118600000,120755000,114672000,120484000,134326000,136947000,141590000,186980000,228051000,228890000,209827000,217233000,228531000,237582000,246786000,232256000,219682000,221464000,240247000,227866000,193412000,171832000,188297000
38,PP&E,160300000,140800000,111500000,103700000,93800000,88900000,86700000,81000000,50600000,49700000,55200000,57300000,72500000,76800000,88700000,93439000,86234000,83732000,69498000,69432000,66645000,68593000,75101000,86733000,119940000,145591000,150240000,150297000,151288000,149839000,146913000,214408000,214980000,185661000,170655000,166442000,162619000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2694000,2694000,- -,2694000,2694000,2694000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2694000,- -,- -,2694000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11601000,11021000,9225000,7625000,7217000,6204000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2694000,2694000,2694000,2694000,2694000,2694000,2694000,- -,- -,- -,- -,- -,- -,- -,11601000,11021000,9225000,7625000,7217000,6204000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14867000,14160000,14872000,13319000,5010000,3914000,3097000,2019000,2175000,2175000,2175000,2175000,2175000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10848000,2196000,35156000,25953000,20148000,23638000,25800000,6832000,20055000,20569000,4824000,1590000,3188000,2997000,2493000,2176000
44,Other Non-Current Assets,14100000,25000000,54600000,48700000,60700000,43100000,25900000,22000000,27400000,22400000,24200000,31700000,27600000,27300000,28500000,30270000,40665000,28140000,27605000,28871000,30940000,112096000,96350000,135508000,101238000,129831000,114351000,106181000,92757000,130345000,115895000,111573000,95586000,143004000,129696000,113049000,124161000
45,Total Non-Current Assets,174400000,165800000,166100000,152400000,154500000,132000000,112600000,103000000,78000000,72100000,79400000,89000000,100100000,104100000,117200000,123709000,126899000,114566000,99797000,100997000,100279000,194231000,176341000,260091000,261998000,309730000,303101000,295597000,255887000,304153000,286474000,344425000,325352000,343253000,313148000,291376000,297335000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,386300000,340600000,308400000,294600000,261200000,229000000,210000000,190700000,138500000,151900000,171400000,188200000,196800000,211800000,235800000,244464000,241571000,235050000,234123000,237944000,241869000,381211000,404392000,488981000,471825000,526963000,531632000,533179000,502673000,536409000,506156000,565889000,565599000,571119000,506560000,463208000,485632000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,12100000,10500000,5400000,6000000,8300000,8600000,8600000,9200000,14200000,13780000,13739000,12289000,11761000,15446000,14878000,15930000,19418000,16906000,15799000,20137000,19528000,15839000,15768000,16721000,13959000,37104000,47479000,38900000,33271000,26678000,44230000
49,Short-Term Debt,33600000,32200000,31800000,30800000,23900000,16600000,16000000,14500000,800000,- -,- -,- -,- -,- -,- -,2000000,1350000,- -,- -,- -,13311000,13311000,13311000,13311000,13311000,13311000,13311000,13311000,13311000,13311000,13311000,26825000,19335000,45728000,20975000,13110000,641000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1063000,1717000,3256000,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6819000,10610000,11539000,12195000,- -,6810000,4304000,- -,- -,- -
52,Other Current Liabilities,70900000,61400000,49100000,49800000,28800000,32400000,20000000,17700000,14400000,14300000,16700000,17600000,15200000,17200000,26100000,18840000,20035000,22614000,22268000,25724000,25845000,45721000,58417000,57996000,60395000,56272000,56320000,50455000,46985000,39919000,41868000,80363000,71047000,78521000,69986000,65544000,80171000
53,Total Current Liabilities,104500000,93600000,80900000,80600000,52700000,49000000,48100000,42700000,20600000,20300000,25000000,26200000,23800000,26400000,40300000,34620000,35124000,34903000,34029000,41170000,54034000,74962000,91146000,88213000,89505000,89720000,89159000,86424000,86674000,81490000,81333000,144292000,144671000,167453000,124232000,105332000,125042000
54,Long-Term Debt,82000000,79300000,55900000,65100000,57000000,28400000,27800000,27300000,1400000,- -,- -,- -,12600000,12600000,14700000,14661000,30262000,- -,29991000,42183000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25389000,46818000,31881000,54145000,28477000,44327000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3858000
56,Deferred Tax Liabilities,- -,- -,- -,- -,25100000,21900000,- -,- -,- -,4400000,10900000,9900000,11300000,11700000,11400000,15817000,18404000,19825000,20556000,18843000,16542000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,591000,433000,164000,543000,1403000,3858000
57,Other Non-Current Liabilities,7500000,23100000,21400000,28400000,-100000,- -,20600000,26400000,25300000,24200000,23400000,32400000,19700000,18800000,16800000,16889000,374000,30301000,5002000,7231000,29992000,166045000,125516000,255781000,203118000,240466000,249601000,254662000,181004000,249771000,213400000,245783000,211916000,278652000,272024000,242997000,216741000
58,Total Non-Current Liabilities,89500000,102400000,77300000,93500000,82000000,50300000,48400000,53700000,26700000,28600000,34300000,42300000,43600000,43100000,42900000,47367000,49040000,50126000,55549000,68257000,46534000,166045000,125516000,255781000,203118000,240466000,249601000,254662000,181004000,249771000,213400000,271763000,259167000,310697000,326712000,272877000,268784000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4263000,4344000,- -
61,Total Liabilities,194000000,196000000,158200000,174100000,134700000,99300000,96500000,96400000,47300000,48900000,59300000,68500000,67400000,69500000,83200000,81987000,84164000,85029000,89578000,109427000,100568000,241007000,216662000,343994000,292623000,330186000,338760000,341086000,267678000,331261000,294733000,416055000,403838000,478150000,450944000,378209000,393826000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9600000,9603000,9609000,9632000,9654000,9747000,9767000,9837000,10177000,10177000,10246000,10305000,10326000,10346000,10373000,10426000,10440000,12271000,12361000,12495000,12652000,18312000,19184000
64,Retained Earnings,86400000,37200000,39700000,9700000,20100000,17700000,1200000,-16200000,-22200000,-15100000,-7500000,2600000,16600000,28700000,40000000,52385000,47560000,45970000,39564000,34163000,45293000,57994000,91233000,96481000,116804000,124872000,138748000,139658000,144635000,135949000,129742000,45443000,38348000,-30355000,-51341000,-43371000,- -
65,Other Comprehensive Income/Loss,-73900000,-79600000,-69600000,-72400000,-60200000,-64500000,-72700000,-78600000,-46300000,-51700000,-57000000,-91100000,-66700000,-73900000,-79900000,-86350000,-88658000,-8587000,-7884000,-19597000,16185000,-33055000,-25577000,-75142000,-64244000,-59474000,-79290000,-82375000,-45865000,-68753000,-57599000,-60885000,-44760000,-49434000,-68662000,-68695000,-55106000
66,Other Total Stockholders Equity,179800000,187000000,180100000,183200000,166600000,176500000,185000000,189100000,159700000,169800000,176600000,208200000,179500000,187500000,182900000,186839000,188896000,103006000,103211000,104204000,70056000,105428000,111897000,113471000,116396000,121074000,123088000,124464000,125852000,127526000,128840000,151089000,152992000,154889000,156251000,170318000,127728000
67,Total Stockholders Equity,192300000,144600000,150200000,120500000,126500000,129700000,113500000,94300000,91200000,103000000,112100000,119700000,129400000,142300000,152600000,162477000,157407000,150021000,144545000,128517000,141301000,140204000,187730000,144987000,179202000,196777000,192872000,192093000,234995000,205148000,211423000,147918000,158941000,87595000,48900000,76564000,91806000
68,Total Liabilities And Stockholders Equity,386300000,340600000,308400000,294600000,261200000,229000000,210000000,190700000,138500000,151900000,171400000,188200000,196800000,211800000,235800000,244464000,241571000,235050000,234123000,237944000,241869000,381211000,404392000,488981000,471825000,526963000,531632000,533179000,502673000,536409000,506156000,563973000,562779000,565745000,499844000,454773000,485632000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1916000,2820000,5374000,6716000,8435000,- -
70,Total Liabilities & Equity,386300000,340600000,308400000,294600000,261200000,229000000,210000000,190700000,138500000,151900000,171400000,188200000,196800000,211800000,235800000,244464000,241571000,235050000,234123000,237944000,241869000,381211000,404392000,488981000,471825000,526963000,531632000,533179000,502673000,536409000,506156000,565889000,565599000,571119000,506560000,463208000,485632000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6176/000156459021015797/0001564590-21-015797-index.htm,https://www.sec.gov/Archives/edgar/data/6176/000156459022010687/0001564590-22-010687-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3400000,-46300000,- -,-27100000,9300000,-3100000,-13700000,-14700000,-4500000,8000000,9100000,12400000,16500000,15700000,15100000,16192000,-983000,2261000,-2549000,-2599000,15036000,16635000,39231000,12575000,27677000,15456000,21309000,8355000,12437000,-1187000,1373000,-79820000,-12089000,-69335000,-20986000,7970000,561000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,8800000,8300000,6300000,5300000,5700000,6200000,6700000,7500000,7600000,7425000,7747000,7630000,6214000,6273000,6569000,6507000,6659000,6988000,7150000,8565000,10153000,10661000,11342000,11818000,11787000,20463000,22387000,21379000,18967000,18575000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-7500000,4000000,3300000,3800000,3600000,1000000,600000,2215000,2013000,2958000,2048000,-60000,-2881000,-12011000,3154000,-14067000,7176000,2345000,5975000,2545000,111000,-4556000,-2302000,23407000,3177000,-1810000,559000,958000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1806000,3267000,1954000,1258000,1196000,1102000,1328000,2332000,2400000,2115000,1422000,1329000,- -
77,Change in Working Capital,- -,-19800000,- -,200000,-7600000,-6000000,1300000,-4300000,-5100000,19600000,7500000,6000000,-100000,8400000,-3000000,7835000,-6587000,6033000,14716000,-4520000,-8221000,24462000,24887000,3772000,-20355000,7191000,11859000,11786000,8954000,-9346000,-12417000,-61177000,18404000,-35163000,8767000,-2680000,-3245000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5188000,4196000,-6863000,9391000,5697000,-12916000,8918000,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,5300000,1500000,4600000,-1700000,-800000,- -,-2200000,300000,-100000,-3307000,-1111000,93000,-1684000,-5116000,3983000,-5162000,-13413000,-205000,-5344000,385000,301000,-1101000,7060000,7125000,-4527000,8308000,-20359000,-5402000,10797000,10219000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1001000,4204000,-732000,-3894000,-183000,1588000,-3003000,-8819000,7818000,5217000,-5292000,-7778000,- -
81,Other Working Capital,81200000,61400000,- -,61600000,54000000,48000000,49300000,45000000,39900000,59500000,67000000,73000000,72900000,81300000,78300000,86135000,79548000,85581000,100297000,95777000,87556000,112018000,136905000,140677000,120322000,127513000,139372000,151158000,160112000,150766000,138349000,77172000,95576000,60413000,69180000,66500000,63255000
82,Other Non-Cash Items,-3400000,66100000,- -,26900000,-1700000,9100000,11800000,14000000,23000000,-29100000,-8000000,-10600000,-12500000,-6900000,-300000,-17871000,7703000,2493000,-16328000,10314000,483000,-8879000,-45426000,37228000,16217000,6127000,-28963000,-9161000,3734000,22144000,20736000,89161000,-50118000,76090000,-15826000,7483000,-13182000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,8200000,3300000,12200000,7800000,17600000,17800000,14200000,25700000,20000000,15796000,9893000,21375000,4101000,9408000,10986000,26714000,28505000,46496000,39671000,42951000,22287000,25444000,37774000,19975000,20505000,-5634000,-15839000,-6724000,-7097000,33635000,-15866000
84,CAPEX,- -,- -,- -,- -,- -,- -,-7000000,-3400000,-2400000,-4000000,-4600000,-8900000,-15100000,-13000000,-35900000,-13170000,-9423000,-5649000,-8525000,-7151000,-4867000,-7836000,-13107000,-22636000,-39245000,-35001000,-15780000,-9668000,-11805000,-13309000,-9407000,-10566000,-14899000,-9719000,-10964000,-8466000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2462000,- -,- -,- -,- -,- -,- -,- -,- -,-8820000,- -,- -,- -,- -,- -,-5000000,-30296000,1500000,7700000,7992000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-37200000,-64850000,-54007000,-69379000,-910000,-497000,-857000,-770000,-921000,-843000,-631000,-4662000,-109000,-113000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,3500000,6700000,4300000,- -,- -,4900000,- -,- -,1297000,- -,- -,- -,- -,31105000,96400000,55997000,69864000,819000,454000,776000,694000,782000,748000,728000,4646000,327000,307000,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,5200000,500000,30800000,3300000,-16000000,-8700000,-4400000,2100000,900000,2169000,1217000,2639000,15388000,2040000,67000,382000,-3256000,-2735000,-2044000,1881000,489000,375000,18000,185000,11000,- -,- -,-1548000,152000,537000,-14734000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-1800000,400000,35100000,3600000,-20600000,-17600000,-14600000,-10900000,-35000000,-12166000,-8206000,-3010000,6863000,-5111000,-10895000,24096000,-14373000,-24886000,-50200000,-33163000,-15372000,-9369000,-11926000,-13219000,-14299000,-40878000,-13181000,-3373000,-2820000,-7929000,-14734000
