,https://roic.ai/company/HUYA,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,-420451000,242444000,717461000,1945414000,1239874000,- -
84,CAPEX,-1135000,-43375000,-127387000,-71396000,-428211000,- -
85,Acquisitions Net,- -,-450000,- -,- -,- -,- -
86,Purchases of Investments,-95000000,-1273249000,-6799114000,-10966400000,-10205071000,- -
87,Sales/Maturities of Investments,- -,759497000,2359039000,7362666000,11637091000,- -
88,Other Investing Activites,-1132000,-8192000,-52573000,-20027000,-372830000,- -
89,Cash Used for Investing Activites,-96135000,-559561000,-4567452000,-3684971000,1004780000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,1207749000,2110715000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,522773000,774448000,2919112000,22936000,265294000,- -
95,Cash Used/Provided by Financing Activities,522773000,774448000,4126861000,2133651000,265294000,- -
96,Effect of Forex Changes on Cash,- -,-20986000,-10383000,11472000,-166071000,- -
97,Net Change In Cash,- -,436345000,266487000,405566000,2343877000,- -
98,Cash at the End of Period,6187000,442532000,709019000,1114585000,3458462000,- -
99,Cash at the Beginning of Period,- -,6187000,442532000,709019000,1114585000,- -
100,Free Cash Flow,-421586000,199069000,590074000,1874018000,811663000,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1728190/000119312519122284/d656235d20f.htm,https://www.sec.gov/Archives/edgar/data/1728190/000119312520120245/d832720d20f.htm,- -,undefined
102,Forex Rate,0.1439,0.1537,0.1453,0.1436,0.1532,0.1572
