,https://roic.ai/company/INVO,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,- -,- -,- -,-73.7528,-2.2681,-11.1530,-11.8214,-28.1077,-104.4413,-424.2661,-41.7330,-2.4887,-6.2222,-1.4641,-8.0472,-1.5986
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,433,36,4764
23,Net Income,-7386,-43386,-1873405,-4661469,-153430,-797471,-666454,-760679,-1732472,-4959247,-2124252,-702163,-3076091,-2167544,-8347316,-6654940
24,Net Income ratio,-Infinity,-Infinity,-49.3066,-73.7528,-2.2681,-11.1530,-11.8214,-28.1077,-104.4413,-424.2661,-41.7330,-2.4887,-6.2222,-1.4643,-8.0473,-1.5997
25,EPS,-0.01,-0.03,-1.60,-2.88,-0.06,-0.31,-0.26,-0.29,-0.67,-1.16,-0.48,-0.16,-0.64,-0.44,-1.52,-1.21
26,EPS Diluted,-0.01,-0.03,-1.60,-2.88,-0.77,-0.31,-0.26,-0.29,-0.67,-1.16,-0.48,-0.16,-0.64,-0.44,-1.52,-1.21
27,Weighted Average Shares Outstanding,1153621,1613915,1146599,1710505,1984390,2596129,2596129,2596129,2596129,4283926,4393645,4441636,4821640,4884878,5489738,5489738
28,Weighted Average Shares Outstanding Diluted,1153621,1613915,1146599,1710505,1984390,2596129,2596129,2596129,2596129,4283926,4393645,4441636,4821640,4884878,5489738,5489738
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1417926/000118518519000843/0001185185-19-000843-index.htm,https://www.sec.gov/Archives/edgar/data/1417926/000118518520000388/0001185185-20-000388-index.htm,https://www.sec.gov/Archives/edgar/data/1417926/000118518521000413/0001185185-21-000413-index.htm,https://www.sec.gov/Archives/edgar/data/1417926/000149315222008421/0001493152-22-008421-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,13789,4648,15716,79052,12525,403,7194,18027,18626,492004,152404,25759,212243,1238585,10097760,5684871
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98084,- -
33,Cash and Short-Term Investments,13789,4648,15716,79052,12525,403,7194,18027,18626,492004,152404,25759,212243,1238585,10195844,5684871
34,Net Receivables,- -,- -,41695,3064,15706,5577,12460,1765,321,1346,2794,86697,225899,7558,21699,50470
35,Inventory,- -,- -,70722,63134,69272,59519,53874,65571,62455,65420,85210,58879,43513,101387,265372,287773
36,Other Current Assets,- -,- -,73785,46991,1940,2179,3051,- -,- -,- -,10980,63050,249454,195910,59616,282751
37,Total Current Assets,13789,4648,201918,192241,99443,67678,76579,85363,81402,558770,251388,234385,731109,1543440,10542531,6305865
38,PP&E,- -,- -,41245,32836,24427,16652,10775,4898,- -,- -,15700,15700,34446,194938,211526,501436
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,25334,68392,62759,57126,43548,37915,32282,26649,21016,19138,16328,11792,57101,94963,132093
41,Intangible Assets,- -,25334,68392,62759,57126,43548,37915,32282,26649,21016,19138,16328,11792,57101,94963,132093
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98084,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,24000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,240,3526986
45,Total Non-Current Assets,24000,25334,109637,95595,81553,60200,48690,37180,26649,21016,34838,32028,46238,252039,404813,4160515
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,37789,29982,311555,287836,180996,127878,125269,122543,108051,579786,286226,266413,777347,1795479,10947344,10466380
48,Accounts Payable,- -,1154,226861,683816,628249,- -,- -,- -,- -,- -,- -,- -,- -,371530,328927,- -
49,Short-Term Debt,- -,200,50000,208565,462586,487294,474888,474888,540888,220888,220888,210888,395591,21365,716390,221993
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,912,1062,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18895,714286,714286,5900
52,Other Current Liabilities,250,875,614799,2632592,1572070,2565855,3023080,3462452,3926132,4115900,4551262,4915915,3087084,393929,528388,1025111
53,Total Current Liabilities,250,2229,891660,3524973,2662905,3053149,3497968,3937340,4467020,4336788,4772150,5126803,3501570,1501110,2287991,1253004
54,Long-Term Debt,- -,- -,96462,- -,- -,- -,- -,- -,- -,- -,131722,131722,- -,354608,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3571429,2857143,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,433,469,1139
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81494,58634,1901557
58,Total Non-Current Liabilities,- -,- -,96462,- -,- -,- -,- -,- -,- -,- -,131722,131722,- -,4007964,2916246,1902696
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,102859,81341,- -
61,Total Liabilities,250,2229,988122,3524973,2662905,3053149,3497968,3937340,4467020,4336788,4903872,5258525,3501570,5509074,5204237,3155700
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,903,1239,5362,5893,7454,8308,9350,11140,11973,13708,14059,14213,15429,15631,964,1193
64,Retained Earnings,-8186,-51572,-450000,-6748963,-6902393,-7699864,-8366318,-9126997,-10859469,-15818716,-17942968,-18645131,-21721222,-23888766,-32236082,-38891022
65,Other Comprehensive Income/Loss,- -,- -,-2087494,-10022,-18430,-26206,-32083,-37960,-42858,-42858,-35263,-35263,-35917,-42147,- -,- -
66,Other Total Stockholders Equity,44822,78086,1855565,3515955,4431460,4792491,5016352,5339020,6531385,12090864,13346526,13674069,19017487,20201687,37978224,46200509
67,Total Stockholders Equity,37539,27753,-676567,-3237137,-2481909,-2925271,-3372699,-3814797,-4358969,-3757002,-4617646,-4992112,-2724223,-3713595,5743106,7310680
68,Total Liabilities And Stockholders Equity,37789,29982,311555,287836,180996,127878,125269,122543,108051,579786,286226,266413,777347,1795479,10947343,10466380
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1,- -
70,Total Liabilities & Equity,37789,29982,311555,287836,180996,127878,125269,122543,108051,579786,286226,266413,777347,1795479,10947344,10466380
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1417926/000118518519000843/0001185185-19-000843-index.htm,https://www.sec.gov/Archives/edgar/data/1417926/000118518520000388/0001185185-20-000388-index.htm,https://www.sec.gov/Archives/edgar/data/1417926/000118518521000413/0001185185-21-000413-index.htm,https://www.sec.gov/Archives/edgar/data/1417926/000149315222008421/0001493152-22-008421-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-7386,-43386,-1873405,-4661469,-153430,-797471,-666454,-760679,-1732472,-4959247,-2124252,-702163,-3076091,-2167544,-8347316,-6654940
74,Depreciation and Amortization,6000,18666,7509,14042,14042,21353,11510,11510,10531,5633,1878,2810,5190,25346,34481,1188310
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36,- -
76,Stock Based Compensation,- -,- -,- -,665072,506415,- -,- -,- -,- -,- -,- -,- -,2092664,63750,616002,1164277
77,Change in Working Capital,250,-11120,-692161,-2642990,769270,-422009,-435918,-430588,-533641,607600,-742744,-371656,2121957,2812791,8212210,-3201679
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1448,-83903,-139202,218341,-14141,-28771000
79,Inventory,- -,- -,-70721,7588,-6138,9753,5645,-11697,3116,-2965,-19790,26331,15366,-57874,-163985,-22401000
80,Accounts Payable,- -,- -,- -,456955,-55567,- -,- -,- -,- -,- -,82814,-5346,-377814,-200298,-42603,- -
81,Other Working Capital,13539,2419,-689742,-3332732,-2563462,-2985471,-3421389,-3851977,-4385618,-3778018,-4520762,-4892418,-2770461,42330,8254540,5052861
82,Other Non-Cash Items,125,22899,1491428,5698681,-1452289,1080348,1047653,1119841,2236181,4194392,2541218,889739,-1796691,636170,-5290561,-6022409968
83,Cash Provided by Operating Activities,-1011,-12941,-1066629,-926664,-315992,-117779,-43209,-59916,-19401,-151622,-323900,-181270,-652971,1370513,-4775148,-6029914000
84,CAPEX,- -,- -,-73875,- -,- -,- -,- -,- -,- -,- -,-15700,- -,-19400,-114706,-88930,-415710000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-98084,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-49867,-39909,-1737802000
89,Cash Used for Investing Activites,- -,- -,-73875,- -,- -,- -,- -,- -,- -,- -,-15700,- -,-19400,-114706,-187254,-2153512000
90,Debt Repayment,- -,- -,- -,-38000,-9500,-32074,- -,- -,- -,-20000,- -,- -,-113145,-229465,-810000,- -
91,Common Stock Issued,14800,3600,1081938,395000,274465,10231,50000,70749,20000,645000,- -,54625,77000,- -,11475052,1493788000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,200,74283,633000,-15500,127500,- -,- -,- -,- -,- -,- -,895000,- -,3156525,2276749000
95,Cash Used/Provided by Financing Activities,14800,3800,1156221,990000,249465,105657,50000,70749,20000,625000,- -,54625,858855,-229465,13821577,3770537000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-9141,- -,63336,-66527,-12122,6791,10833,599,473378,-339600,-126645,186484,1026342,8859175,5674773240
98,Cash at the End of Period,13789,4648,15716,79052,12525,403,7194,18027,18626,492004,152404,25759,212243,1238585,10097760,5684871000
99,Cash at the Beginning of Period,- -,13789,- -,15716,79052,12525,403,7194,18027,18626,492004,152404,25759,212243,1238585,10097760
100,Free Cash Flow,-1011,-12941,-1140504,-926664,-315992,-117779,-43209,-59916,-19401,-151622,-339600,-181270,-672371,1255807,-4864078,-6445624000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1417926/000118518519000843/0001185185-19-000843-index.htm,https://www.sec.gov/Archives/edgar/data/1417926/000118518520000388/0001185185-20-000388-index.htm,https://www.sec.gov/Archives/edgar/data/1417926/000118518521000413/0001185185-21-000413-index.htm,https://www.sec.gov/Archives/edgar/data/1417926/000149315222008421/0001493152-22-008421-index.htm
102,false,,,,,,,,,,,,,,,,
