,https://roic.ai/company/NVDA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
17,Operating Income,-2300000,54400000,130291000,241732000,143986000,90157000,113593000,340097000,453452000,836346000,-70700000,-98945000,255747000,648299000,648239000,496227000,758989000,747000000,1934000000,3210000000,3804000000,2846000000,4532000000,10041000000
18,Operating Income ratio,-0.0152,0.1451,0.1773,0.1766,0.0754,0.0495,0.0565,0.1431,0.1478,0.2041,-0.0206,-0.0297,0.0722,0.1622,0.1515,0.1202,0.1621,0.1491,0.2799,0.3305,0.3247,0.2607,0.2718,0.3731
19,Total Other Income Expenses (Gains),6800000,5600000,14709000,11268000,7014000,-3484000,-6593000,16903000,40548000,64995000,27746000,16651000,15253000,14701000,13761000,13773000,-4153000,-4000000,-29000000,-14000000,92000000,124000000,-123000000,-100000000
20,Income Before Tax,4500000,60000000,145000000,253000000,151000000,86673000,107000000,357000000,494000000,901341000,-42954000,-82294000,271000000,663000000,662000000,510000000,754836000,743000000,1905000000,3196000000,3896000000,2970000000,4409000000,9941000000
21,Income Before Tax Ratio,0.0297,0.1600,0.1973,0.1848,0.0791,0.0475,0.0532,0.1503,0.1610,0.2200,-0.0125,-0.0247,0.0765,0.1658,0.1547,0.1235,0.1612,0.1483,0.2757,0.3290,0.3325,0.2720,0.2644,0.3694
22,Income Tax expense (Gain),400000,19000000,46000000,76000000,60000000,12254000,18000000,56000000,46000000,103696000,-12913000,-14307000,18000000,82000000,100000000,70000000,124249000,129000000,239000000,282000000,123000000,174000000,77000000,189000000
23,Net Income,4100000,41000000,98000000,177000000,91000000,74419000,89000000,301000000,449000000,797645000,-30041000,-67987000,253000000,581000000,563000000,440000000,630587000,614000000,1666000000,3047000000,4141000000,2796000000,4332000000,9752000000
24,Net Income ratio,0.0271,0.1093,0.1333,0.1293,0.0477,0.0408,0.0443,0.1267,0.1463,0.1946,-0.0088,-0.0204,0.0714,0.1453,0.1315,0.1065,0.1347,0.1226,0.2411,0.3137,0.3534,0.2561,0.2598,0.3623
25,EPS,0.01,0.03,0.06,0.10,0.05,0.04,0.05,0.15,0.21,0.36,-0.01,-0.03,0.11,0.24,0.23,0.19,0.28,0.28,0.77,1.27,1.70,1.15,1.75,3.90
26,EPS Diluted,0.00,0.02,0.05,0.09,0.05,0.04,0.05,0.14,0.19,0.33,-0.01,-0.03,0.11,0.23,0.23,0.18,0.28,0.27,0.64,1.21,1.66,1.13,1.73,3.84
27,Weighted Average Shares Outstanding,699120000,1428035982,1571190404,1715322340,1841235384,1930122940,1991748124,2035262368,2113367316,2200432000,2192504000,2198296000,2300708000,2414584000,2477296000,2351572000,2209276000,2172000000,2164000000,2396000000,2432000000,2436000000,2468000000,2504000000
28,Weighted Average Shares Outstanding Diluted,1314864000,1724411053,1910572712,2051862068,2019706148,2071448276,2117637180,2194314844,2347850076,2426928000,2192504000,2198296000,2354736000,2465484000,2499828000,2378068000,2252272000,2276000000,2596000000,2528000000,2500000000,2472000000,2512000000,2545000000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1045810/000104596903001196/0001045969-03-001196-index.html,- -,https://www.sec.gov/Archives/edgar/data/1045810/000104581005000008/0001045810-05-000008-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581006000014/fy2006annualreportonform10-k.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581007000008/fy2007annualreportonform10-k.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1045810/000104581010000006/0001045810-10-000006-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581011000015/fy2011form10k.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581012000013/0001045810-12-000013-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581013000008/0001045810-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581014000030/nvda-2014x10k.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581015000036/nvda-2015x10k.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581016000205/0001045810-16-000205-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581017000027/0001045810-17-000027-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581018000010/0001045810-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581019000023/0001045810-19-000023-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000010/0001045810-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000010/0001045810-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000036/0001045810-22-000036-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,50300000,62000000,674000000,333000000,347000000,214422000,209000000,552000000,544000000,726969000,417688000,447221000,665000000,668000000,733000000,1152000000,497000000,596000000,1766000000,4002000000,782000000,10896000000,847000000,21208000
32,Short-Term Investments,- -,- -,- -,458000000,681000000,389621000,462000000,398000000,573000000,1082509000,837702000,1281006000,1825000000,2462000000,2995000000,3520000000,4126000000,4441000000,5032000000,3106000000,6640000000,1000000,10714000000,- -
33,Cash and Short-Term Investments,50300000,62000000,674000000,791000000,1028000000,604043000,671000000,950000000,1117000000,1809478000,1255390000,1728227000,2490000000,3130000000,3728000000,4672000000,4623000000,5037000000,6798000000,7108000000,7422000000,10897000000,11561000000,21208000
34,Net Receivables,20600000,67000000,105000000,147000000,155000000,196631000,296000000,318000000,519000000,666494000,318435000,374963000,349000000,336000000,454000000,426000000,474000000,505000000,826000000,1265000000,1424000000,1657000000,2429000000,4650000000
35,Inventory,28600000,38000000,90000000,214000000,145000000,234238000,316000000,255000000,355000000,358521000,537834000,330674000,346000000,340000000,412000000,388000000,483000000,418000000,794000000,796000000,1575000000,979000000,1826000000,2605000000
36,Other Current Assets,1600000,6000000,62000000,82000000,24000000,17800000,24000000,27000000,41000000,54336000,56299000,46966000,42000000,99000000,181000000,139000000,133000000,93000000,118000000,86000000,136000000,157000000,239000000,21552792000
37,Total Current Assets,101100000,173000000,931000000,1234000000,1352000000,1052712000,1307000000,1550000000,2032000000,2888829000,2167958000,2480830000,3227000000,3905000000,4775000000,5625000000,5713000000,6053000000,8536000000,9255000000,10557000000,13690000000,16055000000,28829000000
38,PP&E,11700000,26000000,47000000,120000000,135000000,190029000,179000000,178000000,261000000,359808000,625798000,571858000,569000000,560000000,576000000,583000000,557000000,466000000,521000000,997000000,1404000000,2292000000,2856000000,3607000000
39,Goodwill,- -,- -,24000000,50000000,54000000,- -,108000000,145000000,301000000,354057000,369844000,369844000,370000000,641000000,641000000,643000000,618000000,618000000,618000000,618000000,618000000,618000000,4193000000,4349000000
40,Intangible Assets,- -,- -,- -,31000000,22000000,148872000,28000000,15000000,46000000,106926000,147101000,120458000,289000000,326000000,312000000,296000000,222000000,166000000,104000000,52000000,45000000,49000000,2737000000,2339000000
41,Intangible Assets,- -,- -,24000000,81000000,76000000,148872000,136000000,160000000,347000000,460983000,516945000,490302000,659000000,967000000,953000000,939000000,840000000,784000000,722000000,670000000,663000000,667000000,6930000000,6688000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6630000,8792000,10382000,10030000,- -,- -,- -,- -,- -,- -,- -,144000000,19218000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46000000,133000000,193000000,158000000,232000000,- -,141000000,18000000,19000000,29000000,806000000,1222000000
44,Other Non-Current Assets,500000,3000000,15000000,68000000,54000000,7731000,42000000,67000000,35000000,38051000,40026000,36298000,-14792000,-22382000,-95030000,-54000000,-141000000,67000000,-79000000,301000000,649000000,637000000,2000000000,3821782000
45,Total Non-Current Assets,12200000,29000000,86000000,269000000,265000000,346632000,357000000,405000000,643000000,858842000,1182769000,1105088000,1268000000,1648000000,1637000000,1626000000,1488000000,1317000000,1305000000,1986000000,2735000000,3625000000,12736000000,15358000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,113300000,202000000,1017000000,1503000000,1617000000,1399344000,1664000000,1955000000,2675000000,3747671000,3350727000,3585918000,4495000000,5553000000,6412000000,7251000000,7201000000,7370000000,9841000000,11241000000,13292000000,17315000000,28791000000,44187000000
48,Accounts Payable,35700000,65000000,72000000,214000000,141000000,185342000,238000000,179000000,272000000,492099000,218864000,344527000,286000000,335000000,356000000,324000000,293000000,296000000,485000000,596000000,511000000,687000000,1201000000,1783000000
49,Short-Term Debt,6400000,- -,- -,- -,5676000,4015000,856000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000000,827000000,15000000,- -,91000000,1120000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4576000,6941000,3173000,2378000,2810000,2000000,4000000,33000000,91000000,61000000,61000000,- -
51,Deferred Revenue,- -,- -,- -,70193000,- -,- -,3265000,1393000,9419000,5856000,- -,19624000,9456000,49931000,103736000000,68494000000,63254000000,322000000,- -,- -,- -,548000000,288000000,- -
52,Other Current Liabilities,5000000,11000000,237000000,148807000,232324000,144755000,178879000,258607000,357581000,469206000,559727000,420227000,647544000,545069000,-103116000000,-67873000000,-62651000000,320000000,476000000,542000000,818000000,458000000,1316000000,2552000000
53,Total Current Liabilities,47100000,76000000,309000000,433000000,379000000,334112000,421000000,439000000,639000000,967161000,778591000,784378000,943000000,930000000,976000000,945000000,896000000,2438000000,1788000000,1153000000,1329000000,1784000000,3925000000,4335000000
54,Long-Term Debt,2000000,1000000,300000000,306000000,305000000,856000,- -,- -,- -,- -,25634000,- -,23000000,21000000,19000000,1374000000,1398000000,- -,2020000000,1985000000,1988000000,1991000000,5964000000,11687000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44000000,- -,- -,- -,- -,163000000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,8609000,- -,- -,- -,86900000,- -,17739000,- -,- -,- -,- -,- -,301000000,- -,- -,- -,- -,241000000,- -
57,Other Non-Current Liabilities,- -,1000000,1000000,- -,- -,4582000,21000000,20000000,29000000,75698000,151850000,118661000,348000000,456000000,590000000,475000000,489000000,118000000,271000000,632000000,633000000,1336000000,1605000000,1553000000
58,Total Non-Current Liabilities,2000000,2000000,301000000,306000000,305000000,14047000,21000000,20000000,29000000,162598000,177484000,136400000,371000000,477000000,609000000,1849000000,1887000000,463000000,2291000000,2617000000,2621000000,3327000000,7973000000,13240000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,4880000,856000,- -,- -,- -,- -,25634000,24450000,23389000,21439000,18998000,17500000,14086000,10000000,6000000,- -,- -,652000000,755000000,741000000
61,Total Liabilities,49100000,78000000,610000000,739000000,684000000,348159000,442000000,459000000,668000000,1129759000,956075000,920778000,1314000000,1407000000,1585000000,2794000000,2783000000,2901000000,4079000000,3770000000,3950000000,5111000000,11898000000,17575000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,164000,- -,- -,1000000,619000,629000,653000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,3000
64,Retained Earnings,-9400000,29000000,130000000,307000000,398000000,472158000,447000000,748000000,1197000000,1994210000,1964169000,1896182000,2149000000,2730000000,3246000000,3505000000,3949000000,4350000000,6108000000,8787000000,12565000000,14971000000,18908000000,16235000
65,Other Comprehensive Income/Loss,-6900000,-15000000,-29000000,-50000000,3760000,-4618000,-6389000,-3633000,1436000,8034000,3865000,12172000,10272000,10614000,9981000,4877000,7844000,-4000000,-16000000,-18000000,-12000000,1000000,19000000,-11000
66,Other Total Stockholders Equity,80500000,111000000,306000000,507000000,527000000,- -,777000000,750000000,807483000,- -,- -,756133000,1021190000,1404110000,1570722000,945521000,460138000,122000000,-331000000,-1299000000,-3212000000,-2769000000,-2035000000,10385000
67,Total Stockholders Equity,64200000,125000000,407000000,764000000,932687000,1051185000,1178268000,1457756000,2006919000,2617912000,2394652000,2665140000,3181462000,4145724000,4827703000,4456398000,4417982000,4469000000,5762000000,7471000000,9342000000,12204000000,16893000000,26612000000
68,Total Liabilities And Stockholders Equity,113300000,203000000,1017000000,1503000000,1616687000,1399344000,1620268000,1916756000,2674919000,3747671000,3350727000,3585918000,4495462000,5552724000,6412703000,7250398000,7200982000,7370000000,9841000000,11241000000,13292000000,17315000000,28791000000,44187000000
69,Minority Interest,- -,-1000000,- -,- -,313000,- -,43732000,38244000,81000,- -,- -,- -,-462000,276000,-703000,602000,18000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,113300000,202000000,1017000000,1503000000,1617000000,1399344000,1664000000,1955000000,2675000000,3747671000,3350727000,3585918000,4495000000,5553000000,6412000000,7251000000,7201000000,7370000000,9841000000,11241000000,13292000000,17315000000,28791000000,44187000000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1045810/000104596903001196/0001045969-03-001196-index.html,- -,https://www.sec.gov/Archives/edgar/data/1045810/000104581005000008/0001045810-05-000008-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581006000014/fy2006annualreportonform10-k.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581007000008/fy2007annualreportonform10-k.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1045810/000104581010000006/0001045810-10-000006-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581011000015/fy2011form10k.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581012000013/0001045810-12-000013-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581013000008/0001045810-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581014000030/nvda-2014x10k.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581015000036/nvda-2015x10k.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581016000205/0001045810-16-000205-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581017000027/0001045810-17-000027-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581018000010/0001045810-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581019000023/0001045810-19-000023-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000010/0001045810-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000010/0001045810-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000036/0001045810-22-000036-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,4100000,41000000,98000000,177000000,91000000,74419000,89000000,301000000,449000000,797645000,-30041000,-67987000,253000000,581000000,563000000,440000000,630587000,614000000,1666000000,3047000000,4141000000,2796000000,4332000000,9752000000
74,Depreciation and Amortization,6500000,9700000,15836000,43497000,58216000,82688000,102597000,97977000,107562000,133192000,185023000,196664000,186989000,204205000,226235000,239148000,220125000,197000000,187000000,199000000,262000000,381000000,1098000000,1174000000
75,Deferred Income Tax,- -,- -,-27201000,-51914000,29768000,55135000,12141000,-10622000,41766000,89516000,-23277000,-21147000,-2646000,19056000,31860000,15430000,82569000,134000000,197000000,-359000000,-315000000,18000000,-282000000,-406000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,242826000,100353000,136354000,136662000,136295000,157841000,204000000,247000000,391000000,557000000,844000000,1397000000,2004000000
77,Change in Working Capital,-12600000,43000000,525000000,179000000,172000000,-254400000,167400000,225000000,282000000,528668000,-532301000,307085000,587548000,691000000,824000000,881000000,137000000,-1202000000,3133000000,1354000000,1126000000,2678000000,224000000,12364000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-56741000,26341000,26236000,-118940000,28852000,-49324000,-32000000,-321000000,-440000000,-149000000,-233000000,-550000000,-2215000000
79,Inventory,-28100000,-9000000,-52274000,-123497000,68831000,-85126000,-81280000,60726000,-91395000,-3690000,-177295000,204656000,-14128000,18884000,-78949000,24651000,-94984000,66000000,-375000000,- -,-776000000,597000000,-524000000,-774000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,119366000,-69786000,35708000,10885000,-20382000,-26895000,-11000000,184000000,90000000,-135000000,194000000,363000000,568000000
81,Other Working Capital,54000000,97000000,622000000,801000000,973000000,718600000,886000000,1111000000,1393000000,1921668000,1389367000,1696452000,2284000000,2975000000,3799000000,4680000000,4817000000,3615000000,6748000000,8102000000,9228000000,11906000000,12130000000,24494000000
82,Other Non-Cash Items,100000,-77800000,-543726000,-186777000,-85952000,91836000,-238938000,-166947000,-293217000,-278825000,649956000,-169634000,-449447000,-722459000,-957585000,-876727000,-322466000,1228000000,-3758000000,-1130000000,-2028000000,-1956000000,-947000000,-15780000000
83,Cash Provided by Operating Activities,-1900000,15900000,67909000,160806000,265032000,49678000,132200000,446408000,587111000,1270196000,249360000,487807000,675797000,909156000,824172000,835146000,905656000,1175000000,1672000000,3502000000,3743000000,4761000000,5822000000,9108000000
84,CAPEX,-7900000,-11600000,-36329000,-161075000,-63123000,-127604000,-67261000,-79600000,-145256000,-187745000,-407670000,-77601000,-97890000,-138735000,-183309000,-255186000,-122381000,-86000000,-176000000,-593000000,-600000000,-489000000,-1128000000,-976000000
85,Acquisitions Net,- -,- -,- -,- -,-3901000,-71303000,- -,-12131000,-401800000,-75542000,-27948000,- -,- -,-348884000,- -,-17145000,- -,- -,- -,- -,- -,- -,-8524000000,-263000000
86,Purchases of Investments,- -,- -,- -,-472917000,-639500000,-734642000,-313760000,-338058000,-220834000,-1251870000,-999953000,-1193948000,-1719700000,-1964898000,-2378445000,-3065404000,-2861809000,-3477000000,-3134000000,-72000000,-11157000000,-1475000000,-19342000000,-24811000000
87,Sales/Maturities of Investments,- -,- -,- -,15320000,422200000,1021590000,229068000,397686000,227067000,753839000,1226646000,752434000,1170075000,1310743000,1817410000,2511967000,2236780000,3138000000,2515000000,1941000000,7660000000,8109000000,9319000000,16220000000
88,Other Investing Activites,- -,- -,-24500000,17500000,7000000,- -,- -,-9684000,- -,- -,-442000,-218000,-2163000,-1590000,352000,19831000,20362000,25000000,2000000,2000000,- -,- -,- -,- -
89,Cash Used for Investing Activites,-7900000,-11600000,-60829000,-601172000,-277324000,88041000,-151953000,-41787000,-540823000,-761318000,-209367000,-519333000,-649678000,-1143364000,-743992000,-805937000,-727048000,-400000000,-793000000,1278000000,-4097000000,6145000000,-19675000000,-9830000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11927000,-2049000,-2239000,-2917000,-3000000,-673000000,-812000000,-16000000,- -,- -,-1000000000
91,Common Stock Issued,37900000,13400000,116579000,90375000,25487000,37757000,42502000,127988000,221160000,225969000,73547000,138029000,177276000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-24644000,-188509000,-274978000,-552512000,-423636000,- -,- -,- -,-100000000,-887304000,-813600000,-587000000,-739000000,-909000000,-1579000000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-46866000,-181336000,-186452000,-213000000,-261000000,-341000000,-371000000,-390000000,-395000000,-399000000
94,Other Financing Activites,14200000,-6400000,489056000,8716000,799000,-308048000,-4015000,-856000,188000,220000,815000,-76970000,14745000,248650000,133645000,1460471000,169428000,127000000,1964000000,-482000000,-900000000,-402000000,4199000000,3264000000
95,Cash Used/Provided by Financing Activities,52100000,7000000,605635000,99091000,26286000,-270291000,13843000,-61377000,-53630000,-326323000,-349274000,61059000,192021000,236723000,-15270000,389592000,-833541000,-676000000,291000000,-2544000000,-2866000000,-792000000,3804000000,1865000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,52100000,11300000,612715000,-341275000,13994000,-132572000,-5910000,343244000,-7342000,182555000,-309281000,29533000,218140000,2515000,64910000,418801000,-654933000,99000000,1170000000,2236000000,-3220000000,10114000000,-10049000000,1143000000
98,Cash at the End of Period,- -,61600000,674275000,333000000,346994000,214422000,208512000,551756000,544414000,726969000,417688000,447221000,665361000,667876000,732786000,1151587000,496654000,596000000,1766000000,4002000000,782000000,10896000000,847000000,1990000000
99,Cash at the Beginning of Period,8000000,50300000,61560000,674275000,333000000,346994000,214422000,208512000,551756000,544414000,726969000,417688000,447221000,665361000,667876000,732786000,1151587000,497000000,596000000,1766000000,4002000000,782000000,10896000000,847000000
100,Free Cash Flow,-9800000,4300000,31580000,-269000,201909000,-77926000,64939000,366808000,441855000,1082451000,-158310000,410206000,577907000,770421000,640863000,579960000,783275000,1089000000,1496000000,2909000000,3143000000,4272000000,4694000000,8132000000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1045810/000104596903001196/0001045969-03-001196-index.html,- -,https://www.sec.gov/Archives/edgar/data/1045810/000104581005000008/0001045810-05-000008-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581006000014/fy2006annualreportonform10-k.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581007000008/fy2007annualreportonform10-k.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1045810/000104581010000006/0001045810-10-000006-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581011000015/fy2011form10k.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581012000013/0001045810-12-000013-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581013000008/0001045810-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581014000030/nvda-2014x10k.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581015000036/nvda-2015x10k.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581016000205/0001045810-16-000205-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581017000027/0001045810-17-000027-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581018000010/0001045810-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581019000023/0001045810-19-000023-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000010/0001045810-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000010/0001045810-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000036/0001045810-22-000036-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
