,https://roic.ai/company/XENT,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,17474000,15655000,11384000,26159000,28420000,29119000,30313000,31388000,32615000,33272000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1271214/000119312515087576/d852832d10k.htm,https://www.sec.gov/Archives/edgar/data/1271214/000119312516478406/0001193125-16-478406-index.html,https://www.sec.gov/Archives/edgar/data/1271214/000119312517062411/0001193125-17-062411-index.html,https://www.sec.gov/Archives/edgar/data/1271214/000119312518063953/0001193125-18-063953-index.html,https://www.sec.gov/Archives/edgar/data/1271214/000119312519057406/0001193125-19-057406-index.html,https://www.sec.gov/Archives/edgar/data/1271214/000119312520052620/0001193125-20-052620-index.html,https://www.sec.gov/Archives/edgar/data/1271214/000127121421000017/0001271214-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1271214/000127121422000006/0001271214-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,2060000,12294000,13403000,34809000,9859000,19837000,9464000,20652000,13521000,38397000
32,Short-Term Investments,- -,- -,35040000,89491000,94086000,82483000,91309000,69986000,74506000,22618000
33,Cash and Short-Term Investments,2060000,12294000,48443000,124300000,103945000,102320000,100773000,90638000,88027000,61015000
34,Net Receivables,1399000,4300000,8337000,11468000,14421000,16589000,19616000,19113000,14592000,17326000
35,Inventory,1375000,2197000,2547000,3949000,5613000,8474000,11586000,17000000,12054000,18599000
36,Other Current Assets,414000,411000,951000,1495000,1313000,2908000,2695000,2300000,3494000,9057000
37,Total Current Assets,5248000,19202000,60278000,141212000,125292000,130291000,134670000,129051000,118167000,105997000
38,PP&E,1755000,1707000,1474000,3183000,4127000,4848000,5878000,18292000,22775000,20144000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,46639000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,21193000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,67832000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,224000,126000,1201000,240000,358000,436000,413000,559000,18607000,20726000
45,Total Non-Current Assets,1979000,1833000,2675000,3423000,4485000,5284000,6291000,18851000,109214000,40870000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,7227000,21035000,62953000,144635000,129777000,135575000,140961000,147902000,227381000,146867000
48,Accounts Payable,1074000,1451000,2128000,1908000,3267000,3400000,6202000,4056000,6042000,8888000
49,Short-Term Debt,636000,696000,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,32000,104000,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,137000,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,2386000,3937000,5846000,11162000,11097000,14277000,13531000,14880000,38205000,48272000
53,Total Current Liabilities,4096000,6084000,8111000,13070000,14364000,17677000,19733000,18936000,44247000,57160000
54,Long-Term Debt,1364000,756000,- -,- -,- -,- -,- -,- -,63650000,142055000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,1569000,- -
57,Other Non-Current Liabilities,60487000,90812000,1030000,1334000,1016000,679000,234000,10908000,50903000,16721000
58,Total Non-Current Liabilities,61851000,91568000,1030000,1334000,1016000,679000,234000,10908000,116122000,158776000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,10886000,17736000,14709000
61,Total Liabilities,65947000,97652000,9141000,14404000,15380000,18356000,19967000,29844000,160369000,215936000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,2000,23000,28000,29000,30000,31000,32000,33000,34000
64,Retained Earnings,-59890000,-78259000,-96621000,-123255000,-148477000,-164840000,-187762000,-230756000,-303075000,-462710000
65,Other Comprehensive Income/Loss,-1121000,-1329000,-1634000,8000,-37000,-92000,-41000,53000,1000,-10000
66,Other Total Stockholders Equity,2290000,2969000,152044000,253450000,262882000,282121000,308766000,348729000,370053000,- -
67,Total Stockholders Equity,-58720000,-76617000,53812000,130231000,114397000,117219000,120994000,118058000,67012000,-69069000
68,Total Liabilities And Stockholders Equity,7227000,21035000,62953000,144635000,129777000,135575000,140961000,147902000,227381000,146867000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,7227000,21035000,62953000,144635000,129777000,135575000,140961000,147902000,227381000,146867000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1271214/000119312515087576/d852832d10k.htm,https://www.sec.gov/Archives/edgar/data/1271214/000119312516478406/0001193125-16-478406-index.html,https://www.sec.gov/Archives/edgar/data/1271214/000119312517062411/0001193125-17-062411-index.html,https://www.sec.gov/Archives/edgar/data/1271214/000119312518063953/0001193125-18-063953-index.html,https://www.sec.gov/Archives/edgar/data/1271214/000119312519057406/0001193125-19-057406-index.html,https://www.sec.gov/Archives/edgar/data/1271214/000119312520052620/0001193125-20-052620-index.html,https://www.sec.gov/Archives/edgar/data/1271214/000127121421000017/0001271214-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1271214/000127121422000006/0001271214-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-16365000,-18369000,-18362000,-26634000,-25222000,-16363000,-22922000,-42994000,-72319000,-159635000
74,Depreciation and Amortization,351000,505000,583000,826000,1166000,1464000,1884000,3901000,2841000,4812000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-436000,-1690000
76,Stock Based Compensation,152000,382000,1550000,4864000,7467000,9820000,13233000,20149000,14958000,16456000
77,Change in Working Capital,-390000,11966000,39049000,75975000,-17214000,1686000,2323000,-4822000,-36195000,-7087000
78,Accounts Receivable,-1011000,-2901000,-4137000,-3131000,-2953000,-2168000,-3027000,503000,5001000,-4279000
79,Inventory,-1004000,-822000,-350000,-1402000,-1664000,-2861000,-2520000,-5148000,6578000,-10297000
80,Accounts Payable,331000,360000,645000,-230000,1180000,203000,2086000,-1236000,1483000,4170000
81,Other Working Capital,1152000,13118000,52167000,128142000,110928000,112614000,114937000,110115000,73920000,7839000
82,Other Non-Cash Items,104000,-13585000,-40774000,-75118000,13744000,-4648000,-8358000,-3485000,55457000,87677000
83,Cash Provided by Operating Activities,-16148000,-19101000,-17954000,-20087000,-20059000,-8041000,-13840000,-27251000,-35694000,-59467000
84,CAPEX,-1413000,-467000,-367000,-1524000,-2069000,-2281000,-2116000,-3727000,-873000,-2024000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-16922000,- -
86,Purchases of Investments,-1324000,- -,-35152000,-184672000,-153919000,-116622000,-130501000,-110267000,-139350000,-23688000
87,Sales/Maturities of Investments,8622000,- -,- -,129527000,149131000,128151000,122615000,132885000,134400000,74892000
88,Other Investing Activites,71000,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,5956000,-467000,-35519000,-56669000,-6857000,9248000,-10002000,18891000,-22745000,49180000
90,Debt Repayment,- -,-654000,-1452000,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,89000,122000,56034000,98162000,1966000,8771000,13469000,19548000,6903000,7288000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2213000,30334000,- -,- -,- -,- -,- -,- -,61841000,29300000
95,Cash Used/Provided by Financing Activities,2302000,29802000,54582000,98162000,1966000,8771000,13469000,19548000,68744000,36588000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,64000,-390000
97,Net Change In Cash,-7890000,10234000,1109000,21406000,-24950000,9978000,-10373000,11188000,10369000,25263000
98,Cash at the End of Period,2060000,12294000,13403000,34809000,9859000,19837000,9464000,20652000,31021000,56284000
99,Cash at the Beginning of Period,9950000,2060000,12294000,13403000,34809000,9859000,19837000,9464000,20652000,31021000
100,Free Cash Flow,-17561000,-19568000,-18321000,-21611000,-22128000,-10322000,-15956000,-30978000,-36567000,-61491000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1271214/000119312515087576/d852832d10k.htm,https://www.sec.gov/Archives/edgar/data/1271214/000119312516478406/0001193125-16-478406-index.html,https://www.sec.gov/Archives/edgar/data/1271214/000119312517062411/0001193125-17-062411-index.html,https://www.sec.gov/Archives/edgar/data/1271214/000119312518063953/0001193125-18-063953-index.html,https://www.sec.gov/Archives/edgar/data/1271214/000119312519057406/0001193125-19-057406-index.html,https://www.sec.gov/Archives/edgar/data/1271214/000119312520052620/0001193125-20-052620-index.html,https://www.sec.gov/Archives/edgar/data/1271214/000127121421000017/0001271214-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1271214/000127121422000006/0001271214-22-000006-index.htm
102,false,,,,,,,,,,
