,https://roic.ai/company/SMCI,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,0.0339,0.0441,1.0000,0.0541,0.0913,0.0711,0.0745,0.0460,0.0565,0.0623,0.0454,0.0234,0.0547,0.0737,0.0482,0.0382,0.0282,0.0278,0.0257,0.0348
19,Total Other Income Expenses (Gains),-399000,-677000,- -,-733000,-1001000,-567000,533000,-454000,-280000,-620000,-663000,-562000,-665000,-850000,-1423000,-3587000,-6499000,-7710000,-826000,-5319000
20,Income Before Tax,2630000,5373000,- -,10729000,26622000,29338000,40804000,22799000,40465000,58073000,45351000,26596000,79594000,145896000,105427000,91288000,88215000,89523000,84828000,118628000
21,Income Before Tax Ratio,0.0294,0.0392,- -,0.0507,0.0880,0.0698,0.0755,0.0451,0.0561,0.0616,0.0447,0.0229,0.0542,0.0733,0.0476,0.0367,0.0263,0.0256,0.0254,0.0333
22,Income Tax expense (Gain),-428000,-1856000,- -,3639000,9675000,9999000,15385000,6692000,13550000,17860000,15498000,5317000,25437000,44033000,33406000,24434000,38443000,14884000,2922000,6936000
23,Net Income,2202000,3517000,4854000,7090000,16947000,19339000,25419000,16107000,26915000,40213000,29853000,21279000,54157000,101863000,72021000,66854000,46165000,71918000,84308000,111865000
24,Net Income ratio,0.0246,0.0256,0.0291,0.0335,0.0560,0.0460,0.0470,0.0319,0.0373,0.0427,0.0294,0.0183,0.0369,0.0512,0.0325,0.0269,0.0137,0.0205,0.0252,0.0314
25,EPS,0.10,0.16,0.22,0.32,0.77,0.80,0.81,0.47,0.73,1.04,0.72,0.50,1.24,2.19,1.50,1.43,0.94,1.44,1.65,2.19
26,EPS Diluted,0.09,0.14,0.17,0.24,0.53,0.57,0.65,0.41,0.65,0.93,0.67,0.48,1.16,2.03,1.39,1.34,0.89,1.39,1.60,2.09
27,Weighted Average Shares Outstanding,21324000,21714000,21897236,21914692,22010586,24152769,31354956,34217571,35883640,38132114,40890000,41992000,43599000,46434000,47917000,48383000,49345000,49917000,50987000,51157000
28,Weighted Average Shares Outstanding Diluted,24962000,25726000,28061656,29442420,31846864,33946074,38843151,39155727,40735336,42395970,44152000,43907000,46512000,50094000,51836000,51679000,52151000,51716000,52838000,53507000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1375365/000119312507190775/0001193125-07-190775-index.html,https://www.sec.gov/Archives/edgar/data/1375365/000119312508188476/0001193125-08-188476-index.html,https://www.sec.gov/Archives/edgar/data/1375365/000119312509184698/0001193125-09-184698-index.html,https://www.sec.gov/Archives/edgar/data/1375365/000119312510205667/0001193125-10-205667-index.html,https://www.sec.gov/Archives/edgar/data/1375365/000119312511240215/0001193125-11-240215-index.html,https://www.sec.gov/Archives/edgar/data/1375365/000144530512002860/0001445305-12-002860-index.html,https://www.sec.gov/Archives/edgar/data/1375365/000144530513002262/0001445305-13-002262-index.html,https://www.sec.gov/Archives/edgar/data/1375365/000144530514003958/0001445305-14-003958-index.html,https://www.sec.gov/Archives/edgar/data/1375365/000162828015007025/0001628280-15-007025-index.html,https://www.sec.gov/Archives/edgar/data/1375365/000162828016019274/smci-2016630x10k.htm,https://www.sec.gov/Archives/edgar/data/1375365/000137536519000039/smci-2017630x10kxa.htm,- -,https://www.sec.gov/Archives/edgar/data/1375365/000137536519000079/smci-2019630x10k.htm,https://www.sec.gov/Archives/edgar/data/1375365/000137536520000064/0001375365-20-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1375365/000137536521000060/0001375365-21-000060-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3970000,6357000,- -,11170000,16509000,50864000,51481000,70295000,72644000,69943000,80826000,93038000,96872000,95442000,180964000,110606000,115377000,248164000,210533000,232266000
32,Short-Term Investments,- -,- -,- -,1767000,53000,15055000,57000,347000,845000,59000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,3970000,6357000,- -,12937000,16562000,65919000,51538000,70642000,73489000,70002000,80826000,93038000,96872000,95442000,180964000,110606000,115377000,248164000,210533000,232266000
34,Net Receivables,- -,- -,- -,13523000,22252000,33426000,49501000,45709000,72963000,85005000,102014000,149340000,212738000,322594000,288941000,402660000,544396000,476674000,498604000,563755000
35,Inventory,- -,- -,- -,40525000,57612000,66772000,85683000,90044000,135584000,192711000,276599000,254170000,315837000,463493000,448980000,736668000,853252000,670188000,851498000,1040964000
36,Other Current Assets,- -,- -,- -,3444000,4751000,7389000,13161000,13623000,14821000,21904000,22473000,26644000,28634000,32886000,19117000,11232000,17853000,26745000,32126000,30274000
37,Total Current Assets,- -,- -,- -,70429000,101177000,173506000,199883000,220018000,296857000,369622000,481912000,523192000,654081000,914415000,938002000,1261166000,1530878000,1421771000,1592761000,1867259000
38,PP&E,- -,- -,- -,19077000,29605000,31089000,45602000,44960000,62691000,74438000,97419000,95912000,130589000,163038000,187949000,195576000,196631000,207337000,257569000,294760000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,14355000,5901000,5188000,2923000,2637000,3397000,2633000,4054000,10221000,7486000,4150000,4402000,6134000
43,Tax Assets,- -,- -,- -,- -,- -,624000,939000,1917000,4825000,2792000,3459000,7275000,6154000,4497000,28460000,39119000,25583000,41126000,54898000,63288000
44,Other Non-Current Assets,- -,- -,- -,156000,219000,364000,17961000,1885000,488000,12580000,3390000,3241000,2104000,5226000,7135000,9048000,8927000,8210000,9016000,10523000
45,Total Non-Current Assets,- -,- -,- -,19233000,29824000,32077000,64502000,63117000,73905000,94998000,107191000,109065000,142244000,175394000,227598000,253964000,238627000,260823000,325885000,374705000
46,Other Assets,40136000,50796000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,40136000,50796000,- -,89662000,131001000,205583000,264385000,283135000,370762000,464620000,589103000,632257000,796325000,1089809000,1165600000,1515130000,1769505000,1682594000,1918646000,2241964000
48,Accounts Payable,- -,- -,- -,37748000,52019000,61453000,80962000,73532000,95416000,113340000,173991000,172855000,219354000,299774000,249239000,396895000,527158000,360470000,417673000,612336000
49,Short-Term Debt,- -,- -,- -,- -,- -,422000,377000,319000,18553000,555000,13362000,28638000,42554000,93479000,53589000,161447000,116181000,23647000,23704000,69812000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12741000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,1220000,- -,1000000,- -,4134000,4185000,10399000,19683000,47587000,102241000,130594000,152348000,179217000
52,Other Current Liabilities,- -,- -,- -,9759000,12132000,16545000,16152000,13960000,23906000,25752000,33155000,36037000,44793000,50455000,41107000,66601000,65977000,91258000,113910000,107531000
53,Total Current Liabilities,- -,- -,- -,47507000,64151000,78420000,97491000,89031000,137875000,140647000,220508000,241664000,310886000,454107000,363618000,672530000,811557000,605969000,707635000,968896000
54,Long-Term Debt,9506000,9108000,- -,12515000,18621000,11251000,9981000,9675000,- -,27596000,19395000,6533000,3733000,933000,40000000,92927000,- -,- -,5697000,49239000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21940000,47548000,89731000,109266000,97612000,100838000
56,Deferred Tax Liabilities,- -,- -,- -,456000,398000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,57000,64000,40000,5042000,5807000,8186000,9120000,10849000,10336000,12475000,15684000,18663000,-71721000,24565000,26183000,41995000,26593000
58,Total Non-Current Liabilities,9506000,9108000,- -,13028000,19083000,11291000,15023000,15482000,8186000,36716000,30244000,16869000,16208000,16617000,80603000,68754000,114296000,135449000,145304000,176670000
59,Other Liabilities,36788000,43486000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,57000,64000,40000,108000,108000,108000,86000,- -,- -,- -,- -,- -,- -,- -,- -,24412000,20861000
61,Total Liabilities,27282000,34378000,- -,60535000,83234000,89711000,112514000,104513000,146061000,177363000,250752000,258533000,327094000,470724000,444221000,741284000,925853000,741418000,852939000,1145566000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,81893000,100350000,122693000,143806000,157712000,199062000,247081000,277339000,308271000,331550000,349683000,389972000,438012000
64,Retained Earnings,- -,- -,- -,22847000,39794000,59133000,83563000,99670000,126585000,166798000,196651000,217930000,272087000,373950000,445971000,485973000,532271000,611903000,696211000,657760000
65,Other Comprehensive Income/Loss,- -,- -,- -,-2781000,-3760000,-5272000,-7628000,-1000000,-15153000,-20280000,-26925000,-34376000,-39990000,-46798000,-59012000,-74087000,-92594000,-108775000,-126746000,453000
66,Other Total Stockholders Equity,12854000,16418000,- -,9061000,11733000,62011000,75936000,-1941000,12919000,18046000,24819000,32277000,37897000,44688000,56897000,53519000,72268000,88204000,106103000,- -
67,Total Stockholders Equity,12854000,16418000,- -,29127000,47767000,115872000,151871000,178622000,224701000,287257000,338351000,373543000,469056000,618921000,721195000,773676000,843495000,941015000,1065540000,1096225000
68,Total Liabilities And Stockholders Equity,40136000,50796000,- -,89662000,131001000,205583000,264385000,283135000,370762000,464620000,589103000,632076000,796150000,1089645000,1165416000,1514960000,1769348000,1682433000,1918479000,2241791000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,181000,175000,164000,184000,170000,157000,161000,167000,173000
70,Total Liabilities & Equity,40136000,50796000,- -,89662000,131001000,205583000,264385000,283135000,370762000,464620000,589103000,632257000,796325000,1089809000,1165600000,1515130000,1769505000,1682594000,1918646000,2241964000
71,SEC Link,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1375365/000119312507190775/0001193125-07-190775-index.html,https://www.sec.gov/Archives/edgar/data/1375365/000119312508188476/0001193125-08-188476-index.html,https://www.sec.gov/Archives/edgar/data/1375365/000119312509184698/0001193125-09-184698-index.html,https://www.sec.gov/Archives/edgar/data/1375365/000119312510205667/0001193125-10-205667-index.html,https://www.sec.gov/Archives/edgar/data/1375365/000119312511240215/0001193125-11-240215-index.html,https://www.sec.gov/Archives/edgar/data/1375365/000144530512002860/0001445305-12-002860-index.html,https://www.sec.gov/Archives/edgar/data/1375365/000144530513002262/0001445305-13-002262-index.html,https://www.sec.gov/Archives/edgar/data/1375365/000144530514003958/0001445305-14-003958-index.html,https://www.sec.gov/Archives/edgar/data/1375365/000162828015007025/0001628280-15-007025-index.html,https://www.sec.gov/Archives/edgar/data/1375365/000162828016019274/smci-2016630x10k.htm,https://www.sec.gov/Archives/edgar/data/1375365/000137536519000039/smci-2017630x10kxa.htm,- -,https://www.sec.gov/Archives/edgar/data/1375365/000137536519000079/smci-2019630x10k.htm,https://www.sec.gov/Archives/edgar/data/1375365/000137536520000064/0001375365-20-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1375365/000137536521000060/0001375365-21-000060-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,7090000,16947000,19339000,25419000,16107000,26915000,40213000,29853000,21279000,54157000,101863000,72021000,66854000,46165000,71918000,84308000,111865000
74,Depreciation and Amortization,- -,- -,- -,922000,1214000,1640000,2664000,3653000,4619000,5453000,7071000,7835000,6364000,8133000,13282000,16357000,21846000,24202000,28472000,28185000
75,Deferred Income Tax,- -,- -,- -,133000,-806000,-3212000,-3047000,-1002000,-4407000,1539000,-3137000,-7010000,65000,632000,-6133000,-5434000,13570000,-17100000,-13772000,-8390000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,5661000,6457000,8056000,10252000,11361000,11062000,13699000,16131000,19665000,24656000,21184000,20189000,28549000
77,Change in Working Capital,- -,- -,- -,-8066000,22922000,14104000,58060000,7306000,28595000,27995000,69993000,32429000,20124000,61667000,117113000,114076000,14252000,130685000,96481000,69324000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-755000,-11496000,-19165000,-17226000,-48255000,-64874000,-110182000,32375000,-149455000,-127082000,85027000,-7023000,-59325000
79,Inventory,- -,- -,- -,-8904000,-17087000,-9160000,-25761000,-5820000,-48154000,-60480000,-92467000,12704000,-63921000,-153584000,5200000,-235590000,-126232000,119314000,-199683000,-196271000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-6914000,21840000,16933000,61336000,-2208000,46298000,75520000,-54301000,135320000,132533000,-173410000,59889000,189309000
81,Other Working Capital,- -,- -,- -,- -,22922000,37026000,95086000,102392000,130987000,158982000,228975000,261404000,281528000,343195000,460308000,574384000,588636000,719321000,815802000,885126000
82,Other Non-Cash Items,- -,- -,- -,4663000,-32071000,-16882000,-64594000,-9906000,-64353000,-74776000,-97565000,-52311000,-85234000,-230630000,-104905000,-307706000,-36142000,31665000,-246012000,-106578000
83,Cash Provided by Operating Activities,- -,- -,- -,4742000,8206000,14989000,18502000,21819000,-2174000,8480000,16467000,13583000,6538000,-44636000,107509000,-96188000,84347000,262554000,-30334000,122955000
84,CAPEX,- -,- -,- -,-1050000,-11452000,-3042000,-16085000,-3561000,-22223000,-25397000,-24862000,-5001000,-40567000,-35100000,-34108000,-29365000,-24824000,-24849000,-44338000,-58016000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-1767000,-103000,-15054000,-22480000,-58000,-58000,-750000,-168000,- -,- -,-661000,- -,- -,-2100000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,200000,1826000,145000,20628000,942000,10479000,1500000,2475000,300000,- -,- -,- -,- -,1000000,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,1753000,-63000,-157000,-1671000,-38000,- -,-123000,2836000,-412000,406000,-416000,-1020000,-340000,- -,- -,750000,- -
89,Cash Used for Investing Activites,- -,- -,- -,-864000,-9792000,-18108000,-19608000,-2715000,-11802000,-24770000,-19719000,-5113000,-40161000,-36177000,-35128000,-29705000,-25924000,-24849000,-43588000,-58016000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-364000,-10036000,-14196000,-28984000,-18113000,-6367000,-36134000,-34289000,-140705000,-220552000,-133912000,-160445000,-60629000
91,Common Stock Issued,- -,- -,- -,44000,377000,45184000,2932000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-2030000,- -,- -,- -,- -,- -,- -,- -,-18461000,- -,- -,- -,-130000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,-111000,6548000,-7710000,-1209000,2104000,26361000,27785000,42801000,21875000,43589000,116185000,47434000,216890000,169720000,38084000,184241000,146189000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-67000,6925000,37474000,1723000,-290000,16325000,13589000,13817000,3762000,37222000,80051000,13145000,57724000,-50832000,-95828000,23796000,-44440000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,318000,-20000,235000,-668000,-4000,-45000,-6000,-119000,376000,560000
97,Net Change In Cash,- -,- -,- -,3811000,5339000,34355000,617000,18814000,2349000,-2701000,10883000,12212000,3834000,-1430000,85522000,-68214000,7585000,141758000,-49750000,21059000
98,Cash at the End of Period,- -,- -,- -,11170000,16509000,50864000,51481000,70295000,72644000,69943000,80826000,93038000,96872000,95442000,180964000,110606000,120382000,262140000,212390000,233449000
99,Cash at the Beginning of Period,- -,- -,- -,7359000,11170000,16509000,50864000,51481000,70295000,72644000,69943000,80826000,93038000,96872000,95442000,178820000,112797000,120382000,262140000,212390000
100,Free Cash Flow,- -,- -,- -,3692000,-3246000,11947000,2417000,18258000,-24397000,-16917000,-8395000,8582000,-34029000,-79736000,73401000,-125553000,59523000,237705000,-74672000,64939000
101,SEC Link,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1375365/000119312507190775/0001193125-07-190775-index.html,https://www.sec.gov/Archives/edgar/data/1375365/000119312508188476/0001193125-08-188476-index.html,https://www.sec.gov/Archives/edgar/data/1375365/000119312509184698/0001193125-09-184698-index.html,https://www.sec.gov/Archives/edgar/data/1375365/000119312510205667/0001193125-10-205667-index.html,https://www.sec.gov/Archives/edgar/data/1375365/000119312511240215/0001193125-11-240215-index.html,https://www.sec.gov/Archives/edgar/data/1375365/000144530512002860/0001445305-12-002860-index.html,https://www.sec.gov/Archives/edgar/data/1375365/000144530513002262/0001445305-13-002262-index.html,https://www.sec.gov/Archives/edgar/data/1375365/000144530514003958/0001445305-14-003958-index.html,https://www.sec.gov/Archives/edgar/data/1375365/000162828015007025/0001628280-15-007025-index.html,https://www.sec.gov/Archives/edgar/data/1375365/000162828016019274/smci-2016630x10k.htm,https://www.sec.gov/Archives/edgar/data/1375365/000137536519000039/smci-2017630x10kxa.htm,- -,https://www.sec.gov/Archives/edgar/data/1375365/000137536519000079/smci-2019630x10k.htm,https://www.sec.gov/Archives/edgar/data/1375365/000137536520000064/0001375365-20-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1375365/000137536521000060/0001375365-21-000060-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
