,https://roic.ai/company/APDN,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1182695,792549,2458667,643063,- -,- -,- -,- -,- -,9615,- -,115830,- -
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,1628161,9186107,2737802,3241526,434417,418128,371914,367556,313940,206344,442262,490641,706496,633328,547796,390424,285730,844438
15,EBITDA,-1582,-3354,-5720,-8582,- -,-3493363,-17580098,-43301025,327565,-10063307,-6368481,5545973,-6745137,-7688901,-6193709,-17480128,-12624399,-11390496,-11469483,-12222439,-11135517,-8217699,-12625659,-13442004
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,17.3315,-82.5402,-7.2949,18.7896,-12.9753,-7.9361,-3.3395,-8.5846,-4.6392,-1.2644,-2.7397,-2.5725,-2.8528,-1.5249,-6.5367,-1.4890
17,Operating Income,-1582,- -,- -,- -,- -,-3468363,-17583259,-43657291,-15705594,-12541024,-4155583,-6896043,-7117051,-8056457,-6507649,-10175837,-12271541,-7853974,-12199858,-12820142,-11646308,-9124271,-12534999,-13113821
18,Operating Income ratio,-Infinity,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-830.9838,-102.8627,-4.7601,-23.3636,-13.6907,-8.3155,-3.5087,-4.9974,-4.5096,-0.8718,-2.9141,-2.6983,-2.9837,-1.6931,-6.4898,-1.4526
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,25000,1385,4957,13295357,-763809,-2647315,10841193,-792549,-2458667,-643063,-7510635,-795120,-4027163,23879,-35625,-46620,506825,-493905,-1164618
20,Income Before Tax,-1582,-3354,-5720,-8582,- -,- -,- -,- -,-2410237,-13304833,-6802898,3945150,-7909600,-10515124,-7150712,-17686472,-13066661,-11881137,-12175979,-12855767,-11692928,-8617446,-13028904,-14278439
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,- -,- -,- -,- -,-127.5258,-109.1276,-7.7925,13.3660,-15.2153,-10.8532,-3.8555,-8.6859,-4.8018,-1.3189,-2.9084,-2.7058,-2.9956,-1.5991,-6.7455,-1.5816
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,572,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000,- -,- -
23,Net Income,-1582,-3354,-5720,-8582,- -,-3445164,-19358259,-52610380,-2410237,-13304833,-6802898,3944578,-7909600,-10515124,-7150712,-17686472,-13066661,-11881137,-12175979,-12855767,-11692928,-8623123,-13027219,-14286442
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,-127.5258,-109.1276,-7.7925,13.3641,-15.2153,-10.8532,-3.8555,-8.6859,-4.8018,-1.3189,-2.9084,-2.7058,-2.9956,-1.6001,-6.7446,-1.5825
25,EPS,-26.37,-55.90,-95.33,-7.28,- -,-647.99,-2231.96,-1967.96,-48.00,-240.00,-96.00,48.00,-72.00,-72.00,-24.00,-72.00,-38.88,-25.20,-20.40,-19.60,-16.00,-9.69,-3.32,-2.07
26,EPS Diluted,-26.37,-55.90,-95.33,-7.28,- -,-647.99,-2231.96,-1967.96,-48.00,-240.00,-96.00,24.00,-72.00,-72.00,-24.00,-72.00,-38.88,-25.20,-20.40,-19.60,-16.00,-9.69,-3.32,-2.07
27,Weighted Average Shares Outstanding,60,60,60,1179,- -,5398,8675,26627,48713,56346,79788,104802,125149,157017,240042,293277,337220,473457,592327,659474,737440,921809,3919072,6916999
28,Weighted Average Shares Outstanding Diluted,60,60,60,1179,- -,5398,8675,26627,75716,56346,79788,128716,125149,157017,240042,293277,337220,473457,592327,659474,737440,921809,3919072,6916999
29,SEC Link,- -,- -,- -,- -,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/744452/000118811208000146/0001188112-08-000146-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000118811208003373/0001188112-08-003373-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000118811209002644/0001188112-09-002644-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000118811210003342/0001188112-10-003342-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000118811211003443/0001188112-11-003443-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000118811212003634/0001188112-12-003634-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000118811213003587/0001188112-13-003587-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000157104914007249/0001571049-14-007249-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000157104915009962/0001571049-15-009962-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000157104916020376/0001571049-16-020376-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000114420417065635/0001144204-17-065635-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000114420418065023/0001144204-18-065023-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000110465919072186/0001104659-19-072186-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000110465920136828/0001104659-20-136828-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,135,- -,193471,1832,31190,1225304,25185,136405,213307,17618,2747294,724782,6360301,1393132,7312184,4479274,2959781,1659564,558988,7786743,6554948
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,135,- -,193471,1832,31190,1225304,25185,136405,213307,17618,2747294,724782,6360301,1393132,7312184,4479274,2959781,1659564,558988,7786743,6554948
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,12429,18050,- -,75150,47302,63029,208587,296994,672638,834818,3929517,6374895,2587969,1485938,839951,194319,2804039
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,297759,326468,221369,142629,497367,1369933
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,106667,500920,83333,79436,161456,76290,80037,174096,135365,293351,200006,366954,635174,604740,599296,568881
37,Total Current Assets,- -,- -,- -,135,- -,193471,1832,43619,1350021,526105,294888,340045,242103,3032171,1101813,7207035,2363315,11535052,11351934,6241172,4002045,2146308,9077725,11297801
38,PP&E,- -,- -,- -,- -,- -,- -,28102,8064,156437,105537,63730,11743,3765,89108,210845,695995,576128,572107,792499,523688,419774,226221,1277655,3023915
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,285386,285386,285386,285386,285386,285386,- -
40,Intangible Assets,- -,- -,- -,- -,- -,13890,28154,9116575,2107463,1736821,1366711,1000571,636635,272844,- -,420676,327872,1598779,1525900,1042076,864203,734771,605330,- -
41,Intangible Assets,- -,- -,- -,- -,- -,13890,28154,9116575,2107463,1736821,1366711,1000571,636635,272844,- -,420676,327872,1884165,1811286,1327462,1149589,1020157,890716,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,23559,14262,1062909,43325,121548,154711,530811,109433,36276,51260,238742,1562988,1610112,61626,62325,172049,95083,95040
45,Total Non-Current Assets,- -,- -,- -,- -,- -,13890,79815,9138901,3326809,1885683,1551989,1167025,1171211,471385,247121,1167931,1142742,4019260,4213897,1912776,1631688,1418427,2263454,3118955
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,135,- -,207361,81647,9182520,4676830,2411788,1846877,1507070,1413314,3503556,1348934,8374966,3506057,15554312,15565831,8153948,5633733,3564735,11341179,14416756
48,Accounts Payable,2231,963,1283,- -,- -,454000,1770379,2185468,334675,1234449,413454,593025,721340,165465,473060,641302,1059623,1237973,1530258,382984,500849,1152103,1250021,2010410
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,2788500,410429,4172200,740405,3063274,2410411,1774080,3730880,- -,- -,1800000,- -,- -,- -,- -,- -,1828415,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,148503,583362,282050,1837588,351735,1856693,628993,511036,281000
52,Other Current Liabilities,3000,- -,- -,- -,- -,242288,229276,- -,5225357,12381446,12407717,250466,296210,602596,118949,325675,435136,1147033,717083,561149,464318,464894,676406,980933
53,Total Current Liabilities,5231,963,1283,- -,- -,696288,4788155,2595897,9732232,14356300,15884445,3253902,2791630,4498941,592009,1115480,3878121,2667056,4084929,1295868,2821860,2245990,4265878,3272343
54,Long-Term Debt,- -,- -,- -,- -,- -,88500,- -,- -,4530795,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1586631,1545274,517488,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,13670000,- -,- -,- -,- -,219714,- -,- -,2643449,1096412,320400,215500,- -,470739,621970,848307,31467
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,88500,- -,13670000,4530795,- -,- -,- -,219714,- -,- -,2643449,1096412,320400,1115500,- -,2057370,2167244,1365795,31467
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,5231,963,1283,- -,- -,784788,4788155,2595897,14263027,14356300,15884445,3253902,3011344,4498941,592009,3758929,4974533,2987456,5200429,1295868,4879230,4413234,5631673,3303810
62,Preferred Stock,- -,- -,- -,- -,- -,- -,6,6,6,6,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,146,15,15,1015,- -,1781,11990527,112230,120982,180281,205359,275204,346366,473326,646183,786527,13937,21505,24079,27377,30112,1200,5144,7488
64,Retained Earnings,-803406,-806760,-812480,-816062,- -,-3456776,-22815034,-75425414,-92334791,-140573383,-147376281,-143431703,-151341303,-161856427,-169007139,-186693611,-199760272,-211641409,-223817388,-236673155,-248366083,-256805589,-269835650,-284122092
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,300000,-1000,20000,-20885,-82825,-147132,-199119,-207097,-210862,-251958,-409629,-759087,-852867,-1263200,-1666297,-2036255,-2293261,-2448517,- -
66,Other Total Stockholders Equity,798029,805782,811182,815182,- -,- -,6118993,81879801,82648491,128531409,133280486,141608786,149604004,160598578,169369839,190932750,199036946,225039627,235421911,245170155,251126729,258256191,277997254,295227550
67,Total Stockholders Equity,-5231,-963,-1283,135,- -,-577427,-4706508,6586623,-9586197,-11944512,-14037568,-1746832,-1598030,-995385,756925,4616037,-1468476,12566856,10365402,6858080,754503,-841459,5718231,11113668
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,207361,81647,9182520,4676830,2411788,1846877,1507070,1413314,3503556,1348934,8374966,3506057,15554312,15565831,8153948,5633733,3571775,11349904,14417478
69,Minority Interest,- -,- -,- -,135,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7040,-8725,-722
70,Total Liabilities & Equity,- -,- -,- -,135,- -,207361,81647,9182520,4676830,2411788,1846877,1507070,1413314,3503556,1348934,8374966,3506057,15554312,15565831,8153948,5633733,3564735,11341179,14416756
71,SEC Link,- -,- -,- -,- -,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/744452/000118811208000146/0001188112-08-000146-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000118811208003373/0001188112-08-003373-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000118811209002644/0001188112-09-002644-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000118811210003342/0001188112-10-003342-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000118811211003443/0001188112-11-003443-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000118811212003634/0001188112-12-003634-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000118811213003587/0001188112-13-003587-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000157104914007249/0001571049-14-007249-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000157104915009962/0001571049-15-009962-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000157104916020376/0001571049-16-020376-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000114420417065635/0001144204-17-065635-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000114420418065023/0001144204-18-065023-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000110465919072186/0001104659-19-072186-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000110465920136828/0001104659-20-136828-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1582,-3354,-5720,-8582,- -,-3445164,-19358259,-52610380,-2410237,-13304833,-6802898,3944578,-7909600,-10515124,-7150712,-17686472,-13066661,-11881137,-12175979,-12855767,-11692928,-8623123,-13027219,-14286442
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,1628161,9186107,2737802,3241526,434417,418128,371914,367556,313940,206344,442262,490641,706496,633328,547796,390424,285730,844438
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,643628,1250951,1444583,58238,- -,1964053,4022283,2038830,3257305,1356351,1129110,1001082,1668003
77,Change in Working Capital,-1582,4268,-320,1418,- -,-502952,-4283506,2234045,-5829933,-5447984,-1759362,12675700,364330,1082757,1976574,5581751,-7606361,10382802,-1600991,-2321701,-3765119,-1279867,4911529,3213611
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27848,-15727,-145558,-88407,-453059,-181935,-4635445,-2597203,3084311,1081480,638339,600352,-2638350
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000,-297759,-28709,105099,78740,-354738,-872566
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2991343000
81,Other Working Capital,-5231,-963,-1283,135,- -,-502817,-4786323,-2552278,-8382211,-13830195,-15589557,-2913857,-2549527,-1466770,509804,6091555,-1514806,8867996,7267005,4945304,1180185,-99682,4811847,8025458
82,Other Non-Cash Items,164,-5536,5640,-2701,- -,3456607,18944885,32074183,2618553,13259711,5201563,-20150632,3467216,3858512,841281,4028024,9753969,-9980435,1134917,3807651,6636691,1521684,-4314181,-4827565
83,Cash Provided by Operating Activities,-3000,-4622,-400,-9865,- -,-491509,-3068719,-9116045,-2883815,-2251580,-2926280,-2468598,-2455189,-3761716,-3960679,-7870353,-8512738,-6965846,-9896727,-7479184,-6917209,-6861772,-11143059,-13387955
84,CAPEX,- -,- -,- -,- -,- -,- -,-29507,- -,-164571,-11039,-22500,- -,- -,-89108,-162833,-636548,-229591,-638568,-785262,-145436,-266008,-67438,-1063698,-2548695
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-44910,-4347,- -,-399920,399920,- -,- -,- -,- -,-584080,- -,-1786953,-106903,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-74417,-4347,-164571,-410959,377420,- -,- -,-89108,-162833,-1220628,-229591,-2138568,-779762,-145436,-266008,-67438,-1063698,-2548695
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-107802,-1665581
91,Common Stock Issued,- -,- -,- -,- -,- -,586000,211000,9149750,- -,- -,- -,- -,- -,4735000,2101000,3900000,2156264,19114418,7853155,6105127,4233000,2865972,10639728,13756507
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2842,- -
94,Other Financing Activites,3000,4622,400,10000,- -,98980,2740496,- -,4242500,1462420,2660080,2545500,2259500,1845500,- -,10826500,1618896,-4090952,-9576,- -,1650000,2962662,8905428,2613929
95,Cash Used/Provided by Financing Activities,3000,4622,400,10000,- -,684980,2951496,9149750,4242500,1462420,2660080,2545500,2259500,6580500,2101000,14726500,3775160,15023466,7843579,6105127,5883000,5828634,19434512,14704855
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,684980,-191639,29358,1194114,-1200119,111220,76902,-195689,2729676,-2022512,5635519,-4967169,5919052,-2832910,-1519493,-1300217,-1100576,7227755,-1231795
98,Cash at the End of Period,- -,- -,- -,135,- -,193471,1832,31190,1225304,25185,136405,213307,17618,2747294,724782,6360301,1393132,7312184,4479274,2959781,1659564,558988,7786743,6554948
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,193471,1832,31190,1225304,25185,136405,213307,17618,2747294,724782,6360301,1393132,7312184,4479274,2959781,1659564,558988,7786743
100,Free Cash Flow,-3000,-4622,-400,-9865,- -,-491509,-3098226,-9116045,-3048386,-2262619,-2948780,-2468598,-2455189,-3850824,-4123512,-8506901,-8742329,-7604414,-10681989,-7624620,-7183217,-6929210,-12206757,-15936650
101,SEC Link,- -,- -,- -,- -,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/744452/000118811208000146/0001188112-08-000146-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000118811208003373/0001188112-08-003373-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000118811209002644/0001188112-09-002644-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000118811210003342/0001188112-10-003342-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000118811211003443/0001188112-11-003443-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000118811212003634/0001188112-12-003634-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000118811213003587/0001188112-13-003587-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000157104914007249/0001571049-14-007249-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000157104915009962/0001571049-15-009962-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000157104916020376/0001571049-16-020376-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000114420417065635/0001144204-17-065635-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000114420418065023/0001144204-18-065023-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000110465919072186/0001104659-19-072186-index.htm,https://www.sec.gov/Archives/edgar/data/744452/000110465920136828/0001104659-20-136828-index.htm,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,
