,https://roic.ai/company/FTI,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,123492790,94245065,771820735,571219577,430821074,64273812,79262062,82810448,75437868,114100000,456000000,482300000,567800000,349600000,403000000
14,Depreciation and Amortization,108460108,107311238,31998712,40385446,98700000,291668000,311409000,331741000,185337000,210904000,237508566,262549768,321078572,193642772,225520057,257756500,322433649,344496328,378282641,300700000,614700000,550400000,509600000,447200000,291000000
15,EBITDA,994510995,1354701757,261926564,300073257,253200000,309418000,389732000,426428000,347240000,599189000,657559013,1250243617,1615995186,1558850911,1584343205,1306636337,1443425668,1149010166,630944832,988400000,1729500000,-466200000,-1061500000,-2337400000,1097000000
16,EBITDA ratio,0.0892,0.0954,0.0936,0.1075,0.0802,0.0662,0.0658,0.0612,0.0546,0.0655,0.0572,0.1200,0.1747,0.1927,0.1794,0.1204,0.1120,0.0938,0.0558,0.1074,0.1149,-0.0371,-0.0792,-0.1791,0.1713
17,Operating Income,757460757,1099265827,164521680,171497267,253100000,91166000,286139000,350164000,273389000,475260000,389140799,914469471,567654307,817528927,899228825,1074139710,1166146538,883554648,361664444,891600000,1258500000,950100000,1067400000,655200000,87000000
18,Operating Income ratio,0.0679,0.0774,0.0588,0.0614,0.0802,0.0195,0.0483,0.0503,0.0430,0.0520,0.0338,0.0878,0.0614,0.1011,0.1018,0.0990,0.0905,0.0721,0.0320,0.0969,0.0836,0.0757,0.0796,0.0502,0.0136
19,Total Other Income Expenses (Gains),128810129,149297493,65607422,89317580,-98600000,-73416000,-207816000,-255477000,-103557000,-84599000,-90104539,-12250466,-32953178,-26732278,22552006,-85037162,-114888564,-154798385,-172304463,-340200000,-578800000,-2438200000,-3203200000,-3739700000,316000000
20,Income Before Tax,886270886,1248563319,230129102,260814847,154500000,17750000,78323000,94687000,169832000,390661000,299036261,902219005,534701129,790796648,921780831,989102547,1051257975,728756262,189359981,551400000,679700000,-1488100000,-2135800000,-3084500000,403000000
21,Income Before Tax Ratio,0.0795,0.0879,0.0822,0.0934,0.0489,0.0038,0.0132,0.0136,0.0267,0.0427,0.0260,0.0866,0.0578,0.0978,0.1044,0.0912,0.0815,0.0595,0.0168,0.0599,0.0451,-0.1185,-0.1593,-0.2363,0.0629
22,Income Tax expense (Gain),298430298,436633594,56249308,58511937,58300000,48629000,103090000,88320000,51482000,124193000,112411973,269788679,278955814,238595558,270494459,270849314,264160844,190792354,127916384,180300000,545500000,422700000,276300000,153400000,111000000
23,Net Income,587620588,810756925,173678544,201175874,96200000,-30879000,-24767000,6367000,110421000,264092000,184145684,623660105,244140065,555393004,657507615,713756712,777569113,530911037,49307940,393300000,113300000,-1921600000,-2415200000,-3287600000,292000000
24,Net Income ratio,0.0527,0.0571,0.0620,0.0721,0.0305,-0.0066,-0.0042,0.0009,0.0174,0.0289,0.0160,0.0599,0.0264,0.0687,0.0745,0.0658,0.0603,0.0433,0.0044,0.0428,0.0075,-0.1531,-0.1801,-0.2519,0.0456
25,EPS,17.77,25.70,5.51,6.28,3.05,-0.15,-0.13,0.03,0.58,1.25,0.89,2.97,1.15,2.61,3.04,3.25,3.49,2.37,0.21,3.29,0.24,-4.20,-5.39,-7.33,0.65
26,EPS Diluted,17.77,25.70,5.51,6.28,3.01,-0.15,-0.13,0.03,0.57,1.24,0.87,2.96,1.14,2.53,2.86,2.98,3.23,2.22,0.21,3.16,0.24,-4.20,-5.39,-7.33,0.65
27,Weighted Average Shares Outstanding,33065098,31551998,31517074,32058610,33540000,206584000,187456000,189240000,191374912,210941914,207872000,209634000,212518000,212950000,216154000,219764000,222584000,224348000,229774000,119400000,466700000,458000000,448000000,448700000,450700000
28,Weighted Average Shares Outstanding Diluted,33065098,31551998,31517074,32058610,33924000,242600000,221128000,231088000,194435372,212565790,209992000,210652000,214418000,219678000,234998000,248840000,249554000,250542000,229774000,125100000,468300000,458000000,448000000,448700000,450700000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1681459/000168145921000043/0001681459-21-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1681459/000168145922000005/0001681459-22-000005-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,674293000,983633000,940905000,1853716000,3171215000,3501392392,3347579141,3805805490,4130469477,3640334392,3027613934,4475406667,3265723041,3191459121,6269300000,6737400000,5540000000,5190200000,4807800000,1327000000
32,Short-Term Investments,- -,- -,- -,- -,- -,104085000,138292000,1001591000,735545000,38934000,- -,56240777,88257207,53996542,46140885,- -,- -,- -,- -,- -,69900000,- -,91700000,64800000,317000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,778378000,1121925000,1942496000,2589261000,3210149000,3501392392,3403819918,3894062697,4184466019,3686475277,3027613934,4475406667,3265723041,3191459121,6269300000,6807300000,5540000000,5281900000,4872600000,1644000000
34,Net Receivables,- -,- -,- -,- -,- -,762098000,949940000,805716000,837681000,1183861000,1910274542,2141325835,2083787037,2406703019,2485127341,3011214854,3613052004,3761612919,3310738416,3219600000,4265200000,4526800000,4637200000,4590700000,911000000
35,Inventory,- -,- -,- -,- -,- -,84864000,92530000,133022000,119534000,177381000,253254990,314892669,308613674,294587046,329985095,392519904,381534977,432535629,471541338,334700000,987000000,1251200000,1416000000,1268500000,1031000000
36,Other Current Assets,- -,- -,- -,- -,- -,5818976000,8851317000,10224656000,1092371000,1560004000,1093647484,463986413,390423520,763399388,1026764306,522786786,974757657,567391410,350950080,1113600000,917600000,463200000,551300000,712900000,1755000000
37,Total Current Assets,- -,- -,- -,- -,- -,7444316000,11015712000,13105890000,4638847000,6131395000,6758569408,6324024835,6676886928,7649155473,7528352019,6954135478,9444751305,8027262999,7324688955,10937200000,12977100000,11781200000,11886400000,11444700000,5341000000
38,PP&E,- -,- -,- -,- -,- -,904413000,928442000,968404000,912834000,1000936000,1192645837,1315533034,1711416127,1957707142,2991769814,3191472479,3617056533,3041003940,2815144425,2620100000,3871500000,3259800000,4054600000,3906000000,2597000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,3114596000,- -,- -,- -,- -,- -,4354087867,4454831672,4120701396,3802505849,3718300000,8929800000,7607600000,5598300000,2512500000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,2770271000,3139228000,3202139000,2901824000,83147000,3527636433,3353843584,3450340994,3237797579,3517853671,99584733,147200972,131086142,114250104,173700000,1333800000,1176700000,1086600000,981100000,813000000
41,Intangible Assets,- -,- -,- -,- -,- -,2770271000,3139228000,3202139000,2901824000,3197743000,3527636433,3353843584,3450340994,3237797579,3517853671,4453672600,4602032644,4251787538,3916755953,3892000000,10263600000,8784300000,6684900000,3493600000,813000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37762258,46635298,62037939,318526400,381958395,319253048,254632826,553528868,417204207,235400000,272500000,394500000,300400000,358900000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,106515000,146894000,267397612,280368628,377958622,431706344,396993066,397413177,379463669,445060557,470557366,553600000,454700000,232400000,260500000,217900000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,20482000,13201000,26144000,75980000,165107000,24786038,- -,0,- -,-0,- -,- -,- -,- -,441000000,424300000,332300000,332000000,271500000,1269000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,3695166000,4080871000,4196687000,3997153000,4510680000,5050228177,4996380544,5601753682,5945737465,7288574947,8361811305,8853185672,8291380904,7619661951,7742100000,15286600000,13003300000,11632400000,8247900000,4679000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,11139482000,15096583000,17302577000,8636000000,10642075000,11808797586,11320405379,12278640610,13594892938,14816926965,15315946782,18297936977,16318643903,14944350906,18679300000,28263700000,24784500000,23518800000,19692600000,10020000000
48,Accounts Payable,- -,- -,- -,- -,- -,757056000,984513000,1154797000,1157581000,2188624000,2721069590,2371996548,2115020918,2476526134,2767157022,2770650938,3425943826,2812515200,2711827346,3837700000,3958700000,2600300000,2659800000,2740300000,1294000000
49,Short-Term Debt,- -,- -,- -,- -,- -,311939000,284504000,263334000,253742000,245351000,64006299,36055350,40403462,1037371991,840386235,529531568,240962192,311785593,1024533707,683600000,77100000,67400000,770500000,910100000,277000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,294079053,138931425,180955929,193110786,224353574,185812151,403214670,294639817,403209936,461000000,524700000,296200000,316100000,295400000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1154548100,3228893369,2604333868,2011129819,4141800000,3314200000,4085100000,4585100000,4736100000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,254698000,295190000,341224000,3106570000,3723816000,4454342660,4073280062,4697547137,4030855167,3924048992,2730975745,1607059018,1834476385,1958651302,2225800000,2479400000,2381600000,2123000000,2028700000,2280000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,1323693000,1564207000,1759355000,4517893000,6157791000,7239418549,6481331960,6852971517,7544753292,7531592249,7185706351,8502858405,7563111046,7706142173,10888900000,9829400000,9134400000,10138400000,10415200000,3851000000
54,Long-Term Debt,- -,- -,- -,- -,- -,997890000,1135503000,1852686000,1544823000,893109000,952512867,1022078681,1209954725,1452453784,2000518437,2255799191,3318788147,2865654944,1777709750,1869300000,3777900000,4124300000,4661700000,4198700000,1727000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,118823000,187940000,187644889,140323524,138260072,124218646,222927872,249953712,247590378,238581643,191765246,130500000,419700000,209200000,138200000,79500000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,6672556000,9948853000,11253069000,125806000,213542000,226281948,202411115,184537796,214789201,300952628,315417780,464801569,330998589,299783526,746500000,827300000,885700000,892400000,784900000,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,7670446000,11084356000,13105755000,1789452000,1294591000,1366439704,1364813320,1532752593,1791461631,2524398937,2821170683,4031180093,3435235177,2269258522,2746300000,5024900000,5219200000,5692300000,5063100000,1727000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,956800000,1154900000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,8994139000,12648563000,14865110000,6307345000,7452382000,8605858253,7846145279,8385724110,9336214922,10055991187,10006877033,12534038499,10998346223,9975400695,13635200000,14854300000,14353600000,15830700000,15478300000,- -
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,74991000,91021000,99563000,89236000,106772000,119410384,116101011,119491088,111849980,109649407,114000053,119721616,105671482,99271861,114700000,465100000,450500000,447100000,449500000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,727228000,788013000,667276000,729036000,965962000,851910712,1277389537,1537767207,1903444607,2435227788,713756712,777569113,530911037,49307940,3404100000,3448000000,1114200000,-1563100000,-4915200000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,12604000,-2389000,-27498000,-26037000,55564000,-68088705,-158560013,- -,69557122,17367637,2150263179,2371371758,2434456929,2507598452,-1101600000,-1003700000,-1359700000,-1407500000,-1622500000,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,1313400000,1559809000,1684038000,1519969000,2040938000,2272879700,2208285770,2192102699,2144168107,2170565744,2313592721,2471346903,2234909285,2303478888,2638600000,10478500000,10194600000,10182800000,10242400000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,2128223000,2436454000,2423379000,2312204000,3169236000,3176112091,3443216304,3849360995,4229019816,4732810576,5291612664,5740009390,5305948733,4959657140,5055800000,13387900000,10399600000,7659300000,4154200000,- -
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,11122362000,15085017000,17288489000,8619549000,10621618000,11781970344,11289361584,12235085105,13565234739,14788801763,15298489698,18274047889,16304294956,14935057836,18691000000,28242200000,24753200000,23490000000,19632500000,10020000000
69,Minority Interest,- -,- -,- -,- -,- -,17120000,11566000,14088000,16451000,20457000,26827241,31043795,43555505,29658199,28125203,17457085,23889088,14348947,9293071,-11700000,21500000,31300000,28800000,60100000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,11139482000,15096583000,17302577000,8636000000,10642075000,11808797586,11320405379,12278640610,13594892938,14816926965,15315946782,18297936977,16318643903,14944350906,18679300000,28263700000,24784500000,23518800000,19692600000,10020000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1681459/000168145921000043/0001681459-21-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1681459/000168145922000005/0001681459-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,587620588,810756925,173678544,201175874,96200000,-30879000,-24767000,6367000,110421000,264092000,184145684,623660105,244140065,555393004,657507615,713756712,777569113,530911037,49307940,393300000,113300000,-1921600000,-2415200000,-3287600000,292000000
74,Depreciation and Amortization,108460108,107311238,31998712,40385446,98700000,291668000,311409000,331741000,185337000,210904000,237508566,262549768,321078572,193642772,225520057,257756500,322433649,344496328,378282641,300700000,614700000,550400000,509600000,447200000,291000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,14794000,-34315000,-115182177,-27981179,-83672417,-67562176,35642538,69960589,19056036,2188822,-69752695,-172100000,141600000,48800000,-75400000,-6700000,-95000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14434222,36333770,55304029,- -,59620245,- -,- -,- -,- -,- -,- -,- -,- -,- -,34000000
77,Change in Working Capital,-1137071137,-185096886,398024874,112739681,-66757330,6200623000,3330882000,1895030000,-11225581000,-147350000,-454453141,323542016,-18777465,280486771,-107642412,-228330642,1173463773,-477740947,-845605171,429753218,3099400000,-500900000,-898800000,-718500000,460500000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,446587197,- -,- -,- -,- -,- -,- -,-268700000,286800000,-664100000,-39700000,433400000,-73000000
79,Inventory,-187000187,1388009289,-216444118,-244566749,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,172700000,130900000,-339400000,-169600000,82800000,197000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,520946759,- -,- -,- -,- -,- -,- -,115500000,-525800000,-1248700000,26100000,18400000,93000000
81,Other Working Capital,-338910339,-524007224,-125982350,-13242670,-80000000,6120623000,9451505000,11346535000,120954000,-26396000,-480849141,-157307125,-176084589,104402181,-3240231,-231570873,941892900,464151953,-381453218,48300000,3147700000,2646800000,1748000000,1029500000,1490000000
82,Other Non-Cash Items,55110055,-375618992,-318430594,-447469286,-28342670,-6006842000,-3179138000,-1733968000,11972960000,956256000,1337419300,-585117314,390432001,-911022746,-26114312,-225024556,-471704542,-247853683,1177641118,-457853218,-3758300000,1637900000,3728300000,4222500000,-267500000
83,Cash Provided by Operating Activities,-385880386,357352286,285271536,-93168285,99800000,454570000,438386000,499170000,1057931000,1249587000,1203872454,632987165,908504785,50937625,844533731,588118602,1820818029,152001556,689873833,493800000,210700000,-185400000,848500000,656900000,715000000
84,CAPEX,-81400081,-22283208,-8754365,-3944625,-59500000,-130552000,-154258000,-167699000,-201787000,-207473000,-381704988,-558649108,-606911571,-517223035,-462964163,-686248578,-860283355,-456004669,-320665603,-312900000,-255700000,-368100000,-454400000,-291800000,-191000000
85,Acquisitions Net,- -,- -,- -,- -,-925700000,- -,- -,- -,- -,- -,97540350,-20881477,-11605250,-35244048,-765990539,-324014071,-11323152,-71501532,-33564385,3391600000,1479200000,-111600000,13900000,8800000,-15000000
86,Purchases of Investments,- -,- -,- -,- -,- -,-420000,-4149000,- -,-1065000,- -,- -,-139210,-429824,-152546881,-17238027,-4364271,- -,-44627657,-2514596,- -,- -,- -,-71600000,-21800000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,188500000,32769000,2012000,19100000,3077000,- -,28722644,2505777,3008768,26599282,907265,22218108,16708553,29913906,1311963,- -,- -,- -,18900000,51500000,900000000
88,Other Investing Activites,-243210243,32721132,-164219805,-493923399,209000000,117844000,170224000,-18152000,28641000,49229000,-15600624,-12250466,-13754370,-33781088,-19311775,14944322,59653677,55814972,11261015,-281100000,-229200000,-348600000,-381000000,-219100000,-64000000
89,Cash Used for Investing Activites,-243210243,32721132,-164219805,-493923399,-587700000,19641000,13829000,-166751000,-171134000,-158244000,-254275592,-572570092,-614791679,-675355765,-1241267578,-956701140,-762103344,-467678389,-329958673,3110500000,1250000000,-460200000,-419800000,-180600000,821000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-288392844,-68630454,-37681242,-98949328,-978808891,-626206787,-318429120,-166472105,-216255221,-891200000,-888000000,- -,- -,-1002800000,-29000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,75507000,39990000,53362882,99952669,859648,53730549,45104011,153146243,35350327,14227346,103098419,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-1400000,-47684000,-8172000,-30749000,-23788000,-485554000,-125679794,- -,- -,-2925921,- -,-142698442,-55234886,-50829320,- -,-186800000,-58500000,-442600000,-92700000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-45300000,-83709000,-97182000,-175827000,-37872000,-187016000,-400513217,-174151516,-182675225,-190982843,-202320005,-228264607,-256842222,-251106571,-97194586,-111500000,-60600000,-238100000,-232800000,-59200000,- -
94,Other Financing Activites,-111320111,-949381934,-102939253,118338749,726100000,-326643000,-108119000,619458000,-106633000,-8447000,31930249,177910182,158175254,1288203219,1151059555,573571032,1043387003,260348266,85933571,654900000,-47700000,235900000,-458900000,-20200000,-1418000000
95,Cash Used/Provided by Financing Activities,-111320111,-949381934,-102939253,118338749,679400000,-458036000,-213473000,412882000,-92786000,-641027000,-729292723,35080881,-61321566,1049075675,15034670,-270452562,448231103,-193832385,-124417816,-534600000,-1054800000,-444800000,-784400000,-1082200000,-1447000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-13100000,-39596000,-48528000,-11650000,98112000,-166559000,-222199542,-95358744,132385810,174491289,-3240231,-48139233,-195669585,142273457,20663416,21600000,62200000,-107000000,5900000,223500000,-14000000
97,Net Change In Cash,-740410740,-559308517,158987311,-428555328,178400000,-23422000,190214000,733651000,892122000,283757000,-1895403,139210,360479111,597685862,-384939408,-686909832,1314176034,-369059779,255286117,3091300000,468100000,-1197400000,-349800000,-382400000,-3480000000
98,Cash at the End of Period,6725516726,6611310487,1023757534,528861506,679500000,778377000,1121925000,1942496000,2589261000,3171215000,3501392392,3341732327,3805805490,4130469477,3640334392,3027613934,4475406667,3265723041,3191459121,6269300000,6737400000,5540000000,5190200000,4807800000,1327000000
99,Cash at the Beginning of Period,7465927466,7170619004,864770223,957416834,501100000,801799000,931711000,1208845000,1697139000,2887458000,3503287795,3341593117,3445326380,3532783615,4025273799,3714523765,3161230633,3634782820,2936173004,3178000000,6269300000,6737400000,5540000000,5190200000,4807000000
100,Free Cash Flow,-467280467,335069078,276517172,-97112910,40300000,324018000,284128000,331471000,856144000,1042114000,822167466,74338057,301593215,-466285410,381569568,-98129976,960534674,-304003113,369208230,180900000,-45000000,-553500000,394100000,365100000,524000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1681459/000168145921000043/0001681459-21-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1681459/000168145922000005/0001681459-22-000005-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
