,https://roic.ai/company/PAY,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,-53502000,51792000,47213000,79540000,121692000,98066000,-249695000,-54606000,153191000,168260000,307745000,144000000,214500000,272500000,216000000,32500000,- -,24480000,26433000,23667000
16,EBITDA ratio,-0.1810,0.1526,0.1210,0.1639,0.2094,0.1086,-0.2708,-0.0646,0.1530,0.1290,0.1649,0.0846,0.1148,0.1362,0.1084,0.0174,- -,0.1038,0.0876,0.0598
17,Operating Income,-44007000,35584000,44787000,68188000,108309000,35232000,-315825000,46546000,102424000,105710000,165177000,-2000000,-2700000,108200000,74700000,48200000,- -,18371000,18428000,10373000
18,Operating Income ratio,-0.1489,0.1049,0.1148,0.1405,0.1864,0.0390,-0.3426,0.0551,0.1023,0.0811,0.0885,-0.0012,-0.0014,0.0541,0.0375,0.0258,- -,0.0779,0.0611,0.0262
19,Total Other Income Expenses (Gains),-9411000,-23047000,-34210000,-21459000,-16639000,-44530000,-35613000,-175136000,-24179000,-14718000,-96824000,-105000000,-37200000,-35300000,-72900000,-191100000,- -,108000,-64000,-7000
20,Income Before Tax,-53418000,12537000,10577000,46729000,91670000,-9298000,-351438000,-128590000,78245000,90992000,68353000,-107000000,-39900000,72900000,1800000,-142900000,- -,18479000,18364000,10366000
21,Income Before Tax Ratio,-0.1807,0.0369,0.0271,0.0963,0.1578,-0.0103,-0.3812,-0.1522,0.0781,0.0698,0.0366,-0.0629,-0.0213,0.0364,0.0009,-0.0764,- -,0.0784,0.0609,0.0262
22,Income Tax expense (Gain),- -,12296000,4971000,13490000,32159000,24718000,73884000,9246000,-20582000,-191412000,2050000,188000000,-3500000,-7500000,11500000,32500000,- -,4782000,4653000,1066000
23,Net Income,-53502000,241000,5606000,33239000,59511000,-34016000,-425322000,-137836000,98827000,282404000,65033000,-296100000,-38100000,79100000,-9300000,-173900000,- -,13697000,13711000,9300000
24,Net Income ratio,-0.1810,0.0007,0.0144,0.0685,0.1024,-0.0377,-0.4613,-0.1632,0.0987,0.2166,0.0349,-0.1740,-0.0204,0.0395,-0.0047,-0.0929,- -,0.0581,0.0454,0.0235
25,EPS,-0.81,-0.14,0.01,0.57,0.90,-0.41,-5.05,-1.63,1.16,3.06,0.61,-2.73,-0.34,0.69,-0.08,-1.55,- -,0.08,0.07,0.08
26,EPS Diluted,-0.81,-0.14,0.01,0.54,0.86,-0.41,-5.05,-1.63,1.13,2.92,0.59,-2.73,-0.34,0.68,-0.08,-1.55,- -,0.08,0.07,0.08
27,Weighted Average Shares Outstanding,48459000,48869000,50725000,58318000,66217000,82194000,84220000,84473000,85203000,92414000,107006000,108600000,111600000,114000000,110800000,111800000,- -,115860189,115860189,115860189
28,Weighted Average Shares Outstanding Diluted,48459000,48869000,56588000,61460000,68894000,82194000,84220000,84473000,87785000,96616000,110315000,108600000,111600000,115900000,110800000,111800000,- -,115860189,115860189,115860189
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1312073/000110465905061808/0001104659-05-061808-index.htm,https://www.sec.gov/Archives/edgar/data/1312073/000110465906082159/0001104659-06-082159-index.htm,https://www.sec.gov/Archives/edgar/data/1312073/000089161808000411/0000891618-08-000411-index.htm,https://www.sec.gov/Archives/edgar/data/1312073/000095013409000524/0000950134-09-000524-index.html,https://www.sec.gov/Archives/edgar/data/1312073/000119312509257969/0001193125-09-257969-index.html,https://www.sec.gov/Archives/edgar/data/1312073/000119312510285609/0001193125-10-285609-index.html,https://www.sec.gov/Archives/edgar/data/1312073/000131207311000011/0001312073-11-000011-index.html,https://www.sec.gov/Archives/edgar/data/1312073/000131207312000058/0001312073-12-000058-index.html,https://www.sec.gov/Archives/edgar/data/1312073/000131207313000049/0001312073-13-000049-index.html,https://www.sec.gov/Archives/edgar/data/1312073/000131207314000045/0001312073-14-000045-index.html,https://www.sec.gov/Archives/edgar/data/1312073/000131207315000057/0001312073-15-000057-index.html,https://www.sec.gov/Archives/edgar/data/1312073/000131207316000116/0001312073-16-000116-index.html,https://www.sec.gov/Archives/edgar/data/1312073/000131207317000047/0001312073-17-000047-index.html,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1841156/000095017022002823/0000950170-22-002823-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3040000,5877000,12705000,65065000,86564000,215001000,157160000,324996000,445137000,594562000,454072000,268200000,250200000,208900000,148400000,131000000,- -,27427000,46666000,168386000
32,Short-Term Investments,- -,- -,- -,16769000,- -,- -,- -,- -,- -,- -,2667000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,3040000,5877000,12705000,81834000,86564000,215001000,157160000,324996000,445137000,594562000,456739000,268200000,250200000,208900000,148400000,131000000,- -,27427000,46666000,168386000
34,Net Receivables,- -,70118000,77839000,87424000,119839000,194146000,175501000,157357000,132988000,294440000,366887000,284000000,305500000,362000000,323400000,322700000,- -,21365000,30045000,46423000
35,Inventory,- -,40657000,32113000,35520000,86631000,107168000,168360000,95921000,111901000,144316000,178274000,138700000,124300000,129700000,175200000,126600000,- -,- -,- -,- -
36,Other Current Assets,- -,8946000,13756000,20835000,26210000,87267000,61829000,44508000,71065000,127130000,133543000,134100000,105600000,81700000,110400000,138400000,- -,2706000,3117000,41627000
37,Total Current Assets,- -,125598000,136413000,225613000,319244000,603582000,562850000,622782000,761091000,1160448000,1135443000,825000000,785600000,782300000,757400000,718700000,- -,51498000,79828000,256436000
38,PP&E,- -,5378000,5754000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1477000,10094000,9747000
39,Goodwill,- -,- -,- -,- -,52689000,611977000,321903000,150845000,169322000,561414000,1179381000,1252400000,1185900000,1084000000,1110500000,1104400000,- -,13220000,13205000,129413000
40,Intangible Assets,- -,96628000,75458000,66172000,16544000,170073000,92637000,52974000,50121000,263767000,734808000,642900000,457600000,317500000,306300000,236400000,- -,13945000,21259000,72976000
41,Intangible Assets,- -,96628000,75458000,66172000,69233000,782050000,414540000,203819000,219443000,825181000,1914189000,1895300000,1643500000,1401500000,1416800000,1340800000,- -,27165000,34464000,202389000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19589000,- -,- -,- -,- -
43,Tax Assets,- -,3779000,11508000,17705000,21706000,67796000,1276000,4158000,9933000,205496000,215139000,23900000,30400000,35900000,37000000,33100000,- -,319000,270000,163000
44,Other Non-Current Assets,- -,5584000,16486000,19881000,42762000,93881000,101086000,88151000,84859000,122436000,225836000,249500000,242700000,253400000,283600000,210011000,- -,- -,218000,4207000
45,Total Non-Current Assets,- -,111369000,109206000,103758000,133701000,943727000,516902000,296128000,314235000,1153113000,2355164000,2168700000,1916600000,1690800000,1737400000,1603500000,- -,28961000,45046000,216506000
46,Other Assets,248852000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,248852000,236967000,245619000,329371000,452945000,1547309000,1079752000,918910000,1075326000,2313561000,3490607000,2993700000,2702200000,2473100000,2494800000,2322200000,- -,80459000,124874000,472942000
48,Accounts Payable,- -,41243000,43702000,47161000,66685000,105215000,104405000,87094000,64016000,144278000,193062000,116500000,161200000,189400000,154600000,144800000,- -,2173000,16825000,24748000
49,Short-Term Debt,- -,- -,- -,1994000,1985000,5386000,5022000,5699000,5280000,272055000,54916000,92500000,32100000,39100000,66000000,68800000,- -,627000,4142000,3838000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,126000,463000,122000
51,Deferred Revenue,- -,9601000,14152000,17542000,23567000,43049000,47687000,45668000,55264000,68824000,91545000,86600000,92100000,82900000,104800000,101400000,- -,428000,612000,2173000
52,Other Current Liabilities,- -,82131000,53157000,46475000,60431000,153117000,109420000,107192000,135246000,218123000,230867000,292100000,207000000,229900000,213400000,227300000,- -,6717000,9532000,43674000
53,Total Current Liabilities,- -,132975000,111011000,113172000,152668000,306767000,266534000,245653000,259806000,703280000,570390000,587700000,492400000,541300000,538800000,542300000,- -,9945000,31111000,74433000
54,Long-Term Debt,- -,52316000,259879000,180812000,190904000,547766000,543357000,504165000,468231000,211756000,1252701000,943300000,851000000,760200000,859900000,762000000,- -,- -,5888000,7346000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,18294000,22343000,31467000,37062000,42600000,51000000,55300000,66500000,61800000,- -,- -,- -,1713000
56,Deferred Tax Liabilities,- -,40000,1726000,- -,859000,87142000,68928000,68084000,62081000,92594000,214537000,176000000,136100000,102900000,99400000,97500000,- -,1910000,3499000,3318000
57,Other Non-Current Liabilities,- -,90777000,8390000,8849000,9773000,22225000,56721000,48264000,55403000,78971000,70440000,92500000,101000000,78900000,76800000,76200000,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,143133000,269995000,189661000,201536000,657133000,669006000,638807000,608058000,414788000,1574740000,1254400000,1139100000,997300000,1102600000,997500000,- -,1910000,9387000,12377000
59,Other Liabilities,281511000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,627000,10030000,11184000
61,Total Liabilities,281511000,276108000,381006000,302833000,354204000,963900000,935540000,884460000,867864000,1118068000,2145130000,1842100000,1631500000,1538600000,1641400000,1539800000,- -,11855000,40498000,86810000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,543000,564000,676000,682000,841000,845000,845000,868000,1058000,1081000,1100000,1100000,1100000,1100000,1100000,- -,517000,517000,12000
64,Retained Earnings,- -,-39869000,-136218000,-102979000,-43468000,-77484000,-504173000,-642009000,-551460000,-269056000,-204023000,-500100000,-538200000,-535700000,-618300000,-792200000,- -,41336000,55047000,29935000
65,Other Comprehensive Income/Loss,- -,-1670000,-4114000,-6883000,-14186000,-16151000,-26136000,-36918000,-46056000,-60295000,-106688000,-152989000,-202243000,-213526000,-243127000,-221574000,- -,149000,216000,168000
66,Other Total Stockholders Equity,- -,1855000,4381000,135724000,155713000,673716000,671618000,710131000,802672000,1522486000,1617425000,1766589000,1773143000,1647726000,1674027000,1767174000,- -,26602000,28596000,356017000
67,Total Stockholders Equity,-32659000,-39141000,-135387000,26538000,98741000,580922000,142154000,32049000,206024000,1194193000,1307795000,1114600000,1033800000,899600000,813700000,754500000,- -,68604000,84376000,386132000
68,Total Liabilities And Stockholders Equity,248852000,236967000,245619000,329371000,452945000,1544822000,1077694000,916509000,1073888000,2312261000,3452925000,2956700000,2665300000,2438200000,2455100000,2294300000,- -,80459000,124874000,472942000
69,Minority Interest,- -,- -,- -,- -,- -,2487000,2058000,2401000,1438000,1300000,37682000,37000000,36900000,34900000,39700000,27900000,- -,- -,- -,- -
70,Total Liabilities & Equity,248852000,236967000,245619000,329371000,452945000,1547309000,1079752000,918910000,1075326000,2313561000,3490607000,2993700000,2702200000,2473100000,2494800000,2322200000,- -,80459000,124874000,472942000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1312073/000110465905061808/0001104659-05-061808-index.htm,https://www.sec.gov/Archives/edgar/data/1312073/000110465906082159/0001104659-06-082159-index.htm,https://www.sec.gov/Archives/edgar/data/1312073/000089161808000411/0000891618-08-000411-index.htm,https://www.sec.gov/Archives/edgar/data/1312073/000095013409000524/0000950134-09-000524-index.html,https://www.sec.gov/Archives/edgar/data/1312073/000119312509257969/0001193125-09-257969-index.html,https://www.sec.gov/Archives/edgar/data/1312073/000119312510285609/0001193125-10-285609-index.html,https://www.sec.gov/Archives/edgar/data/1312073/000131207311000011/0001312073-11-000011-index.html,https://www.sec.gov/Archives/edgar/data/1312073/000131207312000058/0001312073-12-000058-index.html,https://www.sec.gov/Archives/edgar/data/1312073/000131207313000049/0001312073-13-000049-index.html,https://www.sec.gov/Archives/edgar/data/1312073/000131207314000045/0001312073-14-000045-index.html,https://www.sec.gov/Archives/edgar/data/1312073/000131207315000057/0001312073-15-000057-index.html,https://www.sec.gov/Archives/edgar/data/1312073/000131207316000116/0001312073-16-000116-index.html,https://www.sec.gov/Archives/edgar/data/1312073/000131207317000047/0001312073-17-000047-index.html,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1841156/000095017022002823/0000950170-22-002823-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,241000,5606000,33239000,59511000,-34016000,-425322000,-137836000,98827000,282404000,65033000,-296100000,-38100000,79100000,-9300000,-173900000,- -,13697000,13711000,9300000
74,Depreciation and Amortization,- -,26799000,24039000,18025000,16405000,70766000,73330000,61503000,46602000,48318000,177832000,207800000,213600000,169400000,179200000,140700000,- -,6001000,8069000,13295000
75,Deferred Income Tax,- -,1131000,-8097000,-9853000,-5737000,9203000,58352000,1725000,-15439000,-227034000,-22030000,142900000,-38000000,-31600000,-14000000,800000,- -,1279000,1638000,-660000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,22873000,21066000,34144000,44554000,48900000,53900000,42300000,42300000,40000000,- -,1585000,1994000,3136000
77,Change in Working Capital,- -,-18868000,32779000,87039000,54135000,130239000,-499000,80813000,124156000,-44117000,107885000,-327753000,55900000,-52200000,-22400000,-42200000,- -,-5051000,7306000,-8850000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,13034000,37405000,-72386000,-53945000,84300000,-29500000,-75400000,59600000,-11600000,- -,-5070000,-8689000,-14736000
79,Inventory,- -,-414000,8544000,-3407000,-51983000,45133000,-60567000,72544000,-14373000,23224000,-19274000,26800000,9500000,-16400000,-45700000,30400000,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,5906000,-26636000,29461000,31802000,-77000000,47400000,41200000,-39600000,-7500000,- -,-596000,14636000,7380000
81,Other Working Capital,- -,-7377000,25402000,112441000,166576000,296815000,296316000,377129000,501285000,457168000,565053000,237300000,293200000,241000000,218600000,176400000,- -,-323000,184000,474000
82,Other Non-Cash Items,- -,469000,-21110000,-87850000,-107567000,-86922000,285511000,173531000,-119186000,80858000,-155311000,460753000,-48200000,42300000,17900000,200500000,- -,- -,2902000,3272000
83,Cash Provided by Operating Activities,- -,9772000,33217000,40600000,16747000,89270000,-8628000,202609000,156026000,174573000,217963000,236500000,199100000,249300000,193700000,165900000,- -,17511000,35620000,19493000
84,CAPEX,- -,-2196000,-2430000,-3121000,-5665000,-30725000,-22051000,-12054000,-11578000,-14811000,-63181000,-77500000,-85000000,-106400000,-105300000,-67300000,- -,-12527000,-14847000,-20409000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1370000,-290000,-57400000
86,Purchases of Investments,- -,- -,- -,-23952000,-125034000,-5700000,- -,-2721000,-5000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,7200000,141869000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-8216000,-2843000,-15131000,-15195000,-275271000,-15753000,-1220000,-8521000,-48358000,-1054853000,-67200000,7100000,-22000000,-169900000,-5400000,- -,-11487000,-14389000,-19430000
89,Cash Used for Investing Activites,- -,-10412000,-5273000,-35004000,-4025000,-311696000,-37804000,-15995000,-25099000,-63169000,-1118034000,-144700000,-77900000,-128400000,-275200000,-72700000,- -,-13897000,-15137000,-77809000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-33763000,-14606000,-10233000,-898495000,-399100000,-1260800000,-198300000,-453000000,-385700000,- -,-282000,-323000,-272000
91,Common Stock Issued,- -,49000,46000,137703000,3056000,37116000,3026000,- -,12797000,48534000,30308000,11100000,35400000,13200000,5100000,- -,- -,59000,- -,274595000
92,Common Stock Repurchased,- -,- -,-86184000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-70100000,-79900000,- -,- -,- -,- -,-23013000
93,Dividends Paid,- -,- -,-97432000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34412000
94,Other Financing Activites,- -,3121000,162019000,-90825000,4778000,312804000,-5271000,9211000,-8573000,373000,1636333000,110500000,1097300000,121600000,552200000,273300000,- -,-634000,-1035000,-3411000
95,Cash Used/Provided by Financing Activities,- -,3170000,-21551000,46878000,7834000,349920000,-2245000,-24552000,-10382000,38674000,768146000,-277500000,-128100000,-133600000,24400000,-112400000,- -,-857000,-1358000,213487000
96,Effect of Forex Changes on Cash,- -,307000,435000,-114000,943000,943000,-9164000,5774000,-404000,-653000,-8565000,-200000,-11100000,-28600000,-3400000,3700000,- -,36000,114000,-8000
97,Net Change In Cash,- -,2837000,6828000,52360000,21499000,128437000,-57841000,167836000,120141000,149425000,-140490000,-185900000,-18000000,-41300000,-60500000,-15500000,- -,2793000,19239000,155163000
98,Cash at the End of Period,- -,5877000,12705000,65065000,86564000,215001000,157160000,324996000,445137000,594562000,454072000,268200000,250200000,208900000,148400000,143700000,- -,27427000,46666000,201829000
99,Cash at the Beginning of Period,- -,3040000,5877000,12705000,65065000,86564000,215001000,157160000,324996000,445137000,594562000,454100000,268200000,250200000,208900000,159200000,- -,24634000,27427000,46666000
100,Free Cash Flow,- -,7576000,30787000,37479000,11082000,58545000,-30679000,190555000,144448000,159762000,154782000,159000000,114100000,142900000,88400000,98600000,- -,4984000,20773000,-916000
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1312073/000110465905061808/0001104659-05-061808-index.htm,https://www.sec.gov/Archives/edgar/data/1312073/000110465906082159/0001104659-06-082159-index.htm,https://www.sec.gov/Archives/edgar/data/1312073/000089161808000411/0000891618-08-000411-index.htm,https://www.sec.gov/Archives/edgar/data/1312073/000095013409000524/0000950134-09-000524-index.html,https://www.sec.gov/Archives/edgar/data/1312073/000119312509257969/0001193125-09-257969-index.html,https://www.sec.gov/Archives/edgar/data/1312073/000119312510285609/0001193125-10-285609-index.html,https://www.sec.gov/Archives/edgar/data/1312073/000131207311000011/0001312073-11-000011-index.html,https://www.sec.gov/Archives/edgar/data/1312073/000131207312000058/0001312073-12-000058-index.html,https://www.sec.gov/Archives/edgar/data/1312073/000131207313000049/0001312073-13-000049-index.html,https://www.sec.gov/Archives/edgar/data/1312073/000131207314000045/0001312073-14-000045-index.html,https://www.sec.gov/Archives/edgar/data/1312073/000131207315000057/0001312073-15-000057-index.html,https://www.sec.gov/Archives/edgar/data/1312073/000131207316000116/0001312073-16-000116-index.html,https://www.sec.gov/Archives/edgar/data/1312073/000131207317000047/0001312073-17-000047-index.html,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1841156/000095017022002823/0000950170-22-002823-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
