,https://roic.ai/company/CSSEP,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1679063/000114420418018323/0001144204-18-018323-index.htm,https://www.sec.gov/Archives/edgar/data/1679063/000114420419029729/0001144204-19-029729-index.htm,https://www.sec.gov/Archives/edgar/data/1679063/000155837020003353/0001558370-20-003353-index.htm,https://www.sec.gov/Archives/edgar/data/1679063/000155837021003814/0001558370-21-003814-index.htm,https://www.sec.gov/Archives/edgar/data/1679063/000155837022004926/0001558370-22-004926-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,781133,22789498,-844972,-31671869,-40409977,-50479642
74,Depreciation and Amortization,3155668,4362087,9538863,24186134,45257578,48777684
75,Deferred Income Tax,439000,-182000,373000,452000,- -,- -
76,Stock Based Compensation,1542044,638258,953688,1061926,1131515,5247807
77,Change in Working Capital,-8821889,16376318,-731075,-11537717,11248783,90669693
78,Accounts Receivable,-151417,-5613851,-5989864,-24489719,5488150,-19626535
79,Inventory,- -,-25656,106896,-49965,- -,- -
80,Accounts Payable,671338,-596193,3366143,24165978,-5637040,- -
81,Other Working Capital,-1526090,14850228,14119153,2581436,13830219,104499912
82,Other Non-Cash Items,424571,-54214380,-17050216,-1189237,-35273381,-124585161
83,Cash Provided by Operating Activities,-2479473,-10230219,-7760712,-18698763,-18045482,-30369619
84,CAPEX,-5000000,- -,- -,- -,-5465407,-3211590
85,Acquisitions Net,- -,-4683814,190587,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,679462,- -
88,Other Investing Activites,-4260961,-4756112,-4340458,-6428996,1993780,-13770552
89,Cash Used for Investing Activites,-4260961,-9439926,-4149871,-6428996,-2792165,-15376347
90,Debt Repayment,-1050000,-10887000,-2283334,-1466667,-17700000,-5649459
91,Common Stock Issued,1075809,28316748,- -,160161,5899623,95310813
92,Common Stock Repurchased,- -,- -,-632729,- -,- -,-12569678
93,Dividends Paid,- -,- -,-6108912,-3304947,-4142376,-8688580
94,Other Financing Activites,7217794,3905196,25964331,28984856,45065724,6894877
95,Cash Used/Provided by Financing Activities,7243603,21334944,16939356,24373403,29122971,75297973
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,1372
97,Net Change In Cash,503169,1664799,5028773,-754356,8285324,29553379
98,Cash at the End of Period,507247,2172046,7201758,6447402,14732726,44286105
99,Cash at the Beginning of Period,4078,507247,2172985,7201758,6447402,14732726
100,Free Cash Flow,-7479473,-10230219,-7760712,-18698763,-23510889,-33581209
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1679063/000114420418018323/0001144204-18-018323-index.htm,https://www.sec.gov/Archives/edgar/data/1679063/000114420419029729/0001144204-19-029729-index.htm,https://www.sec.gov/Archives/edgar/data/1679063/000155837020003353/0001558370-20-003353-index.htm,https://www.sec.gov/Archives/edgar/data/1679063/000155837021003814/0001558370-21-003814-index.htm,https://www.sec.gov/Archives/edgar/data/1679063/000155837022004926/0001558370-22-004926-index.htm
102,false,,,,,,
