,https://roic.ai/company/TCEHY,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,47304000,5385000,1589000,- -,1953000,- -,- -,326562000,394000000,866000000,1510000000,2167000000,3060000000,4898000000,7690000000,7449000000,7114000000
14,Depreciation and Amortization,- -,- -,- -,134362000,192612000,360180000,537773000,782995000,1939407000,2620240000,3606000000,4818000000,6674000000,12741000000,23611000000,34248000000,44673000000,50774000000,- -
15,EBITDA,338209000,469236000,484359000,1256518000,1726716000,3434002000,6514492000,10634544000,14016728000,17944836000,23220000000,34619000000,44098000000,66196000000,113925000000,132347000000,159185000000,237967000000,252188000000
16,EBITDA ratio,0.4602,0.4103,0.3396,0.4487,0.4519,0.4800,0.5237,0.5413,0.4919,0.4088,0.3842,0.4386,0.4287,0.4357,0.4792,0.4232,0.4219,0.4936,0.4502
17,Operating Income,336205000,459824000,484359000,1163305000,1635026000,3245974000,6020478000,9838213000,12253550000,15479413000,19194000000,30542000000,40627000000,56117000000,90302000000,97648000000,118694000000,184237000000,271620000000
18,Operating Income ratio,0.4574,0.4021,0.3396,0.4154,0.4279,0.4537,0.4840,0.5008,0.4300,0.3527,0.3176,0.3869,0.3950,0.3693,0.3798,0.3123,0.3146,0.3822,0.4849
19,Total Other Income Expenses (Gains),2004000,9412000,-47304000,-46534000,-100523000,-141079000,20253000,74920000,-154481000,-428398000,87000000,-1529000000,-4411000000,-4477000000,-2087000000,-3182000000,-9294000000,-4215000000,-23558000000
20,Income Before Tax,338209000,469236000,437055000,1116771000,1534503000,3104895000,6040731000,9913133000,12099069000,15051015000,19281000000,29013000000,36216000000,51640000000,88215000000,94466000000,109400000000,180022000000,248062000000
21,Income Before Tax Ratio,0.4602,0.4103,0.3064,0.3988,0.4016,0.4340,0.4856,0.5046,0.4246,0.3429,0.3190,0.3676,0.3521,0.3399,0.3710,0.3021,0.2900,0.3734,0.4429
22,Income Tax expense (Gain),16013000,22534000,-48307000,52971000,-33505000,289245000,819120000,1797924000,1874238000,2266163000,3718000000,5125000000,7108000000,10193000000,15744000000,14482000000,13512000000,19897000000,20252000000
23,Net Income,322196000,446702000,485362000,1063800000,1566020000,2784577000,5155646000,8053625000,10203083000,12731871000,15502000000,23810000000,28806000000,41095000000,71510000000,78719000000,93310000000,159847000000,224822000000
24,Net Income ratio,0.4384,0.3906,0.3403,0.3799,0.4099,0.3892,0.4144,0.4099,0.3581,0.2901,0.2565,0.3017,0.2800,0.2705,0.3008,0.2517,0.2473,0.3316,0.4014
25,EPS,0.05,0.06,0.05,0.12,0.18,0.31,0.57,0.89,1.12,1.39,1.69,2.58,3.10,4.38,7.60,8.34,9.86,16.84,23.60
26,EPS Diluted,0.05,0.06,0.05,0.12,0.17,0.30,0.56,0.87,1.10,1.37,1.66,2.54,3.06,4.33,7.50,8.23,9.64,16.52,23.16
27,Weighted Average Shares Outstanding,6602377049,7622901024,8856970803,8821685000,8899530000,8968885000,9008230000,9084770000,9094830000,9139430000,9160000000,9231000000,9300000000,9376000000,9411000000,9444000000,9468000000,9490000000,9528000000
28,Weighted Average Shares Outstanding Diluted,6602377049,7782264808,9089176030,9092675000,9184820000,9193985000,9236425000,9304915000,9292730000,9316450000,9340000000,9357000000,9430000000,9494000000,9536000000,9568000000,9603000000,9650000000,9696000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,325586000,859841000,1576044000,1844320000,2948757000,3067928000,6043696000,10408257000,12612140000,13383398000,20228000000,42713000000,43438000000,71902000000,105697000000,97814000000,132991000000,152798000000,167966000000
32,Short-Term Investments,- -,666900000,383887000,430168000,266495000,1730847000,- -,11725743000,13716040000,13805675000,19623000000,10798000000,37331000000,50320000000,36724000000,69093000000,54025000000,75080000000,94386000000
33,Cash and Short-Term Investments,325586000,1526741000,1959931000,2274488000,3215252000,4798775000,6043696000,22134000000,26328180000,27189073000,39851000000,53511000000,80769000000,122222000000,142421000000,166907000000,187016000000,227878000000,262352000000
34,Net Receivables,99726000,- -,222754000,399337000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,2647000,2466000,1701000,5483000,- -,- -,- -,568084000,1384000000,244000000,222000000,263000000,295000000,324000000,718000000,814000000,1063000000
36,Other Current Assets,59265000,1027126000,478295000,1058143000,1618179000,1691603000,7113246000,3239741000,9175308000,8751991000,12451000000,21566000000,74387000000,26669000000,35730000000,49849000000,66234000000,88955000000,221397000000
37,Total Current Assets,484577000,2553867000,2663627000,3734434000,4835132000,6495861000,13156942000,25373741000,35503488000,36509148000,53686000000,75321000000,155378000000,149154000000,178446000000,217080000000,253968000000,317647000000,484812000000
38,PP&E,80139000,142080000,365047000,573589000,988284000,2040945000,2658269000,3679771000,6043608000,7936457000,10734000000,11748000000,14221000000,18574000000,26760000000,39970000000,61606000000,77711000000,88305000000
39,Goodwill,- -,- -,- -,27467000,35198000,- -,62234000,- -,- -,2928919000,2552000000,6356000000,7155000000,22927000000,23608000000,32605000000,93456000000,108623000000,- -
40,Intangible Assets,- -,- -,21432000,128120000,635494000,406360000,206479000,802871000,4010891000,3160047000,3262000000,4355000000,11676000000,22656000000,28800000000,44803000000,66744000000,82320000000,189104000000
41,Intangible Assets,- -,- -,21432000,155587000,670692000,406360000,268713000,802871000,4010891000,6088966000,5814000000,10711000000,18831000000,45583000000,52408000000,77408000000,160200000000,190943000000,189104000000
42,Investments,- -,-499526000,280654000,56440000,-129665000,-1428135000,- -,-6453690000,-4972460000,-827410000,5071000000,56614000000,73953000000,115545000000,240234000000,295611000000,378412000000,609217000000,671243000000
43,Tax Assets,- -,- -,96362000,130522000,287652000,334164000,301016000,219019000,198058000,168906000,431000000,322000000,757000000,7033000000,9793000000,15755000000,18209000000,21348000000,26068000000
44,Other Non-Current Assets,11000000,666900000,- -,- -,332909000,2006362000,1120825000,12208402000,16020780000,25379744000,31499000000,16450000000,43678000000,60010000000,47031000000,77697000000,81591000000,116559000000,152832000000
45,Total Non-Current Assets,91139000,309454000,763495000,916138000,2149872000,3359696000,4348823000,10456373000,21300877000,38746663000,53549000000,95845000000,151440000000,246745000000,376226000000,506441000000,700018000000,1015778000000,1127552000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,575716000,2863321000,3427122000,4650572000,6985004000,9855557000,17505765000,35830114000,56804365000,75255811000,107235000000,171166000000,306818000000,395899000000,554672000000,723521000000,953986000000,1333425000000,1612364000000
48,Accounts Payable,59301000,2506000,25555000,38934000,117062000,244647000,696511000,1380464000,2244114000,4211733000,6680000000,8683000000,15700000000,27413000000,50085000000,73735000000,80690000000,94030000000,109470000000
49,Short-Term Debt,- -,145000,- -,- -,292184000,- -,202322000,5298947000,- -,1077108000,2589000000,5049000000,15903000000,15744000000,20448000000,40554000000,36508000000,18064000000,24449000000
50,Tax Payable,7115000,5648000,28766000,65187000,205879000,47307000,302194000,566291000,888224000,959967000,1911000000,1027000000,2070000000,5964000000,9642000000,11259000000,10978000000,14283000000,14746000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,43470000,208432000,472344000,828913000,1240371000,1846950000,3664246000,6342634000,18939234000,15376155000,23998000000,36303000000,92803000000,58040000000,81207000000,88146000000,122958000000,156985000000,269179000000
53,Total Current Liabilities,102771000,211083000,497899000,867847000,1649617000,2091597000,4563079000,13022045000,21183348000,20664996000,33267000000,50035000000,124406000000,101197000000,151740000000,202435000000,240156000000,269079000000,403098000000
54,Long-Term Debt,- -,- -,- -,48148000,- -,- -,- -,- -,- -,9622409000,12464000000,30535000000,50014000000,93753000000,111457000000,138735000000,196012000000,244400000000,299027000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3478000000,3004000000,2038000000,2391000000,7077000000,7334000000,6678000000,4526000000
56,Deferred Tax Liabilities,988000,- -,810000,16821000,59944000,78368000,369983000,967211000,939534000,1311562000,1441000000,2942000000,3668000000,5153000000,5975000000,10964000000,12841000000,16061000000,13142000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,566260000,274050000,- -,5593139000,1508578000,1600000000,2052000000,3626000000,7511000000,6016000000,8103000000,8819000000,19164000000,15878000000
58,Total Non-Current Liabilities,988000,- -,810000,64969000,59944000,644628000,644033000,967211000,6532673000,12442549000,15505000000,39007000000,60312000000,108455000000,125839000000,164879000000,225006000000,286303000000,332573000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11707000000,14020000000,21947000000
61,Total Liabilities,103759000,211083000,498709000,932816000,1709561000,2736225000,5207112000,13989256000,27716021000,33107545000,48772000000,89042000000,184718000000,209652000000,277579000000,367314000000,465162000000,555382000000,735671000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,192000,194000,195000,197000,198000,198000,199000,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,1155459000,2059541000,3413823000,5938930000,10520453000,17795225000,26710368000,38269085000,52224000000,74062000000,100012000000,136743000000,202682000000,299660000000,384651000000,538464000000,669911000000
65,Other Comprehensive Income/Loss,- -,- -,- -,-204960000,-343405000,-575495000,-904474000,-1525264000,-2659454000,-4213798000,-6019000000,-8508000000,-11001000000,-13786000000,-17064000000,-23049000000,-33067000000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,1862983000,2113201000,1657296000,2562331000,5486787000,4412722000,7242021000,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,471957000,2652238000,2928413000,3717756000,5183813000,7020926000,12178507000,21756946000,28463834000,41297507000,57945000000,80013000000,120035000000,174624000000,256074000000,323510000000,432706000000,703984000000,806299000000
68,Total Liabilities And Stockholders Equity,575716000,2863321000,3427122000,4650572000,6893374000,9757151000,17385619000,35746202000,56179855000,74405052000,106717000000,169055000000,304753000000,384276000000,533653000000,690824000000,897868000000,1259366000000,1541970000000
69,Minority Interest,- -,- -,- -,- -,91630000,98406000,120146000,83912000,624510000,850759000,518000000,2111000000,2065000000,11623000000,21019000000,32697000000,56118000000,74059000000,70394000000
70,Total Liabilities & Equity,575716000,2863321000,3427122000,4650572000,6985004000,9855557000,17505765000,35830114000,56804365000,75255811000,107235000000,171166000000,306818000000,395899000000,554672000000,723521000000,953986000000,1333425000000,1612364000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,322196000,446702000,485362000,1063800000,1566020000,2784577000,5155646000,8053625000,10203083000,12731871000,15502000000,23810000000,28806000000,41095000000,71510000000,78719000000,93310000000,159847000000,224822000000
74,Depreciation and Amortization,- -,- -,- -,134362000,192612000,360180000,537773000,782995000,1939407000,2620240000,3606000000,4818000000,6674000000,12741000000,23611000000,34248000000,44673000000,50774000000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,77736000,101433000,160507000,321422000,495772000,732691000,904792000,1168000000,1802000000,2756000000,4313000000,6137000000,7869000000,10127000000,12634000000,- -
77,Change in Working Capital,- -,- -,- -,285340000,-247898000,201547000,2105991000,2348616000,1177251000,3507975000,5915000000,5555000000,6389000000,10967000000,23663000000,4896000000,15330000000,27423000000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,181000,765000,-3782000,5483000,- -,- -,-300896000,-815000000,1300000000,-17000000,-38000000,-39000000,-29000000,-394000000,-95000000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,30213000,-654278000,508144000,-53780000,-76463000,72816000,277533000,638285000,-694325000,-335421000,-1817000000,-3274000000,806000000,-3598000000,-18781000000,-19289000000,-14850000000,-56559000000,-49636000000
83,Cash Provided by Operating Activities,352409000,-207576000,993506000,1507458000,1535704000,3579627000,8398365000,12319293000,13358107000,19429457000,24374000000,32711000000,45431000000,65518000000,106140000000,106443000000,148590000000,194119000000,175186000000
84,CAPEX,-59459000,-90536000,-264102000,-347638000,-791247000,-1404376000,-820774000,-2059413000,-4840571000,-4838726000,-6081000000,-6639000000,-13105000000,-18754000000,-32004000000,-54061000000,-56988000000,-66599000000,- -
85,Acquisitions Net,- -,- -,-13517000,-55076000,-180132000,-16669000,-148557000,-268852000,-5197306000,-3991946000,-4103000000,-34959000000,-14478000000,-9040000000,-39903000000,-43106000000,-15385000000,-43654000000,- -
86,Purchases of Investments,- -,-165778000,-116993000,-20367000,-134413000,-1823510000,-411294000,-2762206000,-9686347000,-556564000,-3651000000,-4622000000,-13001000000,-33556000000,-48711000000,-71810000000,-49252000000,-72785000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,222089000,421296000,68346000,456072000,5989298000,18531774000,15950000000,28224000000,62033000000,43956000000,91866000000,79705000000,99573000000,54619000000,- -
88,Other Investing Activites,35571000,-738842000,375943000,-463366000,252291000,237358000,-3744466000,-7951791000,-2414157000,-26596586000,-22542000000,-12735000000,-92719000000,-63884000000,-87536000000,-96959000000,-128340000000,-86065000000,-178549000000
89,Cash Used for Investing Activites,-23888000,-995156000,-10551000,-862729000,-434247000,-2514533000,-5024795000,-12014997000,-15354758000,-16270208000,-19134000000,-28388000000,-63605000000,-70923000000,-96392000000,-151913000000,-116170000000,-181955000000,-178549000000
90,Debt Repayment,- -,- -,- -,- -,- -,-292184000,- -,-202322000,-3765941000,-8024071000,-2314000000,-4065000000,-4117000000,-20317000000,-21181000000,-28405000000,-90691000000,-34871000000,- -
91,Common Stock Issued,- -,1765695000,8228000,34054000,104090000,89442000,165448000,199249000,159729000,238493000,308000000,299000000,169000000,225000000,171000000,525000000,272000000,1716000000,- -
92,Common Stock Repurchased,- -,- -,-123086000,-241078000,-107254000,-409395000,-178188000,-477741000,-1485747000,-141766000,-1603000000,-590000000,-652000000,-1936000000,-2232000000,-2750000000,-2452000000,-1865000000,- -
93,Dividends Paid,-10334000,-28790000,-132181000,-145402000,-210211000,-257803000,-554604000,-639264000,-838290000,-1107889000,-1468000000,-1761000000,-2640000000,-3699000000,-5052000000,-6776000000,-8315000000,-10339000000,- -
94,Other Financing Activites,-37855000,82000,- -,- -,292184000,- -,170234000,5232224000,10303273000,6649255000,6785000000,24467000000,25768000000,57170000000,54892000000,72786000000,102858000000,59006000000,21620000000
95,Cash Used/Provided by Financing Activities,-48189000,1736987000,-247039000,-352426000,78809000,-869940000,-397110000,4112146000,4373024000,-2385978000,1708000000,18350000000,18528000000,31443000000,26598000000,35380000000,1672000000,13647000000,21620000000
96,Effect of Forex Changes on Cash,- -,- -,-19713000,-24027000,-75829000,-75983000,-692000,-51881000,-172490000,-2013000,-103000000,-188000000,371000000,2426000000,-2551000000,2207000000,1085000000,-6004000000,-3089000000
97,Net Change In Cash,280332000,534255000,716203000,268276000,1104437000,119171000,2975768000,4364561000,2203883000,771258000,6845000000,22485000000,725000000,28464000000,33795000000,-7883000000,35177000000,19807000000,15168000000
98,Cash at the End of Period,325586000,859841000,1576044000,1844320000,2948757000,3067928000,6043696000,10408257000,12612140000,13383398000,20228000000,42713000000,43438000000,71902000000,105697000000,97814000000,132991000000,152798000000,167966000000
99,Cash at the Beginning of Period,45254000,325586000,859841000,1576044000,1844320000,2948757000,3067928000,6043696000,10408257000,12612140000,13383000000,20228000000,42713000000,43438000000,71902000000,105697000000,97814000000,132991000000,152798000000
100,Free Cash Flow,292950000,-298112000,729404000,1159820000,744457000,2175251000,7577591000,10259880000,8517536000,14590731000,18293000000,26072000000,32326000000,46764000000,74136000000,52382000000,91602000000,127520000000,175186000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.1208,0.1208,0.1239,0.1281,0.1369,0.1466,0.1465,0.1517,0.1589,0.1605,0.1652,0.1611,0.154,0.1439,0.1537,0.1453,0.1436,0.1532,0.1572
