,https://roic.ai/company/CREX,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,-2810937,-4000435,-4318334,-11315022,-21312468,-10253000,-7855000,-6712000,-5399000,-3572000,-4886000,-7290000,-4557000,-6100000,-4482000,-110000,-16082000,-2549000
18,Operating Income ratio,-2.6173,-5.6327,-1.3729,-1.8906,-2.8873,-2.0469,-0.9169,-0.7237,-0.8053,-0.5251,-0.3641,-0.6355,-0.3333,-0.3447,-0.1994,-0.0035,-0.9212,-0.1383
19,Total Other Income Expenses (Gains),-4312,13800,-367102,-712567,-3035417,-50000,- -,- -,-7000,-25000,1087000,-319000,-1718000,-889000,-6536000,1241000,-920000,2803000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,-5406000,-3597000,-3799000,-7609000,-6275000,-6989000,-11018000,1131000,-17002000,254000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,-0.8064,-0.5288,-0.2831,-0.6633,-0.4589,-0.3949,-0.4902,0.0358,-0.9739,0.0138
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,358000,-365000,-39000,-398000,93000,-158000,22000
23,Net Income,-3339370,-4789925,-14787737,-10086385,-20692361,-10183000,-7883000,-6738000,-5406000,-3597000,-3799000,-7967000,-5910000,-6950000,-10620000,1038000,-16844000,232000
24,Net Income ratio,-3.1093,-6.7443,-4.7014,-1.6853,-2.8033,-2.0329,-0.9202,-0.7265,-0.8064,-0.5288,-0.2831,-0.6945,-0.4322,-0.3927,-0.4725,0.0329,-0.9649,0.0126
25,EPS,-1030.51,-1077.01,-1456.51,-123.00,-211.50,-100.50,-66.00,-51.00,-34.20,-18.90,-4.20,-5.10,-2.70,-3.00,-4.14,0.11,-1.65,0.02
26,EPS Diluted,-1030.51,-1077.01,-1456.51,-123.00,-211.50,-100.50,-66.00,-51.00,-34.20,-18.90,-4.30,-5.10,-2.70,-3.00,-4.14,0.11,-1.65,0.02
27,Weighted Average Shares Outstanding,3241,4444,10152,82093,97759,101825,119338,130678,157731,191464,1166188,1659650,2181411,2426242,3602000,9748000,10195000,11325000
28,Weighted Average Shares Outstanding Diluted,3241,4444,10152,82093,97759,101825,119338,130678,157731,191464,1166188,1659650,2181411,2426242,3602000,9759000,10195000,11325000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1356093/000095013708003638/0000950137-08-003638-index.htm,https://www.sec.gov/Archives/edgar/data/1356093/000095013709001836/0000950137-09-001836-index.htm,https://www.sec.gov/Archives/edgar/data/1356093/000135609310000010/0001356093-10-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1356093/000095012311027681/0000950123-11-027681-index.htm,https://www.sec.gov/Archives/edgar/data/1356093/000119312512125010/0001193125-12-125010-index.htm,https://www.sec.gov/Archives/edgar/data/1356093/000119312513086184/0001193125-13-086184-index.htm,https://www.sec.gov/Archives/edgar/data/1356093/000156276214000053/0001562762-14-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1356093/000121390015003360/0001213900-15-003360-index.htm,https://www.sec.gov/Archives/edgar/data/1356093/000121390016012229/0001213900-16-012229-index.htm,https://www.sec.gov/Archives/edgar/data/1356093/000121390017002905/0001213900-17-002905-index.htm,https://www.sec.gov/Archives/edgar/data/1356093/000121390018003396/0001213900-18-003396-index.htm,https://www.sec.gov/Archives/edgar/data/1356093/000121390019005126/0001213900-19-005126-index.htm,https://www.sec.gov/Archives/edgar/data/1356093/000121390020006174/0001213900-20-006174-index.htm,https://www.sec.gov/Archives/edgar/data/1356093/000121390021014469/0001213900-21-014469-index.htm,https://www.sec.gov/Archives/edgar/data/1356093/000121390022014206/0001213900-22-014206-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,99644,134587,8273388,14542280,5293681,12273000,7064000,5478000,2252000,1484000,573000,1361000,1352000,1003000,2718000,2534000,1826000,2883000
32,Short-Term Investments,- -,- -,7193511,14657635,8300961,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,99644,134587,15466899,29199915,13594642,12273000,7064000,5478000,2252000,1484000,573000,1361000,1352000,1003000,2718000,2534000,1826000,2883000
34,Net Receivables,27548,216380,1128730,4366730,1834902,1096000,2522000,1347000,1358000,1070000,3822000,965000,4240000,5989000,7681000,4749000,2343000,3006000
35,Inventory,211228,391503,255850,539140,461568,185000,272000,170000,158000,69000,739000,82000,585000,851000,379000,379000,2351000,1880000
36,Other Current Assets,26504,25717,148024,817511,265854,151000,275000,193000,111000,135000,355000,348000,168000,1030000,1581000,320000,507000,2003000
37,Total Current Assets,364924,768187,16999503,34923296,16156966,13705000,10133000,7188000,3879000,2758000,5489000,2756000,6345000,8873000,12359000,7982000,7027000,9772000
38,PP&E,302429,384221,523838,1780390,1917832,1242000,1019000,651000,415000,229000,746000,892000,912000,1136000,1230000,3281000,2271000,729000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10572000,14354000,14989000,14989000,18900000,18171000,7525000,7525000
40,Intangible Assets,- -,- -,- -,3174804,- -,- -,- -,- -,- -,- -,4835000,4831000,2035000,875000,5060000,4407000,3790000,4850000
41,Intangible Assets,- -,- -,- -,3174804,- -,- -,- -,- -,- -,- -,15407000,19185000,17024000,15864000,23960000,22578000,11315000,12375000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,34245,160763,22586,490217,484901,400000,90000,90000,70000,69000,234000,203000,138000,172000,179000,135000,5000,5000
45,Total Non-Current Assets,336674,544984,546424,5445411,2402733,1642000,1109000,741000,485000,298000,16387000,20280000,18074000,17172000,25369000,25994000,13591000,13109000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,701598,1313171,17545927,40368707,18559699,15347000,11242000,7929000,4364000,3056000,21876000,23036000,24419000,26045000,37728000,33976000,20618000,22881000
48,Accounts Payable,167528,306528,948808,1387327,1068091,976000,1563000,870000,584000,298000,3554000,3601000,3218000,2017000,1995000,1849000,1661000,2517000
49,Short-Term Debt,2200217,5311820,106311,100023,70960,- -,37000,41000,400000,- -,- -,150000,7635000,- -,- -,4304000,1996000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,123000,65000,41000,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,1080833,1087426,202871,1252485,180621,362000,488000,687000,596000,754000,1977000,1213000,1359000,7968000,9141000,1527000,1534000,426000
52,Other Current Liabilities,551044,544704,394697,1869733,1067260,251000,571000,569000,527000,421000,1102000,2318000,2162000,2689000,3868000,2751000,2142000,3916000
53,Total Current Liabilities,3999622,7250478,1652687,4609568,2386932,1589000,2659000,2167000,2107000,1473000,6633000,7282000,14374000,12674000,15004000,10431000,7333000,6859000
54,Long-Term Debt,1397563,1668161,155456,70960,- -,- -,- -,- -,- -,875000,- -,2280000,- -,5465000,5536000,3757000,8258000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,358000,610000,549000,128000,175000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,40000,- -,- -,- -,3989000,5514000,7459000,3005000,239000,1105000,692000,7293000
58,Total Non-Current Liabilities,1397563,1668161,155456,70960,- -,- -,40000,- -,- -,875000,3989000,8152000,8069000,9019000,5903000,5037000,8950000,7293000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,77000,41000,- -,- -,- -,- -,- -,- -,- -,1772000,943000,- -
61,Total Liabilities,5397185,8918639,1808143,4680528,2386932,1589000,2699000,2167000,2107000,2348000,10622000,15434000,22443000,21693000,20907000,15468000,16283000,14152000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1532000,3769000,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,98256,145377,148499,176000,192000,230000,50000,60000,462000,642000,666000,826000,97000,98000,109000,120000
64,Retained Earnings,-13856051,-18645976,-33433713,-43520098,-64212459,-74395000,-82278000,-89016000,-94422000,-98019000,-6647000,-14614000,-20524000,-26231000,-36851000,-35642000,-52486000,-52254000
65,Other Comprehensive Income/Loss,-49526,-187827,16732,320589,-413077,-394000,-509000,-499000,-499000,-499000,-2423000,-2605000,-2877000,-3226000,-884000,-1396000,- -,- -
66,Other Total Stockholders Equity,9209990,11228335,49056509,78742311,80649804,88371000,91138000,95047000,97128000,99166000,18330000,20410000,24711000,32983000,54459000,55448000,56712000,60863000
67,Total Stockholders Equity,-4695587,-7605468,15737784,35688179,16172767,13758000,8543000,5762000,2257000,708000,11254000,7602000,1976000,4352000,16821000,18508000,4335000,8729000
68,Total Liabilities And Stockholders Equity,701598,1313171,17545927,40368707,18559699,15347000,11242000,7929000,4364000,3056000,21876000,23036000,24419000,26045000,37728000,33976000,20618000,22881000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,701598,1313171,17545927,40368707,18559699,15347000,11242000,7929000,4364000,3056000,21876000,23036000,24419000,26045000,37728000,33976000,20618000,22881000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1356093/000095013708003638/0000950137-08-003638-index.htm,https://www.sec.gov/Archives/edgar/data/1356093/000095013709001836/0000950137-09-001836-index.htm,https://www.sec.gov/Archives/edgar/data/1356093/000135609310000010/0001356093-10-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1356093/000095012311027681/0000950123-11-027681-index.htm,https://www.sec.gov/Archives/edgar/data/1356093/000119312512125010/0001193125-12-125010-index.htm,https://www.sec.gov/Archives/edgar/data/1356093/000119312513086184/0001193125-13-086184-index.htm,https://www.sec.gov/Archives/edgar/data/1356093/000156276214000053/0001562762-14-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1356093/000121390015003360/0001213900-15-003360-index.htm,https://www.sec.gov/Archives/edgar/data/1356093/000121390016012229/0001213900-16-012229-index.htm,https://www.sec.gov/Archives/edgar/data/1356093/000121390017002905/0001213900-17-002905-index.htm,https://www.sec.gov/Archives/edgar/data/1356093/000121390018003396/0001213900-18-003396-index.htm,https://www.sec.gov/Archives/edgar/data/1356093/000121390019005126/0001213900-19-005126-index.htm,https://www.sec.gov/Archives/edgar/data/1356093/000121390020006174/0001213900-20-006174-index.htm,https://www.sec.gov/Archives/edgar/data/1356093/000121390021014469/0001213900-21-014469-index.htm,https://www.sec.gov/Archives/edgar/data/1356093/000121390022014206/0001213900-22-014206-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,-3339370,-4789925,-14787737,-10086385,-20692361,-10183000,-7883000,-6738000,-5406000,-3597000,-3799000,-7967000,-5910000,-6950000,-10620000,1038000,-16844000,232000
74,Depreciation and Amortization,261104,368722,5372448,651557,1225827,771000,684000,467000,286000,213000,818000,2027000,2003000,1505000,1186000,1217000,1474000,1364000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,358000,-365000,-61000,-421000,47000,-175000,- -
76,Stock Based Compensation,- -,- -,- -,- -,1312955,698000,868000,740000,598000,444000,328000,254000,273000,284000,1383000,448000,719000,1893000
77,Change in Working Capital,1529789,-2847593,21829107,14966912,-16543694,-1654034,-4642000,-2453000,-3249000,-487000,-2429000,-3382000,-3503000,4228000,1156000,196000,2143000,3219000
78,Accounts Receivable,- -,- -,- -,- -,-172780,828000,-1435000,1151000,-11000,289000,-764000,4371000,-3360000,-1749000,- -,- -,1793000,-673000
79,Inventory,-75062,-52289,95595,-283289,182338,275000,-87000,102000,12000,89000,967000,745000,-503000,-266000,613000,- -,-1972000,471000
80,Accounts Payable,- -,- -,- -,- -,-272111,-107000,584000,-693000,-286000,-285000,-248000,-802000,858000,-390000,-98000,284000,3000,869000
81,Other Working Capital,-3634698,-6482291,15346816,30313728,13770034,12116000,7474000,5021000,1772000,1285000,-1144000,-4526000,-8029000,-3801000,-2645000,-2449000,-306000,2913000
82,Other Non-Cash Items,61206,3883922,-17373559,-15183265,19787058,2121034,3874000,3366000,3011000,601000,1363000,6728000,3396000,1649000,5752000,-3916000,9153000,-6237000
83,Cash Provided by Operating Activities,-1487271,-3384874,-4959741,-9651181,-14910215,-8247000,-7099000,-4618000,-4760000,-2826000,-3719000,-1982000,-4106000,655000,-1564000,-970000,-3530000,471000
84,CAPEX,-257634,-272114,-310926,-1471921,-1051418,-133000,-189000,-149000,-47000,-29000,-266000,-639000,-292000,-569000,-308000,-897000,-657000,-1159000
85,Acquisitions Net,- -,- -,- -,-2877201,- -,- -,- -,- -,- -,- -,-1710000,59000,- -,- -,-6274000,- -,- -,- -
86,Purchases of Investments,- -,- -,-7176779,-28301446,-28662495,-22000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,20826625,35018393,8323000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,210000,- -,-1140000
89,Cash Used for Investing Activites,-257634,-272114,-7487705,-11823943,5304480,8168000,-189000,-149000,-47000,-29000,-1976000,-580000,-292000,-569000,-6582000,-687000,-657000,-1159000
90,Debt Repayment,- -,- -,- -,- -,-99795,-71000,-11000,-36000,-41000,-400000,-316000,-1050000,-288000,-786000,-1158000,-529000,-24000,-4000
91,Common Stock Issued,- -,1215000,18003804,28253752,225360,6990000,1639000,2994000,1227000,1398000,- -,- -,167000,500000,8919000,- -,1831000,1849000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-149000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1825837,2476931,2582443,-561486,372300,131000,564000,201000,400000,1075000,6476000,4400000,4510000,- -,2100000,2002000,1672000,-100000
95,Cash Used/Provided by Financing Activities,1825837,3691931,20586247,27692266,497865,7050000,2192000,3159000,1586000,2073000,6160000,3350000,4389000,-435000,9861000,1473000,3479000,1745000
96,Effect of Forex Changes on Cash,- -,- -,- -,51750,-140729,8000,-113000,22000,-5000,14000,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,80932,34943,8138801,6268892,-9248599,6979000,-5209000,-1586000,-3226000,-768000,465000,788000,-9000,-349000,1715000,-184000,-708000,1057000
98,Cash at the End of Period,99644,134587,8273388,14542280,5293681,12273000,7064000,5478000,2252000,1484000,573000,1361000,1352000,1003000,2718000,2534000,1826000,2883000
99,Cash at the Beginning of Period,18712,99644,134587,8273388,14542280,5294000,12273000,7064000,5478000,2252000,108000,573000,1361000,1352000,1003000,2718000,2534000,1826000
100,Free Cash Flow,-1744905,-3656988,-5270667,-11123102,-15961633,-8380000,-7288000,-4767000,-4807000,-2855000,-3985000,-2621000,-4398000,86000,-1872000,-1867000,-4187000,-688000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1356093/000095013708003638/0000950137-08-003638-index.htm,https://www.sec.gov/Archives/edgar/data/1356093/000095013709001836/0000950137-09-001836-index.htm,https://www.sec.gov/Archives/edgar/data/1356093/000135609310000010/0001356093-10-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1356093/000095012311027681/0000950123-11-027681-index.htm,https://www.sec.gov/Archives/edgar/data/1356093/000119312512125010/0001193125-12-125010-index.htm,https://www.sec.gov/Archives/edgar/data/1356093/000119312513086184/0001193125-13-086184-index.htm,https://www.sec.gov/Archives/edgar/data/1356093/000156276214000053/0001562762-14-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1356093/000121390015003360/0001213900-15-003360-index.htm,https://www.sec.gov/Archives/edgar/data/1356093/000121390016012229/0001213900-16-012229-index.htm,https://www.sec.gov/Archives/edgar/data/1356093/000121390017002905/0001213900-17-002905-index.htm,https://www.sec.gov/Archives/edgar/data/1356093/000121390018003396/0001213900-18-003396-index.htm,https://www.sec.gov/Archives/edgar/data/1356093/000121390019005126/0001213900-19-005126-index.htm,https://www.sec.gov/Archives/edgar/data/1356093/000121390020006174/0001213900-20-006174-index.htm,https://www.sec.gov/Archives/edgar/data/1356093/000121390021014469/0001213900-21-014469-index.htm,https://www.sec.gov/Archives/edgar/data/1356093/000121390022014206/0001213900-22-014206-index.htm
102,false,,,,,,,,,,,,,,,,,,
