,https://roic.ai/company/SHI,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
26,EPS Diluted,14.44,6.64,4.42,1.47,3.72,5.33,0.71,5.65,8.67,24.54,11.56,5.33,10.22,-38.67,9.82,17.11,5.91,-14.13,19.00,-6.40,30.30,55.20,56.80,49.30,20.50,6.00
27,Weighted Average Shares Outstanding,147519231,151875000,164437500,162000000,162000000,160628234,163180290,162339025,161705857,161833008,160136419,158171707,159845819,162000000,161978416,161979312,162000000,108000000,108000000,108159688,108000000,108000000,108036900,108234970,108238140,108238140
28,Weighted Average Shares Outstanding Diluted,147519231,151875000,164437500,162000000,162000000,160684081,163343137,166062000,161941706,161945222,164235873,162000000,167232230,162052742,161978416,161979312,162000000,108000000,108000000,108159688,108090410,108086320,108098690,108234970,108238140,108238140
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/908732/000119312505131750/0001193125-05-131750-index.htm,https://www.sec.gov/Archives/edgar/data/908732/000119312506140163/0001193125-06-140163-index.htm,https://www.sec.gov/Archives/edgar/data/908732/000119312507144878/0001193125-07-144878-index.htm,https://www.sec.gov/Archives/edgar/data/908732/000119312508140787/0001193125-08-140787-index.htm,https://www.sec.gov/Archives/edgar/data/908732/000119312509115285/0001193125-09-115285-index.htm,https://www.sec.gov/Archives/edgar/data/908732/000119312510136742/0001193125-10-136742-index.htm,https://www.sec.gov/Archives/edgar/data/908732/000119312511173763/0001193125-11-173763-index.htm,https://www.sec.gov/Archives/edgar/data/908732/000119312512193739/0001193125-12-193739-index.htm,https://www.sec.gov/Archives/edgar/data/908732/000119312513184178/0001193125-13-184178-index.htm,https://www.sec.gov/Archives/edgar/data/908732/000119312514168868/0001193125-14-168868-index.htm,https://www.sec.gov/Archives/edgar/data/908732/000119312515148346/0001193125-15-148346-index.htm,https://www.sec.gov/Archives/edgar/data/908732/000119312516558478/0001193125-16-558478-index.htm,https://www.sec.gov/Archives/edgar/data/908732/000119312517140910/0001193125-17-140910-index.htm,https://www.sec.gov/Archives/edgar/data/908732/000119312518138156/0001193125-18-138156-index.htm,https://www.sec.gov/Archives/edgar/data/908732/000119312519124886/0001193125-19-124886-index.htm,https://www.sec.gov/Archives/edgar/data/908732/000119312520122219/0001193125-20-122219-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,1660690463,1840348639,1690497568,1347790090,892930713,893221352,627685000,125917000,100110000,91346000,160962000,133256000,279198000,1077430000,5440623000,7504266000,8741893000,7449699000,6916408000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000000,- -,- -,- -,- -,- -,- -,- -,2000000000,5899710000,6368430000,5256557000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,1660690463,1840348639,1690497568,1347790090,892930713,893221352,627685000,825917000,100110000,91346000,160962000,133256000,279198000,1077430000,5440623000,9504266000,14641603000,13818129000,12172965000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,670408587,1686582003,2070770944,1029161339,1567780945,1969515314,906976000,1269827000,2964155000,3952773000,3792385000,5313533000,3300514000,2888362000,3109981000,3535918000,2474042000,1712833000,1223580000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,3293450684,3504256789,3727750283,4116661503,4155264358,5198192657,4492215000,6883834000,5352301000,5582425000,8938077000,9039239000,5930703000,4178188000,6159473000,6597598000,8120875000,6754434000,3888746000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,1349823725,993237271,1126896281,1017010722,932612190,876419668,484475000,81847000,115275000,39270000,- -,- -,- -,- -,165804000,228269000,62356000,23767000,19552000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,6974373459,8024424703,8615915076,7510623654,7548588205,8937348990,6511351000,9061425000,8531841000,9665814000,12891424000,14486028000,9510415000,8143980000,14875881000,19866051000,25298876000,22309163000,17304843000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,15810983795,16405488663,16013807996,15444855779,15338797543,15940597695,15127053000,15326070000,14709798000,16354672000,18081136000,17126302000,16084453000,15105839000,14191959000,13867546000,13205791000,13139994000,13436139000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22428183,22371028,22419291,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,49312523,35860946,22417230,- -,- -,- -,- -,- -,- -,- -,497575000,458532000,441140000,423528000,406115000,397661000,355594000,337847000,412577000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,49312523,35860946,22417230,22428183,22371028,22419291,- -,- -,- -,- -,- -,458532000,441140000,423528000,406115000,397661000,355594000,337847000,412577000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3328325000,3228893000,3316290000,2901305000,2867153000,2993594000,2936262000,3311139000,3688794000,4452044000,4527133000,8724992000,12435674000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,27433557,35662270,48915588,23154798,30254300,9628095,1962135000,1537972000,827576000,519269000,1052573000,684599000,915069000,71045000,103091000,119307000,119075000,150832000,252121000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,3226265787,2600059299,3575556495,3820267171,4413431785,4945013194,604163000,754126000,1183237000,1277805000,1570260000,887755000,1018293000,765060000,679770000,740854000,879428000,831247000,777776000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,19113995661,19077071178,19660697310,19310705931,19804854655,20917658275,21021676000,20847061000,20036901000,21053051000,23571122000,22150782000,21395217000,19676611000,19069729000,19577412000,19087021000,23184912000,27314287000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,26088369120,27101495881,28276612386,26821329584,27353442860,29855007266,27533027000,29908486000,28568742000,30718865000,36462546000,36636810000,30905632000,27820591000,33945610000,39443463000,44385897000,45494075000,44619130000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,794141049,1033104842,797757037,1031946697,1382917815,1504554277,1272811000,5008964000,2417486000,3142183000,2886616000,2739953000,3511518000,1562232000,2123904000,1908457000,2922998000,7330000000,1294138000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,5453855724,5574729720,5000308892,3928347116,4262136893,4092240070,9636168000,7886944000,4395438000,5512074000,11023877000,7094026000,4078195000,2070000000,546432000,606157000,497249000,1559050000,4575163000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1679000,9298000,15983000,22340000,2463000,840682000,1276874000,1368418000,2158427000,3290036000,4642692000,226269000,3440249000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,758796000,- -,591059000,561721000,462992000,470865000,446702000,655117000,495404000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,826615956,1874206273,1636755818,1174847647,1371494478,2665477590,2433741000,1409017000,3760301000,3617575000,4257968000,8183475000,4304077000,3532318000,5809047000,7936765000,10046065000,5935462000,8867541000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,7074612730,8482040835,7434821747,6135141459,7016549185,8262271937,13342720000,14304925000,10573225000,12271832000,18927257000,18017454000,12484849000,7726271000,8942375000,10922244000,13913014000,15479629000,15232246000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,4591321179,3206847694,2014611975,1477862249,1061614030,639333297,429021000,304258000,175000000,160050000,1231340000,627800000,1632680000,- -,- -,- -,- -,10593000,3119000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,91319000,- -,- -,16436000,- -,- -,5679000,10442000,10005000,13433000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16436000,- -,- -,5679000,- -,- -,35357000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,74121928,49470224,37094390,23041769,- -,7305,- -,- -,- -,- -,- -,- -,-16436000,- -,- -,-5679000,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,4665443107,3256317918,2051706365,1500904018,1061614030,639340602,429021000,304258000,175000000,251369000,1231340000,627800000,1649116000,- -,- -,5679000,10442000,20598000,51909000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22043000,12471000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,11740055837,11738358753,9486528112,7636045476,8078163215,8901612539,13771741000,14609183000,10748225000,12523201000,20158597000,18645254000,14133965000,7726271000,8942375000,10927923000,13923456000,15500227000,15284155000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,7200679610,7200003744,7200003744,7202942569,7186176000,7200471254,7200000000,7200000000,7200000000,7200000000,7200000000,10800000000,10800000000,10800000000,10800000000,10814177000,10823814000,10823814000,10823814000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,6780831948,2143626943,4744480944,4818515079,4857920475,6058044403,- -,7805018000,10360664000,10725563000,915707000,6932494000,1520996000,8997282000,13921965000,17416056000,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-2358946511,5678264542,6472519922,4394397977,4479616965,4969872381,3876092000,- -,- -,- -,8837166000,6932494000,5700272000,8997282000,13921965000,17416056000,19522249000,19039474000,18374176000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,2358946511,- -,-8278,2421832016,2416195730,2420998478,2420841000,- -,- -,- -,-915707000,-6932494000,-1520996000,-8997282000,-13921965000,-17416056000,- -,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,13981511558,15021895229,18416996332,18837687639,18939909170,20649386517,13496933000,15005018000,17560664000,17925563000,16037166000,17732494000,16500272000,19797282000,24721965000,28230233000,30346063000,29863288000,29197990000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,25721567395,26760253982,27903524444,26473733115,27018072385,29550999056,27268674000,29614201000,28308889000,30448764000,36195763000,36377748000,30634237000,27523553000,33664340000,39158156000,44269519000,45363515000,44482145000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,366801725,341241899,373087942,347596469,335370475,304008209,264353000,294285000,259853000,270101000,266783000,259062000,271395000,297038000,281270000,285307000,116378000,130560000,136985000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,26088369120,27101495881,28276612386,26821329584,27353442860,29855007266,27533027000,29908486000,28568742000,30718865000,36462546000,36636810000,30905632000,27820591000,33945610000,39443463000,44385897000,45494075000,44619130000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/908732/000119312505131750/0001193125-05-131750-index.htm,https://www.sec.gov/Archives/edgar/data/908732/000119312506140163/0001193125-06-140163-index.htm,https://www.sec.gov/Archives/edgar/data/908732/000119312507144878/0001193125-07-144878-index.htm,https://www.sec.gov/Archives/edgar/data/908732/000119312508140787/0001193125-08-140787-index.htm,https://www.sec.gov/Archives/edgar/data/908732/000119312509115285/0001193125-09-115285-index.htm,https://www.sec.gov/Archives/edgar/data/908732/000119312510136742/0001193125-10-136742-index.htm,https://www.sec.gov/Archives/edgar/data/908732/000119312511173763/0001193125-11-173763-index.htm,https://www.sec.gov/Archives/edgar/data/908732/000119312512193739/0001193125-12-193739-index.htm,https://www.sec.gov/Archives/edgar/data/908732/000119312513184178/0001193125-13-184178-index.htm,https://www.sec.gov/Archives/edgar/data/908732/000119312514168868/0001193125-14-168868-index.htm,https://www.sec.gov/Archives/edgar/data/908732/000119312515148346/0001193125-15-148346-index.htm,https://www.sec.gov/Archives/edgar/data/908732/000119312516558478/0001193125-16-558478-index.htm,https://www.sec.gov/Archives/edgar/data/908732/000119312517140910/0001193125-17-140910-index.htm,https://www.sec.gov/Archives/edgar/data/908732/000119312518138156/0001193125-18-138156-index.htm,https://www.sec.gov/Archives/edgar/data/908732/000119312519124886/0001193125-19-124886-index.htm,https://www.sec.gov/Archives/edgar/data/908732/000119312520122219/0001193125-20-122219-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2129960544,1008255600,726120920,237140812,605723670,855394808,116050404,916449681,1401689471,3971103058,1851205109,842784990,1634190226,-6238444000,1590988000,2771646000,956106000,-1528397000,2055328000,-692222000,3274308000,5968466000,6143222000,5336331000,2215728000,645072000
74,Depreciation and Amortization,1029578112,1089579920,1186466680,1349038476,1451122590,1511379929,1358267366,1613944145,1873924816,1816399951,1719211458,1849512418,1687546531,1631918000,1648779000,1655217000,1623700000,1683028000,2109866000,1939781000,1722314000,1638103000,1588494000,1807613000,1838788000,1827139000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22702000,18004000,11276000,- -,- -,- -
77,Change in Working Capital,-486467328,-419069200,21526960,93899284,539904656,134353517,1146952818,-719456211,-1144818476,-1221300304,554060085,-289224870,740873909,2199942000,109569000,-771259000,-484442000,-1487645000,1195616000,2313341000,-810286000,-455992000,451542000,1300227000,2647046000,587344000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-691575000,474898000,485167000,-1500835000,-116580000,-469339000,-92354000,308333000
79,Inventory,-314037984,80494480,-180495280,132760440,88302279,-1131889734,617362650,-503870173,-120587811,-223493494,-387390751,-48188550,- -,705634000,-2449659000,1519612000,-339790000,-3366017000,-101162000,3108536000,1752515000,-1981285000,-438125000,-1523277000,1366441000,2865687000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,993976000,1161697000,- -,- -,-185636000,1255221000,-1451695000,1683282000,1003653000,2767557000,-487877000,-1008800000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1159222000,1362376000,-1881447000,665102000,1878372000,2173989000,-2525314000,-1596273000,1342846000,2594000,525286000,1860836000,-1577876000
82,Other Non-Cash Items,654731712,126965520,-74516400,-422679239,-19503156,-31383050,-233400466,-12441954,146159016,23509946,-179288215,-709712855,-2620514823,-1579906000,-2446000,318115000,124630000,-733371000,-262272000,101508000,723786000,13189000,-1133716000,-1784737000,-1643783000,-1379707000
83,Cash Provided by Operating Activities,3327803040,1805731840,1859598160,1257399332,2577247759,2469745204,2387870123,1798495661,2276954826,4589712652,3945188437,1693359683,1442095843,-3986490000,3346890000,3973719000,2219994000,-2066385000,5098538000,3662408000,4932824000,7181770000,7060818000,6659434000,5057779000,1679848000
84,CAPEX,-1323624288,-1217375280,-2280201840,-2801223767,-1380080107,-1570888674,-4358144221,-2404517341,-1284868218,-2205961412,-1143393291,-2004924390,-2134259478,-1511072000,-2120292000,-1356845000,-3481235000,-4259859000,-1323137000,-1089268000,-695277000,-901476000,-1197063000,-1187005000,-1430411000,-1840986000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14822000,- -,- -,10339000,9600000,-248184000,-367972000
86,Purchases of Investments,-109121952,- -,- -,-104579065,-67714694,-328439000,-455633801,- -,-656391070,-713617921,-347313897,-54099055,- -,-8039000,-837008000,- -,-786751000,-30000000,-60000000,-11541000,- -,- -,-2500000000,-6200000000,-11424513000,-14109513000
87,Sales/Maturities of Investments,5830944,14937120,- -,24157830,33112320,21999551,47019494,42516219,168932207,326680633,49716613,350505423,1114777123,213469000,525549000,700000000,700000000,49743000,- -,98824000,- -,- -,500000000,4016540000,7284684000,11399088000
88,Other Investing Activites,-710542176,-376747360,-265775160,423606476,233077620,965376031,78062294,-216008220,193700432,252293178,251263467,358575835,508214416,-912910000,-1863913000,-1163306000,-2723428000,-4081874000,753891000,77059000,256292000,711581000,786022000,1432496000,1195215000,1031855000
89,Cash Used for Investing Activites,-2137457472,-1579185520,-2545977000,-2458038526,-1181604861,-911952092,-4688696234,-2578009342,-1578626649,-2340605522,-1189727107,-1349942188,-511267939,-707480000,-2175372000,-463306000,-2810179000,-4062131000,-629246000,-910104000,-438985000,-189895000,-2400702000,-1928369000,-4623209000,-3887528000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27377610000,-31849620000,-43631344000,-33791261000,-46779614000,-59155947000,-53444473000,-35684713000,-4113000000,-2059422000,-2646157000,-3784332000,-3476142000
91,Common Stock Issued,- -,1072983120,358506680,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-819664128,-871332000,-576260160,-434849223,-218533034,-369519710,-433042921,-35206674,-389528348,-632218872,-1537105592,-718617600,-369103777,-721906000,-35098000,-200510000,-712891000,-361051000,-360630000,-543157000,-287000,-1084814000,-2697188000,-3275656000,-2704864000,-1293736000
94,Other Financing Activites,-904629312,93771920,1205509760,1400955458,-674572461,-2123895060,2569963048,1023394196,-129221922,-1766764164,-1558379264,-74052858,-561088585,32528758000,30211434000,40295990000,35085959000,53338799000,55019717000,51381169000,31989298000,2560657000,2166827000,2414604000,4751834000,6451668000
95,Cash Used/Provided by Financing Activities,-1724293440,295423040,987756280,966106236,-893105495,-2493414770,2136920127,988187522,-518750270,-2398983036,-3095484856,-792670458,-930192362,4429242000,-1673284000,-3535864000,581807000,6198134000,-4496860000,-2606461000,-3695702000,-2637157000,-2589783000,-3507209000,-1737362000,1681790000
96,Effect of Forex Changes on Cash,- -,- -,- -,-2053167,- -,-901147,-1614226,5206912,231788,24834,-3374723,-2464010,-2125778,-752000,-2000,-356000,-386000,-2000,-138000,99000,95000,8475000,-6690000,13771000,10598000,-7401000
97,Net Change In Cash,-1724293440,295423040,987756280,-236586125,502545681,-936522805,-165511932,213880753,179817974,-149851071,-343398249,-451716973,-1490236,-265480000,-501768000,-25807000,-8764000,69616000,-27706000,145942000,798232000,4363193000,2063643000,1237627000,-1292194000,-533291000
98,Cash at the End of Period,- -,- -,- -,2047570664,2549913539,1610100952,1446668983,1660690463,1840348639,1690497568,1347790090,892930713,893221352,627685000,125917000,100110000,91346000,160962000,133256000,279198000,1077430000,5440623000,7504266000,8741893000,7449699000,6916408000
99,Cash at the Beginning of Period,1995848832,1460518400,1982136240,2284156789,2047367858,2546623757,1612180914,1446809710,1660530665,1840348639,1691188339,1344647685,894711588,893165000,627685000,125917000,100110000,91346000,160962000,133256000,279198000,1077430000,5440623000,7504266000,8741893000,7449699000
100,Free Cash Flow,2004178752,588356560,-420603680,-1543824435,1197167652,898856530,-1970274099,-606021681,992086609,2383751240,2801795146,-311564708,-692163635,-5497562000,1226598000,2616874000,-1261241000,-6326244000,3775401000,2573140000,4237547000,6280294000,5863755000,5472429000,3627368000,-161138000
