,https://roic.ai/company/POLY,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,13068000,12826000,12334000,184285000,172945000,160682000,40580000,17454000,14861000,14388000,16440000,16165000,16077000,15827000,15577000,15498000,2104055000,1263131000,1137830000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23718000,- -,39332000,55347000,80261000,100342000,107590000,145623000,127176000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17873000,26508000,82496000,95800000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2167000,2675000,9156000,5741000,6239000,31978000,9548000,2605000,2112000,2402000,2303000,4619000,10308000,25257000,25122000,1661000,- -,60661000,51654000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,52192000,57625000,81235000,283900000,276443000,291190000,169565000,85759000,126927000,148296000,198115000,255528000,273388000,336442000,318182000,177161000,2335389000,1572146000,1426159000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,205209000,368252000,487929000,612249000,651304000,741393000,633120000,655351000,744647000,672470000,764605000,811815000,876042000,933437000,1017159000,1076887000,3116535000,2257174000,2664269000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,13596000,19075000,20316000,48574000,49956000,47896000,32827000,23779000,33995000,34126000,37067000,30756000,32781000,39133000,42885000,45417000,129514000,102159000,151244000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22043000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22517000,500508000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3376000,3092000,4749000,4894000,5433000,5353000,17496000,30398000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,133200000,144040000,141375000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,35816000,42155000,50855000,56312000,66501000,67318000,53143000,45837000,59607000,52067000,66419000,66851000,62041000,70034000,74285000,80097000,265515000,207109000,231008000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,49412000,61230000,71171000,126929000,116457000,115214000,85970000,69616000,93602000,86193000,103486000,97607000,94822000,109167000,117170000,125514000,528229000,475825000,1024135000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37000000,- -,- -,34500000,489609000,491059000,492509000,1640801000,1621694000,1496064000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,8867000,7719000,8109000,48246000,37344000,32570000,20762000,13477000,3526000,8673000,1742000,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2930000,1453000,696000,14989000,1021000,924000,12667000,13360000,12930000,15544000,19323000,22262000,26774000,105894000,225818000,242471000,224836000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,8867000,7719000,11039000,49699000,38040000,47559000,21783000,14401000,16193000,59033000,14672000,15544000,53823000,511871000,517833000,598403000,1866619000,1864165000,1720900000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22517000,21701000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,58279000,68949000,82210000,176628000,154497000,162773000,107753000,84017000,109795000,145226000,118158000,113151000,148645000,621038000,635003000,723917000,2394848000,2339990000,2745035000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,597000,636000,651000,662000,666000,673000,678000,695000,720000,741000,757000,770000,783000,793000,804000,816000,884000,896000,912000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,285350000,347629000,437867000,509562000,550165000,608849000,203936000,195293000,192468000,115358000,28344000,123389000,209960000,257291000,319931000,299066000,143344000,-707904000,-765233000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,209000,681000,-637000,-4965000,2666000,-3581000,8855000,6272000,1473000,6357000,5567000,2638000,10120000,3759000,4694000,2870000,-475000,-13582000,-3221000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,311898000,369074000,440191000,404788000,611779000,571867000,506534000,50556000,56727000,50218000,577934000,637774000,686776000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,146930000,299303000,405719000,435621000,496807000,578620000,525367000,571334000,634852000,527244000,646447000,698664000,727397000,312399000,382156000,352970000,721687000,-82816000,-80766000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,205209000,368252000,487929000,612249000,651304000,741393000,633120000,655351000,744647000,672470000,764605000,811815000,876042000,933437000,1017159000,1076887000,3116535000,2257174000,2664269000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,205209000,368252000,487929000,612249000,651304000,741393000,633120000,655351000,744647000,672470000,764605000,811815000,876042000,933437000,1017159000,1076887000,3116535000,2257174000,2664269000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/914025/000091402520000064/0000914025-20-000064-index.htm,https://www.sec.gov/Archives/edgar/data/914025/000091402521000019/0000914025-21-000019-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-40700000,20800000,25500000,29700000,39200000,54300000,64517000,73550000,36248000,41476000,62279000,97520000,81150000,50143000,68395000,-64899000,57378000,109243000,109036000,106402000,112417000,112301000,68392000,82599000,-869000,-135561000,-827182000,-57331000
74,Depreciation and Amortization,2000000,1800000,2400000,2900000,3600000,4700000,4272000,7034000,9464000,11482000,12353000,12228000,24244000,29151000,28486000,25822000,18144000,- -,13760000,16219000,15566000,18711000,20142000,20977000,21178000,201369000,230262000,164867000
75,Deferred Income Tax,-1700000,- -,-700000,2800000,4700000,3300000,-6493000,-1406000,1028000,1211000,-8758000,5682000,-4595000,-8430000,-9313000,-26853000,-12449000,1030000,-9134000,984000,-5813000,-980000,-8291000,-657000,7464000,-49932000,-97031000,-21174000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15742000,14577000,15873000,17481000,18350000,23180000,28594000,33265000,33539000,33959000,41934000,57095000,42644000
77,Change in Working Capital,6600000,-5600000,-900000,-1300000,-8100000,24100000,3743000,-29945000,28836000,-6482000,-18005000,-34081000,-38603000,-26556000,-10227000,16440000,32032000,19894000,5494000,-17557000,-5321000,-411000,19808000,681000,55306000,33387000,-1459000,-23471000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50706000,388000,-15086000,-9402000,-16335000,-11136000,4272000,8445000,-13894000,-12238000,-10307000,33499000,-24253000
79,Inventory,-1000000,-2000000,-1200000,-2000000,-9700000,10900000,-14863000,-14483000,14532000,2345000,-7004000,-19069000,-26670000,-35140000,-8273000,-5358000,27620000,12962000,606000,-14811000,6040000,128000,1357000,-3791000,-13309000,-7182000,-6709000,-41994000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15069000,-9048000,10216000,131000,2778000,-6311000,-62000,5407000,4377000,2884000,3658000,-31768000,46453000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8237000,4191000,-581000,10571000,-6935000,- -,- -,18529000,7226000,5149000,119000,206000,-657000,84613000,-45122000,21074000,-15757000
82,Other Non-Cash Items,62700000,1300000,600000,500000,-200000,500000,15098000,16574000,1248000,2406000,24524000,12255000,16152000,28740000,25559000,132898000,34047000,12192000,3811000,1103000,1462000,-3777000,13553000,832000,4110000,24850000,716334000,39645000
83,Cash Provided by Operating Activities,28900000,18300000,26900000,34600000,39200000,86900000,81137000,65807000,76824000,50093000,72393000,93604000,78348000,73048000,102900000,99150000,143729000,158232000,140448000,125501000,141491000,154438000,146869000,137971000,121148000,116047000,78019000,145180000
84,CAPEX,-2200000,-3600000,-3900000,-8200000,-5900000,-3800000,-15221000,-14946000,-11368000,-11752000,-16883000,-27723000,-41860000,-24028000,-23298000,- -,- -,-18567000,-19140000,-39310000,-50985000,-21962000,-30661000,-23176000,-12468000,-26797000,-22880000,-22715000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-10416000,- -,- -,- -,-165393000,- -,- -,- -,9121000,1625000,- -,-1926000,- -,-150000,- -,- -,- -,-1642241000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-8800000,-25885000,-27271000,-13020000,-450000,-391776000,-448123000,-312560000,-347135000,-89896000,-84990000,-305128000,-267895000,-258278000,-247355000,-216013000,-300620000,-300434000,-373281000,-822000,-1067000,-591000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,3800000,- -,23143000,25263000,5021000,352000000,604510000,311439000,328285000,30000000,149750000,143193000,277620000,240586000,240369000,216559000,199681000,301158000,409238000,262317000,2173000,2529000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,17750000,- -,- -,- -,- -,- -,2667000,- -,-23276000,-5985000,-9601000,-19140000,-39310000,-50985000,-21962000,-30661000,-23176000,-12468000,-26797000,-18188000,-20815000
89,Cash Used for Investing Activites,-2200000,-3600000,-3900000,-8200000,-5900000,-3800000,-20221000,-23081000,-25912000,491000,-12312000,-67499000,-50866000,-22482000,-42148000,-83172000,67896000,-169911000,-9415000,-58928000,-57971000,-21566000,-131600000,-22452000,23489000,-1407543000,-17082000,-18877000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31500000,-55000000,- -,- -,-190249000,- -,-8000000,-103188000,-25000000,-196980000
91,Common Stock Issued,35700000,100000,800000,1800000,2500000,6400000,8969000,17878000,3705000,4486000,67192000,31687000,21249000,8152000,15108000,12097000,36204000,54301000,43123000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-12800000,-13200000,-46400000,-72613000,-40050000,-72082000,-44826000,-1833000,-28466000,-70395000,-4021000,-1542000,-17817000,-49652000,-105716000,-273791000,-23931000,-85654000,-112939000,-497393000,-34236000,-52948000,-13177000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7282000,-9455000,-9540000,-9711000,-9787000,-9781000,-9703000,-9040000,-17072000,-17372000,-25730000,-21061000,-19959000,-19996000,-22880000,-23970000,- -
94,Other Financing Activites,-87200000,-20000000,- -,100000,- -,-65000000,- -,-281000,-31000,- -,- -,- -,22043000,-20835000,1763000,592000,2247000,5747000,72947000,49540000,22492000,53451000,652006000,7643000,20498000,1246373000,2595000,550299000
95,Cash Used/Provided by Financing Activities,-51500000,-19900000,800000,-10900000,-10700000,-105000000,-63644000,-22453000,-68408000,-40340000,65359000,-4061000,-36558000,-26244000,5618000,-14915000,-20982000,-55371000,-198261000,-46463000,-80534000,-85218000,-56697000,-46552000,-60446000,1107128000,-46375000,353319000
96,Effect of Forex Changes on Cash,- -,- -,-300000,- -,- -,- -,- -,- -,- -,1412000,472000,402000,-619000,1106000,2590000,-5961000,1125000,1464000,-810000,-669000,942000,-3508000,-156000,-2263000,4500000,-3784000,-3192000,2967000
97,Net Change In Cash,-51500000,-19900000,800000,-10900000,-10700000,-105000000,-2728000,20273000,-17496000,11656000,125912000,22446000,-9695000,25428000,68960000,-4898000,191768000,-65586000,-68038000,19441000,3928000,44146000,-41584000,66704000,88691000,-188152000,11370000,482589000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,40271000,60544000,43048000,54704000,180616000,78398000,68703000,94131000,163091000,158193000,349961000,284375000,209335000,228776000,232704000,276850000,235266000,301970000,390661000,202509000,213879000,696468000
99,Cash at the Beginning of Period,33300000,8500000,3400000,26800000,42300000,64900000,42999000,40271000,60544000,43048000,54704000,55952000,78398000,68703000,94131000,163091000,158193000,349961000,277373000,209335000,228776000,232704000,276850000,235266000,301970000,390661000,202509000,213879000
100,Free Cash Flow,26700000,14700000,23000000,26400000,33300000,83100000,65916000,50861000,65456000,38341000,55510000,65881000,36488000,49020000,79602000,99150000,143729000,139665000,121308000,86191000,90506000,132476000,116208000,114795000,108680000,89250000,55139000,122465000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/914025/000091402520000064/0000914025-20-000064-index.htm,https://www.sec.gov/Archives/edgar/data/914025/000091402521000019/0000914025-21-000019-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
