,https://roic.ai/company/QURE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,-9.1131,-7.9061,-7.6298,-2.8779,-6.0623,-7.3620,-17.0582,-3.7704,0.6351
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,-471213,1145000,-199000,231000,- -,-16419000,3217000
23,Net Income,- -,-22422396,-19462004,-37034991,-45041101,-78149258,-73374000,-79260000,-83304000,-124201000,-125024000,329589000
24,Net Income ratio,- -,-Infinity,-Infinity,-9.1131,-7.9061,-7.5841,-2.9235,-6.0472,-7.3825,-17.0582,-3.3327,0.6290
25,EPS,- -,-1.27,-1.11,-2.10,-2.63,-3.54,-2.93,-2.94,-2.34,-3.11,-2.81,0.01
26,EPS Diluted,- -,-1.27,-1.11,-2.10,-2.63,-3.54,-2.93,-2.94,-2.34,-3.11,-2.81,0.01
27,Weighted Average Shares Outstanding,- -,17594906,17594906,17594906,17121000,22082345,25036465,26984183,35639745,39999450,44466365,46152404
28,Weighted Average Shares Outstanding Diluted,- -,17594906,17594906,17594906,17121000,22082345,25036465,26984183,35639745,39999450,44466365,46152404
29,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1590560/000104746917001589/0001047469-17-001589-index.htm,https://www.sec.gov/Archives/edgar/data/1590560/000155837018002042/0001558370-18-002042-index.htm,https://www.sec.gov/Archives/edgar/data/1590560/000155837019001305/0001558370-19-001305-index.htm,https://www.sec.gov/Archives/edgar/data/1590560/000155837020001883/0001558370-20-001883-index.htm,https://www.sec.gov/Archives/edgar/data/1590560/000155837021002186/0001558370-21-002186-index.htm,https://www.sec.gov/Archives/edgar/data/1590560/000155837022002050/0001558370-22-002050-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,23751829,1425702,347819,32878566,64714967,222522030,132496000,159371000,234898000,377793000,244932000,556256000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,23751829,1425702,347819,32878566,64714967,222522030,132496000,159371000,234898000,377793000,244932000,556256000
34,Net Receivables,853837,1404964,1112228,3577840,4198891,5345156,9180000,1586000,233000,947000,6618000,58768000
35,Inventory,- -,- -,- -,1194454,243202,475587,- -,- -,- -,- -,- -,- -
36,Other Current Assets,0,- -,- -,539921,626246,692060,2270000,1826000,1445000,5466000,7361000,13215000
37,Total Current Assets,24605666,2830666,1460047,38190781,69783307,229034833,143946000,162783000,236576000,384206000,258911000,628239000
38,PP&E,1710334,1160003,1567170,3609600,23915317,26042464,35702000,- -,- -,- -,58414000,69078000
39,Goodwill,- -,- -,- -,- -,1631889,483240,465000,530000,506000,496000,542000,27633000
40,Intangible Assets,3878175,3531851,4335176,10736281,19903692,7881617,8324000,9570000,5201000,5427000,3361000,62686000
41,Intangible Assets,3878175,3531851,4335176,10736281,21535581,8364857,8789000,10100000,5707000,5923000,3903000,90319000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16419000,15647000
44,Other Non-Current Assets,- -,-0,- -,1274545,1242765,1248551,1828000,36761000,31623000,58501000,2748000,5897000
45,Total Non-Current Assets,5588509,4691854,5902346,15620426,46693662,35655872,46319000,46861000,37330000,64424000,81484000,180941000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,30194175,7522520,7362393,53811207,116476969,264690705,190265000,209644000,273906000,448630000,340395000,809180000
48,Accounts Payable,2069424,2250016,2775941,4842719,5909821,4192815,5524000,2908000,3792000,5681000,3772000,2502000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,1050000,- -,- -,5524000,5774000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,1766135,1614865,6805808,6142000,4613000,7634000,7627000,2082000,- -
52,Other Current Liabilities,3519085,2510531,4583807,7824022,7398220,15653904,11055000,10659000,8543000,18322000,15956000,28487000
53,Total Current Liabilities,5588509,4760547,7359748,14432876,14922905,26652527,22721000,19230000,19969000,31630000,27334000,36763000
54,Long-Term Debt,- -,- -,- -,8688448,19964492,14687425,19631000,19741000,35471000,36062000,66020000,129950000
55,Deferred Revenue,- -,- -,- -,21650695,18710784,82929176,75612000,67408000,28861000,23138000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,1676881,- -,- -,- -,- -,- -,- -,12913000
57,Other Non-Current Liabilities,6439686,6122740,595128,1356016,8811226,9789430,8670000,13906000,9999000,34742000,3136000,33778000
58,Total Non-Current Liabilities,6439686,6122740,595128,31695159,49163383,107406031,103913000,101055000,74331000,93942000,69156000,176641000
59,Other Liabilities,- -,- -,- -,- -,98326767,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,293922,233297,595128,417023,162946,- -,- -,- -,- -,36998000,35927000,34761000
61,Total Liabilities,12028195,10883287,7954876,46128034,64086288,134058557,126634000,120285000,94300000,125572000,96490000,213404000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,312542,307174,638771,842332,1100491,1329456,1593000,1947000,2299000,2651000,2711000,2802000
64,Retained Earnings,-117309483,-136744216,-155042717,-198902207,-220196751,-276125555,-396058000,-475318000,-535506000,-659707000,-784731000,-455142000
65,Other Comprehensive Income/Loss,-3694640,-4366535,-5180258,-6147643,-7338635,-10837907,-12069000,-4000000,-7000000,-7000000,9907000,-28856000
66,Other Total Stockholders Equity,138857561,137442810,158991721,211890690,278825575,416266154,470165000,566730000,719813000,987114000,1016018000,- -
67,Total Stockholders Equity,18165980,-3360767,-592483,7683173,52390680,130632147,63631000,89359000,179606000,323058000,243905000,595776000
68,Total Liabilities And Stockholders Equity,30194175,7522520,7362393,53811207,116476969,264690705,190265000,209644000,273906000,448630000,340395000,809180000
69,Minority Interest,- -,0,- -,- -,-0,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,30194175,7522520,7362393,53811207,116476969,264690705,190265000,209644000,273906000,448630000,340395000,809180000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1590560/000104746917001589/0001047469-17-001589-index.htm,https://www.sec.gov/Archives/edgar/data/1590560/000155837018002042/0001558370-18-002042-index.htm,https://www.sec.gov/Archives/edgar/data/1590560/000155837019001305/0001558370-19-001305-index.htm,https://www.sec.gov/Archives/edgar/data/1590560/000155837020001883/0001558370-20-001883-index.htm,https://www.sec.gov/Archives/edgar/data/1590560/000155837021002186/0001558370-21-002186-index.htm,https://www.sec.gov/Archives/edgar/data/1590560/000155837022002050/0001558370-22-002050-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,- -,-22422396,-19462004,-37034991,-45041101,-78149258,-73374000,-79260000,-83304000,-124201000,-125024000,329589000
74,Depreciation and Amortization,- -,764694,724734,738767,1871443,4856449,6089000,7543000,12415000,6669000,10648000,7299000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-523692,1145000,209000,231000,- -,-16419000,3210000
76,Stock Based Compensation,- -,1218327,2336869,2793504,11508342,8338618,6214000,10280000,10708000,17533000,21831000,25635000
77,Change in Working Capital,- -,-1836563,-3969820,29657607,31102496,147521904,-81157306,22328000,73054000,135969000,-120999000,-50482000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3959000
79,Inventory,- -,- -,- -,-1194454,807432,-256926,480000,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,344000,-1670000,1065000,1652000,-2701000,-727000
81,Other Working Capital,- -,-1929881,-5899701,23757905,54860402,202382306,121225000,143553000,216607000,352576000,231577000,- -
82,Other Non-Cash Items,- -,624716,5456317,-1866174,-30358297,-63267646,68894306,-25370000,-89141000,-134654000,95135000,-27292000
83,Cash Provided by Operating Activities,- -,-21651222,-14913905,-5711287,-30917117,18776376,-72189000,-64270000,-76037000,-98684000,-134828000,287959000
84,CAPEX,- -,-400493,-1249769,-8268662,-23269614,-9414427,-17172000,-5583000,-4245000,-6647000,-9484000,-17438000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-49949000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,49252,-581903,-6400342,-5693370,-3114819,-2497000,-1122000,-1861000,-996000,-2213000,- -
89,Cash Used for Investing Activites,- -,-209967,-1100325,-8245188,-24868671,-9314937,-17785000,-5583000,-4245000,-6647000,-9484000,-67387000
90,Debt Repayment,- -,- -,- -,-197465,-189698,-183675,-148000,- -,- -,- -,- -,-1572000
91,Common Stock Issued,- -,139978,12926178,19738187,76726738,151249645,2593000,85290000,138361000,242718000,- -,30899000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,1981115,26914579,7923537,-669101,- -,4784000,19600000,6103000,7444000,65531000
95,Cash Used/Provided by Financing Activities,- -,139978,14907292,46455301,84460577,150396869,2445000,90074000,157961000,248821000,7444000,94858000
96,Effect of Forex Changes on Cash,- -,- -,- -,16570,7086921,4479260,-1601000,7306000,-2187000,-106000,3822000,-3757000
97,Net Change In Cash,- -,-21721211,-1106938,32515397,35761710,164337568,-89130000,27527000,75491000,143384000,-133046000,311673000
98,Cash at the End of Period,- -,1425702,347819,32878566,64714967,222522030,132496000,161851000,237342000,380726000,247680000,559353000
99,Cash at the Beginning of Period,- -,23146912,1454757,363169,28953256,58184462,221626000,134324000,161851000,237342000,380726000,247680000
100,Free Cash Flow,- -,-22051714,-16163673,-13979950,-54186731,9361949,-89361000,-69853000,-80282000,-105331000,-144312000,270521000
101,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1590560/000104746917001589/0001047469-17-001589-index.htm,https://www.sec.gov/Archives/edgar/data/1590560/000155837018002042/0001558370-18-002042-index.htm,https://www.sec.gov/Archives/edgar/data/1590560/000155837019001305/0001558370-19-001305-index.htm,https://www.sec.gov/Archives/edgar/data/1590560/000155837020001883/0001558370-20-001883-index.htm,https://www.sec.gov/Archives/edgar/data/1590560/000155837021002186/0001558370-21-002186-index.htm,https://www.sec.gov/Archives/edgar/data/1590560/000155837022002050/0001558370-22-002050-index.htm
102,false,,,,,,,,,,,,
