,https://roic.ai/company/ZOM,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,239924
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,198112
52,Other Current Liabilities,- -,- -,977,5157,141576,734431,828737,2376519,2087525,-779895,501545
53,Total Current Liabilities,- -,- -,977,5157,146289,741157,828737,2376519,2087525,1501,4339700
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,275,964191
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,139950
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3709312
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,360797
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,275,5174250
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,1340786,1378886
61,Total Liabilities,- -,- -,977,5157,146289,741157,828737,2376519,2087525,-1227,9513950
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,11961397,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,30410648,38566820,460,380961940
64,Retained Earnings,- -,- -,-1344,-78732,-1520536,-7533382,-15626100,-32273787,-52057841,- -,-119391398
65,Other Comprehensive Income/Loss,- -,- -,- -,29341,- -,1477810,-138742,-270405,-546654,- -,1665
66,Other Total Stockholders Equity,- -,- -,97680,255774,- -,- -,20151927,5790544,4171737,51065403,- -
67,Total Stockholders Equity,- -,- -,96336,206383,3714045,4134401,4387085,3657000,2095459,51065863,270885343
68,Total Liabilities And Stockholders Equity,- -,- -,97313,211540,3860334,4875558,5215822,6033519,4182984,51064636,280399293
69,Minority Interest,- -,- -,-0,0,- -,- -,- -,- -,- -,-51001685,- -
70,Total Liabilities & Equity,- -,- -,97313,211540,3860334,4875558,5215822,6033519,4182984,62951,280399293
71,SEC Link,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1684144/000117184318001549/0001171843-18-001549-index.htm,https://www.sec.gov/Archives/edgar/data/1684144/000117184319001229/0001171843-19-001229-index.htm,https://www.sec.gov/Archives/edgar/data/1684144/000117184320001304/0001171843-20-001304-index.htm,https://www.sec.gov/Archives/edgar/data/1684144/000117184321001378/0001171843-21-001378-index.htm,https://www.sec.gov/Archives/edgar/data/1684144/000165495422002343/0001654954-22-002343-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,- -,- -,- -,-77495,-42410,-6012846,-8065072,-16647687,-19784054,16911784,-18383170
74,Depreciation and Amortization,- -,- -,- -,- -,- -,45821,92410,205767,787613,305914,1139589
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,15187,- -,1467934,1124810,7288,2539092,1656184,7092031
77,Change in Working Capital,- -,- -,- -,120,3145365,2761266,596900,-1949516,-1765175,341226,-3875793
78,Accounts Receivable,- -,- -,- -,-4139,1630,- -,- -,- -,- -,-78589,-47076
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2774484
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1412038
81,Other Working Capital,- -,- -,- -,141126,3286491,2837055,3433955,1484439,-280736,60490,-2522129
82,Other Non-Cash Items,- -,- -,- -,0,-3144398,-2824343,-842065,7236620,2588460,-19215108,-247813
83,Cash Provided by Operating Activities,- -,- -,- -,-62189,-41442,-4562168,-7093017,-11147528,-15634064,- -,-14275156
84,CAPEX,- -,- -,- -,- -,- -,-241215,-171736,-627997,-686932,20400,-526174
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-71399419
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-9611,- -,9000,-531419,1020569,-378822
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-241215,-171736,-618997,-686932,1005719,-71925368
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,224687,- -,4755586,- -,- -,3000000,56496283,199525000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,-28456,- -,30767,7486220,10258643,11891317,20218478,19634366
95,Cash Used/Provided by Financing Activities,- -,- -,- -,196231,- -,4786353,7486220,10258643,14891317,76714761,219159366
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1663
97,Net Change In Cash,- -,- -,- -,134042,-41442,-17030,221467,-1507882,-1429679,61481117,132960505
98,Cash at the End of Period,- -,- -,- -,207401,142999,3226680,3448147,1940265,510586,61991703,194952208
99,Cash at the Beginning of Period,- -,- -,- -,73359,184441,3243710,3226680,3448147,1940265,510586,61991703
100,Free Cash Flow,- -,- -,- -,-62189,-41442,-4803383,-7264753,-11775525,-16320996,20400,-14801330
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1684144/000117184318001549/0001171843-18-001549-index.htm,https://www.sec.gov/Archives/edgar/data/1684144/000117184319001229/0001171843-19-001229-index.htm,https://www.sec.gov/Archives/edgar/data/1684144/000117184320001304/0001171843-20-001304-index.htm,https://www.sec.gov/Archives/edgar/data/1684144/000117184321001378/0001171843-21-001378-index.htm,https://www.sec.gov/Archives/edgar/data/1684144/000165495422002343/0001654954-22-002343-index.htm
102,false,,,,,,,,,,,
