,https://roic.ai/company/PDD,2016,2017,2018,2019,2020,2021
53,Total Current Liabilities,1414296000,12109507000,24359469000,45767806000,83882077000,93729714000
54,Long-Term Debt,- -,- -,- -,5635275000,14847731000,12333170000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,31291000
57,Other Non-Current Liabilities,- -,- -,- -,7389000,2918000,996000
58,Total Non-Current Liabilities,- -,- -,- -,5642664000,14850649000,12365457000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,544327000,667975000,971427000
61,Total Liabilities,1414296000,12109507000,24359469000,51410470000,98732726000,106095171000
62,Preferred Stock,782733000,- -,- -,- -,- -,- -
63,Common Stock,56000,104000,142000,148000,159000,161000
64,Retained Earnings,-472445000,-1030237000,-11327858000,-18295461000,-25475203000,-17706533000
65,Other Comprehensive Income/Loss,24580000,-23101000,1035783000,1448230000,-1047728000,-2519900000
66,Other Total Stockholders Equity,21531000,2258197000,29114527000,41493949000,86698660000,95340819000
67,Total Stockholders Equity,356455000,1204963000,18822594000,24646866000,60175888000,75114547000
68,Total Liabilities And Stockholders Equity,1770751000,13314470000,43182063000,76057336000,158908614000,181209718000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1770751000,13314470000,43182063000,76057336000,158908614000,181209718000
71,SEC Link,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-291977000,-525115000,-10217125000,-6967603000,-7179742000,7768670000
74,Depreciation and Amortization,756000,2265000,497003000,637831000,148945000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,4064000,13380000,6841573000,2557706000,3613043000,- -
77,Change in Working Capital,1158266000,817458000,10724730000,18605657000,31049657000,- -
78,Accounts Receivable,-8316000,-77891000,-159413000,-803388000,321426000,- -
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,1091603000,8721721000,7437415000,12650833000,23934151000,- -
81,Other Working Capital,116741000,-7757937000,2545217000,3476733000,4902627000,- -
82,Other Non-Cash Items,8668000,7491000,-78254000,-12615000,564724000,21014341000
83,Cash Provided by Operating Activities,879777000,315479000,7767927000,14820976000,28196627000,28783011000
84,CAPEX,-2301000,-8921000,-27331000,-27436000,-43046000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-335000000,-1393000000,-7701007000,-52665715000,-93160296000,- -
87,Sales/Maturities of Investments,30000000,1633000000,55000000,24797630000,55083390000,- -
88,Other Investing Activites,- -,-159428000,124829000,-451593000,-280995000,-35562365000
89,Cash Used for Investing Activites,-307301000,71651000,-7548509000,-28319678000,-38357901000,-35562365000
90,Debt Repayment,- -,- -,- -,- -,-922897000,- -
91,Common Stock Issued,- -,- -,11879944000,8194597000,37868777000,- -
92,Common Stock Repurchased,- -,-32677000,- -,- -,- -,- -
93,Dividends Paid,-18326000,- -,- -,- -,- -,- -
94,Other Financing Activites,504864000,1431537000,5464413000,7660134000,14853116000,-1875154000
95,Cash Used/Provided by Financing Activities,486538000,1398860000,17344357000,15854731000,51798996000,-1875154000
96,Effect of Forex Changes on Cash,20397000,-47681000,546910000,450142000,-139943000,-145157000
97,Net Change In Cash,1079411000,1738309000,18110685000,2806171000,41497779000,-8799665000
98,Cash at the End of Period,1319843000,3058152000,30539686000,33345857000,74843636000,66043971000
99,Cash at the Beginning of Period,240432000,1319843000,12429001000,30539686000,33345857000,74843636000
100,Free Cash Flow,877476000,306558000,7740596000,14793540000,28153581000,28783011000
101,SEC Link,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.1439,0.1537,0.1453,0.1436,0.1532,0.1572
