,https://roic.ai/company/SWBI,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,295000,436000,315000,1505000,814000,149000,395000,176000,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,5892000,4824000,5683000,7484000,5781000,12261000,11330000,13704000,- -,- -,- -,11213000,3919000
14,Depreciation and Amortization,44538,- -,927502,987674,1705514,2756915,4366840,7473027,12549741,12670000,13623000,14935000,16729000,16730000,21704000,30893000,41237000,50213000,52075000,53859000,54058000,31575000
15,EBITDA,-2497532,- -,-4464730,4246833,3011244,11432361,18131036,28052791,27345371,-60563000,65798000,-61903000,52900000,147724000,171365000,120741000,200034000,241519000,79092000,82667000,5322000,361937000
16,EBITDA ratio,-186.8431,- -,-0.0583,0.0425,0.0252,0.0909,0.1133,0.1186,0.0924,-0.1808,0.1620,-0.1578,0.1284,0.2514,0.2735,0.2188,0.2767,0.2674,0.1303,0.1295,0.0078,0.3417
17,Operating Income,-2542070,- -,1952076,3803132,5227912,11180991,14544319,24428662,24139518,-72722000,42272000,-80428000,44916000,132834000,150988000,89628000,158643000,199939000,27048000,38056000,-48819000,319632000
18,Operating Income ratio,-190.1751,- -,0.0255,0.0380,0.0437,0.0889,0.0909,0.1033,0.0816,-0.2171,0.1041,-0.2050,0.1090,0.2261,0.2410,0.1624,0.2195,0.2214,0.0446,0.0596,-0.0720,0.3018
19,Total Other Income Expenses (Gains),- -,- -,-7344308,-543973,-3922182,-2505545,-780123,-3848898,-9343888,-6403000,5079000,-2093000,-5901000,-4928000,-14266000,-10896000,-13550000,-8633000,-9431000,-9318000,-11130000,-1667000
20,Income Before Tax,- -,- -,-5392232,3259159,1305730,8675446,13764196,20579764,14795630,-79125000,47351000,-82521000,39015000,127906000,136722000,78732000,145093000,191306000,17617000,28738000,-59949000,317965000
21,Income Before Tax Ratio,- -,- -,-0.0704,0.0326,0.0109,0.0690,0.0860,0.0870,0.0500,-0.2362,0.1166,-0.2104,0.0947,0.2177,0.2182,0.1427,0.2007,0.2118,0.0290,0.0450,-0.0884,0.3002
22,Income Tax expense (Gain),- -,- -,70598,-12404320,-83750,3426490,5062617,7617830,5674516,-14918000,14841000,248000,12582000,46500000,48095000,28905000,51135000,63452000,6889000,10398000,1281000,74394000
23,Net Income,-2542070,- -,-5462830,15663479,1389480,5248956,8701579,12961934,9121114,-64207000,32510000,-82769000,16105000,78713000,89305000,49613000,93958000,127854000,20128000,18410000,-61230000,252049000
24,Net Income ratio,-190.1751,- -,-0.0714,0.1567,0.0116,0.0417,0.0544,0.0548,0.0308,-0.1917,0.0800,-0.2110,0.0391,0.1340,0.1425,0.0899,0.1300,0.1416,0.0332,0.0288,-0.0903,0.2380
25,EPS,-0.23,- -,-0.27,0.52,0.05,0.17,0.24,0.33,0.23,-1.37,0.56,-1.37,0.25,1.21,1.52,0.92,1.72,2.29,0.37,0.34,-1.11,4.62
26,EPS Diluted,-0.23,- -,-0.27,0.44,0.04,0.14,0.22,0.31,0.22,-1.37,0.53,-1.37,0.25,1.18,1.49,0.90,1.68,2.25,0.37,0.33,-1.11,4.55
27,Weighted Average Shares Outstanding,11021937,- -,20566883,29860228,30719114,31361009,36586794,39655459,41938710,46802000,58195000,60622000,64788000,65155000,58668000,53988000,54765000,55930000,54061000,54483000,54983000,54613000
28,Weighted Average Shares Outstanding Diluted,11021937,- -,20566883,35694989,36615562,36636170,39787045,41401106,41938710,46802000,65456000,60622000,67277000,66642000,60114000,55228000,55965000,56891000,54834000,55216000,54983000,55352000
29,SEC Link,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1092796/000119312513270582/0001193125-13-270582-index.htm,https://www.sec.gov/Archives/edgar/data/1092796/000119312514242483/0001193125-14-242483-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1092796/000156459016020629/0001564590-16-020629-index.htm,https://www.sec.gov/Archives/edgar/data/1092796/000156459017013115/0001564590-17-013115-index.htm,https://www.sec.gov/Archives/edgar/data/1092796/000156459018015882/0001564590-18-015882-index.htm,https://www.sec.gov/Archives/edgar/data/1092796/000156459019022862/0001564590-19-022862-index.htm,https://www.sec.gov/Archives/edgar/data/1092796/000156459020029954/0001564590-20-029954-index.htm,https://www.sec.gov/Archives/edgar/data/1092796/000156459021033352/0001564590-21-033352-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,12182010,5510663,4081475,731306,4065328,4358856,39822000,39855000,58292000,53383000,100487000,68860000,42222000,191279000,61549000,48860000,41015000,125398000,113017000
32,Short-Term Investments,- -,- -,- -,1580440,1538738,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,13762450,7049401,4081475,731306,4065328,4358856,39822000,39855000,58292000,53383000,100487000,68860000,42222000,191279000,61549000,48860000,41015000,125398000,113017000
34,Net Receivables,- -,- -,- -,15084170,20410454,18377414,27416227,54103324,55980445,48232000,78629000,69266000,48313000,46088000,55890000,55280000,59856000,119087000,61258000,87371000,95028000,68351000
35,Inventory,- -,- -,- -,15599305,15986705,19892581,19101507,32022293,47159978,41729000,50725000,51720000,55296000,62998000,86742000,76895000,77789000,131682000,153353000,163770000,164191000,78477000
36,Other Current Assets,- -,- -,- -,12029943,5723661,8507847,5914248,12071988,14672207,15598000,15634000,24285000,33722000,19993000,27679000,22679000,4307000,6123000,6893000,6528000,11234000,8408000
37,Total Current Assets,- -,- -,- -,56475868,49170221,50859317,53163288,102262933,122171486,145381000,184843000,203563000,190714000,229566000,239171000,197076000,333231000,318441000,270364000,298684000,395851000,268253000
38,PP&E,- -,- -,- -,7135073,11021174,16726361,28181864,44424299,50642953,51135000,58718000,62390000,60528000,86382000,120440000,133844000,135405000,149685000,159125000,183268000,165987000,141612000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,41955182,41173416,- -,83865000,- -,- -,- -,- -,75426000,76357000,169017000,191287000,182269000,83605000,19024000
40,Intangible Assets,- -,- -,- -,310333,351908,364908,406988,69548017,65500742,5940000,16219000,8692000,4532000,3965000,3425000,73768000,62924000,141317000,112760000,91840000,73754000,4417000
41,Intangible Assets,- -,- -,- -,310333,351908,364908,406988,111503199,106674158,5940000,100084000,8692000,4532000,3965000,3425000,149194000,139281000,310334000,304047000,274109000,157359000,23441000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,9308893,9607287,7806702,7358194,- -,- -,1143000,- -,- -,- -,12076000,17094000,16373000,12161000,25620000,12895000,9776000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,33302522,31124517,6235058,5587301,10066997,10261975,6632000,5696000,6804000,5900000,-5000000,1373000,-1495000,-575000,-16044000,-1371000,952000,9764000,13082000
45,Total Non-Current Assets,- -,- -,- -,50056821,52104886,31133029,41534347,165994495,167579086,64850000,164498000,77886000,70960000,97423000,142332000,297916000,286272000,469595000,474696000,468105000,333110000,178135000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,106532689,101275107,81992346,94697635,268257428,289750572,210231000,349341000,281449000,261674000,326989000,381503000,494992000,619503000,788036000,745060000,766789000,728961000,446388000
48,Accounts Payable,- -,- -,- -,8009513,9608975,12034692,13560027,21088622,21995705,21009000,29258000,40119000,28618000,31220000,37688000,32360000,45513000,53447000,33617000,35584000,39196000,57337000
49,Short-Term Debt,- -,- -,- -,92278,4039456,1586464,1690584,2887403,8919640,2378000,- -,30000000,418000,442000,469000,- -,7755000,7322000,6731000,6981000,3659000,2396000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,4998000,2529000,11421000,4561000,5349000,5359000,9505000,11891000,8484000,4446000,6253000,26964000,13367000
51,Deferred Revenue,- -,- -,- -,212787,442291,15646,4836,190350,212552,- -,- -,- -,80000,- -,- -,- -,- -,- -,- -,- -,2396000,2907000
52,Other Current Liabilities,- -,- -,- -,18361748,15583158,14173484,16439255,31781947,32321159,43979000,67694000,52175000,54229000,50931000,54386000,48651000,69324000,90476000,60334000,68718000,84720000,63015000
53,Total Current Liabilities,- -,- -,- -,26676326,29673880,27810286,31694702,55948322,63449056,67366000,96952000,122294000,83345000,82593000,92543000,81011000,122592000,151245000,100682000,111283000,129971000,125655000
54,Long-Term Debt,- -,- -,- -,42907722,37870046,16028424,14337817,120538598,118773987,83606000,80000000,50000000,50000000,43559000,100000000,175000000,166564000,210657000,180304000,194834000,199044000,38786000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,23590404,20216239,- -,3255000,5309000,4537000,7863000,11418000,33905000,12161000,25620000,12895000,9776000,- -,904000
57,Other Non-Current Liabilities,- -,- -,- -,21918798,16913947,11062459,7332368,9074905,9460761,8633000,8557000,8763000,10948000,11675000,10719000,10706000,10370000,7352000,29031000,6452000,12828000,14659000
58,Total Non-Current Liabilities,- -,- -,- -,64826520,54783993,27090883,21670185,153203907,148450987,92239000,91812000,64072000,65485000,63097000,122137000,219611000,189095000,243629000,222230000,211062000,211872000,54349000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,418000,442000,469000,- -,1455000,1022000,431000,46081000,51020000,41182000
61,Total Liabilities,- -,- -,- -,91502846,84457873,54901169,53364887,209152229,211900043,159605000,188764000,186366000,148830000,145690000,214680000,300622000,311687000,394874000,322912000,322345000,341843000,180004000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,30620,30936,31974,39311,40983,41831,49000,61000,66000,67000,68000,69000,70000,72000,72000,72000,73000,74000,74000
64,Retained Earnings,- -,- -,- -,-1275361,114119,-685616,8015963,20977897,30004326,-34203000,-1693000,-84462000,-70279000,8434000,97739000,147352000,241310000,369164000,389146000,402946000,341716000,325181000
65,Other Comprehensive Income/Loss,- -,- -,- -,27476,20245,-5490866,-9317200,72651,72651,73000,73000,73000,73000,73000,73000,73000,-748000,436000,1689000,620000,73000,73000
66,Other Total Stockholders Equity,- -,- -,- -,16247108,16651934,33235685,42594674,38013668,47731721,84707000,162136000,179406000,182983000,172724000,68942000,46875000,67182000,23490000,31241000,40805000,45255000,-58944000
67,Total Stockholders Equity,- -,- -,- -,15029843,16817234,27091177,41332748,59105199,77850529,50626000,160577000,95083000,112844000,181299000,166823000,194370000,307816000,393162000,422148000,444444000,387118000,266384000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,106532689,101275107,81992346,94697635,268257428,289750572,210231000,349341000,281449000,261674000,326989000,381503000,494992000,619503000,788036000,745060000,766789000,728961000,446388000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,106532689,101275107,81992346,94697635,268257428,289750572,210231000,349341000,281449000,261674000,326989000,381503000,494992000,619503000,788036000,745060000,766789000,728961000,446388000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1092796/000119312513270582/0001193125-13-270582-index.htm,https://www.sec.gov/Archives/edgar/data/1092796/000119312514242483/0001193125-14-242483-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1092796/000156459016020629/0001564590-16-020629-index.htm,https://www.sec.gov/Archives/edgar/data/1092796/000156459017013115/0001564590-17-013115-index.htm,https://www.sec.gov/Archives/edgar/data/1092796/000156459018015882/0001564590-18-015882-index.htm,https://www.sec.gov/Archives/edgar/data/1092796/000156459019022862/0001564590-19-022862-index.htm,https://www.sec.gov/Archives/edgar/data/1092796/000156459020029954/0001564590-20-029954-index.htm,https://www.sec.gov/Archives/edgar/data/1092796/000156459021033352/0001564590-21-033352-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2542070,- -,-5462830,15663479,1389480,5248956,8701579,12961934,9121114,-64207000,32510000,-82769000,16105000,78713000,89305000,49613000,93958000,127854000,20128000,18410000,-61230000,252049000
74,Depreciation and Amortization,44538,- -,927502,987674,1705514,2756915,4366840,7473027,12549741,12670000,13623000,14935000,16729000,16730000,21704000,30893000,41237000,50213000,52075000,53859000,54058000,31575000
75,Deferred Income Tax,- -,- -,- -,-12453671,-226266,3019605,3985914,-2242970,-3601831,-23917000,6927000,-480000,-1558000,4009000,-1463000,2341000,-4448000,-7840000,-8775000,-2795000,-12009000,447000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,3307000,3284000,1680000,2484000,4073000,8212000,5808000,6472000,8590000,7815000,7992000,2921000,4706000
77,Change in Working Capital,-92447,- -,92447,29799542,-10303201,3552690,-1580445,24846025,12407819,19292570,9876000,-6622000,26100000,39604000,-345000,-30563000,94574000,-43443000,2486000,17719000,78479000,37546000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,3619000,-14872000,7327000,7803000,1505000,-9588000,10983000,-2254000,-40709000,51380000,-28997000,-8630000,-5824000
79,Inventory,- -,- -,4536759,2776363,-670463,-4003818,-94145,-1979543,-15137685,5431000,-5024000,-995000,-7927000,-7702000,-23744000,25662000,-804000,-22171000,-16971000,-10533000,-421000,25264000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3703000,10861000,-8521000,2602000,6468000,-7345000,13048000,1233000,-20998000,3392000,3681000,25540000
81,Other Working Capital,-92447,- -,- -,29799542,19496341,23049031,21468586,46314611,58722430,78015000,87891000,81269000,107369000,146973000,146628000,116065000,210639000,167196000,169682000,187401000,265880000,-3643000
82,Other Non-Cash Items,854894,- -,7740472,-35514896,8341175,-8136175,-3025270,-27225035,-24472901,105917430,-43128000,112544000,-22010000,-45031000,-27207000,56715000,-63236000,-11798000,-12086000,-37735000,32742000,-10989000
83,Cash Provided by Operating Activities,-1735085,- -,3297591,-1517872,906702,6441991,12448618,15812981,6003942,53063000,23092000,39288000,37850000,98098000,90206000,114807000,168557000,123576000,61643000,57450000,94961000,315334000
84,CAPEX,-24744,- -,-2441224,-4302541,-5676614,-8423144,-15663037,-15764834,-14066992,-9482000,-17720000,-20915000,-14585000,-41523000,-62794000,-28591000,-30917000,-35514000,-19050000,-34465000,-14744000,-22684000
85,Acquisitions Net,-100000,- -,28598168,- -,- -,- -,- -,-103341585,-107493,- -,-21074000,- -,500000,7500000,- -,-159242000,-1220000,-211069000,-23120000,-1772000,- -,- -
86,Purchases of Investments,- -,- -,-28539274,-552673,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,34471,1537273,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,7251780,468325,-1198623,22983168,60928,1010615,13280,-16000,-431000,-509000,25000,1011000,-65000,1384000,-170000,2203000,-554000,894000,-26000,-1352000
89,Cash Used for Investing Activites,-124744,- -,4869450,-4386889,-6840766,16097297,-15602109,-118095804,-14161205,-9452000,-38771000,-20862000,-13867000,-32910000,-62616000,-186057000,-31992000,-243742000,-42164000,-34827000,-13958000,-23404000
90,Debt Repayment,-95000,- -,- -,- -,- -,- -,- -,- -,- -,-64521000,-23364000,-51365000,-31532000,-8795000,-45739000,-100596000,-105321000,-56858000,-181946000,-82041000,-225500000,-185996000
91,Common Stock Issued,867525,- -,3937800,431705,353215,980981,26105039,7350410,2233569,32046000,35017000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-23950701,-6396000,- -,- -,- -,- -,- -,-20000000,-115887000,-30040000,- -,-50052000,- -,- -,- -,-110000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8223000
94,Other Financing Activites,1169425,- -,1529450,-2357425,-1090498,-24949457,-2351016,104662435,6217222,24327000,4059000,51376000,5974000,7377000,102409000,175248000,117813000,97346000,149778000,51573000,228880000,295000
95,Cash Used/Provided by Financing Activities,1941950,- -,5467250,-1925720,-737283,-23968476,-196678,105616845,8450791,-8148000,15712000,11000,-25558000,-21418000,-59217000,44612000,12492000,-9564000,-32168000,-30468000,3380000,-303924000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,82121,- -,13634291,-7830481,-6671347,-1429188,-3350169,3334022,293528,35463000,33000,18437000,-1575000,43770000,-31627000,-26638000,149057000,-129730000,-12689000,-7845000,84383000,-11994000
98,Cash at the End of Period,83121,- -,13703401,12182010,5510663,4081475,731306,4065328,4358856,39822000,39855000,58292000,56717000,100487000,68860000,42222000,191279000,61549000,48860000,41015000,125398000,113017000
99,Cash at the Beginning of Period,1000,- -,69110,20012491,12182010,5510663,4081475,731306,4065328,4359000,39822000,39855000,58292000,56717000,100487000,68860000,42222000,191279000,61549000,48860000,41015000,125011000
100,Free Cash Flow,-1759829,- -,856367,-5820413,-4769912,-1981153,-3214419,48147,-8063050,43581000,5372000,18373000,23265000,56575000,27412000,86216000,137640000,88062000,42593000,22985000,80217000,292650000
101,SEC Link,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1092796/000119312513270582/0001193125-13-270582-index.htm,https://www.sec.gov/Archives/edgar/data/1092796/000119312514242483/0001193125-14-242483-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1092796/000156459016020629/0001564590-16-020629-index.htm,https://www.sec.gov/Archives/edgar/data/1092796/000156459017013115/0001564590-17-013115-index.htm,https://www.sec.gov/Archives/edgar/data/1092796/000156459018015882/0001564590-18-015882-index.htm,https://www.sec.gov/Archives/edgar/data/1092796/000156459019022862/0001564590-19-022862-index.htm,https://www.sec.gov/Archives/edgar/data/1092796/000156459020029954/0001564590-20-029954-index.htm,https://www.sec.gov/Archives/edgar/data/1092796/000156459021033352/0001564590-21-033352-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
