,https://roic.ai/company/PGTK,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6120,1327196,2010800,816289,5943883,5372401
45,Total Non-Current Assets,530754,- -,- -,- -,- -,- -,- -,- -,- -,- -,23644629,13235230,12372675,12825076,12632868,10562544,22043348,23195491
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,580317,- -,- -,- -,- -,- -,- -,- -,16247,300578,23852892,13279127,12468526,13269014,12964795,29359301,86226237,64423777
48,Accounts Payable,206775,137019,- -,- -,- -,- -,- -,- -,46492,264006,449850,638808,821515,785181,888760,4511721,42276285,3961965
49,Short-Term Debt,- -,- -,- -,5270,- -,- -,- -,- -,- -,1068738,2691881,3898080,4597556,5418493,30000,30000,30000,559922
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18850487,23553267,13603559
52,Other Current Liabilities,747150,663152,- -,44500,- -,- -,- -,- -,127968,1161481,5300950,5459425,5847585,4302979,305049,669936,1854319,23055142
53,Total Current Liabilities,953925,800171,- -,49770,- -,- -,- -,- -,174460,2494225,8442681,9996313,11266656,10506653,1223809,24062144,67713871,41180588
54,Long-Term Debt,42500,- -,- -,- -,- -,- -,- -,- -,- -,2605743,2101569,1513290,819493,- -,- -,- -,- -,822289
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2928006,3294342
58,Total Non-Current Liabilities,42501,- -,- -,- -,- -,- -,- -,- -,- -,2605743,2101569,1513290,819493,- -,- -,- -,2928006,4116631
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1854060,1313236
61,Total Liabilities,996426,800171,- -,49770,- -,- -,- -,- -,174460,5099968,10544250,11509603,12086149,10506653,1223809,24062144,70641877,45297219
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,153777,153777,- -,21244,- -,- -,- -,- -,2,702,16322,16322,23105,26297,40757,45493,45660,46991
64,Retained Earnings,- -,-4188032,- -,-71014,- -,- -,- -,- -,-159387,-6382932,-40090443,-52684562,-60130794,-63483342,-67764051,-85702755,-75321335,-74140257
65,Other Comprehensive Income/Loss,-23335,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4713,-14139,-23564,-116966,892732
66,Other Total Stockholders Equity,-546551,3234084,- -,- -,- -,- -,- -,- -,1172,1582840,53382763,54437764,60490066,66224119,79478419,90977983,90977001,92327092
67,Total Stockholders Equity,-416109,-800171,- -,-49770,- -,- -,- -,- -,-158213,-4799390,13308642,1769524,382377,2762361,11740986,5297157,15584360,19126558
68,Total Liabilities And Stockholders Equity,580317,- -,- -,- -,- -,- -,- -,- -,16247,300578,23852892,13279127,12468526,13269014,12964795,29359301,86226237,64423777
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,580317,- -,- -,- -,- -,- -,- -,- -,16247,300578,23852892,13279127,12468526,13269014,12964795,29359301,86226237,64423777
71,SEC Link,- -,- -,undefined,- -,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1553404/000121390013003347/0001213900-13-003347-index.html,https://www.sec.gov/Archives/edgar/data/1553404/000121390015005179/0001213900-15-005179-index.htm,https://www.sec.gov/Archives/edgar/data/1553404/000121390015005239/0001213900-15-005239-index.htm,https://www.sec.gov/Archives/edgar/data/1553404/000121390016016623/0001213900-16-016623-index.htm,https://www.sec.gov/Archives/edgar/data/1553404/000121390017009541/0001213900-17-009541-index.htm,https://www.sec.gov/Archives/edgar/data/1553404/000121390018009266/0001213900-18-009266-index.htm,https://www.sec.gov/Archives/edgar/data/1553404/000121390019011905/0001213900-19-011905-index.html,https://www.sec.gov/Archives/edgar/data/1553404/000121390020017451/0001213900-20-017451-index.htm,https://www.sec.gov/Archives/edgar/data/1553404/000121390021034687/0001213900-21-034687-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,-482362,-384062,- -,-89286,- -,- -,- -,- -,-159387,-2449668,-33707511,-3053395,-7446232,-3352548,-4205840,-17938704,10381420,1181078
74,Depreciation and Amortization,22205,7221,- -,4560,- -,- -,- -,- -,- -,- -,1291396,868675,868675,873388,885238,885238,1587045,1786197
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,796431,- -,- -,2202767,- -,- -,- -,- -,- -
77,Change in Working Capital,-645538,104191,- -,750401,- -,- -,- -,- -,-108443,-2035434,-6040771,-1717998,-1218389,1108090,9170833,-4373505,1734405,3578680
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9527,20868,-773523,-15892527,4868895
79,Inventory,-38433,38433,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,95508,-51393,192606,185524,-36334,114193,4197071,33858164,-14108132
81,Other Working Capital,-904362,-800171,- -,-49770,- -,- -,- -,- -,-158213,-2193647,-8234418,-9952416,-11170805,-10062715,-891882,-5265387,-3530982,47698
82,Other Non-Cash Items,837047,200896,- -,-712627,- -,- -,- -,- -,143398,2766370,37211565,3849106,4491844,-757531,-8186382,18631751,9746380,-3143236
83,Cash Provided by Operating Activities,-268648,-71754,- -,-46952,- -,- -,- -,- -,-124432,-922301,-1245321,-53612,-1101335,-2128601,-2336151,-2795220,23449250,3402719
84,CAPEX,-12000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-82984,- -,- -,-1331909,-802785,-25000,-446814,-76005
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,114013
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-915779
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,1430,-66721,-46681,50064,- -,- -,- -,-3800876,-681957
89,Cash Used for Investing Activites,-12000,- -,- -,- -,- -,- -,- -,- -,- -,1430,-66721,-46681,50064,-1331909,-802785,-25000,-4247690,-1559728
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,-146310,- -,- -,- -,- -
91,Common Stock Issued,26000,- -,- -,- -,- -,- -,- -,- -,2,600000,1565000,- -,1275000,4621503,3412026,5451500,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,239568,71754,- -,-47692,- -,- -,- -,- -,127751,410797,14876,382865,-239996,-612480,-338450,- -,-614546,1750
95,Cash Used/Provided by Financing Activities,265568,71754,- -,-47692,- -,- -,- -,- -,127753,1010797,1479876,382865,1035004,3862713,3073576,5451500,-614546,1750
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,27,-46,-55491,-486873,55105,-60144,-86925,1986,-63228,204742
97,Net Change In Cash,- -,- -,- -,-94644,- -,- -,- -,- -,- -,89880,112343,-204301,38838,342059,-152285,2633266,18523786,2049483
98,Cash at the End of Period,- -,- -,- -,-5270,- -,- -,- -,- -,3348,93228,205571,1270,40108,382167,229882,2863148,21386934,23436417
99,Cash at the Beginning of Period,15080,- -,- -,89374,- -,- -,- -,- -,- -,3348,93228,205571,1270,40108,382167,229882,2863148,21386934
100,Free Cash Flow,-280648,-71754,- -,-46952,- -,- -,- -,- -,-124432,-922301,-1328305,-53612,-1101335,-3460510,-3138936,-2820220,23002436,3326714
101,SEC Link,- -,- -,undefined,- -,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1553404/000121390013003347/0001213900-13-003347-index.html,https://www.sec.gov/Archives/edgar/data/1553404/000121390015005179/0001213900-15-005179-index.htm,https://www.sec.gov/Archives/edgar/data/1553404/000121390015005239/0001213900-15-005239-index.htm,https://www.sec.gov/Archives/edgar/data/1553404/000121390016016623/0001213900-16-016623-index.htm,https://www.sec.gov/Archives/edgar/data/1553404/000121390017009541/0001213900-17-009541-index.htm,https://www.sec.gov/Archives/edgar/data/1553404/000121390018009266/0001213900-18-009266-index.htm,https://www.sec.gov/Archives/edgar/data/1553404/000121390019011905/0001213900-19-011905-index.html,https://www.sec.gov/Archives/edgar/data/1553404/000121390020017451/0001213900-20-017451-index.htm,https://www.sec.gov/Archives/edgar/data/1553404/000121390021034687/0001213900-21-034687-index.htm
102,false,,,,,,,,,,,,,,,,,,
