,https://roic.ai/company/LFMD,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,-0.7749,-0.8015,-0.6759,-0.7434,-0.2151,-0.2242,-0.2112,-0.2470,-0.2318,-1.5504,-0.5847
19,Total Other Income Expenses (Gains),56238,77176,260946,53194,89785,-48611,-150915,571351,-761150,-2582398,-7015275
20,Income Before Tax,-520129,-462849,-285462,-477685,-172432,-1223293,-1218449,-1484789,-3650758,-60401851,-61316356
21,Income Before Tax Ratio,-0.6993,-0.6869,-0.3531,-0.6689,-0.1415,-0.2335,-0.2411,-0.1784,-0.2928,-1.6196,-0.6602
22,Income Tax expense (Gain),-17200,-17200,-17200,-17200,-13200,- -,- -,-124700,-122500,122500,7700
23,Net Income,-502929,-445649,-268262,-460485,-61992,-1107544,-1205961,-1240827,-3137203,-58646943,-60897704
24,Net Income ratio,-0.6761,-0.6614,-0.3319,-0.6448,-0.0509,-0.2114,-0.2386,-0.1491,-0.2516,-1.5726,-0.6557
25,EPS,-0.10,-0.10,-0.05,-0.10,-0.01,-0.16,-0.14,-0.14,-0.30,-4.44,-2.30
26,EPS Diluted,-0.10,-0.10,-0.05,-0.10,-0.01,-0.16,-0.14,-0.14,-0.30,-4.44,-2.30
27,Weighted Average Shares Outstanding,4478200,5504600,5875000,6074400,6162000,7049031,8795572,9053421,10577689,14275153,26684591
28,Weighted Average Shares Outstanding Diluted,4478200,5504600,5875000,6074400,6162000,7049031,8795572,9053421,10577689,14275153,26684591
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/948320/000121390014001835/0001213900-14-001835-index.htm,https://www.sec.gov/Archives/edgar/data/948320/000121390015002217/0001213900-15-002217-index.htm,https://www.sec.gov/Archives/edgar/data/948320/000121390016011978/0001213900-16-011978-index.html,https://www.sec.gov/Archives/edgar/data/948320/000121390017005790/0001213900-17-005790-index.htm,https://www.sec.gov/Archives/edgar/data/948320/000121390018003893/0001213900-18-003893-index.html,https://www.sec.gov/Archives/edgar/data/948320/000121390019005312/0001213900-19-005312-index.html,https://www.sec.gov/Archives/edgar/data/948320/000149315220005288/0001493152-20-005288-index.html,https://www.sec.gov/Archives/edgar/data/948320/000149315221007194/0001493152-21-007194-index.htm,https://www.sec.gov/Archives/edgar/data/948320/000149315222006182/0001493152-22-006182-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,33502,98930,155056,75495,232984,182561,141379,180093,1106624,9179075,41328039
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,33502,98930,155056,75495,232984,182561,141379,180093,1106624,9179075,41328039
34,Net Receivables,36357,49690,209475,14970,154436,446993,398770,99053,97448,648421,980055
35,Inventory,58800,63378,86195,41008,61051,160270,707161,1022616,950059,1264258,1616600
36,Other Current Assets,- -,- -,- -,- -,- -,- -,16500,303308,592971,971641,996746
37,Total Current Assets,128659,211998,450726,131473,448471,789824,1263810,1605070,2747102,12063395,44921440
38,PP&E,214671,157697,100723,43748,- -,- -,- -,- -,23625,274437,1986253
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,1011065,675452,715823,3015550
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,1011065,675452,715823,3015550
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,214671,157697,100723,43748,- -,- -,- -,1011065,699077,990260,5001803
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,343330,369695,551449,175221,448471,789824,1263810,2616135,3446179,13053655,49923243
48,Accounts Payable,199341,187096,285362,274319,- -,752930,473492,- -,- -,- -,9059214
49,Short-Term Debt,262172,- -,- -,27200,100000,206365,167479,247416,814734,779132,670890
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,75984,109552,916880,1499880
52,Other Current Liabilities,100000,- -,40200,- -,167481,192254,- -,868997,3051156,11794084,11595605
53,Total Current Liabilities,561513,187096,325562,301519,267481,1151549,640971,1192397,3975442,13490096,22825589
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,29978,285323,1178544
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,64800,47600,30400,13200,- -,- -,- -,4000,70000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,600000,500000,100000,100000
58,Total Non-Current Liabilities,64800,47600,30400,13200,- -,- -,- -,604000,599978,385323,1278544
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,29978,285323,1786034
61,Total Liabilities,626313,234696,355962,314719,267481,1151549,640971,1796397,4575420,13875419,24104133
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,3655822,4110962
63,Common Stock,247290,289099,301049,307299,320103,355701,444930,457822,534037,234337,307045
64,Retained Earnings,-7349950,-7795599,-8063861,-8524346,-8586338,-9693882,-10899843,-12140670,-16594917,-80151905,-141921085
65,Other Comprehensive Income/Loss,- -,- -,- -,-635543,-679291,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,6819677,7641499,7958299,8713092,9045604,8983011,11336836,12580548,15072695,77615669,164353933
67,Total Stockholders Equity,-282983,134999,195487,-139498,100078,-355170,881923,897700,-988185,1353923,26850855
68,Total Liabilities And Stockholders Equity,343330,369695,551449,175221,367559,796379,1522894,2694097,3587235,15229342,50954988
69,Minority Interest,- -,- -,- -,- -,80912,-6555,-259084,-77962,-141056,-2175687,-1031745
70,Total Liabilities & Equity,343330,369695,551449,175221,448471,789824,1263810,2616135,3446179,13053655,49923243
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/948320/000121390014001835/0001213900-14-001835-index.htm,https://www.sec.gov/Archives/edgar/data/948320/000121390015002217/0001213900-15-002217-index.htm,https://www.sec.gov/Archives/edgar/data/948320/000121390016011978/0001213900-16-011978-index.html,https://www.sec.gov/Archives/edgar/data/948320/000121390017005790/0001213900-17-005790-index.htm,https://www.sec.gov/Archives/edgar/data/948320/000121390018003893/0001213900-18-003893-index.html,https://www.sec.gov/Archives/edgar/data/948320/000121390019005312/0001213900-19-005312-index.html,https://www.sec.gov/Archives/edgar/data/948320/000149315220005288/0001493152-20-005288-index.html,https://www.sec.gov/Archives/edgar/data/948320/000149315221007194/0001493152-21-007194-index.htm,https://www.sec.gov/Archives/edgar/data/948320/000149315222006182/0001493152-22-006182-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-502929,-445649,-268262,-460485,-61992,-1107544,-1205961,-1240827,-3528258,-60524351,-61324056
74,Depreciation and Amortization,56689,56974,56974,56975,43748,- -,- -,195775,335613,397765,868757
75,Deferred Income Tax,- -,- -,-17200,-17200,-13200,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,400000,84000,105000,125500,142300,587991,162741,273570,733215,18656141,12071659
77,Change in Working Capital,45754,457756,100262,-295210,351036,-542715,984564,-210166,2066229,8797173,9132175
78,Accounts Receivable,43968,-13333,-27785,62505,-139466,-361443,95092,29137,1605,-550973,17702
79,Inventory,46200,-4578,-22817,45187,-20043,-99219,-546891,-341358,72557,-314199,-409823
80,Accounts Payable,- -,- -,- -,- -,- -,585449,-227227,- -,- -,- -,- -
81,Other Working Capital,-432854,24902,125164,-170046,180990,-361725,622839,412673,99568,737328,583000
82,Other Non-Cash Items,-17200,-382807,-235848,623859,-757016,654354,-758560,76130,644609,20541658,6165976
83,Cash Provided by Operating Activities,-17686,-229726,-259074,33439,-295124,-407914,-817216,-905518,251408,-12131614,-33085489
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,-100000,- -,-398136,-3402289
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,241445,-100000,-400000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,127261,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,-100000,- -,-398136,-3154924
89,Cash Used for Investing Activites,- -,- -,- -,- -,127261,- -,- -,141445,-100000,-798136,-3402289
90,Debt Repayment,-176312,-50729,-54000,-80000,-147000,-168600,-762796,-232559,-295000,-2498808,-16494784
91,Common Stock Issued,193500,345883,175000,- -,- -,63250,673245,- -,349999,17238569,13988751
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-87053,-76648,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-10800,- -,- -,- -,- -,- -,-871476
94,Other Financing Activites,34000,- -,194200,-33000,483152,549894,942233,1035346,720124,6262440,72014251
95,Cash Used/Provided by Financing Activities,51188,295154,315200,-113000,325352,357491,776034,802787,775123,21002201,68636742
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,65428,56126,-79561,157489,-50423,-41182,38714,926531,8072451,32148964
98,Cash at the End of Period,33502,98930,155056,75495,232984,182561,141379,180093,1106624,9179075,41328039
99,Cash at the Beginning of Period,- -,33502,98930,155056,75495,232984,182561,141379,180093,1106624,9179075
100,Free Cash Flow,-17686,-229726,-259074,33439,-295124,-407914,-817216,-1005518,251408,-12529750,-36487778
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/948320/000121390014001835/0001213900-14-001835-index.htm,https://www.sec.gov/Archives/edgar/data/948320/000121390015002217/0001213900-15-002217-index.htm,https://www.sec.gov/Archives/edgar/data/948320/000121390016011978/0001213900-16-011978-index.html,https://www.sec.gov/Archives/edgar/data/948320/000121390017005790/0001213900-17-005790-index.htm,https://www.sec.gov/Archives/edgar/data/948320/000121390018003893/0001213900-18-003893-index.html,https://www.sec.gov/Archives/edgar/data/948320/000121390019005312/0001213900-19-005312-index.html,https://www.sec.gov/Archives/edgar/data/948320/000149315220005288/0001493152-20-005288-index.html,https://www.sec.gov/Archives/edgar/data/948320/000149315221007194/0001493152-21-007194-index.htm,https://www.sec.gov/Archives/edgar/data/948320/000149315222006182/0001493152-22-006182-index.htm
102,false,,,,,,,,,,,
