,https://roic.ai/company/ZKIN,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,626791,123649,11278475,7682589,3451138,3759535,13525298
32,Short-Term Investments,- -,- -,- -,850829,279810,294568,2560760
33,Cash and Short-Term Investments,626791,123649,11278475,8533418,3730948,4054103,16086058
34,Net Receivables,16888180,25559793,22991153,30194889,27477870,34970877,29283079
35,Inventory,5956543,6444088,10048568,17792187,20796075,21679258,20689252
36,Other Current Assets,5881215,6735004,10432912,7826679,6848143,4078256,12645274
37,Total Current Assets,29352729,38862534,54751108,64347173,58853036,64782494,78703663
38,PP&E,6517566,5907985,- -,- -,- -,7870680,8059021
39,Goodwill,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,504119,468148,463171,938221,918717,929021,8749987
41,Intangible Assets,504119,468148,463171,938221,918717,929021,8749987
42,Investments,327216,312289,313066,303334,291464,306837,25323323
43,Tax Assets,- -,- -,- -,299596,289756,724612,353460
44,Other Non-Current Assets,- -,- -,5645724,10510239,18049394,11836860,12472847
45,Total Non-Current Assets,7348901,6688422,6421961,12051390,19549331,21668010,54958638
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,36701630,45550956,61173069,76398563,78402367,86450504,133662301
48,Accounts Payable,379355,1141803,717272,1670427,4182530,10351880,2159731
49,Short-Term Debt,27384457,25690880,21335938,19270530,16577728,17946810,24528215
50,Tax Payable,3299875,5218046,6892252,8231512,8386000,7127060,7176313
51,Deferred Revenue,333476,1618216,1983713,3410322,2422776,2345891,5666214
52,Other Current Liabilities,3939286,7521135,15769200,14779692,11401628,10232904,12155955
53,Total Current Liabilities,32036574,35972034,39806123,39130971,34584662,40877485,44510115
54,Long-Term Debt,- -,- -,- -,- -,- -,269290,27834
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,1000,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,269290,27834
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,54166
61,Total Liabilities,32036574,35972034,39806123,39130971,34584662,41146775,44537949
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,1028441,5697984,10978891,17138593,24372535,23546921,19737504
65,Other Comprehensive Income/Loss,811698,991233,1855151,1904319,1095874,3397384,5813196
66,Other Total Stockholders Equity,2824917,2889705,8532904,18224680,18349296,18359424,- -
67,Total Stockholders Equity,4640916,9489994,21216918,37041845,43518039,44993935,88799785
68,Total Liabilities And Stockholders Equity,36677490,45462028,61023041,76172816,78102701,86140710,133337734
69,Minority Interest,24140,88928,150028,225747,299666,309794,324567
70,Total Liabilities & Equity,36701630,45550956,61173069,76398563,78402367,86450504,133662301
71,SEC Link,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,5008681,5249537,5874276,7018114,8106866,-825614,-3799514
74,Depreciation and Amortization,507707,456041,438401,407741,388924,449833,1049801
75,Deferred Income Tax,- -,- -,-24142,-37311,-1958,- -,-511974
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,1351082
77,Change in Working Capital,-8988424,-7650997,-5362609,-9995088,-477095,2385854,-2020760
78,Accounts Receivable,-10604662,-10200868,2419491,-7151260,995327,-4800889,5804654
79,Inventory,2546046,-775275,-3505158,-9065712,-3846722,- -,2021789
80,Accounts Payable,-277621,796189,-417453,861192,2593103,5582787,-8662576
81,Other Working Capital,-1197632,1400622,282817,1563693,-887934,- -,3109327
82,Other Non-Cash Items,691777,744310,220356,371549,139751,-2010073,452301
83,Cash Provided by Operating Activities,-2780259,-1201109,1146282,-2234995,8156488,- -,-3479064
84,CAPEX,-289956,-123945,-161856,-968138,-891438,-1168322,-2146073
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-7682151,- -,-25000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-1983812
89,Cash Used for Investing Activites,-289956,-123945,- -,- -,- -,- -,-27146073
90,Debt Repayment,- -,-2602037,-4316362,-25529488,-28199497,761283,-28628436
91,Common Stock Issued,- -,- -,5582099,-380000,- -,- -,24758458
92,Common Stock Repurchased,- -,- -,- -,-380000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2741934,3442538,8703227,25303459,24463086,- -,44111479
95,Cash Used/Provided by Financing Activities,2741934,840501,9968964,-986029,-3736411,761283,40241501
96,Effect of Forex Changes on Cash,-22383,-18589,201436,335413,-83902,248950,227305
97,Net Change In Cash,-350664,-503142,11154826,-3595886,-4231451,308397,9843669
98,Cash at the End of Period,626791,123649,11278475,7682589,3451138,- -,13603204
99,Cash at the Beginning of Period,977455,626791,123649,11278475,7682589,- -,3759535
100,Free Cash Flow,-3070215,-1325054,984426,-3203133,7265050,- -,-5625137
101,SEC Link,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,
