,https://roic.ai/company/GLPI,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,0.1151,0.1088,0.0819,0.2915,0.2228,0.3493,0.3918,0.3216,0.3389,0.4385,0.4391
25,EPS,0.30,0.26,0.18,1.65,1.12,1.62,1.80,1.59,1.82,2.31,2.27
26,EPS Diluted,0.30,0.26,0.17,1.58,1.08,1.60,1.79,1.58,1.81,2.30,2.26
27,Weighted Average Shares Outstanding,89020704,89020704,110166667,112353939,114394643,178583333,211443333,213532075,214769780,218922511,235472000
28,Weighted Average Shares Outstanding Diluted,89020704,89020704,110166667,117331646,118631481,180815625,212751346,214779296,215786023,219772725,236231000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1575965/000104746914002922/0001047469-14-002922-index.htm,https://www.sec.gov/Archives/edgar/data/1575965/000157596515000004/0001575965-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1575965/000157596516000091/0001575965-16-000091-index.htm,https://www.sec.gov/Archives/edgar/data/1575965/000157596517000006/0001575965-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1575965/000157596518000004/0001575965-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1575965/000157596519000005/0001575965-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1575965/000157596520000012/0001575965-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1575965/000157596521000008/0001575965-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1575965/000157596522000005/0001575965-22-000005-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,14562000,285221000,35973000,41875000,36556000,29054000,25783000,26823000,486451000,724595000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,14562000,285221000,35973000,41875000,36556000,29054000,25783000,26823000,486451000,724595000
34,Net Receivables,- -,- -,- -,34000000,29350000,2736911000,2650639000,316684000,303684000,- -,1201670000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,2150000,23350000,55169000,65629000,7477000,8452000,30967000,4228000,63546000,77728000
37,Total Current Assets,- -,16712000,308571000,125142000,136854000,2780944000,2688145000,373434000,334735000,549997000,2003993000
38,PP&E,- -,118954000,139121000,134028000,129747000,119427000,108293000,100884000,278143000,231957000,196113000
39,Goodwill,- -,75521000,75521000,75521000,75521000,75521000,75521000,16067000,16067000,- -,- -
40,Intangible Assets,- -,9577000,9577000,9577000,9577000,600335000,649725000,682784000,664248000,617858000,668683000
41,Intangible Assets,- -,85098000,85098000,85098000,85098000,675856000,725246000,698851000,680315000,617858000,668683000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,2859000,2228000,679000,2447000,3922000,4478000,5178000,6056000,5690000,- -
44,Other Non-Current Assets,- -,43452000,2074221000,2219633000,2094009000,3789181000,3720720000,7398946000,7135049000,7628866000,7821660000
45,Total Non-Current Assets,- -,250363000,2300668000,2439438000,2311301000,4588386000,4558737000,8203859000,8099563000,8484371000,8686456000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,267075000,2609239000,2564580000,2448155000,7369330000,7246882000,8577293000,8434298000,9034368000,10690449000
48,Accounts Payable,- -,251000,21397000,4409000,406000,1079000,715000,2511000,1006000,375000,779000
49,Short-Term Debt,- -,- -,- -,81000,102000,112000,- -,402000000,46000000,- -,- -
50,Tax Payable,- -,12674000,36045000,22741000,24702000,32584000,35399000,42879000,944000,146000,5668000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,333061000,329068000
52,Other Current Liabilities,- -,22077000,91131000,73977000,83311000,83536000,87362000,135447000,81699000,78678000,147040000
53,Total Current Liabilities,- -,22328000,112528000,78467000,83819000,84727000,88077000,539958000,128705000,412114000,476887000
54,Long-Term Debt,- -,- -,2350000000,2609406000,2510239000,4664853000,4441650000,5450385000,5690973000,5906892000,6789626000
55,Deferred Revenue,- -,- -,- -,- -,107379000,166052000,232023000,293911000,328485000,- -,- -
56,Deferred Tax Liabilities,- -,8417000,4282000,1443000,232000,265000,244000,261000,279000,359000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,19564000,26641000,27171000,211611000,39985000,33796000
58,Total Non-Current Liabilities,- -,8417000,2354282000,2610849000,2617850000,4850734000,4700558000,5771728000,6231348000,5947236000,6823422000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,1230000,1112000,184960000,153063000,237254000
61,Total Liabilities,- -,30745000,2466810000,2689316000,2701669000,4935461000,4788635000,6311686000,6360053000,6359350000,7300309000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,887000,1130000,1156000,2077000,2127000,2142000,2147000,2325000,2472000
64,Retained Earnings,- -,164974000,137891000,-1014726000,-1189890000,-1328937000,-1477709000,-1689038000,-1887285000,-1612096000,-1771402000
65,Other Comprehensive Income/Loss,- -,-94662000,-105844000,-118770000,-131335000,-144183000,-153249000,-163854000,-172202000,-96496000,- -
66,Other Total Stockholders Equity,- -,166018000,109495000,1007630000,1066555000,3904912000,4087078000,4116357000,4131585000,4381285000,4953943000
67,Total Stockholders Equity,- -,236330000,142429000,-124736000,-253514000,2433869000,2458247000,2265607000,2074245000,2675018000,3185013000
68,Total Liabilities And Stockholders Equity,- -,267075000,2609239000,2564580000,2448155000,7369330000,7246882000,8577293000,8434298000,9034368000,10485322000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,205127000
70,Total Liabilities & Equity,- -,267075000,2609239000,2564580000,2448155000,7369330000,7246882000,8577293000,8434298000,9034368000,10690449000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1575965/000104746914002922/0001047469-14-002922-index.htm,https://www.sec.gov/Archives/edgar/data/1575965/000157596515000004/0001575965-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1575965/000157596516000091/0001575965-16-000091-index.htm,https://www.sec.gov/Archives/edgar/data/1575965/000157596517000006/0001575965-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1575965/000157596518000004/0001575965-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1575965/000157596519000005/0001575965-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1575965/000157596520000012/0001575965-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1575965/000157596521000008/0001575965-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1575965/000157596522000005/0001575965-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,26684000,22919000,19830000,185384000,128122000,289305000,380598000,339516000,390881000,505711000,534047000
74,Depreciation and Amortization,14568000,14090000,28923000,106843000,109783000,115717000,123835000,148365000,258971000,242995000,252049000
75,Deferred Income Tax,-6514000,-88000,-5646000,-3305000,-813000,-1535000,-561000,-522000,-755000,451000,5326000
76,Stock Based Compensation,- -,- -,1566000,12258000,16811000,18312000,15636000,11152000,16198000,20004000,16831000
77,Change in Working Capital,22177000,-5614000,201659000,-149368000,6360000,2643182000,-96149000,-2766592000,372554000,-68147000,3075000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-288000,-260000,2638000,-1650000,-946000,506000,-421000,1796000,-1505000,-1252000,- -
81,Other Working Capital,-2000,-5616000,196043000,46675000,53035000,2696217000,2600068000,-166524000,206030000,137883000,- -
82,Other Non-Cash Items,-75000,-4563000,-165700000,121447000,59425000,-2550611000,175352000,2922514000,-287547000,-272937000,-7550000
83,Cash Provided by Operating Activities,56840000,26744000,80632000,273259000,319688000,514370000,598711000,654433000,750302000,428077000,803778000
84,CAPEX,-8288000,-5190000,-16428000,-140730000,-19102000,-3267992000,-83252000,-1243466000,-3017000,-3604000,-16196000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58993000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-8171000,-4810000,-16275000,-317319000,-14142000,-3218616000,698000,-1509784000,-2817000,-9487000,-1089827000
89,Cash Used for Investing Activites,-8171000,-4810000,-16275000,-317319000,-14142000,-3218616000,698000,-1509784000,-2817000,-9487000,-1030834000
90,Debt Repayment,-900000,- -,- -,-32024000,-68098000,-377104000,-335112000,-1164117000,-1477949000,-2060884000,-363391000
91,Common Stock Issued,- -,- -,- -,- -,- -,870810000,139414000,- -,- -,320873000,662338000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-494104000,-251732000,-428352000,-529370000,-550435000,-589128000,-230522000,-633901000
94,Other Financing Activites,-49536000,-24518000,206302000,320940000,20186000,2633573000,118157000,2566632000,1320632000,2033702000,778023000
95,Cash Used/Provided by Financing Activities,-50436000,-24518000,206302000,-205188000,-299644000,2698927000,-606911000,852080000,-746445000,63169000,443069000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-1767000,-2584000,270659000,-249248000,5902000,-5319000,-7502000,-3271000,1040000,459628000,238144000
98,Cash at the End of Period,17146000,14562000,285221000,35973000,41875000,36556000,29054000,25783000,26823000,486451000,724595000
99,Cash at the Beginning of Period,18913000,17146000,14562000,285221000,35973000,41875000,36556000,29054000,25783000,26823000,486451000
100,Free Cash Flow,48552000,21554000,64204000,130490000,300586000,510929000,595455000,650129000,747285000,424473000,787582000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1575965/000104746914002922/0001047469-14-002922-index.htm,https://www.sec.gov/Archives/edgar/data/1575965/000157596515000004/0001575965-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1575965/000157596516000091/0001575965-16-000091-index.htm,https://www.sec.gov/Archives/edgar/data/1575965/000157596517000006/0001575965-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1575965/000157596518000004/0001575965-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1575965/000157596519000005/0001575965-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1575965/000157596520000012/0001575965-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1575965/000157596521000008/0001575965-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1575965/000157596522000005/0001575965-22-000005-index.htm
102,false,,,,,,,,,,,
