,https://roic.ai/company/PCYG,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,- -,- -,- -,- -,260000,180000,70000,224229,1491848,715973,515357,512822,376013,505539,726067,811900,786790,900093,901407,879329,768165,507446,486024,633854,601433,884606,1105281
15,EBITDA,- -,-245716,-72943,- -,780000,2380000,-910000,-1766531,-3511507,40730,-2892680,1906418,-2635614,-2362640,-2810164,988891,928031,41426,1158894,-1610816,-3081608,1173949,4371125,4150703,4689233,2587526,5406253
16,EBITDA ratio,- -,-1.0919,-0.3409,- -,0.1491,0.3656,-0.6067,-0.4565,-0.6563,0.0068,-0.7965,0.2691,-1.0168,-0.7063,-0.4711,0.0909,0.0863,0.0041,0.1024,-0.1350,-0.2258,0.0838,0.2308,0.1884,0.2215,0.1291,0.2574
17,Operating Income,- -,-245716,71497,- -,880000,2580000,-280000,-1219535,-2787047,659039,-2229583,2312513,-3005091,-3496919,-3372915,841693,141241,-972712,398199,-2592725,-4092394,687441,3901129,3516849,3989289,1478012,2892400
18,Operating Income ratio,- -,-1.0919,0.3341,- -,0.1683,0.3963,-0.1867,-0.3152,-0.5209,0.1093,-0.6139,0.3264,-1.1593,-1.0454,-0.5655,0.0774,0.0131,-0.0963,0.0352,-0.2174,-0.2998,0.0491,0.2060,0.1596,0.1884,0.0738,0.1377
19,Total Other Income Expenses (Gains),- -,- -,-144440,- -,-180000,-190000,-350000,-771225,-2216308,-1334282,-1178454,-918917,-6536,628740,-668462,-664702,-346704,114045,-140712,102580,242621,-20938,-16028,-2671,55827,157176,1301892
20,Income Before Tax,- -,-245716,-72943,- -,700000,2390000,-630000,-1990760,-5003355,-675243,-3408037,1393596,-3011627,-2868179,-4041377,176991,-205463,-858667,257487,-2490145,-3849773,666503,3885101,3514178,4045116,1635188,4194292
21,Income Before Tax Ratio,- -,-1.0919,-0.3409,- -,0.1338,0.3671,-0.4200,-0.5145,-0.9352,-0.1120,-0.9384,0.1967,-1.1618,-0.8575,-0.6775,0.0163,-0.0191,-0.0850,0.0227,-0.2088,-0.2821,0.0476,0.2051,0.1595,0.1911,0.0816,0.1997
22,Income Tax expense (Gain),- -,3843,- -,- -,330000,990000,- -,1400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,107569,105395,142710,41919,76897
23,Net Income,- -,-249559,-72943,-399415,370000,1400000,-630000,-3390760,-5003355,-675243,-3408037,1393596,-3011627,-2868179,-4041377,176991,-205463,-858667,257487,-2490145,-3849773,666503,3777532,3408783,3902406,1593269,4117395
24,Net Income ratio,- -,-1.1090,-0.3409,-Infinity,0.0707,0.2151,-0.4200,-0.8763,-0.9352,-0.1120,-0.9384,0.1967,-1.1618,-0.8575,-0.6775,0.0163,-0.0191,-0.0850,0.0227,-0.2088,-0.2821,0.0476,0.1995,0.1547,0.1843,0.0795,0.1960
25,EPS,- -,-3.65,-0.95,-4.80,0.17,0.64,-0.28,-1.00,-1.50,-0.14,-0.50,0.23,-0.34,-0.35,-0.48,-0.01,-0.09,-0.14,-0.05,-0.19,-0.38,-0.00,0.15,0.14,0.17,0.05,0.18
26,EPS Diluted,- -,-3.65,-0.95,-4.80,0.17,0.64,-0.28,-1.00,-1.50,-0.14,-0.50,0.22,-0.34,-0.35,-0.48,-0.01,-0.09,-0.14,-0.05,-0.19,-0.38,-0.00,0.15,0.14,0.16,0.05,0.18
27,Weighted Average Shares Outstanding,- -,68056,76156,83495,2190000,2190000,2270000,3114740,3960540,4711260,5488600,6084000,8936000,9150000,9770000,10716000,11212000,11780000,13246000,16710000,17375000,19151000,19353000,19581000,19849000,19651000,19502000
28,Weighted Average Shares Outstanding Diluted,- -,68056,76156,84443,2190000,2190000,2270000,3114740,3960540,4711260,5488600,6263000,8936000,9150000,9770000,10716000,11212000,11780000,13246000,16710000,17375000,19151000,20264000,20280000,20368000,19863000,19754000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/50471/000109690607001331/0001096906-07-001331-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000109690608001806/0001096906-08-001806-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000141588909000251/0001415889-09-000251-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000141588910000365/0001415889-10-000365-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000141588911000987/0001415889-11-000987-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000141588912001403/0001415889-12-001403-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000141588913001875/0001415889-13-001875-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000141588914002780/0001415889-14-002780-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000141588915003051/0001415889-15-003051-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000141588916007070/0001415889-16-007070-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000165495417008440/0001654954-17-008440-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000165495418010155/0001654954-18-010155-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000165495419010672/0001654954-19-010672-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000165495420010541/0001654954-20-010541-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000165495421010502/0001654954-21-010502-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,962,- -,13182,- -,1100000,218482,140972,69305,312817,209670,3517060,3273424,865563,656279,1157431,2618229,1106176,3616585,3352559,11325572,11443388,14054006,14892439,18609423,20345330,24070322
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,962,- -,13182,- -,1100000,218482,140972,69305,312817,209670,3517060,3273424,865563,656279,1157431,2618229,1106176,3616585,3352559,11325572,11443388,14054006,14892439,18609423,20345330,24070322
34,Net Receivables,- -,160436,248960,- -,- -,830000,206800,735764,945402,1143158,356339,340831,1036502,1121177,1324171,1448946,2059773,2290859,2383366,2857983,1640591,3547968,4009127,7724635,6902352,6308070,5140635
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,6844,5480,- -,- -,140000,754292,40230,49267,199113,37060,173687,2040722,1996438,150773,181434,265818,171526,403909,250855,463427,393275,643600,1116387,1037099,495511,490817
37,Total Current Assets,- -,168242,254440,13182,- -,2070000,1179574,916966,1063974,1655088,603069,4031578,6350648,3983178,2131223,2787811,4943820,3568561,6403860,6461397,13429590,15384631,18706733,23733461,26548874,27148911,29701774
38,PP&E,- -,- -,- -,- -,- -,180000,219928,176957,105355,127346,109512,84741,481533,494459,534716,544576,651992,559140,671959,740753,764442,469383,2115277,1896348,2972257,3784539,3284565
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4805933,4805933,4805933,4805933,4805933,4805933,20190935,20883886,20883886,20883886,20883886,20883886,20883886
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,660436,4445899,3888969,3550380,2981899,2413417,1918019,2006951,1365542,1188405,1088726,859264,675539,697332
41,Intangible Assets,- -,- -,- -,- -,- -,- -,654957,- -,- -,- -,- -,- -,- -,660436,9251832,8694902,8356313,7787832,7219350,6723952,22197886,22249428,22072291,21972612,21743150,21559425,21581218
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,471584,477884,477884,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,1274000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,1887592,1415028,- -,- -,1310000,33802,2390609,981155,630283,357349,710145,942705,47667,129187,23287,24026,20697,1637729,3011530,14866,14866,2540291,1213265,1676256,938170,479326
45,Total Non-Current Assets,- -,1887592,1415028,- -,- -,1490000,2182687,2567566,1086510,757629,466861,794886,1424238,1202562,9915735,9262765,9032331,8367669,9529038,10476235,22977194,23205261,27205743,25560109,26391663,26282134,25345109
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2055834,1669468,13182,- -,3560000,3362261,3484532,2150484,2412717,1069930,4826464,7774886,5185740,12046958,12050576,13976151,11936230,15932898,16937632,36406784,38589892,45912476,49293570,52940537,53431045,55046883
48,Accounts Payable,- -,29436,5000,4661,- -,190000,621261,567148,763914,327171,628398,112136,388212,427582,759630,574847,790914,550846,653655,738289,817119,580309,565487,1490434,530294,407497,467194
49,Short-Term Debt,- -,- -,- -,- -,- -,150000,2110594,1386304,4258077,31498,2277649,16774,2011185,2083532,2900025,1366705,3614853,1998704,1751421,1426900,2727301,2739199,3168616,3418478,4955168,5535875,6090156
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,136117,146004
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,1630868,1218070,1111915,883425,648686,505299,480269,1422497,1364390,1663232,2081459,1777326,1840811,2331920,2717094,2350846,2335286,1917787,1845347,1755341
52,Other Current Liabilities,- -,382105,300169,- -,- -,1960000,1930731,534246,812167,772481,1807866,719685,272600,410396,1565685,1418402,1270322,1283529,1096982,1801355,2521111,1502203,2084980,745694,1399368,1123528,988092
53,Total Current Liabilities,- -,411541,305169,4661,- -,2300000,4662586,4118566,7052228,2243065,5597338,1497281,3177296,3401779,6647837,4724344,7339321,5914538,5279384,5807355,8397451,7538805,8169929,7989892,8802617,8912247,9300783
54,Long-Term Debt,- -,- -,135476,- -,- -,2160000,1254005,4085714,3027576,5298307,3173414,1842596,- -,- -,5778687,2920602,1271691,711571,310642,422248,349192,491253,1996953,1592077,920754,1935365,605214
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,1206714,864187,17042,- -,270000,3535373,479169,- -,9222,2127,4949,225414,200446,122506,148749,41202,- -,101500,88948,75518,57275,36743,7275,- -,- -,- -
58,Total Non-Current Liabilities,- -,1206714,999663,17042,- -,2430000,4789378,4564883,3027576,5307529,3175541,1847545,225414,200446,5901193,3069351,1312893,711571,412142,511196,424710,548528,2033696,1599352,920754,1935365,605214
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,9222,2127,4948,225414,200446,232348,280933,148749,41201,- -,- -,- -,- -,- -,- -,- -,781136,695370
61,Total Liabilities,- -,1618255,1304832,21703,- -,4730000,9451964,8683449,10079804,7550594,8772879,3344826,3402710,3602225,12549030,7793695,8652214,6626109,5691526,6318551,8822161,8087333,10203625,9589244,9723371,10847612,9905997
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5840,6050,6318,6484,10799,10976,4119,4119,6996,8056,9113,8378,8378,8378,8378
63,Common Stock,- -,37711,38261,59911,- -,1100000,1492766,1764434,2138407,2687163,2825561,89312,89977,92176,105698,108844,116125,120874,161285,169280,188759,192296,194241,197738,197936,194847,193522
64,Retained Earnings,- -,-2492327,-2565270,-2965785,- -,-7460000,-8088808,-11479568,-16482923,-17158166,-20566203,-19172607,-21783395,-24982411,-29710303,-29859697,-30891571,-32584925,-33239018,-36347054,-42907628,-42970413,-39983692,-37213677,-33897714,-32890889,-29359938
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-1120000,- -,-1401217,-1479150,-1539375,-1592080,-1663701,-432817,-520911,-1420618,-1550589,-1801739,-2133351,-2325233,-2651470,-2997317,-3373363,-2715818,-2973253,-3345224,-3964501,- -
66,Other Total Stockholders Equity,- -,2892195,2891645,2897353,- -,6310000,506339,5917434,7894346,10872501,11629773,22228634,26492571,26988611,30516833,35551839,37890323,39896547,45640219,49444206,73293813,76645983,78205007,79685140,80253790,79235598,74298924
67,Total Stockholders Equity,- -,437579,364636,-8521,- -,-1170000,-6089703,-5198917,-7929320,-5137877,-7702949,1481638,4372176,1583515,-502072,4256881,5323937,5310121,10241372,10619081,27584623,30502559,35708851,39704326,43217166,42583433,45140886
68,Total Liabilities And Stockholders Equity,- -,2055834,1669468,13182,- -,3560000,3362261,3484532,2150484,2412717,1069930,4826464,7774886,5185740,12046958,12050576,13976151,11936230,15932898,16937632,36406784,38589892,45912476,49293570,52940537,53431045,55046883
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,2055834,1669468,13182,- -,3560000,3362261,3484532,2150484,2412717,1069930,4826464,7774886,5185740,12046958,12050576,13976151,11936230,15932898,16937632,36406784,38589892,45912476,49293570,52940537,53431045,55046883
71,SEC Link,undefined,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/50471/000109690607001331/0001096906-07-001331-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000109690608001806/0001096906-08-001806-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000141588909000251/0001415889-09-000251-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000141588910000365/0001415889-10-000365-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000141588911000987/0001415889-11-000987-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000141588912001403/0001415889-12-001403-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000141588913001875/0001415889-13-001875-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000141588914002780/0001415889-14-002780-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000141588915003051/0001415889-15-003051-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000141588916007070/0001415889-16-007070-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000165495417008440/0001654954-17-008440-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000165495418010155/0001654954-18-010155-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000165495419010672/0001654954-19-010672-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000165495420010541/0001654954-20-010541-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000165495421010502/0001654954-21-010502-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-249559,-72943,-399415,370000,1400000,-630000,-3390760,-5003355,-675243,-3408037,1393596,-3011627,-2868179,-4041377,176991,-205463,-858667,257487,-2490145,-3849773,666503,3777532,3408783,3902406,1593269,4117395
74,Depreciation and Amortization,- -,- -,- -,- -,260000,180000,70000,224229,1491848,715973,515357,512822,376013,505539,726067,811900,786790,900093,901407,879329,768165,507446,486024,633854,601433,884606,1105281
75,Deferred Income Tax,- -,- -,- -,- -,310000,940000,- -,1400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,862876,1073079,843645,1719375,2760329,1010312,1266805,588984,551881,399681,336695
77,Change in Working Capital,- -,- -,-243299,192570,59250,361217,-3253012,281412,-2786654,5400277,-4406292,7528566,639055,-2591953,-5098013,2580081,-458968,49524,3470453,-470434,4378097,2813687,2690978,5206765,2002688,490407,2164327
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-260000,- -,- -,- -,- -,- -,- -,- -,- -,-43414,-1067862,- -,-1859987,-661357,710302,-1975517,-2325075,-4180558,312283,-205718,-199437
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,-430000,- -,- -,- -,- -,- -,- -,- -,104964,-184783,216067,-184073,102809,84634,-49296,-236810,-14822,924947,-960140,-122797,59697
81,Other Working Capital,- -,- -,-243299,-50729,8521,-230000,-3483012,-3201600,-5988254,-587977,-4994269,2534297,3173352,581399,-4516614,-1936533,-2395501,-2345977,1124476,654042,5032139,7845826,10536804,15743569,17746257,18236664,20400991
82,Other Non-Cash Items,- -,230328,315276,-86033,-1169250,-1881217,3363012,242260,6321439,-5378743,6504654,-8709850,-951504,2083818,7591928,-2621666,461551,-155586,-5622056,269341,-2349221,-4494725,-5964201,-7658900,-2479553,828176,-2321883
83,Cash Provided by Operating Activities,- -,-19231,-966,-292878,-170000,1000000,-450000,-1242859,23278,62264,-794318,725134,-2948063,-2870775,-821395,947306,1446786,1008443,-149064,-92534,1707597,503223,2257138,2179486,4578855,4196139,5401815
84,CAPEX,- -,- -,- -,- -,-60000,-70000,-670000,-50789,-14889,-56742,-35345,-22146,-601690,-110788,-59484,-79901,-555617,-238760,-445744,-459230,-369536,-263929,-1957402,-315246,-1447880,-650422,-318873
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4714620,-6300,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1940000,- -,- -,- -,- -,- -,- -,4612908,- -,- -,477884,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,180000,-1699904,-948788,- -,3400,-564651,-1936960,600945,312891,- -,-197051,- -,- -,-1193495,-2237341,-182942,13000,-111241,- -,- -,-171733
89,Cash Used for Investing Activites,- -,- -,- -,- -,-60000,-70000,-490000,-1750693,-963677,-56742,-31945,-586797,-2538650,490157,193407,-79901,-555617,-238760,-445744,-1652725,-2606877,-365641,-1950702,-315246,-969996,-650422,-318873
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3310599,-766253,- -,-2594048,-866210,-551202,-245450,-242041,-239500,-591092,-1833592,-295168,-920755
91,Common Stock Issued,- -,9490,- -,35000,- -,- -,- -,2176750,- -,238667,150000,4434764,5278788,- -,153602,- -,140800,- -,4162920,1493818,7606384,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-30000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21720,- -,-7500,- -,- -,-999990,-482406,-2158471,-1308238
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2485,- -,- -,-370734,-494312,-503311,-586999,-157147,-10575,-10576,-782123,-439833,-586444,-586444
94,Other Financing Activites,- -,10703,- -,271060,470000,-80000,60000,769292,868732,-677,573116,-1265711,-35711,-24758,3575701,400000,799563,806624,333538,1125616,1676006,232850,2554258,1347398,2863956,1230273,1457487
95,Cash Used/Provided by Financing Activities,- -,20193,- -,306060,470000,-80000,60000,2916042,868732,237990,723116,3169053,5243077,-27243,418704,-366253,569629,-2281736,3105217,1481233,8872293,-19766,2304182,-1025807,108125,-1809810,-1357950
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-966,- -,250000,850000,-880000,-77510,-71667,243512,-103147,3307390,-243636,-2407861,-209284,501152,1460798,-1512053,2510409,-264026,7973013,117816,2610618,838433,3716984,1735907,3724992
98,Cash at the End of Period,- -,962,-4,13182,15142440,850000,220000,140972,69305,312817,209670,3517060,3273424,865563,656279,1157431,2618229,1106176,3616585,3352559,11325572,11443388,14054006,14892439,18609423,20345330,24070322
99,Cash at the Beginning of Period,- -,- -,962,- -,14892440,- -,1100000,218482,140972,69305,312817,209670,3517060,3273424,865563,656279,1157431,2618229,1106176,3616585,3352559,11325572,11443388,14054006,14892439,18609423,20345330
100,Free Cash Flow,- -,-19231,-966,-292878,-230000,930000,-1120000,-1293648,8389,5522,-829663,702988,-3549753,-2981563,-880879,867405,891169,769683,-594808,-551764,1338061,239294,299736,1864240,3130975,3545717,5082942
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/50471/000109690607001331/0001096906-07-001331-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000109690608001806/0001096906-08-001806-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000141588909000251/0001415889-09-000251-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000141588910000365/0001415889-10-000365-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000141588911000987/0001415889-11-000987-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000141588912001403/0001415889-12-001403-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000141588913001875/0001415889-13-001875-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000141588914002780/0001415889-14-002780-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000141588915003051/0001415889-15-003051-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000141588916007070/0001415889-16-007070-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000165495417008440/0001654954-17-008440-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000165495418010155/0001654954-18-010155-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000165495419010672/0001654954-19-010672-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000165495420010541/0001654954-20-010541-index.htm,https://www.sec.gov/Archives/edgar/data/50471/000165495421010502/0001654954-21-010502-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
